,,,,DOADOR SAUDAVEL,DOADOR SAUDAVEL,DOADOR SAUDAVEL,DOADOR SAUDAVEL,DOADOR SAUDAVEL,INFECCAO VIRAL,INFECCAO VIRAL,INFECCAO VIRAL,INFECCAO VIRAL,INFECCAO VIRAL,INFECCAO VIRAL,INFECCAO VIRAL,INFECCAO VIRAL,INFECCAO VIRAL,INFECCAO BACTERIANA,INFECCAO BACTERIANA,INFECCAO VIRAL,INFECCAO BACTERIANA,INFECCAO BACTERIANA,INFECCAO BACTERIANA,INFECCAO BACTERIANA,INFECCAO BACTERIANA,INFECCAO BACTERIANA,INFECCAO BACTERIANA,INFECCAO BACTERIANA
taxon_name,tax_id,genus_name,pathogenic,CSI001,CSI002,CSI003,CSI004,CSI005,SI001,SI002,SI003,SI004,SI005,SI006,SI007,SI008,SI010,SI018,SI019,SI021,SI023,SI029,SI030,SI032,SI034,SI035,SI037,SI041
Actinomyces graevenitzii,55565,Actinomyces,Yes,3.75,0.00230057106451307,,,,1.19232886223042,0.0139310667068495,,0.00189783395060652,1.15453791217279,0.00642262661667099,0.521240972222603,,,,,11.0198752470798,0.00210101958276272,,0.0166117754451845,,,0.482859650960152,,0.00271491904768593
Actinomyces pacaensis,1852377,Actinomyces,No,0.0347290872815602,0.002629234134125,0.00492888250737496,0.0029735372620956,0.00795657015881562,,0.00401618141234393,0.00571436134299648,,,,0.00354241048850817,,,0.0496720454472713,1.0671187544096,,0.00210101958276272,0.00592513835787493,2.62725678088818,,0.0312382623905099,0.0620132248214929,,5.45726737713586
Actinomyces sp. oral clone GU009,242686,Actinomyces,No,,,,,,,,,,,,,,1.2303096986723,,,,,,,,,,,
Actinomyces sp. oral strain Hal-1065,163586,Actinomyces,No,3.83267254460804,,,,,,,,,,,,,,,,,,,,,,,,
Alloprevotella sp. E39,2133944,Alloprevotella,No,0.00266069499548068,0.300717553734759,0.0271087934770259,0.304923461150607,0.00994571269851953,0.0196383948845386,2.0034390420349,0.548579373911241,0.412780358026637,0.863524984535131,0.915778805406357,0.00531361573276226,0.157668028047397,0.0773437770693683,0.837701915388238,0.216435523062268,0.0480224223598708,0.127461582578868,0.1018046109257,0.670180057026335,0.303064258536464,0.567782015443544,2.52207229958859,0.0174226445968702,0.238475923704144
Alloprevotella tannerae,76122,Alloprevotella,No,0.0040610686633767,0.467015644405071,,0.00310870349293706,,,0.00338864055322149,0.0171430840289894,0.00189783395060652,0.00365822835304258,3.4268117612612,0.00253029580503493,0.00579977850573826,0.005963008623701,0.00262294748736596,0.00295272598994921,0.00324476049381763,0.00420203916552543,0.00323189922709617,0.729100457925358,0.0673476130081032,0.00800576895754168,0.00692382281328526,,
Arcobacter cryaerophilus,28198,Arcobacter,No,,,,,,,,,,,,0.0627511831461555,0.00945148765295665,,,,,,,8.37232659300851,0.101021542087164,,,,
Bacteroides fragilis,817,Bacteroides,Yes,,0.302032698972599,0.21664622271498,0.54591421370573,,,1.46652888446391,0.805723351067486,0.409933381700652,0.757253737520063,0.0104090890949382,,0.00300729710192781,0.00210459127895329,0.775572615115512,0.375588837526403,0.00713848544213504,0.0147071166711838,0.0829519676856532,0.0303684065791233,0.0505107097560774,0.120557393215048,0.167977474393712,2.47691222488089,0.258881494163494
Bacteroides sp. PHL 2737,2162637,Bacteroides,No,,,,,,,,,,,,,,,,,,,,,,3.86662935616909,,,
Bifidobacterium longum,216816,Bifidobacterium,No,0.115810541306754,,,,,,,0.00571436134299648,,,,,0.0146068541134043,,,0.432575815172541,28.8030745974587,,,1.05978082689762,,0.00737785978207343,0.166171377669688,,
Campylobacter concisus,199,Campylobacter,Yes,1.50119538116366,0.0788768479668239,0.0427915493660739,0.0122996344279716,0.00397828507940781,0.0645259681445147,3.91790916784135,0.0942868479955121,0.0417524162672126,0.0336556473119634,4.77622958897096,0.931653812936019,0.0429613871703973,0.00455994777106547,1.09557095278332,1.43591450357348,1.13761323094282,0.381685564337814,1.16240456103774,0.716382264866139,0.230103935860989,3.06558507047272,1.91307867519724,1.91648925868498,1.15787368290457
Campylobacter hominis,76517,Campylobacter,No,,,,,,,,,,0.00384114311669648,,,,,,,,,,0.00622941579194419,0.948479291780817,,,,
