accession_id,total_reads,genus,genus_taxid,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_true_positive,species_true_negative,species_false_positive,species_false_negative
CP097095.1,166,Actinomyces,1654,26223,962506,24,11247,Actinomyces graevenitzii,55565,0,999834,0,166
NZ_LT635457.1,26273,Actinomyces,1654,26223,962506,24,11247,Actinomyces pacaensis,1852377,26165,973721,6,108
NZ_CP033459.1,6702,Pseudoprevotella,2884814,6665,993252,46,37,Pseudoprevotella muciniphila,2133944,6665,993252,46,37
CAKAFU010000002.1,7291,Alloprevotella,1283313,0,992709,0,7291,Alloprevotella tannerae,76122,0,992709,0,7291
NZ_CP032823.1,83723,Aliarcobacter,2321111,83373,916277,0,350,Aliarcobacter cryaerophilus,28198,83183,916277,0,540
NZ_CP036550.1,304,Bacteroides,816,293,998943,753,11,Bacteroides fragilis,817,291,999653,43,13
NZ_CP102541.1,10598,Bifidobacterium,1678,10557,989380,22,41,Bifidobacterium longum,216816,9510,989400,2,1088
NZ_CP049272.1,7164,Campylobacter,194,7305,992666,4,25,Campylobacter concisus,199,7135,992835,1,29
NZ_CP082871.1,62,Campylobacter,194,7305,992666,4,25,Campylobacter hominis,76517,62,999937,1,0
NZ_CP028101.1,41708,Fusobacterium,848,41615,958244,6,135,Fusobacterium nucleatum,851,39168,958292,0,2540
NZ_AP018768.1,167626,Haemophilus,724,174318,824915,7,760,Haemophilus influenzae,727,163470,832369,5,4156
NZ_CP038817.1,7452,Haemophilus,724,174318,824915,7,760,Haemophilus parahaemolyticus,735,7410,992545,3,42
NC_013203.1,587,Lancefieldella,2767353,585,999413,0,2,Lancefieldella parvula,1382,585,999413,0,2
NZ_LR134378.1,6048,Lautropia,47670,6024,993952,0,24,Lautropia mirabilis,47671,6024,993952,0,24
NZ_AP019829.2,395,Leptotrichia,32067,394,999605,0,1,Leptotrichia wadei,157687,386,999605,0,9
NZ_CP101528.1,221,Micrococcus,1269,46159,951053,1,2787,Micrococcus luteus,1270,190,998816,963,31
NZ_CP014234.1,39,Moraxella,475,39,999960,1,0,Moraxella osloensis,34062,39,999961,0,0
NC_019960.1,1783,Prevotella,838,12191,972051,921,14837,Prevotella dentalis,52227,1763,998132,85,20
NZ_CP024696.1,337,Prevotella,838,12191,972051,921,14837,Prevotella intermedia,28131,328,999410,253,9
NZ_CP072363.1,9386,Prevotella,838,12191,972051,921,14837,Prevotella jejuni,1177574,9216,990539,75,170
NZ_CP072390.1,73,Prevotella,838,12191,972051,921,14837,Prevotella scopos,589437,72,999913,14,1
NZ_CP079201.1,169,Rothia,32207,106457,893145,31,367,Rothia dentocariosa,2047,168,999828,3,1
NZ_CP079822.1,106655,Rothia,32207,106457,893145,31,367,Rothia mucilaginosa,43675,106280,893322,23,375
NZ_CP102197.1,175067,Schaalia,2529408,174378,816405,8528,689,Schaalia odontolytica,1660,174309,819778,5155,758
NZ_CP060204.1,47,Selenomonas,970,176,999821,2,1,Selenomonas timonae,2754044,46,999953,0,1
NZ_CP012071.1,130,Selenomonas,970,176,999821,2,1,Selenomonas sp. oral taxon 478,712538,128,999870,0,2
NZ_CP012646.1,21110,Streptococcus,1301,57428,942245,8,319,Streptococcus mitis,28037,20027,978862,28,1083
NZ_CP102583.1,36242,Streptococcus,1301,57428,942245,8,319,Streptococcus pneumoniae,1313,35424,963637,121,818
NZ_CP079193.1,104,Streptococcus,1301,57428,942245,8,319,Streptococcus suis,1307,100,999882,14,4
NZ_CP009227.1,83,Treponema,157,14846,982803,14,2337,Treponema sp. OMZ 838,1539298,48,999917,0,35
NZ_CAKAHJ010000001.1,11031,Actinomyces,1654,26223,962506,24,11247,uncultured Actinomyces sp.,249061,0,988969,0,11031
NZ_CALGPY010000005.1,104,Campylobacter,194,7305,992666,4,25,uncultured Campylobacter sp.,218934,0,999896,0,104
NZ_CAKOJV010000001.1,42,Fusobacterium,848,41615,958244,6,135,uncultured Fusobacterium sp.,159267,0,999958,0,42
NZ_CANLQP010000001.1,48725,Micrococcus,1269,46159,951053,1,2787,uncultured Micrococcus sp.,114051,0,951275,0,48725
NZ_CAMUES010000001.1,3315,Mobiluncus,2050,3127,996685,0,188,uncultured Mobiluncus sp.,293425,0,996685,0,3315
NZ_CABPWA010000001.1,104,Peptostreptococcus,1257,1,999896,0,103,uncultured Peptostreptococcus sp.,169971,0,999896,0,104
NZ_CAJTJS010000001.1,15449,Prevotella,838,12191,972051,921,14837,uncultured Prevotella sp.,159272,0,984551,0,15449
NZ_CAMNMG010000001.1,291,Streptococcus,1301,57428,942245,8,319,uncultured Streptococcus sp.,83427,0,999709,0,291
NZ_CALHUL010000006.1,17100,Treponema,157,14846,982803,14,2337,uncultured Treponema sp.,162155,0,982900,0,17100
NZ_CP020566.1,155471,Veillonella,29465,185542,813705,1,752,Veillonella atypica,39777,154682,844519,10,789
NZ_LR134375.1,30161,Veillonella,29465,185542,813705,1,752,Veillonella dispar,39778,28966,969838,1,1195
NZ_AP022321.1,130,Veillonella,29465,185542,813705,1,752,Veillonella nakazawae,2682456,124,999836,34,6
NZ_CP019721.1,462,Veillonella,29465,185542,813705,1,752,Veillonella parvula,29466,459,999392,146,3
NZ_JAGZUH010000001.1,70,Veillonella,29465,185542,813705,1,752,Veillonella sp.,1926307,0,999930,0,70
