accession_id,total_reads,genus,genus_taxid,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_true_positive,species_true_negative,species_false_positive,species_false_negative
CP097095.1,2975,Actinomyces,1654,8375,977438,75,14112,Actinomyces graevenitzii,55565,0,997025,0,2975
NZ_LT635457.1,1753,Actinomyces,1654,8375,977438,75,14112,Actinomyces pacaensis,1852377,1743,998213,34,10
NZ_CAKAHJ010000001.1,11511,Actinomyces,1654,8375,977438,75,14112,uncultured Actinomyces sp.,249061,0,988489,0,11511
NZ_CP124548.1,5948,Actinomyces,1654,8375,977438,75,14112,Actinomyces israelii,1659,5926,994044,8,22
NZ_CP012072.1,7994,Schaalia,2529408,13607,976188,9119,1086,Schaalia meyeri,52773,7960,991764,242,34
NZ_CP033459.1,12980,Pseudoprevotella,2884814,12913,987000,20,67,Pseudoprevotella muciniphila,2133944,12913,987000,20,67
CAKAFU010000002.1,1711,Alloprevotella,1283313,0,998289,0,1711,Alloprevotella tannerae,76122,0,998289,0,1711
NZ_CP032823.1,3108,Aliarcobacter,2321111,3093,996886,6,15,Aliarcobacter cryaerophilus,28198,3090,996888,4,18
NZ_CP036550.1,427,Bacteroides,816,5096,994043,481,380,Bacteroides fragilis,817,413,999034,539,14
NZ_CP040630.1,5049,Bacteroides,816,5096,994043,481,380,Bacteroides sp. PHL 2737,2162637,80,994951,0,4969
NZ_CP102541.1,166,Bifidobacterium,1678,166,999793,41,0,Bifidobacterium longum,216816,154,999828,6,12
NZ_CP049272.1,6775,Campylobacter,194,13673,986190,51,86,Campylobacter concisus,199,6745,993213,12,30
NZ_CP082871.1,3439,Campylobacter,194,13673,986190,51,86,Campylobacter hominis,76517,3425,996560,1,14
NZ_CP012544.1,2785,Campylobacter,194,13673,986190,51,86,Campylobacter showae,204,2775,997172,43,10
NZ_CALGPY010000005.1,760,Campylobacter,194,13673,986190,51,86,uncultured Campylobacter sp.,218934,0,999240,0,760
NZ_CP022386.1,3395,Capnocytophaga,1016,10388,989547,21,44,Capnocytophaga gingivalis,1017,3379,996605,0,16
NZ_CP022384.1,3373,Capnocytophaga,1016,10388,989547,21,44,Capnocytophaga leadbetteri,327575,3291,996627,0,82
NZ_CP022379.1,3664,Capnocytophaga,1016,10388,989547,21,44,Capnocytophaga sputigena,1019,3624,996332,4,40
ACIL03000013.1,4970,Catonella,43996,0,995030,0,4970,Catonella morbi,43997,0,995030,0,4970
NC_001464.1,5534,Pospiviroid,185753,5513,994466,0,21,Citrus exocortis viroid,12890,5513,994466,0,21
NZ_CP073092.1,7710,Corynebacterium,1716,32831,966746,166,257,Corynebacterium tuberculostearicum,38304,7535,992287,3,175
NZ_CP101133.1,9289,Corynebacterium,1716,32831,966746,166,257,Corynebacterium pseudotuberculosis,1719,9235,990704,7,54
NZ_CP100372.1,2118,Corynebacterium,1716,32831,966746,166,257,Corynebacterium pseudodiphtheriticum,37637,2062,997871,11,56
NZ_CP063195.1,9327,Corynebacterium,1716,32831,966746,166,257,Corynebacterium jeikeium,38289,8974,990672,1,353
NZ_CP100361.1,1884,Corynebacterium,1716,32831,966746,166,257,Corynebacterium propinquum,43769,1857,998111,5,27
NZ_CP024931.1,1849,Corynebacterium,1716,32831,966746,166,257,Corynebacterium striatum,43770,1778,998144,7,71
NZ_AP027140.1,911,Corynebacterium,1716,32831,966746,166,257,Corynebacterium ulcerans,65058,754,999088,1,157
NC_001472.1,7620,Enterovirus,12059,36457,946283,0,17260,Enterovirus B,138949,12113,973965,49,13873
MT157224.1,886,Enterovirus,12059,36457,946283,0,17260,Human rhinovirus sp.,169066,0,999114,0,886
NC_038311.1,8154,Enterovirus,12059,36457,946283,0,17260,Rhinovirus A,147711,8121,991778,68,33
NC_009996.1,6375,Enterovirus,12059,36457,946283,0,17260,Rhinovirus C,463676,6355,993625,0,20
OQ842458.1,3709,Enterovirus,12059,36457,946283,0,17260,Enterovirus B,138949,12113,973965,49,13873
NC_038307.1,2960,Enterovirus,12059,36457,946283,0,17260,Enterovirus B,138949,12113,973965,49,13873
OQ842451.1,6962,Enterovirus,12059,36457,946283,0,17260,Enterovirus B,138949,12113,973965,49,13873
OQ919261.1,1359,Enterovirus,12059,36457,946283,0,17260,Enterovirus B,138949,12113,973965,49,13873
OQ842410.1,5442,Enterovirus,12059,36457,946283,0,17260,Enterovirus A,138948,1056,993664,894,4386
NC_038308.1,5791,Enterovirus,12059,36457,946283,0,17260,Enterovirus D,138951,5765,994173,36,26
JQ041368.1,713,Enterovirus,12059,36457,946283,0,17260,Enterovirus B,138949,12113,973965,49,13873
EF174468.1,2663,Enterovirus,12059,36457,946283,0,17260,Enterovirus B,138949,12113,973965,49,13873
