read_accession_id,read_accession_total_count,root,kraken_classified_root,superkingdom,kraken_classified_superkingdom,phylum,kraken_classified_phylum,class,kraken_classified_class,order,kraken_classified_order,family,kraken_classified_family,genus,kraken_classified_genus,species,kraken_classified_species
CP097095.1,12069,root,1804,Bacteria,1780,Actinomycetota,1553,Actinomycetes,1543,Actinomycetales,757,Actinomycetaceae,757,Actinomyces,378,Actinomyces graevenitzii,0
NZ_CP033459.1,9027,root,9024,Bacteria,9024,Bacteroidota,9024,Bacteroidia,9022,Bacteroidales,9021,Prevotellaceae,9021,Pseudoprevotella,9018,Pseudoprevotella muciniphila,9018
NZ_CP036550.1,7916,root,7916,Bacteria,7916,Bacteroidota,7915,Bacteroidia,7848,Bacteroidales,7848,Bacteroidaceae,7697,Bacteroides,7669,Bacteroides fragilis,7448
CAKAFU010000002.1,39,root,6,Bacteria,6,Bacteroidota,5,Bacteroidia,5,Bacteroidales,5,Prevotellaceae,3,Alloprevotella,0,Alloprevotella tannerae,0
NZ_CP012544.1,2241,root,2240,Bacteria,2240,Campylobacterota,2240,Epsilonproteobacteria,2240,Campylobacterales,2240,Campylobacteraceae,2240,Campylobacter,2240,Campylobacter showae,2208
NZ_CP049272.1,352,root,351,Bacteria,351,Campylobacterota,351,Epsilonproteobacteria,351,Campylobacterales,351,Campylobacteraceae,351,Campylobacter,351,Campylobacter concisus,350
NZ_CP082871.1,40,root,40,Bacteria,40,Campylobacterota,40,Epsilonproteobacteria,40,Campylobacterales,40,Campylobacteraceae,40,Campylobacter,40,Campylobacter hominis,40
NZ_CP022386.1,96,root,96,Bacteria,96,Bacteroidota,96,Flavobacteriia,96,Flavobacteriales,96,Flavobacteriaceae,96,Capnocytophaga,96,Capnocytophaga gingivalis,95
NZ_CP022384.1,13431,root,13393,Bacteria,13392,Bacteroidota,13390,Flavobacteriia,13382,Flavobacteriales,13382,Flavobacteriaceae,13374,Capnocytophaga,13371,Capnocytophaga leadbetteri,12165
NZ_CP022379.1,134,root,133,Bacteria,133,Bacteroidota,133,Flavobacteriia,133,Flavobacteriales,133,Flavobacteriaceae,133,Capnocytophaga,133,Capnocytophaga sputigena,127
NZ_CP028101.1,950,root,945,Bacteria,944,Fusobacteriota,942,Fusobacteriia,942,Fusobacteriales,942,Fusobacteriaceae,942,Fusobacterium,942,Fusobacterium nucleatum,681
NZ_CP024703.1,36097,root,35897,Bacteria,35762,Fusobacteriota,35726,Fusobacteriia,35726,Fusobacteriales,35726,Fusobacteriaceae,35676,Fusobacterium,35666,Fusobacterium pseudoperiodonticum,32058
NZ_CP083637.1,28380,root,28265,Bacteria,28225,Bacillota,28179,Bacilli,28155,Bacillales,28120,unclassified Bacillales family,0,Gemella,28098,Gemella haemolysans,27897
NZ_CP031243.1,3702,root,3702,Bacteria,3702,Pseudomonadota,3702,Gammaproteobacteria,3698,Pasteurellales,3692,Pasteurellaceae,3692,Haemophilus,3653,Haemophilus haemolyticus,3207
