read_accession_id,taxid,count
NZ_CP033459.1,2133944,1585
NZ_CP033459.1,171552,1
CAKAFU010000002.1,2,1
CAKAFU010000002.1,712471,1
CAKAFU010000002.1,85006,1
CAKAFU010000002.1,1236517,1
CAKAFU010000002.1,2650158,1
CAKAFU010000002.1,34305,1
CAKAFU010000002.1,469,1
CAKAFU010000002.1,28129,1
CAKAFU010000002.1,393921,1
CAKAFU010000002.1,838,1
CAKAFU010000002.1,2662364,1
CAKAFU010000002.1,89153,1
CAKAFU010000002.1,28119,1
CAKAFU010000002.1,2893885,1
CAKAFU010000002.1,171552,1
CAKAFU010000002.1,3141539,1
CAKAFU010000002.1,470565,1
NZ_CP032823.1,1032070,95
NZ_CP036550.1,817,29
NZ_CP036550.1,171549,1
NZ_CP102541.1,216816,24
NZ_CP102541.1,1682,104
NZ_CP102541.1,1678,20
NZ_CP049272.1,199,430
NZ_CP049272.1,360104,3
NZ_CP049272.1,194,1
NZ_CP012544.1,204,20
NZ_CP022386.1,1017,50
NZ_CP022379.1,1019,28
ACIL03000013.1,2625420,1
ACIL03000013.1,1437201,1
ACIL03000013.1,3039116,1
ACIL03000013.1,1239,1
ACIL03000013.1,1783272,1
ACIL03000013.1,81947,1
ACIL03000013.1,105841,1
ACIL03000013.1,58024,1
ACIL03000013.1,2779518,1
ACIL03000013.1,1522,1
ACIL03000013.1,171438,1
ACIL03000013.1,45851,1
ACIL03000013.1,186801,1
ACIL03000013.1,572511,1
ACIL03000013.1,185007,1
NZ_CP018196.1,859,38
NZ_CP018196.1,143387,199
NZ_CP028101.1,851,118
NZ_CP028101.1,76857,2
NZ_CP028101.1,1583098,1
NZ_CP028101.1,76856,4
NZ_CP028101.1,848,4
NZ_CP028101.1,525283,3
NZ_CP028101.1,2663009,1
NZ_CP028101.1,285729,1
NZ_CP024703.1,2663009,20
NZ_CP083637.1,1379,341
NZ_CP031243.1,726,698
NZ_CP031243.1,866630,1
NZ_CP031243.1,724,11
NZ_CP031243.1,727,2
NZ_CP031243.1,712,1
NZ_CP031243.1,1224,1
NZ_AP018768.1,727,865
NZ_AP018768.1,724,13
NZ_AP018768.1,712,1
NZ_AP018768.1,1232659,4
NZ_AP018768.1,1334187,1
NZ_AP018768.1,262728,1
NZ_AP018768.1,1295140,1
NZ_AP018768.1,262727,1
NZ_AP018768.1,725,1
NZ_CP038817.1,735,411603
NZ_CP038817.1,724,422
NZ_CP038817.1,727,246
NZ_CP038817.1,712,146
NZ_CP038817.1,562,7
NZ_CP038817.1,729,11
NZ_CP038817.1,1236,12
NZ_CP038817.1,202948,4
NZ_CP038817.1,485,16
NZ_CP038817.1,712310,34
NZ_CP038817.1,747,10
NZ_CP038817.1,262727,1
NZ_CP038817.1,85581,1
NZ_CP038817.1,573,5
NZ_CP038817.1,726,17
NZ_CP038817.1,1224,4
NZ_CP038817.1,197575,2
NZ_CP038817.1,292486,1
NZ_CP038817.1,738,5
NZ_CP038817.1,3077956,2
NZ_CP038817.1,754256,1
NZ_CP038817.1,676208,1
NZ_CP038817.1,728,1
NZ_CP038817.1,1089444,1
NZ_CP038817.1,2583588,1
NZ_CP038817.1,2895474,1
NZ_CP038817.1,2161747,1
NZ_CP038817.1,48408,1
NZ_CP038817.1,623,1
NZ_CP038817.1,272556,2
NZ_CP038817.1,157339,2
NZ_CP038817.1,44283,2
NZ_CP038817.1,1008297,1
NZ_CP038817.1,714,2
NZ_CP038817.1,713,1
NZ_CP038817.1,230709,1
NZ_CP038817.1,67575,1
NZ_CP038817.1,715,3
NZ_CP038817.1,505341,1
NZ_CP038817.1,91347,1
NZ_CP038817.1,641,1
NZ_CP038817.1,1505596,1
NZ_CP038817.1,613,1
NZ_CP038817.1,1454584,1
NZ_CP038817.1,75985,6
NZ_CP038817.1,1443036,1
NZ_CP038817.1,249188,1
NZ_CP038817.1,38294,1
NZ_CP038817.1,138074,3
NZ_CP038817.1,299767,1
NZ_CP038817.1,281310,2
NZ_CP038817.1,1199245,1
NZ_CP038817.1,115545,1
NZ_CP038817.1,202947,2
NZ_CP038817.1,539329,1
NZ_CP038817.1,2911526,1
NZ_CP038817.1,487,1
NZ_CP038817.1,47735,1
NZ_CP038817.1,557723,2
NZ_CP038817.1,731,1
NZ_CP038817.1,416916,1
NZ_CP038817.1,58712,1
NZ_CP038817.1,97481,1
NZ_CP038817.1,51161,1
NZ_CP038817.1,588,1
NZ_CP038817.1,1275971,1
NZ_CP038817.1,272843,1
NZ_CP038817.1,611,1
NZ_CP038817.1,221402,1
NZ_CP038817.1,730,2
NZ_CP038817.1,28144,1
NZ_CP038817.1,881260,1
NZ_CP035368.2,729,416
NZ_CP035368.2,862965,3
NZ_CP035368.2,724,1
NZ_CP065999.1,502,38901
NZ_CP065999.1,481,86
NZ_CP065999.1,467262,1
NZ_CP065999.1,1224,28
