parent_taxid,level,taxid,name,kraken_classifed_reads,NT_rPM
1653,1,1716,Corynebacterium,81496.0,81496
1716,2,43769,Corynebacterium propinquum,19418.0,19418
1716,2,1719,Corynebacterium pseudotuberculosis,15735.0,15734
1716,2,65058,Corynebacterium ulcerans,15662.0,15661
1716,2,38289,Corynebacterium jeikeium,14795.0,14795
1716,2,37637,Corynebacterium pseudodiphtheriticum,3604.0,3604
1716,2,43770,Corynebacterium striatum,3421.0,3421
1716,2,38304,Corynebacterium tuberculostearicum,2441.0,2441
1716,2,2320431,Corynebacterium silvaticum,25.0,25
1716,2,3026968,Corynebacterium ramonii,18.0,18
1716,1,2624378,unclassified Corynebacterium,12.0,12
2624378,2,3017361,Corynebacterium sp. SCR221107,4.0,4
2624378,2,3081222,Corynebacterium sp. UMB2355A,1.0,1
2624378,2,3074378,Corynebacterium sp. Z-1,1.0,1
2624378,2,3062461,Corynebacterium sp. BD556,1.0,1
2624378,2,3059081,Corynebacterium sp. P4-C1,1.0,1
2624378,2,3059080,Corynebacterium sp. P3-F1,1.0,1
1716,2,441501,Corynebacterium massiliense,8.0,8
1716,2,131318,Corynebacterium felinum,8.0,8
1716,2,1336740,Corynebacterium atrinae,6.0,6
1716,2,2488819,Corynebacterium endometrii,5.0,5
1716,2,38305,Corynebacterium vitaeruminis,5.0,5
1716,2,1471400,Corynebacterium pelargi,5.0,5
1716,2,258224,Corynebacterium resistens,5.0,5
1716,2,1758466,Corynebacterium faecale,4.0,4
1716,2,1223514,Corynebacterium humireducens,4.0,4
1716,2,160386,Corynebacterium casei,4.0,4
1716,2,1032851,Corynebacterium nuruki,4.0,4
1716,2,61592,Corynebacterium durum,4.0,4
1716,2,3049799,Corynebacterium breve,3.0,3
1716,2,1724,Corynebacterium renale,3.0,3
1716,2,161895,Corynebacterium phocae,3.0,3
1716,2,161899,Corynebacterium singulare,3.0,3
1716,2,1721,Corynebacterium callunae,3.0,3
1716,2,225326,Corynebacterium halotolerans,3.0,3
1716,2,1717,Corynebacterium diphtheriae,3.0,3
1716,2,43765,Corynebacterium amycolatum,3.0,3
1716,2,227319,Corynebacterium ciconiae,2.0,2
1716,2,699041,Corynebacterium hindlerae,2.0,2
1716,2,191610,Corynebacterium atypicum,2.0,2
1716,2,187491,Corynebacterium glaucum,2.0,2
1716,2,1050174,Corynebacterium epidermidicanis,2.0,2
1716,2,163202,Corynebacterium appendicis,2.0,2
1716,2,575200,Corynebacterium maris,2.0,2
1716,2,401472,Corynebacterium ureicelerivorans,2.0,2
1716,2,2506452,Corynebacterium suranareeae,2.0,2
1716,2,2883169,Corynebacterium uberis,2.0,2
1716,2,136857,Corynebacterium testudinoris,2.0,2
1716,2,1414719,Corynebacterium jeddahense,2.0,2
1716,2,35755,Corynebacterium kutscheri,2.0,2
1716,2,38302,Corynebacterium mycetoides,2.0,2
1716,2,2487892,Corynebacterium urogenitale,2.0,2
1716,2,2079234,Corynebacterium gerontici,2.0,2
1716,2,38284,Corynebacterium accolens,2.0,2
1716,2,43771,Corynebacterium urealyticum,2.0,2
1716,2,2041036,Corynebacterium gottingense,2.0,2
1716,2,1979527,Corynebacterium kefirresidentii,2.0,2
1716,2,1852390,Corynebacterium fournieri,2.0,2
1716,2,1232427,Corynebacterium ihumii,1.0,1
