read_accession_id,read_accession_total_count,root,kraken_classified_root,superkingdom,kraken_classified_superkingdom,phylum,kraken_classified_phylum,class,kraken_classified_class,order,kraken_classified_order,family,kraken_classified_family,genus,kraken_classified_genus,species,kraken_classified_species
CP097095.1,2975,root,1238,Bacteria,1204,Actinomycetota,1036,Actinomycetes,1031,Actinomycetales,546,Actinomycetaceae,546,Actinomyces,357,Actinomyces graevenitzii,0
NZ_LT635457.1,1753,root,1743,Bacteria,1743,Actinomycetota,1743,Actinomycetes,1743,Actinomycetales,1743,Actinomycetaceae,1743,Actinomyces,1743,Actinomyces pacaensis,1743
NZ_CAKAHJ010000001.1,11511,root,9956,Bacteria,9894,Actinomycetota,9668,Actinomycetes,9662,Actinomycetales,9125,Actinomycetaceae,9125,Actinomyces,57,uncultured Actinomyces sp.,0
NZ_CP124548.1,5948,root,5926,Bacteria,5926,Actinomycetota,5926,Actinomycetes,5926,Actinomycetales,5926,Actinomycetaceae,5926,Actinomyces,5926,Actinomyces israelii,5926
NZ_CP012072.1,7994,root,7960,Bacteria,7960,Actinomycetota,7960,Actinomycetes,7960,Actinomycetales,7960,Actinomycetaceae,7960,Schaalia,7960,Schaalia meyeri,7960
NZ_CP033459.1,12980,root,12925,Bacteria,12925,Bacteroidota,12925,Bacteroidia,12916,Bacteroidales,12916,Prevotellaceae,12916,Pseudoprevotella,12913,Pseudoprevotella muciniphila,12913
CAKAFU010000002.1,1711,root,560,Bacteria,495,Bacteroidota,403,Bacteroidia,356,Bacteroidales,348,Prevotellaceae,255,Alloprevotella,0,Alloprevotella tannerae,0
NZ_CP032823.1,3108,root,3095,Bacteria,3095,Campylobacterota,3095,Epsilonproteobacteria,3095,Campylobacterales,3095,Arcobacteraceae,3095,Aliarcobacter,3093,Aliarcobacter cryaerophilus,3090
NZ_CP036550.1,427,root,426,Bacteria,426,Bacteroidota,426,Bacteroidia,426,Bacteroidales,426,Bacteroidaceae,419,Bacteroides,415,Bacteroides fragilis,413
NZ_CP040630.1,5049,root,5027,Bacteria,5027,Bacteroidota,5027,Bacteroidia,4989,Bacteroidales,4989,Bacteroidaceae,4720,Bacteroides,4681,Bacteroides sp. PHL 2737,80
NZ_CP102541.1,166,root,166,Bacteria,166,Actinomycetota,166,Actinomycetes,166,Bifidobacteriales,166,Bifidobacteriaceae,166,Bifidobacterium,166,Bifidobacterium longum,154
NZ_CP049272.1,6775,root,6747,Bacteria,6747,Campylobacterota,6747,Epsilonproteobacteria,6747,Campylobacterales,6747,Campylobacteraceae,6747,Campylobacter,6747,Campylobacter concisus,6745
NZ_CP082871.1,3439,root,3428,Bacteria,3426,Campylobacterota,3426,Epsilonproteobacteria,3426,Campylobacterales,3426,Campylobacteraceae,3426,Campylobacter,3426,Campylobacter hominis,3425
NZ_CP012544.1,2785,root,2778,Bacteria,2778,Campylobacterota,2778,Epsilonproteobacteria,2778,Campylobacterales,2778,Campylobacteraceae,2778,Campylobacter,2778,Campylobacter showae,2775
NZ_CALGPY010000005.1,760,root,726,Bacteria,723,Campylobacterota,722,Epsilonproteobacteria,722,Campylobacterales,722,Campylobacteraceae,722,Campylobacter,722,uncultured Campylobacter sp.,0
NZ_CP022386.1,3395,root,3386,Bacteria,3386,Bacteroidota,3386,Flavobacteriia,3386,Flavobacteriales,3386,Flavobacteriaceae,3386,Capnocytophaga,3386,Capnocytophaga gingivalis,3379
NZ_CP022384.1,3373,root,3356,Bacteria,3356,Bacteroidota,3356,Flavobacteriia,3356,Flavobacteriales,3356,Flavobacteriaceae,3355,Capnocytophaga,3355,Capnocytophaga leadbetteri,3291
NZ_CP022379.1,3664,root,3648,Bacteria,3648,Bacteroidota,3648,Flavobacteriia,3648,Flavobacteriales,3648,Flavobacteriaceae,3647,Capnocytophaga,3647,Capnocytophaga sputigena,3624
