parent_taxid,level,taxid,name,kraken_classifed_reads,NT_rPM
543,1,544,Citrobacter,14221.0,14221
544,2,545,Citrobacter koseri,5447.0,5447
544,1,1344959,Citrobacter freundii complex,1663.0,1663
1344959,2,546,Citrobacter freundii,268.0,268
1344959,2,1639133,Citrobacter portucalensis,50.0,50
1344959,2,57706,Citrobacter braakii,34.0,34
1344959,2,1748967,Citrobacter cronae,7.0,7
1344959,2,133448,Citrobacter youngae,6.0,6
1344959,2,67827,Citrobacter werkmanii,3.0,3
1344959,1,2816438,unclassified Citrobacter freundii complex,2.0,2
2816438,2,1686380,Citrobacter sp. MGH105,1.0,1
2816438,2,2077147,Citrobacter freundii complex sp. CFNIH3,1.0,1
1344959,2,67828,Citrobacter gillenii,1.0,1
544,1,2644389,unclassified Citrobacter,25.0,25
2644389,2,2742624,Citrobacter sp. RHB25-C09,6.0,6
2644389,2,1573676,Citrobacter sp. R56,3.0,3
2644389,2,2742662,Citrobacter sp. RHBSTW-00696,1.0,1
2644389,2,2942480,Citrobacter sp. XT1-2-2,1.0,1
2644389,2,2861802,Citrobacter sp. Colony219,1.0,1
2644389,2,2861801,Citrobacter sp. Colony322,1.0,1
2644389,2,1703250,Citrobacter sp. CRE-46,1.0,1
2644389,2,2742625,Citrobacter sp. RHB35-C17,1.0,1
2644389,2,2742653,Citrobacter sp. RHBSTW-00524,1.0,1
2644389,2,2742627,Citrobacter sp. RHB36-C18,1.0,1
2644389,2,2742675,Citrobacter sp. RHBSTW-00986,1.0,1
544,2,35703,Citrobacter amalonaticus,6.0,6
544,2,2562449,Citrobacter tructae,6.0,6
544,2,2546350,Citrobacter arsenatis,5.0,5
544,2,1563222,Citrobacter pasteurii,3.0,3
544,2,67824,Citrobacter farmeri,2.0,2
544,2,67825,Citrobacter rodentium,2.0,2
544,2,2971264,Citrobacter enshiensis,2.0,2
544,2,1914243,Citrobacter europaeus,1.0,1
2890311,1,570,Klebsiella,7199.0,7199
570,2,1463165,Klebsiella quasipneumoniae,1168.0,1168
570,2,244366,Klebsiella variicola,443.0,443
570,2,571,Klebsiella oxytoca,375.0,375
570,2,573,Klebsiella pneumoniae,138.0,138
570,2,548,Klebsiella aerogenes,13.0,13
570,2,2026240,Klebsiella quasivariicola,11.0,11
570,2,2489010,Klebsiella africana,9.0,9
570,2,1259973,Klebsiella electrica,5.0,5
570,1,2608929,unclassified Klebsiella,4.0,4
2608929,2,2897413,Klebsiella sp. KPN54798,1.0,1
2608929,2,2834819,Klebsiella sp. A52,1.0,1
570,2,1134687,Klebsiella michiganensis,2.0,2
570,2,2153354,Klebsiella huaxiensis,2.0,2
2890311,1,160674,Raoultella,2175.0,2175
160674,2,575,Raoultella planticola,1245.0,1245
160674,2,54291,Raoultella ornithinolytica,148.0,148
160674,2,577,Raoultella terrigena,1.0,1
160674,1,2627600,unclassified Raoultella,1.0,1
2627600,2,2923366,Raoultella sp. HC6,1.0,1
543,1,83654,Leclercia,9078.0,9078
83654,2,83655,Leclercia adecarboxylata,5730.0,5730
83654,1,2627398,unclassified Leclercia,22.0,22
2627398,2,2714951,Leclercia sp. 29361,13.0,13
2627398,2,1920116,Leclercia sp. LSNIH3,2.0,2
2627398,2,2282309,Leclercia sp. W17,2.0,2
2627398,2,2282310,Leclercia sp. W6,2.0,2
2627398,2,1920114,Leclercia sp. LSNIH1,1.0,1
2627398,2,2898725,Leclercia sp. G3L,1.0,1
83654,2,2815358,Leclercia pneumoniae,5.0,5
543,1,547,Enterobacter,5238.0,5238
547,1,354276,Enterobacter cloacae complex,1359.0,1359
354276,2,158836,Enterobacter hormaechei,178.0,178
354276,2,550,Enterobacter cloacae,18.0,18
354276,1,2757714,unclassified Enterobacter cloacae complex,16.0,16
2757714,2,2027919,Enterobacter cloacae complex sp.,11.0,11
2757714,2,1329823,Enterobacter sp. MGH 14,1.0,1
2757714,2,2969431,Enterobacter cloacae complex sp. R_G8,1.0,1
2757714,2,1329841,Enterobacter sp. BIDMC 29,1.0,1
2757714,2,2798729,Enterobacter cloacae complex sp. AR_0002,1.0,1
354276,2,1812935,Enterobacter roggenkampii,13.0,13
354276,2,61645,Enterobacter asburiae,11.0,11
354276,2,69218,Enterobacter cancerogenus,7.0,7
354276,2,299767,Enterobacter ludwigii,4.0,4
354276,2,208224,Enterobacter kobei,3.0,3
354276,2,2071710,Enterobacter sichuanensis,3.0,3
354276,2,3029761,Enterobacter pasteurii,1.0,1
547,1,2608935,unclassified Enterobacter,14.0,14
2608935,2,1848517,Enterobacter sp. LU1,1.0,1
2608935,2,2720029,Enterobacter sp. DNB-S2,1.0,1
2608935,2,2724468,Enterobacter sp. JUb54,1.0,1
2608935,2,2565914,Enterobacter sp. 18A13,1.0,1
2608935,2,2500132,Enterobacter sp. N18-03635,1.0,1
2608935,2,2831892,Enterobacter sp. JBIWA008,1.0,1
2608935,2,2976431,Enterobacter sp. CP102,1.0,1
2608935,2,2831891,Enterobacter sp. JBIWA005,1.0,1
2608935,2,1827481,Enterobacter sp. ODB01,1.0,1
2608935,2,2831890,Enterobacter sp. JBIWA003,1.0,1
2608935,2,3080020,Enterobacter sp. JJBC,1.0,1
547,2,539813,Enterobacter mori,7.0,7
547,2,881260,Enterobacter bugandensis,6.0,6
547,2,2478464,Enterobacter oligotrophicus,3.0,3
547,2,2494702,Enterobacter huaxiensis,3.0,3
547,2,885040,Enterobacter soli,2.0,2
547,2,2529381,Enterobacter wuhouensis,1.0,1
543,1,413496,Cronobacter,3480.0,3480
413496,2,28141,Cronobacter sakazakii,3147.0,3147
413496,2,413497,Cronobacter dublinensis,3.0,3
413496,2,413503,Cronobacter malonaticus,2.0,2
413496,2,1163710,Cronobacter condimenti,2.0,2
413496,2,535744,Cronobacter universalis,1.0,1
543,1,561,Escherichia,64.0,64
561,2,562,Escherichia coli,61.0,61
561,2,208962,Escherichia albertii,1.0,1
543,1,590,Salmonella,21.0,21
590,2,28901,Salmonella enterica,20.0,20
36866,2,2675797,Enterobacteriaceae endosymbiont of Plateumaris sericea,3.0,3
36866,2,2675787,Enterobacteriaceae endosymbiont of Donacia tomentosa,3.0,3
36866,2,2675795,Enterobacteriaceae endosymbiont of Plateumaris pusilla,2.0,2
36866,2,2675776,Enterobacteriaceae endosymbiont of Donacia crassipes,1.0,1
84564,1,203804,Candidatus Blochmanniella,3.0,3
203804,1,711328,unclassified Candidatus Blochmanniella,1.0,1
711328,2,2681987,Blochmannia endosymbiont of Colobopsis nipponica,1.0,1
146507,1,568987,Candidatus Hamiltonella,1.0,1
146507,1,568988,Candidatus Regiella,1.0,1
568988,1,3077955,unclassified Candidatus Regiella,1.0,1
3077955,2,3077956,Candidatus Regiella endosymbiont of Tuberolachnus salignus,1.0,1
146507,2,1199245,secondary endosymbiont of Ctenarytaina eucalypti,1.0,1
84563,1,801,Symbiopectobacterium,1.0,1
801,2,2871826,Symbiopectobacterium purcellii,1.0,1
84563,1,1302410,Candidatus Annandia,1.0,1
1302410,2,1345117,Candidatus Annandia pinicola,1.0,1
543,1,579,Kluyvera,5.0,5
579,2,61648,Kluyvera intermedia,2.0,2
579,2,51288,Kluyvera ascorbata,1.0,1
579,2,2774055,Kluyvera genomosp. 3,1.0,1
543,1,620,Shigella,5.0,5
620,2,623,Shigella flexneri,4.0,4
620,2,621,Shigella boydii,1.0,1
543,1,1330547,Kosakonia,4.0,4
1330547,2,283686,Kosakonia radicincitans,1.0,1
543,1,158483,Cedecea,3.0,3
158483,2,158822,Cedecea neteri,2.0,2
158483,1,2649846,unclassified Cedecea,1.0,1
2649846,2,2545798,Cedecea sp. FDAARGOS_727,1.0,1
543,1,1335483,Shimwellia,2.0,2
1335483,2,563,Shimwellia blattae,2.0,2
543,1,1330546,Pluralibacter,2.0,2
1330546,2,61647,Pluralibacter gergoviae,1.0,1
1330546,2,1334193,[Enterobacter] lignolyticus,1.0,1
543,1,1330545,Lelliottia,2.0,2
1330545,2,61646,Lelliottia amnigena,1.0,1
1330545,1,2642424,unclassified Lelliottia,1.0,1
543,1,2815296,Jejubacter,2.0,2
2815296,2,2579935,Jejubacter calystegiae,2.0,2
543,1,2726810,Scandinavium,1.0,1
2726810,2,1851514,Scandinavium goeteborgense,1.0,1
543,1,158851,Trabulsiella,1.0,1
158851,2,379893,Trabulsiella odontotermitis,1.0,1
1903414,1,583,Proteus,12861.0,12861
583,2,585,Proteus vulgaris,6470.0,6470
583,2,102862,Proteus penneri,5035.0,5035
583,2,584,Proteus mirabilis,25.0,25
583,2,1574161,Proteus terrae,21.0,21
583,2,2050967,Proteus faecis,9.0,9
583,2,183417,Proteus hauseri,8.0,8
583,1,257482,unclassified Proteus (in: enterobacteria),7.0,7
257482,2,2697019,Proteus sp. ZN5,3.0,3
257482,2,1921565,Proteus sp. CD3,2.0,2
257482,2,2883107,Proteus sp. NMG38-2,2.0,2
583,2,1987580,Proteus columbae,4.0,4
583,2,3034648,Proteus appendicitidis,2.0,2
1903414,1,586,Providencia,3557.0,3557
586,2,588,Providencia stuartii,605.0,605
586,1,2633465,unclassified Providencia,13.0,13
2633465,2,3015951,Providencia sp. 21OH12SH02B-Prov,9.0,9
2633465,2,2828763,Providencia sp. R33,2.0,2
2633465,2,2949878,Providencia sp. PROV175,1.0,1
2633465,2,2939731,Providencia sp. PROV188,1.0,1
586,2,2923283,Providencia manganoxydans,10.0,10
586,2,333965,Providencia vermicola,6.0,6
586,2,333962,Providencia heimbachae,4.0,4
586,2,587,Providencia rettgeri,3.0,3
586,2,126385,Providencia alcalifaciens,3.0,3
586,2,158850,Providencia rustigianii,2.0,2
586,2,516075,Providencia sneebia,1.0,1
586,2,3053982,Providencia zhijiangensis,1.0,1
1903414,1,637,Arsenophonus,10.0,10
637,1,2627083,unclassified Arsenophonus,6.0,6
2627083,2,3041619,Arsenophonus sp. aPb,2.0,2
2627083,2,235559,Arsenophonus endosymbiont of Aleurodicus dispersus,1.0,1
2627083,2,3066235,Arsenophonus endosymbiont of Crataerina pallida,1.0,1
637,2,634113,Candidatus Arsenophonus lipoptenae,2.0,2
637,2,638,Arsenophonus nasoniae,1.0,1
1903414,1,626,Xenorhabdus,6.0,6
626,2,628,Xenorhabdus nematophila,1.0,1
626,2,40576,Xenorhabdus bovienii,1.0,1
626,2,290110,Xenorhabdus budapestensis,1.0,1
626,2,351671,Xenorhabdus doucetiae,1.0,1
1903414,1,29487,Photorhabdus,4.0,4
29487,2,171438,Photorhabdus akhurstii,1.0,1
29487,2,230089,Photorhabdus thracensis,1.0,1
29487,2,291112,Photorhabdus asymbiotica,1.0,1
1903409,1,53335,Pantoea,9532.0,9532
53335,1,1654067,Pantoea agglomerans group,9097.0,9097
1654067,2,549,Pantoea agglomerans,9097.0,9097
53335,1,2630326,unclassified Pantoea,8.0,8
2630326,2,3028622,Pantoea sp. Lij88,4.0,4
2630326,2,2575375,Pantoea sp. SO10,1.0,1
2630326,2,2675223,Pantoea sp. RSPAM1,1.0,1
53335,2,470934,Pantoea vagans,4.0,4
53335,2,3074822,Pantoea alfalfae,3.0,3
53335,2,59814,Pantoea dispersa,2.0,2
53335,2,3098669,Pantoea soli,1.0,1
53335,2,470931,Pantoea anthophila,1.0,1
53335,2,470932,Pantoea deleyi,1.0,1
53335,2,470933,Pantoea eucalypti,1.0,1
53335,2,553,Pantoea ananatis,1.0,1
1903409,1,32199,Buchnera,16.0,16
32199,2,9,Buchnera aphidicola,16.0,16
1903409,1,551,Erwinia,8.0,8
551,2,68334,Erwinia aphidicola,3.0,3
551,2,1922217,Candidatus Erwinia haradaeae,2.0,2
551,2,2681984,Erwinia sorbitola,2.0,2
551,2,552,Erwinia amylovora,1.0,1
1903409,1,82986,Tatumella,1.0,1
82986,2,53336,Tatumella citrea,1.0,1
1903409,1,2100764,Mixta,1.0,1
2100764,2,1615494,Mixta intestinalis,1.0,1
1903412,1,568,Hafnia,8972.0,8972
568,2,569,Hafnia alvei,6860.0,6860
568,2,546367,Hafnia paralvei,6.0,6
568,1,2621980,unclassified Hafnia,1.0,1
2621980,2,1848580,Hafnia sp. CBA7124,1.0,1
1903412,1,82982,Obesumbacterium,3.0,3
82982,2,82983,Obesumbacterium proteus,3.0,3
1903412,1,635,Edwardsiella,2.0,2
635,2,93378,Edwardsiella hoshinae,1.0,1
1903411,1,613,Serratia,8218.0,8218
613,2,615,Serratia marcescens,5776.0,5776
613,1,2647522,unclassified Serratia (in: enterobacteria),16.0,16
2647522,2,2420306,Serratia sp. FDAARGOS_506,9.0,9
2647522,2,488142,Serratia sp. SCBI,2.0,2
2647522,2,1327989,Serratia sp. FS14,1.0,1
2647522,2,2485839,Serratia sp. LS-1,1.0,1
2647522,2,2785630,Serratia sp. CMO1,1.0,1
613,2,300181,Serratia ureilytica,6.0,6
613,2,2741499,Serratia surfactantfaciens,5.0,5
613,2,614,Serratia liquefaciens,5.0,5
613,2,138074,Serratia symbiotica,5.0,5
613,2,28151,Serratia proteamaculans,5.0,5
613,2,618,Serratia odorifera,5.0,5
613,2,82996,Serratia plymuthica,2.0,2
613,2,42906,Serratia entomophila,2.0,2
613,2,2597702,Serratia rhizosphaerae,1.0,1
613,2,2703794,Serratia nevei,1.0,1
1903411,1,629,Yersinia,7.0,7
629,1,1649845,Yersinia pseudotuberculosis complex,4.0,4
1649845,2,632,Yersinia pestis,2.0,2
1649845,2,633,Yersinia pseudotuberculosis,2.0,2
629,2,630,Yersinia enterocolitica,2.0,2
629,2,29483,Yersinia aldovae,1.0,1
1903411,1,1565532,Rouxiella,2.0,2
1565532,2,1513468,Rouxiella chamberiensis,1.0,1
1565532,2,1646377,Rouxiella badensis,1.0,1
1903411,1,41201,Ewingella,1.0,1
41201,2,41202,Ewingella americana,1.0,1
1903410,1,204037,Dickeya,3.0,3
204037,2,204042,Dickeya zeae,2.0,2
204037,2,204039,Dickeya dianthicola,1.0,1
1903410,1,122277,Pectobacterium,2.0,2
122277,2,180957,Pectobacterium brasiliense,1.0,1
122277,2,1507808,Pectobacterium actinidiae,1.0,1
3120698,1,745410,Gallaecimonas,2.0,2
745410,2,2291597,Gallaecimonas mangrovi,1.0,1
2812006,1,84565,Sodalis,1.0,1
84565,2,1239307,Sodalis praecaptivus,1.0,1
712,1,724,Haemophilus,39013.0,39013
724,2,729,Haemophilus parainfluenzae,10284.0,10284
724,2,735,Haemophilus parahaemolyticus,8423.0,8423
724,2,727,Haemophilus influenzae,7526.0,7526
724,2,249188,Haemophilus pittmaniae,6623.0,6623
724,2,726,Haemophilus haemolyticus,3379.0,3379
724,1,2609962,unclassified Haemophilus,15.0,15
2609962,2,712310,Haemophilus sp. oral taxon 036,15.0,15
724,2,197575,Haemophilus aegyptius,1.0,1
712,1,416916,Aggregatibacter,10.0,10
416916,2,732,Aggregatibacter aphrophilus,4.0,4
416916,2,714,Aggregatibacter actinomycetemcomitans,3.0,3
416916,1,2639383,unclassified Aggregatibacter,1.0,1
712,1,745,Pasteurella,8.0,8
745,2,747,Pasteurella multocida,6.0,6
745,2,754,Pasteurella dagmatis,1.0,1
712,1,713,Actinobacillus,7.0,7
713,2,51161,Actinobacillus delphinicola,6.0,6
713,2,230709,Actinobacillus genomosp. 2,1.0,1
712,1,75984,Mannheimia,3.0,3
75984,2,75985,Mannheimia haemolytica,2.0,2
75984,2,85402,Mannheimia granulomatis,1.0,1
712,1,2094023,Glaesserella,3.0,3
2094023,2,738,Glaesserella parasuis,3.0,3
712,1,155493,Gallibacterium,2.0,2
155493,2,750,Gallibacterium anatis,1.0,1
155493,2,505341,Gallibacterium salpingitidis,1.0,1
712,1,292486,Avibacterium,2.0,2
292486,2,728,Avibacterium paragallinarum,2.0,2
712,1,1520333,Vespertiliibacter,2.0,2
1520333,2,1443036,Vespertiliibacter pulmonis,2.0,2
712,1,476528,Bibersteinia,1.0,1
476528,2,47735,Bibersteinia trehalosi,1.0,1
712,1,697331,Basfia,1.0,1
697331,2,157673,[Mannheimia] succiniciproducens,1.0,1
468,1,469,Acinetobacter,11398.0,11398
469,1,909768,Acinetobacter calcoaceticus/baumannii complex,3862.0,3862
909768,2,48296,Acinetobacter pittii,2045.0,2045
909768,2,106654,Acinetobacter nosocomialis,685.0,685
909768,2,470,Acinetobacter baumannii,449.0,449
909768,2,1530123,Acinetobacter seifertii,47.0,47
909768,2,471,Acinetobacter calcoaceticus,23.0,23
909768,2,1785128,Acinetobacter lactucae,7.0,7
469,2,28090,Acinetobacter lwoffii,1560.0,1560
469,1,196816,unclassified Acinetobacter,49.0,49
196816,2,2923375,Acinetobacter sp. XS-4,5.0,5
196816,2,2983215,Acinetobacter sp. ESL0695,4.0,4
196816,2,2836181,Acinetobacter sp. BHS4,3.0,3
196816,2,2913495,Acinetobacter sp. AHP123,3.0,3
196816,2,1636603,Acinetobacter sp. ACNIH1,3.0,3
196816,2,2953738,Acinetobacter sp. Z1,2.0,2
196816,2,2708348,Acinetobacter sp. WY4,2.0,2
