accession_id,total_reads,genus,genus_taxid,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_true_positive,species_true_negative,species_false_positive,species_false_negative
NZ_LT635457.1,704,Actinomyces,1654,734,1852523,3,4666,Actinomyces pacaensis,1852377,699,1857215,7,5
NZ_CP033459.1,54,Pseudoprevotella,2884814,54,1857872,0,0,Pseudoprevotella muciniphila,2133944,54,1857872,0,0
CAKAFU010000002.1,84,Alloprevotella,1283313,0,1857842,0,84,Alloprevotella tannerae,76122,0,1857842,0,84
NZ_CP102541.1,2330,Bifidobacterium,1678,2330,1855592,4,0,Bifidobacterium longum,216816,1750,1855596,0,580
NZ_CP049272.1,30102,Campylobacter,194,30130,1827790,0,6,Campylobacter concisus,199,30034,1827824,0,68
MN164484.2,6,Guelphvirus,2732062,6,1857920,0,0,Escherichia virus ECH1,2593465,0,1857920,0,6
NZ_CP028101.1,80,Fusobacterium,848,246,1857659,17,4,Fusobacterium nucleatum,851,76,1857829,17,4
NZ_CP024703.1,76,Fusobacterium,848,246,1857659,17,4,Fusobacterium pseudoperiodonticum,2663009,74,1857850,0,2
NZ_CP083637.1,10854,Gemella,1378,10824,1847070,2,30,Gemella haemolysans,1379,10807,1847072,0,47
NZ_AP018768.1,71,Haemophilus,724,10089,1847758,2,77,Haemophilus influenzae,727,60,1857852,3,11
NZ_CP035368.2,10031,Haemophilus,724,10089,1847758,2,77,Haemophilus parainfluenzae,729,9899,1847895,0,132
NZ_CP038817.1,64,Haemophilus,724,10089,1847758,2,77,Haemophilus parahaemolyticus,735,63,1857862,0,1
NC_013203.1,26981,Lancefieldella,2767353,26967,1830945,0,14,Lancefieldella parvula,1382,26967,1830945,0,14
NZ_LR134378.1,20228,Lautropia,47670,20210,1837698,0,18,Lautropia mirabilis,47671,20210,1837698,0,18
NZ_AP019831.1,40,Leptotrichia,32067,25690,1832114,0,122,Leptotrichia trevisanii,109328,40,1857812,74,0
NZ_AP019829.2,25772,Leptotrichia,32067,25690,1832114,0,122,Leptotrichia wadei,157687,24541,1832154,0,1231
NZ_CP101528.1,290,Micrococcus,1269,289,1857636,0,1,Micrococcus luteus,1270,233,1857636,0,57
NZ_CP014234.1,82,Moraxella,475,81,1857844,0,1,Moraxella osloensis,34062,81,1857844,0,1
NZ_CP053939.1,22882,Neisseria,482,22737,1835044,0,145,Neisseria mucosa,488,22210,1835044,0,672
NZ_CP024696.1,180,Prevotella,838,43491,1814291,16,128,Prevotella intermedia,28131,171,1857724,22,9
NZ_CP072363.1,43265,Prevotella,838,43491,1814291,16,128,Prevotella jejuni,1177574,41940,1814661,0,1325
NZ_CP072390.1,62,Prevotella,838,43491,1814291,16,128,Prevotella scopos,589437,60,1857854,10,2
NZ_CP079201.1,140,Rothia,32207,747985,1109642,17,282,Rothia dentocariosa,2047,139,1857768,18,1
NZ_CP079822.1,748093,Rothia,32207,747985,1109642,17,282,Rothia mucilaginosa,43675,747466,1109787,46,627
NZ_CP102197.1,49346,Schaalia,2529408,49217,1806285,2295,129,Schaalia odontolytica,1660,49202,1806485,2095,144
NZ_CP060204.1,100,Selenomonas,970,98097,1759828,0,1,Selenomonas timonae,2754044,99,1857826,0,1
NZ_CP012071.1,97998,Selenomonas,970,98097,1759828,0,1,Selenomonas sp. oral taxon 478,712538,90742,1759928,0,7256
NZ_LS483444.1,102,Streptococcus,1301,222967,1634618,59,282,Streptococcus australis,113107,93,1857714,110,9
NZ_CP012646.1,221832,Streptococcus,1301,222967,1634618,59,282,Streptococcus mitis,28037,198405,1636089,5,23427
NC_015875.1,587,Streptococcus,1301,222967,1634618,59,282,Streptococcus pseudopneumoniae,257758,492,1857142,197,95
NZ_CP079193.1,204,Streptococcus,1301,222967,1634618,59,282,Streptococcus suis,1307,202,1857643,79,2
NZ_CAKAHJ010000001.1,4696,Actinomyces,1654,734,1852523,3,4666,uncultured Actinomyces sp.,249061,0,1853230,0,4696
NZ_CALGPY010000005.1,34,Campylobacter,194,30130,1827790,0,6,uncultured Campylobacter sp.,218934,0,1857892,0,34
NZ_CAJTJS010000001.1,112,Prevotella,838,43491,1814291,16,128,uncultured Prevotella sp.,159272,0,1857814,0,112
NZ_CAKOJV010000001.1,94,Fusobacterium,848,246,1857659,17,4,uncultured Fusobacterium sp.,159267,0,1857832,0,94
NZ_CAKAIK010000001.1,34,Rothia,32207,747985,1109642,17,282,uncultured Rothia sp.,316088,0,1857892,0,34
NZ_CAMNMG010000001.1,524,Streptococcus,1301,222967,1634618,59,282,uncultured Streptococcus sp.,83427,0,1857402,0,524
NZ_CALHUL010000006.1,1742,Treponema,157,1530,1856184,0,212,uncultured Treponema sp.,162155,0,1856184,0,1742
NZ_CP020566.1,5432,Veillonella,29465,536697,1319876,0,1353,Veillonella atypica,39777,5398,1852043,451,34
NZ_LR134375.1,395165,Veillonella,29465,536697,1319876,0,1353,Veillonella dispar,39778,364109,1462382,379,31056
NZ_AP022321.1,132076,Veillonella,29465,536697,1319876,0,1353,Veillonella nakazawae,2682456,114582,1725390,460,17494
NZ_CP019721.1,5129,Veillonella,29465,536697,1319876,0,1353,Veillonella parvula,29466,5082,1850646,2151,47
NZ_JAGZUH010000001.1,248,Veillonella,29465,536697,1319876,0,1353,Veillonella sp.,1926307,0,1857678,0,248
