read_accession_id,count
CP097095.1,23
NZ_LT635457.1,26
NZ_CP033459.1,2998
CAKAFU010000002.1,4653
NZ_CP036550.1,3006
NZ_CP049272.1,784
NZ_CP012544.1,70870
NZ_CP022386.1,1975
NZ_CP022384.1,36405
NZ_CP022379.1,122
NZ_CP073092.1,2474
NZ_CP018196.1,76
NZ_CP028101.1,246
NZ_CP024703.1,91621
NZ_CP083637.1,788
NZ_CP031243.1,954
NZ_AP018768.1,671
NZ_CP038817.1,90912
NZ_CP035368.2,179531
NC_001781.1,3
NC_013203.1,39
NZ_LR134378.1,62
NZ_CP101528.1,36
NZ_CP030820.1,2169
NZ_CP078113.1,719
NZ_CP053939.1,12488
NZ_CP073114.1,194185
NZ_CP092048.1,442
NC_019960.1,62
NZ_CP024696.1,259
NZ_CP072363.1,1063
AP018050.1,14934
NZ_CP072390.1,23
NZ_CP079201.1,42
NZ_CP079822.1,110200
NZ_CP102197.1,42271
NZ_CP012646.1,98852
NZ_CP102583.1,14062
NC_015875.1,8855
NZ_CP079193.1,35
NZ_CP009227.1,26
NZ_CAKAHJ010000001.1,1364
NZ_CALGPY010000005.1,1613
NZ_CAKOJV010000001.1,158
NZ_CABPWA010000001.1,39
NZ_UQJH01000001.1,61
NZ_CAJTJS010000001.1,226
NZ_CAKAIK010000001.1,237
NZ_CAMNMG010000001.1,615
NZ_CALHUL010000006.1,187
NZ_CP020566.1,1190
NZ_LR134375.1,1141
NZ_AP022321.1,568
NZ_CP019721.1,22
