read_accession_id,read_accession_total_count,root,kraken_classified_root,superkingdom,kraken_classified_superkingdom,phylum,kraken_classified_phylum,class,kraken_classified_class,order,kraken_classified_order,family,kraken_classified_family,genus,kraken_classified_genus,species,kraken_classified_species
NZ_LT635457.1,49,root,49,Bacteria,49,Actinomycetota,49,Actinomycetes,49,Actinomycetales,49,Actinomycetaceae,49,Actinomyces,49,Actinomyces pacaensis,49
NZ_CP033459.1,271,root,271,Bacteria,271,Bacteroidota,271,Bacteroidia,271,Bacteroidales,271,Prevotellaceae,271,Pseudoprevotella,271,Pseudoprevotella muciniphila,271
NZ_CP036550.1,2167,root,2167,Bacteria,2167,Bacteroidota,2166,Bacteroidia,2160,Bacteroidales,2160,Bacteroidaceae,2124,Bacteroides,2120,Bacteroides fragilis,2090
NZ_CP049272.1,428,root,428,Bacteria,428,Campylobacterota,428,Epsilonproteobacteria,428,Campylobacterales,428,Campylobacteraceae,428,Campylobacter,428,Campylobacter concisus,428
NZ_CP012544.1,2808,root,2808,Bacteria,2808,Campylobacterota,2808,Epsilonproteobacteria,2808,Campylobacterales,2808,Campylobacteraceae,2808,Campylobacter,2808,Campylobacter showae,2801
NZ_CP022386.1,11896,root,11896,Bacteria,11895,Bacteroidota,11895,Flavobacteriia,11895,Flavobacteriales,11895,Flavobacteriaceae,11895,Capnocytophaga,11895,Capnocytophaga gingivalis,11858
NZ_CP022384.1,5142,root,5140,Bacteria,5140,Bacteroidota,5140,Flavobacteriia,5139,Flavobacteriales,5139,Flavobacteriaceae,5138,Capnocytophaga,5138,Capnocytophaga leadbetteri,4992
NZ_CP022379.1,87,root,87,Bacteria,87,Bacteroidota,87,Flavobacteriia,87,Flavobacteriales,87,Flavobacteriaceae,87,Capnocytophaga,87,Capnocytophaga sputigena,87
NZ_CP028101.1,376,root,376,Bacteria,376,Fusobacteriota,376,Fusobacteriia,376,Fusobacteriales,376,Fusobacteriaceae,376,Fusobacterium,376,Fusobacterium nucleatum,339
NZ_CP024703.1,98896,root,98876,Bacteria,98843,Fusobacteriota,98840,Fusobacteriia,98840,Fusobacteriales,98840,Fusobacteriaceae,98823,Fusobacterium,98823,Fusobacterium pseudoperiodonticum,95740
NZ_CP083637.1,76,root,76,Bacteria,76,Bacillota,76,Bacilli,76,Bacillales,76,unclassified Bacillales family,0,Gemella,76,Gemella haemolysans,76
NZ_CP031243.1,47,root,47,Bacteria,47,Pseudomonadota,47,Gammaproteobacteria,47,Pasteurellales,47,Pasteurellaceae,47,Haemophilus,47,Haemophilus haemolyticus,46
NZ_AP018768.1,139,root,139,Bacteria,139,Pseudomonadota,139,Gammaproteobacteria,139,Pasteurellales,139,Pasteurellaceae,139,Haemophilus,139,Haemophilus influenzae,130
NZ_CP035368.2,106472,root,106445,Bacteria,106445,Pseudomonadota,106443,Gammaproteobacteria,106425,Pasteurellales,106407,Pasteurellaceae,106407,Haemophilus,106051,Haemophilus parainfluenzae,105447
NC_013203.1,34,root,34,Bacteria,34,Actinomycetota,34,Coriobacteriia,34,Coriobacteriales,34,Atopobiaceae,34,Lancefieldella,34,Lancefieldella parvula,34
NZ_CP101528.1,406,root,406,Bacteria,406,Actinomycetota,406,Actinomycetes,406,Micrococcales,405,Micrococcaceae,404,Micrococcus,404,Micrococcus luteus,323
