parent_taxid,level,taxid,name,kraken_classifed_reads,NT_rPM
481,1,482,Neisseria,1131574,585041
482,2,488,Neisseria mucosa,661141,341820
482,2,490,Neisseria sicca,152432,78809
482,2,28449,Neisseria subflava,90699,46892
482,2,484,Neisseria flavescens,68693,35515
482,2,487,Neisseria meningitidis,45484,23515
482,2,495,Neisseria elongata,10671,5517
482,1,2623750,unclassified Neisseria,8965,4635
2623750,2,641148,Neisseria sp. oral taxon 014,4633,2395
2623750,2,2912188,Neisseria sp. ZJ106,1348,696
2623750,2,655307,Neisseria sp. KEM232,1339,692
2623750,2,2709396,Neisseria sp. ZJ785,923,477
2623750,2,2912675,Neisseria sp. Dent CA1/247,604,312
482,2,485,Neisseria gonorrhoeae,8006,4139
482,2,483,Neisseria cinerea,7572,3914
482,2,486,Neisseria lactamica,7466,3860
482,2,496,Neisseria macacae,4813,2488
482,2,2666100,Neisseria brasiliensis,1098,567
482,2,1853278,Neisseria chenwenguii,1077,556
482,2,492,Neisseria animalis,1061,548
482,2,326522,Neisseria animaloris,825,426
482,2,640030,Neisseria zalophi,683,353
482,2,28091,Neisseria weaveri,635,328
482,2,1853276,Neisseria weixii,574,296
482,2,267212,Neisseria bacilliformis,556,287
482,2,607712,Neisseria shayeganii,463,239
482,2,1815583,Neisseria musculi,425,219
482,2,607711,Neisseria wadsworthii,399,206
482,2,326523,Neisseria zoodegmatis,368,190
482,2,194197,Neisseria dentiae,347,179
482,2,1470200,Neisseria arctica,333,172
482,2,493,Neisseria canis,270,139
482,2,1931275,Neisseria dumasiana,256,132
481,1,212742,Morococcus,1979,1023
212742,2,1056807,Morococcus cerebrosus,1979,1023
481,1,538,Eikenella,1298,671
538,2,539,Eikenella corrodens,1098,567
538,2,2528037,Eikenella exigua,181,93
481,1,32257,Kingella,606,313
32257,2,265175,Kingella potus,204,105
32257,2,502,Kingella denitrificans,200,103
32257,2,504,Kingella kingae,110,56
32257,2,505,Kingella oralis,92,47
481,1,299568,Uruburuella,231,119
299568,2,1282863,Uruburuella testudinis,206,106
299568,2,252130,Uruburuella suis,24,12
481,1,71,Simonsiella,136,70
71,2,72,Simonsiella muelleri,136,70
481,1,2944815,Wielerella,107,55
2944815,2,2917790,Wielerella bovis,107,55
481,1,194195,Alysiella,40,20
194195,2,153491,Alysiella crassa,24,12
194195,2,194196,Alysiella filiformis,7,3
481,1,59,Vitreoscilla,36,18
59,2,1689272,Vitreoscilla massiliensis,12,6
59,2,61,Vitreoscilla stercoraria,6,3
481,1,2593687,Aquella,23,11
2593687,2,2067065,Aquella oligotrophica,23,11
481,1,334107,Conchiformibius,17,8
334107,2,153493,Conchiformibius steedae,17,8
481,1,2898489,Paralysiella,11,5
2898489,2,2809020,Paralysiella testudinis,11,5
481,1,1193515,Snodgrassella,8,4
1193515,2,1196083,Snodgrassella alvi,8,4
481,1,1654931,Crenobacter,2,1
1654931,2,2290923,Crenobacter cavernae,2,1
90153,1,535,Chromobacterium,3,1
535,2,1108595,Chromobacterium vaccinii,1,0
535,2,2605945,Chromobacterium paludis,1,0
535,1,2641838,unclassified Chromobacterium,1,0
2641838,2,2735795,Chromobacterium sp. Beijing,1,0
1499392,1,885864,Jeongeupia,3,1
885864,1,2619593,unclassified Jeongeupia,3,1
2619593,2,1009682,Jeongeupia sp. HS-3,3,1
1499392,1,168470,Laribacter,2,1
168470,2,168471,Laribacter hongkongensis,2,1
1499392,1,400060,Paludibacterium,2,1
400060,2,400061,Paludibacterium yongneupense,1,0
400060,1,2618429,unclassified Paludibacterium,1,0
2618429,2,2806263,Paludibacterium sp. B53371,1,0
1499392,1,187,Aquaspirillum,1,0
187,1,2620219,unclassified Aquaspirillum,1,0
2620219,2,1938604,Aquaspirillum sp. LM1,1,0
119060,1,47670,Lautropia,796,411
47670,2,47671,Lautropia mirabilis,796,411
119060,1,44013,Polynucleobacter,55,28
44013,2,1743174,Polynucleobacter tropicus,27,13
44013,1,2640945,unclassified Polynucleobacter,26,13
2640945,2,2081049,Polynucleobacter sp. AP-Sving-400A-A2,1,0
44013,2,576610,Polynucleobacter necessarius,1,0
44013,2,2527775,Polynucleobacter paneuropaeus,1,0
119060,1,32008,Burkholderia,25,12
32008,1,111527,pseudomallei group,13,6
111527,2,28450,Burkholderia pseudomallei,8,4
111527,2,13373,Burkholderia mallei,4,2
32008,1,87882,Burkholderia cepacia complex,10,5
87882,2,101571,Burkholderia ubonensis,3,1
87882,2,95486,Burkholderia cenocepacia,2,1
87882,2,179879,Burkholderia anthina,2,1
87882,2,87883,Burkholderia multivorans,1,0
87882,2,95485,Burkholderia stabilis,1,0
87882,2,152480,Burkholderia ambifaria,1,0
119060,1,93217,Pandoraea,5,2
93217,2,93220,Pandoraea pnomenusa,3,1
93217,2,2508289,Pandoraea commovens,1,0
119060,1,1822464,Paraburkholderia,5,2
1822464,2,261302,Paraburkholderia phytofirmans,1,0
1822464,2,311231,Paraburkholderia ginsengisoli,1,0
119060,1,48736,Ralstonia,1,0
48736,2,305,Ralstonia solanacearum,1,0
119060,1,106589,Cupriavidus,1,0
106589,2,151783,Cupriavidus campinensis,1,0
119060,1,240411,Chitinimonas,1,0
240411,2,2594795,Chitinimonas arctica,1,0
119060,1,1810868,Mycoavidus,1,0
80864,1,47420,Hydrogenophaga,97,50
47420,1,2610897,unclassified Hydrogenophaga,96,49
2610897,2,1842537,Hydrogenophaga sp. RAC07,93,48
2610897,2,434010,Hydrogenophaga sp. PBL-H3,1,0
2610897,2,795665,Hydrogenophaga sp. PBC,1,0
2610897,2,2806347,Hydrogenophaga sp. SL48,1,0
47420,2,1763535,Hydrogenophaga crassostreae,1,0
80864,1,2490452,Serpentinimonas,21,10
2490452,2,1458425,Serpentinimonas raichei,21,10
80864,1,34072,Variovorax,3,1
34072,1,663243,unclassified Variovorax,3,1
663243,2,2762322,Variovorax sp. PAMC26660,1,0
663243,2,2681552,Variovorax sp. RKNM96,1,0
80864,1,12916,Acidovorax,2,1
12916,2,553814,Acidovorax carolinensis,1,0
12916,1,2684926,unclassified Acidovorax,1,0
2684926,2,2738413,Acidovorax sp. YS12,1,0
80864,1,283,Comamonas,1,0
283,1,2638500,unclassified Comamonas,1,0
2638500,2,2597701,Comamonas sp. NLF-7-7,1,0
80864,1,80865,Delftia,1,0
80865,2,180282,Delftia tsuruhatensis,1,0
2895353,1,75654,Duganella,27,13
75654,2,2728021,Duganella dendranthematis,27,13
2895353,1,149698,Massilia,2,1
149698,2,1141883,Massilia putida,1,0
149698,1,2609279,unclassified Massilia,1,0
2609279,2,2769491,Massilia sp. LPB0304,1,0
75682,1,29580,Janthinobacterium,2,1
29580,1,2610881,unclassified Janthinobacterium,1,0
2610881,2,1236179,Janthinobacterium sp. B9-8,1,0
75682,1,202907,Collimonas,1,0
202907,2,279113,Collimonas pratensis,1,0
506,1,517,Bordetella,5,2
517,2,123899,Bordetella trematum,1,0
517,2,463014,Bordetella flabilis,1,0
517,2,463025,Bordetella bronchialis,1,0
506,1,222,Achromobacter,2,1
222,1,2626865,unclassified Achromobacter,2,1
2626865,2,1758194,Achromobacter sp. AONIH1,1,0
2626865,2,1881016,Achromobacter sp. MFA1 R4,1,0
506,1,106146,Pelistega,1,0
106146,2,2652177,Pelistega ratti,1,0
506,1,305976,Pusillimonas,1,0
305976,1,2640016,unclassified Pusillimonas,1,0
2640016,2,2962065,Pusillimonas sp. M17,1,0
506,1,1100891,Paenalcaligenes,1,0
1100891,2,643674,Paenalcaligenes hominis,1,0
224471,1,54066,Xylophilus,3,1
54066,2,2697032,Xylophilus rhododendri,3,1
224471,1,114248,Tepidimonas,1,0
114248,2,307486,Tepidimonas taiwanensis,1,0
2975441,1,34102,Sphaerotilus,3,1
34102,1,2628234,unclassified Sphaerotilus,3,1
2628234,2,2914710,Sphaerotilus sp. FB-5,3,1
2975441,1,644355,Inhella,1,0
644355,2,392593,Inhella inkyongensis,1,0
995019,1,40544,Sutterella,3,1
40544,2,2584944,Sutterella faecalis,2,1
2008790,1,1938335,Sulfuritortus,14,7
1938335,2,1914471,Sulfuritortus calidifontis,14,7
2008790,1,919,Thiobacillus,1,0
919,2,36861,Thiobacillus denitrificans,1,0
2008793,1,311181,Denitratisoma,1,0
311181,2,311182,Denitratisoma oestradiolicum,1,0
2008794,1,12960,Azoarcus,1,0
12960,1,2629479,unclassified Azoarcus,1,0
2629479,2,748247,Azoarcus sp. KH32C,1,0
2008794,1,2891322,Parazoarcus,1,0
2891322,2,41977,Parazoarcus communis,1,0
2008794,1,2891324,Pseudothauera,1,0
2891324,2,2184083,Pseudothauera hydrothermalis,1,0
75787,1,1769726,Niveibacterium,1,0
1769726,2,2811415,Niveibacterium microcysteis,1,0
2008795,1,73029,Dechloromonas,1,0
73029,1,2633351,unclassified Dechloromonas,1,0
2633351,2,2231055,Dechloromonas sp. HYN0024,1,0
712,1,724,Haemophilus,70332,36362
724,2,729,Haemophilus parainfluenzae,66334,34295
724,2,726,Haemophilus haemolyticus,2986,1543
724,2,727,Haemophilus influenzae,343,177
724,2,735,Haemophilus parahaemolyticus,161,83
724,2,249188,Haemophilus pittmaniae,4,2
724,1,2609962,unclassified Haemophilus,3,1
2609962,2,712310,Haemophilus sp. oral taxon 036,3,1
724,2,730,[Haemophilus] ducreyi,1,0
724,2,197575,Haemophilus aegyptius,1,0
712,1,2094023,Glaesserella,162,83
2094023,2,738,Glaesserella parasuis,162,83
712,1,713,Actinobacillus,129,66
713,2,716,Actinobacillus suis,92,47
713,2,715,Actinobacillus pleuropneumoniae,27,13
713,2,189834,Actinobacillus porcitonsillarum,6,3
713,2,51049,Actinobacillus indolicus,2,1
713,1,2644856,unclassified Actinobacillus,1,0
2644856,2,2774188,Actinobacillus sp. GY-402,1,0
712,1,155493,Gallibacterium,84,43
155493,2,750,Gallibacterium anatis,84,43
712,1,745,Pasteurella,46,23
745,2,747,Pasteurella multocida,43,22
745,2,753,Pasteurella canis,1,0
745,1,2621516,unclassified Pasteurella,1,0
2621516,2,2844383,Pasteurella sp. XG20,1,0
745,2,2827233,Pasteurella atlantica,1,0
712,1,416916,Aggregatibacter,26,13
416916,2,732,Aggregatibacter aphrophilus,9,4
416916,1,2639383,unclassified Aggregatibacter,7,3
2639383,2,2866570,Aggregatibacter sp. Marseille-P9115,5,2
2639383,2,2820817,Aggregatibacter sp. 2125159857,2,1
416916,2,714,Aggregatibacter actinomycetemcomitans,2,1
416916,2,739,Aggregatibacter segnis,1,0
712,1,697331,Basfia,13,6
712,1,75984,Mannheimia,7,3
75984,2,75985,Mannheimia haemolytica,4,2
75984,2,85404,Mannheimia varigena,1,0
75984,2,111844,Mannheimia pernigra,1,0
712,1,1960084,Rodentibacter,5,2
1960084,2,1906744,Rodentibacter heylii,3,1
1960084,2,2778911,Rodentibacter haemolyticus,2,1
712,1,1249016,Otariodibacter,4,2
1249016,2,1032623,Otariodibacter oris,4,2
712,1,109471,Bisgaardia,3,1
109471,2,109472,Bisgaardia hudsonensis,3,1
712,1,214906,Histophilus,2,1
214906,2,731,Histophilus somni,2,1
712,1,476528,Bibersteinia,1,0
476528,2,47735,Bibersteinia trehalosi,1,0
712,1,2899790,Mergibacter,1,0
2899790,2,221402,Mergibacter septicus,1,0
543,1,547,Enterobacter,84,43
547,1,354276,Enterobacter cloacae complex,78,40
354276,2,69218,Enterobacter cancerogenus,69,35
547,2,539813,Enterobacter mori,1,0
