read_accession_id,taxid,count
NZ_CP033459.1,2133944,212
NZ_CP033459.1,976,2
NZ_CP049272.1,199,86
ACIL03000013.1,91061,1
ACIL03000013.1,2763667,2
ACIL03000013.1,2823316,1
ACIL03000013.1,2086584,1
ACIL03000013.1,768710,1
ACIL03000013.1,2,1
ACIL03000013.1,116085,1
ACIL03000013.1,2735528,1
ACIL03000013.1,186802,1
ACIL03000013.1,544,1
NC_001464.1,12890,40
NZ_CP028101.1,851,3364
NZ_CP028101.1,76856,27516
NZ_CP028101.1,76859,342
NZ_CP028101.1,155615,90
NZ_CP028101.1,525283,341
NZ_CP028101.1,848,3057
NZ_CP028101.1,76857,275
NZ_CP028101.1,671211,180
NZ_CP028101.1,2663009,116
NZ_CP028101.1,1583098,180
NZ_CP028101.1,1755100,5
NZ_CP028101.1,285729,154
NZ_CP028101.1,2507161,1
NZ_CP028101.1,2814655,1
NZ_CP028101.1,1307442,40
NZ_CP028101.1,457405,28
NZ_CP028101.1,1307427,41
NZ_CP028101.1,1352,2
NZ_CP028101.1,469607,40
NZ_CP028101.1,1340,3
NZ_CP028101.1,131567,13
NZ_CP028101.1,9606,36
NZ_CP028101.1,1239,1
NZ_CP028101.1,469602,24
NZ_CP028101.1,469601,24
NZ_CP028101.1,1288971,2
NZ_CP028101.1,546269,1
NZ_CP028101.1,469617,2
NZ_CP028101.1,582,1
NZ_CP028101.1,860,7
NZ_CP028101.1,868131,1
NZ_CP028101.1,2,13
NZ_CP028101.1,1307428,6
NZ_CP028101.1,469616,5
NZ_CP028101.1,3003601,1
NZ_CP028101.1,1307444,5
NZ_CP028101.1,143387,5
NZ_CP028101.1,203492,1
NZ_CP028101.1,1458206,1
NZ_CP028101.1,1307443,4
NZ_CP028101.1,28087,1
NZ_CP028101.1,1679721,1
NZ_CP028101.1,94869,1
NZ_CP028101.1,526224,1
NZ_CP028101.1,109328,1
NZ_CP028101.1,332999,1
NZ_CP028101.1,1870884,3
NZ_CP028101.1,2132,1
NZ_CP028101.1,263,2
NZ_CP028101.1,1016,1
NZ_CP028101.1,859,4
NZ_CP028101.1,315358,2
NZ_CP028101.1,218144,1
NZ_CP028101.1,91353,1
NZ_CP028101.1,173,1
NZ_CP028101.1,856,2
NZ_CP028101.1,1870984,1
NZ_CP028101.1,523794,1
NZ_CP028101.1,1056495,1
NZ_CP028101.1,1402861,1
NZ_CP028101.1,250,1
NZ_CP028101.1,1783272,1
NZ_CP028101.1,255507,1
NZ_CP028101.1,549298,1
NZ_CP028101.1,641107,1
NZ_CP028101.1,1115758,1
NZ_CP028101.1,2672570,2
NZ_CP028101.1,53558,1
NZ_CP028101.1,118060,1
NZ_CP028101.1,2564099,1
NZ_CP028101.1,29380,1
NZ_CP028101.1,138,1
NZ_CP028101.1,469615,1
NZ_CP028101.1,1729720,1
NZ_CP083637.1,1379,86
NZ_AP018768.1,727,129
NZ_AP018768.1,724,38
NZ_AP018768.1,726,2
NZ_AP018768.1,1236,1
NZ_AP018768.1,1224,1
NZ_CP038817.1,735,21855
NZ_CP038817.1,712,115
NZ_CP038817.1,724,205
NZ_CP038817.1,1224,9
NZ_CP038817.1,9606,4
NZ_CP038817.1,727,11
NZ_CP038817.1,1236,17
NZ_CP038817.1,730,2
NZ_CP038817.1,1345702,1
NZ_CP038817.1,726,3
NZ_CP038817.1,1301,1
NZ_CP038817.1,584609,1
NZ_CP038817.1,713,1
NZ_CP038817.1,91061,2
NZ_CP038817.1,562,1
NZ_CP038817.1,2778911,1
NZ_CP038817.1,728,1
NZ_CP038817.1,615,1
NZ_CP038817.1,416916,1
NZ_CP038817.1,579112,1
NZ_CP038817.1,729,3
NZ_CP038817.1,485,2
NZ_CP038817.1,714,2
NZ_CP038817.1,712310,2
NZ_CP038817.1,109472,1
NZ_CP038817.1,85402,1
NZ_CP038817.1,720,1
NZ_CP038817.1,1906744,1
NZ_CP036164.1,53458,94723
NZ_CP036164.1,53457,350
NZ_CP036164.1,85006,64
NZ_CP036164.1,2866715,1
NZ_CP036164.1,1760,51
NZ_CP036164.1,85021,30
NZ_CP036164.1,1888,1
NZ_CP036164.1,122358,1
NZ_CP036164.1,1813880,2
NZ_CP036164.1,75385,1
NZ_CP036164.1,2498135,1
NZ_CP036164.1,2762331,1
NZ_CP036164.1,2963431,2
NZ_CP036164.1,2079535,1
NZ_CP036164.1,1224,1
NZ_CP036164.1,85007,1
NZ_CP036164.1,2686304,2
NZ_CP036164.1,46352,1
NZ_CP036164.1,2968083,3
NZ_CP036164.1,2321394,1
NZ_CP036164.1,249188,1
NZ_CP036164.1,146923,1
NZ_CP036164.1,2,1
NZ_CP036164.1,1658671,1
NZ_CP036164.1,2794089,1
NZ_CP036164.1,439334,1
NZ_CP036164.1,2136401,1
NZ_CP036164.1,2697565,1
NZ_CP036164.1,1799,1
NZ_CP036164.1,2933797,1
NZ_CP036164.1,1783272,1
NZ_CP036164.1,2662028,1
NZ_CP036164.1,2831662,1
NZ_LR134378.1,47671,10864
NZ_LR134378.1,1224,6
NZ_LR134378.1,80840,8
NZ_LR134378.1,1085,1
NZ_LR134378.1,28216,1
NZ_LR134378.1,119060,1
NZ_LR134378.1,2812658,1
NZ_LR134378.1,511,2
NZ_LR134378.1,217203,1
NZ_LR134378.1,441620,2
NZ_LR134378.1,1783272,2
NZ_LR134378.1,342113,1
NZ_LR134378.1,9606,1
NZ_CP101528.1,1269,4392
NZ_CP101528.1,1270,9434
NZ_CP101528.1,1268,47
NZ_CP101528.1,85006,21
NZ_CP101528.1,1760,42
NZ_CP101528.1,2856555,16
NZ_CP101528.1,465515,3
NZ_CP101528.1,37921,1
NZ_CP101528.1,566027,6
NZ_CP101528.1,2995171,3
NZ_CP101528.1,1179670,8
NZ_CP101528.1,2583374,1
NZ_CP101528.1,2034,1
NZ_CP101528.1,1224,1
NZ_CP101528.1,257309,1
NZ_CP101528.1,1883,3
NZ_CP101528.1,2774151,1
NZ_CP101528.1,33914,1
NZ_CP101528.1,3009077,1
NZ_CP101528.1,1049583,1
NZ_CP101528.1,1690221,1
NZ_CP101528.1,388357,1
NZ_CP101528.1,656366,1
NZ_CP101528.1,2063,1
NZ_CP101528.1,2014920,1
NZ_CP101528.1,31964,1
NZ_CP101528.1,2836432,1
NZ_CP126965.1,1269,606
NZ_CP126965.1,1224,8
NZ_CP126965.1,85006,154
NZ_CP126965.1,235627,27
NZ_CP126965.1,1270,511
NZ_CP126965.1,2647000,4
NZ_CP126965.1,1047172,1
NZ_CP126965.1,85023,26
NZ_CP126965.1,51201,3
NZ_CP126965.1,1742992,3
NZ_CP126965.1,2830992,1
NZ_CP126965.1,54571,5
NZ_CP126965.1,1839,4
NZ_CP126965.1,2964609,3
NZ_CP126965.1,1,2
NZ_CP126965.1,2,118
NZ_CP126965.1,1760,303
NZ_CP126965.1,2856555,461
NZ_CP126965.1,2606451,3
NZ_CP126965.1,1123251,4
NZ_CP126965.1,2074,4
NZ_CP126965.1,37930,12
NZ_CP126965.1,502025,2
NZ_CP126965.1,2592334,3
NZ_CP126965.1,2694929,1
NZ_CP126965.1,1268,134
NZ_CP126965.1,1774216,5
NZ_CP126965.1,33882,19
NZ_CP126965.1,1276,8
NZ_CP126965.1,2171623,3
NZ_CP126965.1,2795488,2
NZ_CP126965.1,3018929,3
NZ_CP126965.1,2714358,1
NZ_CP126965.1,1079985,1
NZ_CP126965.1,2600159,7
NZ_CP126965.1,446860,19
NZ_CP126965.1,42881,1
NZ_CP126965.1,57493,38
NZ_CP126965.1,756272,1
NZ_CP126965.1,1742989,18
NZ_CP126965.1,2059884,1
NZ_CP126965.1,71999,23
NZ_CP126965.1,257496,3
NZ_CP126965.1,1813880,2
NZ_CP126965.1,2962064,3
NZ_CP126965.1,2908642,2
NZ_CP126965.1,2895818,11
NZ_CP126965.1,1586287,2
NZ_CP126965.1,256821,17
NZ_CP126965.1,1729695,4
NZ_CP126965.1,2985506,3
