read_accession_id,read_accession_total_count,root,kraken_classified_root,superkingdom,kraken_classified_superkingdom,phylum,kraken_classified_phylum,class,kraken_classified_class,order,kraken_classified_order,family,kraken_classified_family,genus,kraken_classified_genus,species,kraken_classified_species
NZ_CP033459.1,206,root,206,Bacteria,206,Bacteroidota,206,Bacteroidia,205,Bacteroidales,205,Prevotellaceae,205,Pseudoprevotella,205,Pseudoprevotella muciniphila,205
NZ_CP049272.1,84,root,84,Bacteria,84,Campylobacterota,84,Epsilonproteobacteria,0,Campylobacterales,84,Campylobacteraceae,84,Campylobacter,84,Campylobacter concisus,84
ACIL03000013.1,168,root,21,Bacteria,19,Bacillota,14,Clostridia,12,Eubacteriales,12,Lachnospiraceae,6,Catonella,0,Catonella morbi,0
NC_001464.1,44,root,44,Viruses,44,unclassified Viruses phylum,0,unclassified Viruses class,0,unclassified Viruses order,0,Pospiviroidae,44,Pospiviroid,44,Citrus exocortis viroid,44
NZ_CP028101.1,35170,root,35129,Bacteria,35110,Fusobacteriota,35092,Fusobacteriia,35092,Fusobacteriales,35092,Fusobacteriaceae,35092,Fusobacterium,35092,Fusobacterium nucleatum,33625
NZ_AP018768.1,168,root,168,Bacteria,168,Pseudomonadota,168,Gammaproteobacteria,168,Pasteurellales,168,Pasteurellaceae,168,Haemophilus,168,Haemophilus influenzae,155
NZ_CP083637.1,84,root,84,Bacteria,84,Bacillota,84,Bacilli,84,Bacillales,84,unclassified Bacillales family,0,Gemella,84,Gemella haemolysans,84
NZ_CP038817.1,21575,root,21574,Bacteria,21574,Pseudomonadota,21572,Gammaproteobacteria,21567,Pasteurellales,21560,Pasteurellaceae,21560,Haemophilus,21498,Haemophilus parahaemolyticus,21385
NZ_CP036164.1,92220,root,92220,Bacteria,92220,Actinomycetota,92220,Actinomycetes,92220,Micrococcales,92211,Intrasporangiaceae,92191,Janibacter,92168,Janibacter limosus,91955
NZ_LR134378.1,10564,root,10564,Bacteria,10563,Pseudomonadota,10562,Betaproteobacteria,10562,Burkholderiales,10562,Burkholderiaceae,10560,Lautropia,10558,Lautropia mirabilis,10558
NZ_CP101528.1,13556,root,13556,Bacteria,13556,Actinomycetota,13554,Actinomycetes,13554,Micrococcales,13541,Micrococcaceae,13535,Micrococcus,13500,Micrococcus luteus,11164
NZ_CP126965.1,8839,root,6090,Bacteria,6047,Actinomycetota,5432,Actinomycetes,5404,Micrococcales,4044,Micrococcaceae,3290,Micrococcus,2236,Micrococcus lylae,0
