read_accession_id,taxid,count
NZ_LT635457.1,1852377,87
NZ_CP033459.1,2133944,106
NZ_CP033459.1,976,1
NZ_CP049272.1,199,42
NZ_CP049272.1,360104,1
ACIL03000013.1,9606,3
ACIL03000013.1,1301,1
ACIL03000013.1,1719132,1
ACIL03000013.1,89152,1
ACIL03000013.1,131567,2
ACIL03000013.1,657313,1
ACIL03000013.1,89014,1
ACIL03000013.1,2759,1
ACIL03000013.1,187493,1
ACIL03000013.1,2016101,1
ACIL03000013.1,82348,1
ACIL03000013.1,13442,1
ACIL03000013.1,773,1
ACIL03000013.1,1276219,1
ACIL03000013.1,45851,1
ACIL03000013.1,3059030,1
ACIL03000013.1,3085636,1
ACIL03000013.1,1150468,1
ACIL03000013.1,186803,1
ACIL03000013.1,424551,1
ACIL03000013.1,79200,1
ACIL03000013.1,185978,1
ACIL03000013.1,166486,1
ACIL03000013.1,186801,2
ACIL03000013.1,90675,1
ACIL03000013.1,3635,1
ACIL03000013.1,1236,1
ACIL03000013.1,112863,1
ACIL03000013.1,1522,1
ACIL03000013.1,2591634,1
NC_001464.1,12890,22
NZ_CP028101.1,76859,208
NZ_CP028101.1,851,16731
NZ_CP028101.1,671211,15
NZ_CP028101.1,848,420
NZ_CP028101.1,525283,205
NZ_CP028101.1,76856,163
NZ_CP028101.1,76857,152
NZ_CP028101.1,285729,79
NZ_CP028101.1,190304,12
NZ_CP028101.1,155615,66
NZ_CP028101.1,2663009,39
NZ_CP028101.1,1583098,26
NZ_CP028101.1,1307442,11
NZ_CP028101.1,1307427,7
NZ_CP028101.1,469602,1
NZ_CP028101.1,860,2
NZ_CP028101.1,469616,1
NZ_CP028101.1,1307428,4
NZ_CP028101.1,859,5
NZ_CP028101.1,469615,1
NZ_CP028101.1,9606,1
NZ_CP028101.1,469601,3
NZ_CP028101.1,2764326,1
NZ_CP028101.1,143387,1
NZ_CP028101.1,3871,1
NZ_CP083637.1,1379,43
NZ_AP018768.1,727,82
NZ_AP018768.1,862964,1
NZ_AP018768.1,724,2
NZ_AP018768.1,712310,1
NZ_CP038817.1,735,11112
NZ_CP038817.1,724,17
NZ_CP038817.1,712,6
NZ_CP038817.1,727,8
NZ_CP038817.1,485,2
NZ_CP038817.1,726,1
NZ_CP038817.1,716,1
NZ_CP038817.1,557723,1
NZ_CP038817.1,730,1
NZ_CP038817.1,729,1
NZ_CP036164.1,53458,47389
NZ_CP036164.1,53457,112
NZ_CP036164.1,1285192,3
NZ_CP036164.1,85021,2
NZ_CP036164.1,103817,1
NZ_CP036164.1,2963431,2
NZ_LR134378.1,47671,5380
NZ_LR134378.1,887898,53
NZ_CP101528.1,1270,6318
NZ_CP101528.1,1269,595
NZ_CP101528.1,1268,10
NZ_CP101528.1,566027,8
NZ_CP101528.1,1273,3
NZ_CP101528.1,574650,4
NZ_CP101528.1,3142261,10
NZ_CP101528.1,1179670,2
NZ_CP101528.1,3101753,14
NZ_CP101528.1,1760,2
NZ_CP101528.1,465515,5
NZ_CP101528.1,1049583,1
NZ_CP101528.1,2856555,10
NZ_CP101528.1,2903667,1
NZ_CP101528.1,1275,1
NZ_CP126965.1,1273,4560
NZ_CP126965.1,1269,11
NZ_CP126965.1,1760,2
NZ_CP073114.1,28449,8434
NZ_CP073114.1,482,169
NZ_CP073114.1,1871109,5
NZ_CP073114.1,488,13
NZ_CP073114.1,481,20
NZ_CP073114.1,487,6
NZ_CP073114.1,3077590,3
NZ_CP073114.1,267212,2
NZ_CP073114.1,2972775,7
NZ_CP073114.1,1095685,1
NZ_CP073114.1,1522312,1
NZ_CP073114.1,485,5
NZ_CP073114.1,489653,1
NZ_CP073114.1,490,2
NZ_CP073114.1,1815583,1
NZ_CP073114.1,483,2
NZ_CP073114.1,2666100,1
NZ_CP073114.1,1931275,1
NZ_CP073114.1,997348,1
NZ_CP073114.1,486,1
NZ_CP073114.1,607711,1
NZ_CP073114.1,641149,1
NZ_CP073114.1,484,1
NZ_CP073114.1,2623750,1
NZ_CP073114.1,495,2
NZ_CP073114.1,2912188,1
NZ_CP073114.1,33053,1
NZ_CP073114.1,662598,1
NZ_CP073114.1,942513,1
NZ_CP092048.1,837,126
NZ_CP092048.1,1403338,3
NC_019960.1,908937,18937
NC_019960.1,171549,106
NC_019960.1,28124,2
NC_019960.1,838,22
NC_019960.1,393921,1
NC_019960.1,837,3
NC_019960.1,28133,2
NZ_CP024696.1,28131,314
NZ_CP024696.1,1122984,2
NZ_CP024696.1,171549,4
NZ_CP024696.1,976,4
NZ_CP079201.1,2047,151
NZ_CP079822.1,43675,543712
NZ_CP079822.1,680646,8061
NZ_CP079822.1,32207,37
NZ_CP079822.1,2830993,1
NZ_CP079822.1,1663,1
NZ_CP079822.1,1268,4
NZ_CP079822.1,2964609,1
NZ_CP079822.1,2047,1
