read_accession_id,count
NZ_CP033459.1,4471
CP097095.1,21
CAKAFU010000002.1,21
NZ_CP036550.1,4439
NZ_CP049272.1,452
NZ_CP012544.1,1624
NZ_CP022384.1,72
ACIL03000013.1,21
NZ_CP028101.1,863
NZ_CP024703.1,195
NZ_CP083637.1,164
NZ_CP031243.1,35728
NZ_AP018768.1,3854
NZ_CP038817.1,82
NZ_CP078113.1,701421
NZ_CP035368.2,534
NZ_LR134378.1,52
NZ_AP019831.1,21
NZ_CP101528.1,278
NZ_CP126965.1,51
NZ_CP030820.1,1591
NZ_CP073114.1,21
NZ_CP092048.1,401
NC_019960.1,103
NZ_CP024696.1,1151
NZ_CP072363.1,62
NZ_CP072390.1,41
NZ_CP079201.1,51
NZ_LS483444.1,31
NZ_CP012646.1,115049
NZ_CP102583.1,33247
NC_015875.1,103
NZ_CP079193.1,185
NZ_CP009227.1,401
NZ_CAKAHJ010000001.1,1172
NZ_CALGPY010000005.1,370
NZ_CAKOJV010000001.1,11069
NZ_CAJTJS010000001.1,77374
NZ_CALHUL010000006.1,1942
NZ_CAMNMG010000001.1,51
NZ_CP020566.1,21
NZ_LR134375.1,21
NZ_AP022321.1,21
NZ_CP019721.1,1034
