parent_taxid,level,taxid,name,kraken_classifed_reads,NT_rPM
481,1,482,Neisseria,576310,301885
482,2,488,Neisseria mucosa,333794,174849
482,2,490,Neisseria sicca,79866,41835
482,2,28449,Neisseria subflava,47615,24941
482,2,484,Neisseria flavescens,35233,18455
482,2,487,Neisseria meningitidis,20817,10904
482,2,495,Neisseria elongata,5628,2948
482,1,2623750,unclassified Neisseria,4729,2477
2623750,2,641148,Neisseria sp. oral taxon 014,2479,1298
2623750,2,2912188,Neisseria sp. ZJ106,686,359
2623750,2,655307,Neisseria sp. KEM232,685,358
2623750,2,2709396,Neisseria sp. ZJ785,514,269
2623750,2,2912675,Neisseria sp. Dent CA1/247,289,151
482,2,485,Neisseria gonorrhoeae,4259,2230
482,2,483,Neisseria cinerea,4014,2102
482,2,486,Neisseria lactamica,3828,2005
482,2,496,Neisseria macacae,2460,1288
482,2,2666100,Neisseria brasiliensis,603,315
482,2,1853278,Neisseria chenwenguii,530,277
482,2,492,Neisseria animalis,502,262
482,2,326522,Neisseria animaloris,416,217
482,2,640030,Neisseria zalophi,353,184
482,2,267212,Neisseria bacilliformis,322,168
482,2,28091,Neisseria weaveri,315,165
482,2,1853276,Neisseria weixii,269,140
482,2,607712,Neisseria shayeganii,256,134
482,2,607711,Neisseria wadsworthii,235,123
482,2,1815583,Neisseria musculi,219,114
482,2,326523,Neisseria zoodegmatis,209,109
482,2,194197,Neisseria dentiae,202,105
482,2,1931275,Neisseria dumasiana,162,84
482,2,1470200,Neisseria arctica,160,83
482,2,493,Neisseria canis,160,83
481,1,212742,Morococcus,1032,540
212742,2,1056807,Morococcus cerebrosus,1032,540
481,1,538,Eikenella,688,360
538,2,539,Eikenella corrodens,572,299
538,2,2528037,Eikenella exigua,108,56
481,1,32257,Kingella,418,218
32257,2,502,Kingella denitrificans,183,95
32257,2,265175,Kingella potus,123,64
32257,2,504,Kingella kingae,58,30
32257,2,505,Kingella oralis,54,28
481,1,299568,Uruburuella,128,67
299568,2,1282863,Uruburuella testudinis,119,62
299568,2,252130,Uruburuella suis,9,4
481,1,71,Simonsiella,78,40
71,2,72,Simonsiella muelleri,78,40
481,1,2944815,Wielerella,53,27
2944815,2,2917790,Wielerella bovis,53,27
481,1,194195,Alysiella,17,8
194195,2,153491,Alysiella crassa,12,6
481,1,59,Vitreoscilla,15,7
59,2,1689272,Vitreoscilla massiliensis,3,1
481,1,334107,Conchiformibius,12,6
334107,2,153493,Conchiformibius steedae,12,6
481,1,2898489,Paralysiella,12,6
2898489,2,2809020,Paralysiella testudinis,12,6
481,1,1193515,Snodgrassella,10,5
1193515,2,1196083,Snodgrassella alvi,10,5
481,1,2593687,Aquella,3,1
2593687,2,2067065,Aquella oligotrophica,3,1
481,1,1654931,Crenobacter,1,0
1654931,2,2290923,Crenobacter cavernae,1,0
1499392,1,885864,Jeongeupia,4,2
885864,1,2619593,unclassified Jeongeupia,4,2
2619593,2,1009682,Jeongeupia sp. HS-3,4,2
1499392,1,187,Aquaspirillum,1,0
187,1,2620219,unclassified Aquaspirillum,1,0
2620219,2,1938604,Aquaspirillum sp. LM1,1,0
119060,1,47670,Lautropia,176,92
47670,2,47671,Lautropia mirabilis,176,92
119060,1,32008,Burkholderia,8,4
32008,1,111527,pseudomallei group,4,2
111527,2,57975,Burkholderia thailandensis,2,1
111527,2,13373,Burkholderia mallei,1,0
111527,2,28450,Burkholderia pseudomallei,1,0
