read_accession_id,read_accession_total_count,root,kraken_classified_root,superkingdom,kraken_classified_superkingdom,phylum,kraken_classified_phylum,class,kraken_classified_class,order,kraken_classified_order,family,kraken_classified_family,genus,kraken_classified_genus,species,kraken_classified_species
NZ_CP033459.1,18298,root,18287,Bacteria,18285,Bacteroidota,18281,Bacteroidia,18272,Bacteroidales,18272,Prevotellaceae,18268,Pseudoprevotella,18262,Pseudoprevotella muciniphila,18262
CAKAFU010000002.1,68481,root,9535,Bacteria,9516,Bacteroidota,8468,Bacteroidia,7888,Bacteroidales,7883,Prevotellaceae,6608,Alloprevotella,0,Alloprevotella tannerae,0
NZ_CP036550.1,207,root,207,Bacteria,207,Bacteroidota,207,Bacteroidia,207,Bacteroidales,207,Bacteroidaceae,202,Bacteroides,202,Bacteroides fragilis,195
NZ_CP049272.1,95486,root,95203,Bacteria,95185,Campylobacterota,95173,Epsilonproteobacteria,0,Campylobacterales,95173,Campylobacteraceae,95173,Campylobacter,95173,Campylobacter concisus,94728
NZ_CP012544.1,762,root,760,Bacteria,760,Campylobacterota,760,Epsilonproteobacteria,0,Campylobacterales,760,Campylobacteraceae,760,Campylobacter,760,Campylobacter showae,755
NZ_CP022386.1,150,root,150,Bacteria,150,Bacteroidota,150,Flavobacteriia,150,Flavobacteriales,150,Flavobacteriaceae,150,Capnocytophaga,150,Capnocytophaga gingivalis,149
NZ_CP022379.1,156,root,156,Bacteria,156,Bacteroidota,156,Flavobacteriia,156,Flavobacteriales,156,Flavobacteriaceae,156,Capnocytophaga,156,Capnocytophaga sputigena,152
ACIL03000013.1,102,root,5,Bacteria,5,Bacillota,4,Clostridia,4,Eubacteriales,4,Lachnospiraceae,3,Catonella,0,Catonella morbi,0
NZ_CP028101.1,19869,root,19662,Bacteria,19643,Fusobacteriota,19622,Fusobacteriia,19622,Fusobacteriales,19622,Fusobacteriaceae,19618,Fusobacterium,19616,Fusobacterium nucleatum,17464
NZ_CP024703.1,8678,root,8586,Bacteria,8578,Fusobacteriota,8566,Fusobacteriia,8566,Fusobacteriales,8566,Fusobacteriaceae,8555,Fusobacterium,8555,Fusobacterium pseudoperiodonticum,7798
NZ_CP083637.1,62056,root,61505,Bacteria,61469,Bacillota,61394,Bacilli,61364,Bacillales,61296,unclassified Bacillales family,0,Gemella,61283,Gemella haemolysans,60980
NZ_CP031243.1,63977,root,63956,Bacteria,63937,Pseudomonadota,63886,Gammaproteobacteria,63794,Pasteurellales,63699,Pasteurellaceae,63699,Haemophilus,63244,Haemophilus haemolyticus,56484
NZ_AP018768.1,4038,root,4035,Bacteria,4035,Pseudomonadota,4034,Gammaproteobacteria,4033,Pasteurellales,4030,Pasteurellaceae,4030,Haemophilus,4005,Haemophilus influenzae,3203
NZ_CP038817.1,829128,root,828504,Bacteria,828414,Pseudomonadota,828270,Gammaproteobacteria,827724,Pasteurellales,826910,Pasteurellaceae,826910,Haemophilus,822241,Haemophilus parahaemolyticus,814348
NZ_CP035368.2,132265,root,132204,Bacteria,132203,Pseudomonadota,132174,Gammaproteobacteria,132118,Pasteurellales,131968,Pasteurellaceae,131968,Haemophilus,130984,Haemophilus parainfluenzae,128817
MT157224.1,1488,root,53,Viruses,50,Pisuviricota,50,Pisoniviricetes,50,Picornavirales,50,Picornaviridae,50,Enterovirus,50,Human rhinovirus sp.,0
