parent_taxid,level,taxid,name,kraken_classifed_reads,NT_rPM
1268,1,32207,Rothia,380089.0,380089
32207,2,43675,Rothia mucilaginosa,379581.0,379581
32207,2,2047,Rothia dentocariosa,468.0,468
32207,2,172042,Rothia aeria,6.0,6
32207,1,2689056,unclassified Rothia (in: high G+C Gram-positive bacteria),3.0,3
2689056,2,3047030,Rothia sp. SD9660Na,2.0,2
2689056,2,2810516,Rothia sp. ZJ932,1.0,1
32207,2,169480,Rothia amarae,2.0,2
32207,2,396015,Rothia terrae,2.0,2
32207,2,85336,Rothia nasimurium,1.0,1
1268,1,1269,Micrococcus,19013.0,19013
1269,2,1270,Micrococcus luteus,17281.0,17281
1269,1,2620948,unclassified Micrococcus,67.0,67
2620948,2,3101753,Micrococcus sp. HOU1,27.0,27
2620948,2,3142261,Micrococcus sp. 2A,23.0,23
2620948,2,1179670,Micrococcus sp. KBS0714,11.0,11
2620948,2,2995171,Micrococcus sp. SL257,5.0,5
1269,2,566027,Micrococcus yunnanensis,19.0,19
1269,2,1273,Micrococcus lylae,16.0,16
1269,2,2856555,Micrococcus porci,16.0,16
1269,2,574650,Micrococcus terreus,7.0,7
1268,1,1663,Arthrobacter,66.0,66
1663,1,235627,unclassified Arthrobacter,35.0,35
235627,2,1704044,Arthrobacter sp. ERGS1:01,5.0,5
235627,2,1118963,Arthrobacter sp. Rue61a,3.0,3
235627,2,2830983,Arthrobacter sp. NtRootA1,2.0,2
235627,2,2654190,Arthrobacter sp. JZ12,2.0,2
235627,2,2079227,Arthrobacter sp. PGP41,2.0,2
235627,2,2017685,Arthrobacter sp. PM3,2.0,2
235627,2,2830997,Arthrobacter sp. NicSoilB4,1.0,1
235627,2,2830992,Arthrobacter sp. StoSoilB5,1.0,1
235627,2,2861279,Arthrobacter sp. PAMC25284,1.0,1
235627,2,2879617,Arthrobacter sp. FW305-BF8,1.0,1
235627,2,2879618,Arthrobacter sp. FW306-2-2C-D06B,1.0,1
235627,2,2578107,Arthrobacter sp. KBS0702,1.0,1
235627,2,2575374,Arthrobacter sp. 24S4-2,1.0,1
235627,2,1494608,Arthrobacter sp. PAMC 25486,1.0,1
235627,2,3140789,Arthrobacter sp. TMP15,1.0,1
235627,2,2964610,Arthrobacter sp. zg-Y1171,1.0,1
235627,2,2987701,Arthrobacter sp. YA7-1,1.0,1
235627,2,2996261,Arthrobacter sp. MMS18-M83,1.0,1
1663,2,656366,Arthrobacter alpinus,7.0,7
1663,2,1670,Arthrobacter citreus,2.0,2
1663,2,37928,Arthrobacter crystallopoietes,2.0,2
1663,2,2964609,Arthrobacter jinronghuae,2.0,2
1663,2,2895818,Arthrobacter antioxidans,2.0,2
1663,2,409290,Arthrobacter oryzae,2.0,2
1663,2,2211210,Arthrobacter dokdonellae,2.0,2
1663,2,2886936,Arthrobacter zhangbolii,2.0,2
1663,2,199136,Arthrobacter koreensis,1.0,1
1663,2,2486855,Arthrobacter sulfonylureivorans,1.0,1
1663,2,2816859,Arthrobacter sunyaminii,1.0,1
1268,1,57493,Kocuria,13.0,13
57493,2,1049583,Kocuria indica,7.0,7
57493,2,71999,Kocuria palustris,2.0,2
57493,2,72000,Kocuria rhizophila,2.0,2
57493,2,446860,Kocuria flava,1.0,1
1268,1,1742993,Pseudarthrobacter,13.0,13
1742993,1,2647000,unclassified Pseudarthrobacter,8.0,8
2647000,2,2596911,Pseudarthrobacter sp. NBSH8,3.0,3
2647000,2,2772401,Pseudarthrobacter sp. BIM B-2242,2.0,2
2647000,2,2973976,Pseudarthrobacter sp. NS4,1.0,1
2647000,2,3018929,Pseudarthrobacter sp. MM222,1.0,1
2647000,2,3092262,Pseudarthrobacter sp. IC2-21,1.0,1
1742993,2,410837,Pseudarthrobacter defluvii,3.0,3
1742993,2,85085,Pseudarthrobacter chlorophenolicus,1.0,1
1268,1,2078575,Psychromicrobium,5.0,5
2078575,2,1618207,Psychromicrobium lacuslunae,5.0,5
1268,1,1742989,Glutamicibacter,5.0,5
1742989,2,37930,Glutamicibacter protophormiae,1.0,1
1742989,1,2627139,unclassified Glutamicibacter,1.0,1
2627139,2,2984842,Glutamicibacter sp. JL.03c,1.0,1
1268,1,169133,Citricoccus,4.0,4
169133,1,2632435,unclassified Citricoccus,2.0,2
2632435,2,2567881,Citricoccus sp. SGAir0253,1.0,1
2632435,2,3073268,Citricoccus sp. I39-566,1.0,1
1268,1,1742992,Paenarthrobacter,2.0,2
1742992,1,2634190,unclassified Paenarthrobacter,1.0,1
2634190,2,2782567,Paenarthrobacter sp. GOM3,1.0,1
1268,1,1160973,Auritidibacter,2.0,2
1268,1,1742991,Pseudoglutamicibacter,2.0,2
1742991,2,98671,Pseudoglutamicibacter albus,2.0,2
1268,1,596707,Sinomonas,1.0,1
596707,2,37927,Sinomonas atrocyanea,1.0,1
85023,1,33882,Microbacterium,61.0,61
33882,1,2609290,unclassified Microbacterium,18.0,18
2609290,2,1906274,Microbacterium sp. JZ31,2.0,2
2609290,2,2982533,Microbacterium sp. A(2022),1.0,1
2609290,2,3025663,Microbacterium sp. Clip185,1.0,1
2609290,2,3041512,Microbacterium sp. F6_8S_P_2B,1.0,1
2609290,2,3049069,Microbacterium sp. zg-B96,1.0,1
2609290,2,2654193,Microbacterium sp. JZ37,1.0,1
2609290,2,3049072,Microbacterium sp. zg-Y818,1.0,1
2609290,2,2763257,Microbacterium sp. YJN-G,1.0,1
2609290,2,3135258,Microbacterium sp. LWH11-1.2,1.0,1
2609290,2,3135260,Microbacterium sp. LWH13-1.2,1.0,1
2609290,2,1714373,Microbacterium sp. No. 7,1.0,1
2609290,2,2909588,Microbacterium sp. KUDC0406,1.0,1
33882,2,2851649,Microbacterium sufflavum,4.0,4
33882,2,904291,Microbacterium sediminis,4.0,4
33882,2,2614639,Microbacterium lushaniae,3.0,3
