read_accession_id,taxid,count
NZ_CP033459.1,2133944,259
CAKAFU010000002.1,171549,1
CAKAFU010000002.1,171552,2
CAKAFU010000002.1,28129,1
CAKAFU010000002.1,2929510,1
CAKAFU010000002.1,9606,1
CAKAFU010000002.1,1118202,1
CAKAFU010000002.1,762982,1
NZ_CP032823.1,1032070,78
NZ_CP032823.1,28198,7
NZ_CP032823.1,131567,1
NZ_CP036550.1,817,42
NZ_CP036550.1,816,1
NZ_CP049272.1,199,12186
NZ_CP049272.1,194,52
NZ_CP049272.1,360104,19
NZ_CP049272.1,3633,3
NZ_CP049272.1,4081,1
NZ_CP049272.1,4564,1
NZ_CP049272.1,131567,2
NZ_CP049272.1,824,1
NZ_CP049272.1,58024,1
NZ_CP049272.1,2759,1
NZ_CP049272.1,203,2
NZ_CP049272.1,1462606,1
NZ_CP049272.1,9606,1
NZ_CP082871.1,76517,4634
NZ_CP082871.1,3369,2
NZ_CP082871.1,360107,107
NZ_CP082871.1,194,24
NZ_CP082871.1,131567,5
NZ_CP082871.1,3726,1
NZ_CP082871.1,2593542,1
NZ_CP082871.1,9606,2
NZ_CP082871.1,49274,1
NZ_CP082871.1,210225,1
NZ_CP082871.1,112509,2
NZ_CP082871.1,3916,1
NZ_CP082871.1,2983836,1
NZ_CP082871.1,3705,1
NZ_CP082871.1,3708,1
NZ_CP082871.1,40477,1
NZ_CP082871.1,198,1
NZ_CP082871.1,143222,1
NZ_CP082871.1,51953,1
NZ_CP082871.1,2759,2
NZ_CP082871.1,2,5
NZ_CP082871.1,3871,1
NZ_CP082871.1,1437201,1
NZ_CP082871.1,60698,1
NZ_CP082871.1,827,3
NZ_CP082871.1,29722,1
NZ_CP082871.1,3633,1
NZ_CP082871.1,3702,1
NZ_CP082871.1,3914,1
NZ_CP082871.1,3821,1
NZ_CP082871.1,1336748,1
NZ_CP082871.1,3888,1
NZ_CP082871.1,3635,1
NZ_CP082871.1,1437183,1
NZ_CP082871.1,4236,1
NZ_CP082871.1,214697,1
NZ_CP082871.1,3469,1
NZ_CP082871.1,253,1
NZ_CP082871.1,72917,1
NZ_CP012544.1,204,24788
NZ_CP012544.1,203,15
NZ_CP012544.1,194,197
NZ_CP012544.1,94328,1
NZ_CP012544.1,1660063,2
NZ_CP012544.1,131567,2
NZ_CP012544.1,1660080,1
NZ_CP012544.1,824,2
NZ_CP012544.1,2759,1
NZ_CP012544.1,199,5
NZ_CP012544.1,51953,1
NZ_CP012544.1,2,1
NZ_CP012544.1,195,1
NZ_CP012544.1,2561898,1
NZ_CP012544.1,200,1
ACIL03000013.1,1485,5
ACIL03000013.1,186803,23
ACIL03000013.1,1301,5
ACIL03000013.1,657313,2
ACIL03000013.1,742737,3
ACIL03000013.1,33035,2
ACIL03000013.1,185008,3
ACIL03000013.1,1727145,1
ACIL03000013.1,1229621,1
ACIL03000013.1,1150468,11
ACIL03000013.1,2,22
ACIL03000013.1,2490855,11
ACIL03000013.1,3070997,4
ACIL03000013.1,360422,1
ACIL03000013.1,433286,3
ACIL03000013.1,3003601,5
ACIL03000013.1,988779,2
ACIL03000013.1,1515,2
ACIL03000013.1,515622,2
ACIL03000013.1,186802,4
ACIL03000013.1,2758563,1
ACIL03000013.1,865,1
ACIL03000013.1,1328,1
ACIL03000013.1,33958,1
ACIL03000013.1,536044,2
ACIL03000013.1,186801,16
ACIL03000013.1,45851,6
ACIL03000013.1,1385715,2
ACIL03000013.1,3079302,1
ACIL03000013.1,879970,2
ACIL03000013.1,867595,1
ACIL03000013.1,698776,1
ACIL03000013.1,572511,3
ACIL03000013.1,131567,10
ACIL03000013.1,435,1
ACIL03000013.1,2918914,3
ACIL03000013.1,3081750,2
ACIL03000013.1,1509,2
ACIL03000013.1,505341,1
ACIL03000013.1,1173583,1
ACIL03000013.1,2230879,1
ACIL03000013.1,33039,2
ACIL03000013.1,2763669,2
ACIL03000013.1,94869,1
ACIL03000013.1,2267891,1
ACIL03000013.1,3986,1
