accession_id,total_reads,genus,genus_taxid,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_true_positive,species_true_negative,species_false_positive,species_false_negative
NZ_CP033459.1,18789,Pseudoprevotella,2884814,18764,1835745,14,25,Pseudoprevotella muciniphila,2133944,18764,1835745,14,25
CAKAFU010000002.1,6847,Alloprevotella,1283313,0,1847701,0,6847,Alloprevotella tannerae,76122,0,1847701,0,6847
NZ_CP036550.1,21494,Bacteroides,816,55629,1795164,97,3658,Bacteroides fragilis,817,20561,1830941,2113,933
NZ_CP040630.1,37793,Bacteroides,816,55629,1795164,97,3658,Bacteroides sp. PHL 2737,2162637,335,1816755,0,37458
NZ_CP102541.1,20,Bifidobacterium,1678,20,1854415,113,0,Bifidobacterium longum,216816,15,1854519,9,5
NZ_CP049272.1,66950,Campylobacter,194,129535,1720372,25,4616,Campylobacter concisus,199,66766,1787243,355,184
NZ_CP012544.1,7311,Campylobacter,194,129535,1720372,25,4616,Campylobacter showae,204,7280,1845042,2195,31
NZ_CP022386.1,8,Capnocytophaga,1016,22,1854516,10,0,Capnocytophaga gingivalis,1017,8,1854539,1,0
NZ_CP022384.1,6,Capnocytophaga,1016,22,1854516,10,0,Capnocytophaga leadbetteri,327575,6,1854542,0,0
NZ_CP022379.1,8,Capnocytophaga,1016,22,1854516,10,0,Capnocytophaga sputigena,1019,8,1854540,0,0
ACIL03000013.1,34932,Catonella,43996,0,1819616,0,34932,Catonella morbi,43997,0,1819616,0,34932
NC_001472.1,636,Enterovirus,12059,636,1853912,0,0,Enterovirus B,138949,636,1853912,0,0
NZ_CP018196.1,3070,Fusobacterium,848,16094,1838327,91,36,Fusobacterium necrophorum,859,3061,1851421,57,9
NZ_CP028101.1,8875,Fusobacterium,848,16094,1838327,91,36,Fusobacterium nucleatum,851,8512,1845629,44,363
NZ_CP024703.1,4115,Fusobacterium,848,16094,1838327,91,36,Fusobacterium pseudoperiodonticum,2663009,3943,1850416,17,172
NZ_CP083637.1,22877,Gemella,1378,23563,1830685,181,119,Gemella haemolysans,1379,22753,1831648,23,124
