read_accession_id,read_accession_total_count,root,kraken_classified_root,superkingdom,kraken_classified_superkingdom,phylum,kraken_classified_phylum,class,kraken_classified_class,order,kraken_classified_order,family,kraken_classified_family,genus,kraken_classified_genus,species,kraken_classified_species
NZ_CP033459.1,16020,root,16020,Bacteria,16020,Bacteroidota,16020,Bacteroidia,16011,Bacteroidales,16011,Prevotellaceae,16011,Pseudoprevotella,16004,Pseudoprevotella muciniphila,16004
NZ_CP036550.1,5202,root,5202,Bacteria,5202,Bacteroidota,5201,Bacteroidia,5179,Bacteroidales,5179,Bacteroidaceae,5084,Bacteroides,5068,Bacteroides fragilis,4989
NZ_CP049272.1,4025,root,4024,Bacteria,4024,Campylobacterota,4024,Epsilonproteobacteria,4024,Campylobacterales,4024,Campylobacteraceae,4024,Campylobacter,4024,Campylobacter concisus,4014
NZ_CP022386.1,1556,root,1556,Bacteria,1556,Bacteroidota,1556,Flavobacteriia,1556,Flavobacteriales,1556,Flavobacteriaceae,1556,Capnocytophaga,1556,Capnocytophaga gingivalis,1549
NZ_CP022384.1,28402,root,28392,Bacteria,28392,Bacteroidota,28392,Flavobacteriia,28386,Flavobacteriales,28386,Flavobacteriaceae,28371,Capnocytophaga,28371,Capnocytophaga leadbetteri,27508
NZ_CP012544.1,61,root,61,Bacteria,61,Campylobacterota,61,Epsilonproteobacteria,61,Campylobacterales,61,Campylobacteraceae,61,Campylobacter,61,Campylobacter showae,61
NZ_CP022379.1,3747,root,3747,Bacteria,3747,Bacteroidota,3747,Flavobacteriia,3746,Flavobacteriales,3746,Flavobacteriaceae,3741,Capnocytophaga,3741,Capnocytophaga sputigena,3703
NZ_CP018196.1,24,root,24,Bacteria,24,Fusobacteriota,24,Fusobacteriia,24,Fusobacteriales,24,Fusobacteriaceae,24,Fusobacterium,24,Fusobacterium necrophorum,24
NZ_CP028101.1,4476,root,4476,Bacteria,4474,Fusobacteriota,4474,Fusobacteriia,4474,Fusobacteriales,4474,Fusobacteriaceae,4474,Fusobacterium,4474,Fusobacterium nucleatum,3968
NZ_CP024703.1,336,root,336,Bacteria,336,Fusobacteriota,336,Fusobacteriia,336,Fusobacteriales,336,Fusobacteriaceae,336,Fusobacterium,336,Fusobacterium pseudoperiodonticum,326
NZ_CP083637.1,43,root,43,Bacteria,43,Bacillota,43,Bacilli,43,Bacillales,43,unclassified Bacillales family,0,Gemella,43,Gemella haemolysans,43
NZ_CP031243.1,37,root,37,Bacteria,37,Pseudomonadota,37,Gammaproteobacteria,37,Pasteurellales,37,Pasteurellaceae,37,Haemophilus,37,Haemophilus haemolyticus,37
NZ_AP018768.1,213,root,213,Bacteria,213,Pseudomonadota,213,Gammaproteobacteria,213,Pasteurellales,213,Pasteurellaceae,213,Haemophilus,213,Haemophilus influenzae,201
NZ_CP038817.1,11898,root,11893,Bacteria,11893,Pseudomonadota,11893,Gammaproteobacteria,11891,Pasteurellales,11878,Pasteurellaceae,11878,Haemophilus,11851,Haemophilus parahaemolyticus,11819
NZ_CP035368.2,39517,root,39503,Bacteria,39503,Pseudomonadota,39503,Gammaproteobacteria,39495,Pasteurellales,39488,Pasteurellaceae,39488,Haemophilus,39350,Haemophilus parainfluenzae,39124
NZ_LR134378.1,24,root,24,Bacteria,24,Pseudomonadota,24,Betaproteobacteria,24,Burkholderiales,24,Burkholderiaceae,24,Lautropia,24,Lautropia mirabilis,24
NZ_AP019829.2,9573,root,9570,Bacteria,9556,Fusobacteriota,9555,Fusobacteriia,9555,Fusobacteriales,9555,Leptotrichiaceae,9552,Leptotrichia,9552,Leptotrichia wadei,9255
NZ_CP101528.1,8466,root,8466,Bacteria,8466,Actinomycetota,8466,Actinomycetes,8466,Micrococcales,8456,Micrococcaceae,8453,Micrococcus,8434,Micrococcus luteus,6749
NZ_CP014234.1,3765,root,3764,Bacteria,3764,Pseudomonadota,3764,Gammaproteobacteria,3764,Moraxellales,3763,Moraxellaceae,3763,Moraxella,3744,Moraxella osloensis,3681
NZ_CP039886.1,1159,root,1159,Bacteria,1159,Pseudomonadota,1159,Betaproteobacteria,1159,Neisseriales,1158,Neisseriaceae,1158,Neisseria,1157,Neisseria flavescens,1100
NZ_CP073114.1,30632,root,30628,Bacteria,30628,Pseudomonadota,30628,Betaproteobacteria,30625,Neisseriales,30624,Neisseriaceae,30624,Neisseria,30510,Neisseria subflava,27764
NZ_CP092048.1,32034,root,32034,Bacteria,32034,Bacteroidota,32034,Bacteroidia,32034,Bacteroidales,32034,Porphyromonadaceae,31695,Porphyromonas,31695,Porphyromonas gingivalis,31694
NC_019960.1,98,root,98,Bacteria,98,Bacteroidota,98,Bacteroidia,98,Bacteroidales,98,Prevotellaceae,98,Prevotella,98,Prevotella dentalis,98
NZ_CP024696.1,4952,root,4952,Bacteria,4952,Bacteroidota,4952,Bacteroidia,4854,Bacteroidales,4854,Prevotellaceae,4799,Prevotella,4795,Prevotella intermedia,4714
NZ_CP072363.1,622,root,622,Bacteria,622,Bacteroidota,622,Bacteroidia,622,Bacteroidales,622,Prevotellaceae,622,Prevotella,622,Prevotella jejuni,608
AP018050.1,39956,root,39948,Bacteria,39941,Bacteroidota,39941,Bacteroidia,39891,Bacteroidales,39891,Prevotellaceae,39112,Prevotella,39111,Prevotella melaninogenica,38981
NZ_CP072390.1,6726,root,6726,Bacteria,6726,Bacteroidota,6724,Bacteroidia,6724,Bacteroidales,6724,Prevotellaceae,6721,Prevotella,6716,Prevotella scopos,6571
NZ_CP079822.1,10739,root,10739,Bacteria,10739,Actinomycetota,10739,Actinomycetes,10739,Micrococcales,10739,Micrococcaceae,10737,Rothia,10736,Rothia mucilaginosa,10735
NZ_LS483444.1,18320,root,18311,Bacteria,18311,Bacillota,18308,Bacilli,18307,Lactobacillales,18304,Streptococcaceae,18298,Streptococcus,18297,Streptococcus australis,16663
NZ_CP127842.1,3155,root,3155,Bacteria,3155,Bacillota,3149,Bacilli,3136,Lactobacillales,3136,Streptococcaceae,3128,Streptococcus,3128,Streptococcus dysgalactiae,1608
NC_015875.1,3694,root,3694,Bacteria,3693,Bacillota,3660,Bacilli,3658,Lactobacillales,3657,Streptococcaceae,3652,Streptococcus,3652,Streptococcus pseudopneumoniae,3146
