accession_id,total_reads,genus,genus_taxid,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_true_positive,species_true_negative,species_false_positive,species_false_negative
NZ_LT635457.1,3504,Actinomyces,1654,7981,1946884,92,31002,Actinomyces pacaensis,1852377,3495,1982369,86,9
NZ_CAKAHJ010000001.1,22995,Actinomyces,1654,7981,1946884,92,31002,uncultured Actinomyces sp.,249061,0,1962964,0,22995
NZ_CP124548.1,11884,Actinomyces,1654,7981,1946884,92,31002,Actinomyces israelii,1659,0,1974075,0,11884
NZ_CP012072.1,15976,Schaalia,2529408,27083,1948430,8164,2282,Schaalia meyeri,52773,15928,1969457,526,48
NZ_CP033459.1,25943,Pseudoprevotella,2884814,25886,1959992,24,57,Pseudoprevotella muciniphila,2133944,25886,1959992,24,57
CAKAFU010000002.1,3417,Alloprevotella,1283313,0,1982542,0,3417,Alloprevotella tannerae,76122,0,1982542,0,3417
NZ_CP032823.1,6211,Aliarcobacter,2321111,6112,1979743,5,99,Aliarcobacter cryaerophilus,28198,6036,1979748,0,175
NZ_CP036550.1,853,Bacteroides,816,10104,1974735,293,827,Bacteroides fragilis,817,782,1984887,219,71
NZ_CP040630.1,10078,Bacteroides,816,10104,1974735,293,827,Bacteroides sp. PHL 2737,2162637,53,1975881,0,10025
NZ_CP102541.1,332,Bifidobacterium,1678,332,1985555,72,0,Bifidobacterium longum,216816,200,1985624,3,132
NZ_CP049272.1,13547,Campylobacter,194,26842,1958403,47,667,Campylobacter concisus,199,13461,1972401,11,86
NZ_CP082871.1,6872,Campylobacter,194,26842,1958403,47,667,Campylobacter hominis,76517,6535,1979086,1,337
NZ_CP012544.1,5570,Campylobacter,194,26842,1958403,47,667,Campylobacter showae,204,5500,1980318,71,70
NZ_CALGPY010000005.1,1520,Campylobacter,194,26842,1958403,47,667,uncultured Campylobacter sp.,218934,0,1984439,0,1520
NZ_CP022386.1,6780,Capnocytophaga,1016,20763,1965122,6,68,Capnocytophaga gingivalis,1017,6664,1979178,1,116
NZ_CP022384.1,6733,Capnocytophaga,1016,20763,1965122,6,68,Capnocytophaga leadbetteri,327575,6126,1979226,0,607
NZ_CP022379.1,7318,Capnocytophaga,1016,20763,1965122,6,68,Capnocytophaga sputigena,1019,7018,1978631,10,300
ACIL03000013.1,9917,Catonella,43996,0,1976042,0,9917,Catonella morbi,43997,0,1976042,0,9917
NC_001464.1,10604,Pospiviroid,185753,10533,1975355,0,71,Citrus exocortis viroid,12890,10465,1975355,0,139
NZ_CP073092.1,15404,Corynebacterium,1716,64338,1919570,272,1779,Corynebacterium tuberculostearicum,38304,13091,1970549,6,2313
NZ_CP101133.1,18559,Corynebacterium,1716,64338,1919570,272,1779,Corynebacterium pseudotuberculosis,1719,18376,1967396,4,183
NZ_CP100372.1,4235,Corynebacterium,1716,64338,1919570,272,1779,Corynebacterium pseudodiphtheriticum,37637,3497,1981570,154,738
NZ_CP063195.1,18648,Corynebacterium,1716,64338,1919570,272,1779,Corynebacterium jeikeium,38289,17469,1967305,6,1179
NZ_CP100361.1,3768,Corynebacterium,1716,64338,1919570,272,1779,Corynebacterium propinquum,43769,3440,1981773,418,328
NZ_CP024931.1,3686,Corynebacterium,1716,64338,1919570,272,1779,Corynebacterium striatum,43770,3464,1982238,35,222
NZ_AP027140.1,1817,Corynebacterium,1716,64338,1919570,272,1779,Corynebacterium ulcerans,65058,1726,1984131,11,91
NC_001472.1,15236,Enterovirus,12059,67135,1878535,0,40289,Enterovirus B,138949,22105,1933950,43,29861
MT157224.1,1772,Enterovirus,12059,67135,1878535,0,40289,Human rhinovirus sp.,169066,0,1984187,0,1772
NC_038311.1,16308,Enterovirus,12059,67135,1878535,0,40289,Rhinovirus A,147711,16306,1969590,61,2
NC_009996.1,12750,Enterovirus,12059,67135,1878535,0,40289,Rhinovirus C,463676,12750,1973209,0,0
