read_accession_id,count
CP097095.1,2975
NZ_LT635457.1,1753
NZ_CAKAHJ010000001.1,11509
NZ_CP124548.1,5947
NZ_CP012072.1,7992
NZ_CP033459.1,12978
CAKAFU010000002.1,1711
NZ_CP032823.1,3108
NZ_CP036550.1,427
NZ_CP040630.1,5049
NZ_CP049272.1,6775
NZ_CP102541.1,166
NZ_CP082871.1,3438
NZ_CP012544.1,2785
NZ_CALGPY010000005.1,760
NZ_CP022386.1,3394
NZ_CP022384.1,3372
NZ_CP022379.1,3663
ACIL03000013.1,4970
NC_001464.1,5304
NZ_CP073092.1,7710
NZ_CP101133.1,9289
NZ_CP100372.1,2118
NZ_CP063195.1,9327
NZ_CP100361.1,1884
NZ_CP024931.1,1849
NZ_AP027140.1,911
NC_001472.1,7620
MT157224.1,886
NC_038311.1,8154
NC_009996.1,6375
OQ842458.1,3709
NC_038307.1,2960
OQ842451.1,6962
OQ919261.1,1359
OQ842410.1,5442
NC_038308.1,5791
JQ041368.1,713
EF174468.1,2663
NC_038312.1,1083
MN164484.2,1803
NZ_CP018196.1,12042
NZ_CP028101.1,2508
NZ_CP024703.1,149
NZ_CAKOJV010000001.1,488
NZ_CP083637.1,218
NZ_CP046314.1,2407
NZ_CP040915.1,4278
NZ_CP031243.1,3879
NZ_AP018768.1,9581
NZ_CP038817.1,8626
NZ_CP035368.2,10593
NZ_LT906463.1,6780
NC_039199.1,6737
NC_001781.1,9595
MG027862.1,3108
NZ_CP036164.1,4493
NZ_CP065999.1,1866
NZ_CP123447.1,6556
NZ_CP050136.1,9193
NC_013203.1,7886
NZ_LR134378.1,490
NZ_AP019831.1,4295
NZ_AP019829.2,1059
NC_013192.1,6287
NZ_CP101528.1,4445
NZ_CP126965.1,456
NZ_CANLQP010000001.1,707
NZ_CP014234.1,6423
NZ_CP039886.1,9486
NZ_CP078113.1,2224
NZ_CP030820.1,4380
NZ_CP053939.1,11234
NZ_CP073114.1,2780
NZ_CP031253.1,8256
AFIH01000001.1,9101
OP288969.1,8303
NC_045512.2,577
NC_004718.3,154
NZ_CP092048.1,1438
NZ_UQJH01000001.1,9875
NC_019960.1,8398
NZ_CP024696.1,3239
NZ_CP072363.1,3608
AP018050.1,4884
NZ_CP072390.1,10227
