read_accession_id,read_accession_total_count,root,kraken_classified_root,superkingdom,kraken_classified_superkingdom,phylum,kraken_classified_phylum,class,kraken_classified_class,order,kraken_classified_order,family,kraken_classified_family,genus,kraken_classified_genus,species,kraken_classified_species
NZ_LT635457.1,12860,root,12860,Bacteria,12860,Actinomycetota,12859,Actinomycetes,12859,Actinomycetales,12858,Actinomycetaceae,12858,Actinomyces,12825,Actinomyces pacaensis,12824
NZ_CAKAHJ010000001.1,9906,root,4520,Bacteria,4512,Actinomycetota,4344,Actinomycetes,4339,Actinomycetales,3748,Actinomycetaceae,3748,Actinomyces,100,uncultured Actinomyces sp.,0
NZ_CP124548.1,150,root,58,Bacteria,58,Actinomycetota,53,Actinomycetes,53,Actinomycetales,37,Actinomycetaceae,37,Actinomyces,37,Actinomyces israelii,0
NZ_CP012072.1,6557,root,6547,Bacteria,6547,Actinomycetota,6547,Actinomycetes,6547,Actinomycetales,6547,Actinomycetaceae,6547,Schaalia,6541,Schaalia meyeri,6536
NZ_CP033459.1,13545,root,13535,Bacteria,13533,Bacteroidota,13531,Bacteroidia,13523,Bacteroidales,13523,Prevotellaceae,13522,Pseudoprevotella,13512,Pseudoprevotella muciniphila,13512
CAKAFU010000002.1,3114,root,465,Bacteria,465,Bacteroidota,415,Bacteroidia,382,Bacteroidales,382,Prevotellaceae,305,Alloprevotella,0,Alloprevotella tannerae,0
NZ_CP032823.1,20209,root,19980,Bacteria,19969,Campylobacterota,19951,Epsilonproteobacteria,0,Campylobacterales,19950,Arcobacteraceae,19944,Aliarcobacter,19888,Aliarcobacter cryaerophilus,19622
NZ_CP036550.1,1398,root,1398,Bacteria,1398,Bacteroidota,1398,Bacteroidia,1395,Bacteroidales,1395,Bacteroidaceae,1355,Bacteroides,1352,Bacteroides fragilis,1305
NZ_CP040630.1,10614,root,10612,Bacteria,10612,Bacteroidota,10608,Bacteroidia,10500,Bacteroidales,10500,Bacteroidaceae,9742,Bacteroides,9699,Bacteroides sp. PHL 2737,71
NZ_CP102541.1,7391,root,7391,Bacteria,7391,Actinomycetota,7391,Actinomycetes,7391,Bifidobacteriales,7391,Bifidobacteriaceae,7391,Bifidobacterium,7391,Bifidobacterium longum,4311
NZ_CP049272.1,62,root,62,Bacteria,62,Campylobacterota,62,Epsilonproteobacteria,0,Campylobacterales,62,Campylobacteraceae,62,Campylobacter,62,Campylobacter concisus,62
NZ_CP082871.1,9130,root,8761,Bacteria,8751,Campylobacterota,8722,Epsilonproteobacteria,0,Campylobacterales,8722,Campylobacteraceae,8722,Campylobacter,8722,Campylobacter hominis,8658
NZ_CP012544.1,14041,root,14008,Bacteria,14008,Campylobacterota,14007,Epsilonproteobacteria,0,Campylobacterales,14007,Campylobacteraceae,14007,Campylobacter,14007,Campylobacter showae,13866
NZ_CALGPY010000005.1,21064,root,17068,Bacteria,17067,Campylobacterota,16980,Epsilonproteobacteria,0,Campylobacterales,16979,Campylobacteraceae,16955,Campylobacter,16955,uncultured Campylobacter sp.,0
NZ_CP022386.1,9712,root,9685,Bacteria,9684,Bacteroidota,9679,Flavobacteriia,9676,Flavobacteriales,9676,Flavobacteriaceae,9675,Capnocytophaga,9675,Capnocytophaga gingivalis,9558
NZ_CP022384.1,15300,root,15271,Bacteria,15268,Bacteroidota,15265,Flavobacteriia,15260,Flavobacteriales,15260,Flavobacteriaceae,15238,Capnocytophaga,15238,Capnocytophaga leadbetteri,13876
NZ_CP022379.1,1627,root,1626,Bacteria,1626,Bacteroidota,1625,Flavobacteriia,1624,Flavobacteriales,1624,Flavobacteriaceae,1619,Capnocytophaga,1619,Capnocytophaga sputigena,1552
ACIL03000013.1,8954,root,563,Bacteria,546,Bacillota,413,Clostridia,311,Eubacteriales,301,Lachnospiraceae,175,Catonella,0,Catonella morbi,0
NC_001464.1,4656,root,4625,Viruses,4625,unclassified Viruses phylum,0,unclassified Viruses class,0,unclassified Viruses order,0,Pospiviroidae,4625,Pospiviroid,4625,Citrus exocortis viroid,4588
NZ_CP073092.1,11078,root,10590,Bacteria,10584,Actinomycetota,10564,Actinomycetes,10564,Mycobacteriales,10417,Corynebacteriaceae,10414,Corynebacterium,10414,Corynebacterium tuberculostearicum,9405
NZ_CP101133.1,5412,root,5409,Bacteria,5409,Actinomycetota,5407,Actinomycetes,5407,Mycobacteriales,5406,Corynebacteriaceae,5406,Corynebacterium,5406,Corynebacterium pseudotuberculosis,5348
NZ_CP100372.1,7202,root,6882,Bacteria,6882,Actinomycetota,6876,Actinomycetes,6876,Mycobacteriales,6852,Corynebacteriaceae,6852,Corynebacterium,6852,Corynebacterium pseudodiphtheriticum,5906
NZ_CP063195.1,9533,root,9532,Bacteria,9532,Actinomycetota,9501,Actinomycetes,9501,Mycobacteriales,9315,Corynebacteriaceae,9314,Corynebacterium,9314,Corynebacterium jeikeium,8940
NZ_CP100361.1,5057,root,4952,Bacteria,4952,Actinomycetota,4938,Actinomycetes,4938,Mycobacteriales,4928,Corynebacteriaceae,4928,Corynebacterium,4928,Corynebacterium propinquum,4614
NZ_CP024931.1,6375,root,6375,Bacteria,6369,Actinomycetota,6347,Actinomycetes,6347,Mycobacteriales,6277,Corynebacteriaceae,6277,Corynebacterium,6277,Corynebacterium striatum,5924
NZ_AP027140.1,17114,root,16983,Bacteria,16982,Actinomycetota,16975,Actinomycetes,16974,Mycobacteriales,16968,Corynebacteriaceae,16967,Corynebacterium,16967,Corynebacterium ulcerans,16363
NC_001472.1,2158,root,2158,Viruses,2158,Pisuviricota,2158,Pisoniviricetes,2158,Picornavirales,2158,Picornaviridae,2158,Enterovirus,2158,Enterovirus B,2158
MT157224.1,2932,root,94,Viruses,87,Pisuviricota,87,Pisoniviricetes,87,Picornavirales,87,Picornaviridae,87,Enterovirus,87,Human rhinovirus sp.,0
NC_038311.1,18754,root,18751,Viruses,18751,Pisuviricota,18751,Pisoniviricetes,18751,Picornavirales,18751,Picornaviridae,18751,Enterovirus,18751,Rhinovirus A,18751
NC_009996.1,11716,root,11716,Viruses,11716,Pisuviricota,11716,Pisoniviricetes,11716,Picornavirales,11716,Picornaviridae,11716,Enterovirus,11716,Rhinovirus C,11716
OQ842458.1,3954,root,228,Viruses,228,Pisuviricota,228,Pisoniviricetes,228,Picornavirales,228,Picornaviridae,228,Enterovirus,228,Enterovirus B,49
NC_038307.1,7806,root,7805,Viruses,7805,Pisuviricota,7805,Pisoniviricetes,7805,Picornavirales,7805,Picornaviridae,7805,Enterovirus,7805,Enterovirus B,7805
OQ842451.1,7410,root,651,Viruses,651,Pisuviricota,651,Pisoniviricetes,651,Picornavirales,651,Picornaviridae,651,Enterovirus,651,Enterovirus B,272
OQ919261.1,11444,root,1007,Viruses,1007,Pisuviricota,1007,Pisoniviricetes,1007,Picornavirales,1007,Picornaviridae,1007,Enterovirus,1007,Enterovirus B,678
OQ842410.1,11850,root,873,Viruses,870,Pisuviricota,870,Pisoniviricetes,870,Picornavirales,870,Picornaviridae,870,Enterovirus,870,Enterovirus A,712
NC_038308.1,13154,root,13153,Viruses,13153,Pisuviricota,13153,Pisoniviricetes,13153,Picornavirales,13153,Picornaviridae,13153,Enterovirus,13153,Enterovirus D,13153
JQ041368.1,10802,root,1125,Viruses,1125,Pisuviricota,1125,Pisoniviricetes,1125,Picornavirales,1125,Picornaviridae,1125,Enterovirus,1125,Enterovirus B,866
EF174468.1,4180,root,215,Viruses,215,Pisuviricota,215,Pisoniviricetes,215,Picornavirales,215,Picornaviridae,215,Enterovirus,215,Enterovirus B,70
NC_038312.1,1356,root,1356,Viruses,1356,Pisuviricota,1356,Pisoniviricetes,1356,Picornavirales,1356,Picornaviridae,1356,Enterovirus,1356,Rhinovirus B,1356
MN164484.2,6522,root,6443,Viruses,6436,Uroviricota,6436,Caudoviricetes,6436,unclassified Caudoviricetes order,0,Drexlerviridae,6431,Guelphvirus,6028,Escherichia virus ECH1,0
NZ_CP018196.1,1957,root,1950,Bacteria,1950,Fusobacteriota,1949,Fusobacteriia,1949,Fusobacteriales,1949,Fusobacteriaceae,1949,Fusobacterium,1949,Fusobacterium necrophorum,1938
NZ_CP028101.1,1392,root,1377,Bacteria,1374,Fusobacteriota,1372,Fusobacteriia,1372,Fusobacteriales,1372,Fusobacteriaceae,1372,Fusobacterium,1372,Fusobacterium nucleatum,1223
NZ_CP024703.1,9835,root,9718,Bacteria,9704,Fusobacteriota,9690,Fusobacteriia,9690,Fusobacteriales,9690,Fusobacteriaceae,9671,Fusobacterium,9671,Fusobacterium pseudoperiodonticum,8823
NZ_CAKOJV010000001.1,378,root,352,Bacteria,351,Fusobacteriota,348,Fusobacteriia,348,Fusobacteriales,348,Fusobacteriaceae,348,Fusobacterium,348,uncultured Fusobacterium sp.,0
NZ_CP083637.1,2376,root,2364,Bacteria,2362,Bacillota,2356,Bacilli,2354,Bacillales,2351,unclassified Bacillales family,0,Gemella,2350,Gemella haemolysans,2339
NZ_CP046314.1,9395,root,9331,Bacteria,9322,Bacillota,9163,Bacilli,8880,Bacillales,8762,unclassified Bacillales family,0,Gemella,8759,Gemella morbillorum,8633
NZ_CP040915.1,13284,root,13264,Bacteria,13264,Actinomycetota,13256,Actinomycetes,13256,Micrococcales,13232,Bogoriellaceae,13216,Georgenia,13216,Georgenia yuyongxinii,13212
NZ_CP031243.1,5217,root,5214,Bacteria,5213,Pseudomonadota,5209,Gammaproteobacteria,5204,Pasteurellales,5199,Pasteurellaceae,5199,Haemophilus,5171,Haemophilus haemolyticus,4579
NZ_AP018768.1,3463,root,3461,Bacteria,3459,Pseudomonadota,3459,Gammaproteobacteria,3459,Pasteurellales,3456,Pasteurellaceae,3456,Haemophilus,3441,Haemophilus influenzae,2750
NZ_CP038817.1,20270,root,20251,Bacteria,20250,Pseudomonadota,20246,Gammaproteobacteria,20226,Pasteurellales,20205,Pasteurellaceae,20205,Haemophilus,20089,Haemophilus parahaemolyticus,19909
NZ_CP035368.2,11788,root,11782,Bacteria,11782,Pseudomonadota,11781,Gammaproteobacteria,11772,Pasteurellales,11756,Pasteurellaceae,11756,Haemophilus,11663,Haemophilus parainfluenzae,11464
NZ_LT906463.1,5845,root,5844,Bacteria,5844,Pseudomonadota,5844,Gammaproteobacteria,5842,Pasteurellales,5834,Pasteurellaceae,5834,Haemophilus,5807,Haemophilus pittmaniae,5713
NC_039199.1,1322,root,1322,Viruses,1322,Negarnaviricota,1322,Monjiviricetes,1322,Mononegavirales,1322,Pneumoviridae,1322,Metapneumovirus,1322,Metapneumovirus hominis,0
NC_001781.1,4646,root,4578,Viruses,4578,Negarnaviricota,4578,Monjiviricetes,4578,Mononegavirales,4578,Pneumoviridae,4578,Orthopneumovirus,4578,Orthopneumovirus hominis,0
MG027862.1,3652,root,3543,Viruses,3543,Negarnaviricota,3543,Monjiviricetes,3543,Mononegavirales,3543,Pneumoviridae,3543,Orthopneumovirus,3543,Orthopneumovirus hominis,0
NZ_CP036164.1,7436,root,7433,Bacteria,7433,Actinomycetota,7433,Actinomycetes,7433,Micrococcales,7428,Intrasporangiaceae,7417,Janibacter,7415,Janibacter limosus,7389
NZ_CP065999.1,21315,root,21312,Bacteria,21311,Pseudomonadota,21267,Betaproteobacteria,21210,Neisseriales,21206,Neisseriaceae,21195,Kingella,20724,Kingella denitrificans,20706
NZ_CP123447.1,706,root,264,Bacteria,264,Pseudomonadota,264,Betaproteobacteria,251,Neisseriales,247,Neisseriaceae,243,Kingella,156,Kingella negevensis,0
NZ_CP050136.1,15074,root,15070,Bacteria,15069,Pseudomonadota,15069,Betaproteobacteria,15064,Neisseriales,15060,Neisseriaceae,15058,Kingella,14970,Kingella kingae,14967
NC_013203.1,22271,root,22270,Bacteria,22270,Actinomycetota,22261,Coriobacteriia,22261,Coriobacteriales,22261,Atopobiaceae,22261,Lancefieldella,22260,Lancefieldella parvula,22260
NZ_LR134378.1,14235,root,14231,Bacteria,14230,Pseudomonadota,14226,Betaproteobacteria,14210,Burkholderiales,14210,Burkholderiaceae,14181,Lautropia,14173,Lautropia mirabilis,14173
NZ_AP019831.1,16462,root,16076,Bacteria,16052,Fusobacteriota,15985,Fusobacteriia,15985,Fusobacteriales,15985,Leptotrichiaceae,15974,Leptotrichia,15972,Leptotrichia trevisanii,15080
NZ_AP019829.2,15421,root,15006,Bacteria,14979,Fusobacteriota,14951,Fusobacteriia,14951,Fusobacteriales,14951,Leptotrichiaceae,14944,Leptotrichia,14944,Leptotrichia wadei,13582
NC_013192.1,9721,root,9472,Bacteria,9457,Fusobacteriota,9425,Fusobacteriia,9425,Fusobacteriales,9425,Leptotrichiaceae,9425,Leptotrichia,9424,Leptotrichia buccalis,8518
NZ_CP101528.1,12548,root,12535,Bacteria,12535,Actinomycetota,12527,Actinomycetes,12527,Micrococcales,12486,Micrococcaceae,12464,Micrococcus,12415,Micrococcus luteus,8486
NZ_CP126965.1,18441,root,9080,Bacteria,9043,Actinomycetota,8276,Actinomycetes,8238,Micrococcales,6094,Micrococcaceae,4729,Micrococcus,2998,Micrococcus lylae,0
NZ_CANLQP010000001.1,21208,root,12747,Bacteria,12697,Actinomycetota,11900,Actinomycetes,11871,Micrococcales,9631,Micrococcaceae,7687,Micrococcus,5826,uncultured Micrococcus sp.,0
NZ_CP014234.1,1141,root,1141,Bacteria,1141,Pseudomonadota,1141,Gammaproteobacteria,1140,Moraxellales,1140,Moraxellaceae,1140,Moraxella,1128,Moraxella osloensis,1127
NZ_CP039886.1,9071,root,9069,Bacteria,9069,Pseudomonadota,9069,Betaproteobacteria,9064,Neisseriales,9064,Neisseriaceae,9058,Neisseria,9003,Neisseria flavescens,7886
NZ_CP078113.1,7396,root,7395,Bacteria,7395,Pseudomonadota,7392,Betaproteobacteria,7374,Neisseriales,7374,Neisseriaceae,7374,Neisseria,7365,Neisseria gonorrhoeae,6136
NZ_CP030820.1,6064,root,6062,Bacteria,6060,Pseudomonadota,6058,Betaproteobacteria,6011,Neisseriales,6010,Neisseriaceae,6009,Neisseria,5985,Neisseria meningitidis,4899
NZ_CP053939.1,11033,root,11024,Bacteria,11023,Pseudomonadota,11019,Betaproteobacteria,11013,Neisseriales,11012,Neisseriaceae,11006,Neisseria,10929,Neisseria mucosa,10190
NZ_CP073114.1,13232,root,12691,Bacteria,12690,Pseudomonadota,12652,Betaproteobacteria,12583,Neisseriales,12577,Neisseriaceae,12573,Neisseria,12378,Neisseria subflava,1094
NZ_CP031253.1,4284,root,4284,Bacteria,4283,Pseudomonadota,4283,Betaproteobacteria,4276,Neisseriales,4276,Neisseriaceae,4273,Neisseria,4257,Neisseria lactamica,3398
AFIH01000001.1,1806,root,169,Bacteria,168,Bacillota,129,Clostridia,67,Eubacteriales,65,Lachnospiraceae,45,Oribacterium,0,Oribacterium sp. oral taxon 108,0
OP288969.1,1030,root,499,Viruses,494,Pisuviricota,494,Pisoniviricetes,494,Nidovirales,494,Coronaviridae,494,Betacoronavirus,464,Pangolin coronavirus,0
NC_045512.2,378,root,378,Viruses,378,Pisuviricota,378,Pisoniviricetes,378,Nidovirales,378,Coronaviridae,378,Betacoronavirus,378,Severe acute respiratory syndrome-related coronavirus,378
NC_004718.3,574,root,574,Viruses,574,Pisuviricota,574,Pisoniviricetes,574,Nidovirales,574,Coronaviridae,574,Betacoronavirus,574,Severe acute respiratory syndrome-related coronavirus,574
NZ_CP092048.1,1274,root,1274,Bacteria,1274,Bacteroidota,1274,Bacteroidia,1274,Bacteroidales,1274,Porphyromonadaceae,1261,Porphyromonas,1261,Porphyromonas gingivalis,1260
NZ_UQJH01000001.1,8872,root,536,Bacteria,532,Bacteroidota,264,Bacteroidia,187,Bacteroidales,187,Porphyromonadaceae,62,Porphyromonas,62,uncultured Porphyromonas sp.,0
NC_019960.1,4188,root,4187,Bacteria,4187,Bacteroidota,4187,Bacteroidia,4187,Bacteroidales,4187,Prevotellaceae,4152,Prevotella,4147,Prevotella dentalis,4135
NZ_CP024696.1,4675,root,4675,Bacteria,4675,Bacteroidota,4674,Bacteroidia,4593,Bacteroidales,4593,Prevotellaceae,4533,Prevotella,4532,Prevotella intermedia,4340
NZ_CP072363.1,2263,root,2263,Bacteria,2263,Bacteroidota,2263,Bacteroidia,2263,Bacteroidales,2263,Prevotellaceae,2263,Prevotella,2262,Prevotella jejuni,2106
AP018050.1,16212,root,16193,Bacteria,16191,Bacteroidota,16190,Bacteroidia,16145,Bacteroidales,16145,Prevotellaceae,15816,Prevotella,15814,Prevotella melaninogenica,15605
NZ_CP072390.1,11538,root,11538,Bacteria,11538,Bacteroidota,11534,Bacteroidia,11534,Bacteroidales,11534,Prevotellaceae,11529,Prevotella,11525,Prevotella scopos,10664
NZ_CAJTJS010000001.1,9110,root,472,Bacteria,471,Bacteroidota,390,Bacteroidia,345,Bacteroidales,342,Prevotellaceae,136,Prevotella,121,uncultured Prevotella sp.,0
NZ_UGTJ01000001.1,10774,root,1810,Bacteria,1806,Bacteroidota,1627,Bacteroidia,1537,Bacteroidales,1535,Prevotellaceae,1232,Prevotella,1134,Prevotella buccae,0
NZ_CP079201.1,18506,root,18505,Bacteria,18505,Actinomycetota,18505,Actinomycetes,18505,Micrococcales,18501,Micrococcaceae,18497,Rothia,18496,Rothia dentocariosa,18266
NZ_CP079822.1,28,root,28,Bacteria,28,Actinomycetota,28,Actinomycetes,28,Micrococcales,28,Micrococcaceae,28,Rothia,28,Rothia mucilaginosa,28
NZ_CAKAIK010000001.1,23009,root,22022,Bacteria,22021,Actinomycetota,22010,Actinomycetes,22010,Micrococcales,21981,Micrococcaceae,21975,Rothia,21962,uncultured Rothia sp.,0
NZ_CP102197.1,2380,root,2380,Bacteria,2380,Actinomycetota,2378,Actinomycetes,2378,Actinomycetales,2371,Actinomycetaceae,2371,Schaalia,2364,Schaalia odontolytica,2361
CAHJXR010000003.1,3364,root,692,Bacteria,686,Actinomycetota,616,Actinomycetes,610,Actinomycetales,334,Actinomycetaceae,334,Schaalia,153,Schaalia sp. Marseille-Q2122,0
NZ_AP025697.1,16188,root,16183,Bacteria,16183,Actinomycetota,16183,Actinomycetes,16183,Actinomycetales,16131,Actinomycetaceae,16131,Actinomyces,16119,Actinomyces naeslundii,15772
NZ_CP060204.1,4978,root,4978,Bacteria,4978,Bacillota,4978,Negativicutes,4977,Selenomonadales,4977,Selenomonadaceae,4977,Selenomonas,4977,Selenomonas timonae,4883
NZ_CP012071.1,15929,root,15927,Bacteria,15927,Bacillota,15926,Negativicutes,15926,Selenomonadales,15926,Selenomonadaceae,15926,Selenomonas,15926,Selenomonas sp. oral taxon 478,13371
NZ_LOHY01000088.1,14666,root,2168,Bacteria,2089,Fusobacteriota,959,Fusobacteriia,959,Fusobacteriales,959,Leptotrichiaceae,793,Pseudostreptobacillus,0,Pseudostreptobacillus hongkongensis,0
NZ_LS483444.1,6959,root,6958,Bacteria,6958,Bacillota,6953,Bacilli,6951,Lactobacillales,6949,Streptococcaceae,6946,Streptococcus,6946,Streptococcus australis,5575
NZ_CP127842.1,3401,root,3400,Bacteria,3400,Bacillota,3386,Bacilli,3372,Lactobacillales,3371,Streptococcaceae,3368,Streptococcus,3368,Streptococcus dysgalactiae,1142
NZ_CP012646.1,9542,root,9541,Bacteria,9540,Bacillota,9537,Bacilli,9537,Lactobacillales,9536,Streptococcaceae,9527,Streptococcus,9526,Streptococcus mitis,7736
NZ_CP079724.1,12366,root,12364,Bacteria,12364,Bacillota,12362,Bacilli,12362,Lactobacillales,12359,Streptococcaceae,12349,Streptococcus,12343,Streptococcus oralis,10519
NZ_CP102583.1,7338,root,7338,Bacteria,7336,Bacillota,7309,Bacilli,7309,Lactobacillales,7303,Streptococcaceae,7299,Streptococcus,7299,Streptococcus pneumoniae,6326
NC_015875.1,9914,root,9912,Bacteria,9893,Bacillota,9790,Bacilli,9787,Lactobacillales,9783,Streptococcaceae,9774,Streptococcus,9774,Streptococcus pseudopneumoniae,7361
NZ_CP009913.1,13361,root,13359,Bacteria,13359,Bacillota,13349,Bacilli,13348,Lactobacillales,13343,Streptococcaceae,13330,Streptococcus,13326,Streptococcus salivarius,10032
NZ_CP079193.1,676,root,676,Bacteria,676,Bacillota,675,Bacilli,675,Lactobacillales,675,Streptococcaceae,675,Streptococcus,675,Streptococcus suis,628
NZ_CAMNMG010000001.1,24324,root,18273,Bacteria,18262,Bacillota,18163,Bacilli,18126,Lactobacillales,18026,Streptococcaceae,17913,Streptococcus,17877,uncultured Streptococcus sp.,0
NZ_CP029207.1,7181,root,7180,Bacteria,7180,Bacillota,7178,Bacilli,7178,Lactobacillales,7178,Streptococcaceae,7178,Streptococcus,7177,Streptococcus constellatus,2829
NC_001367.1,1994,root,1994,Viruses,1994,Kitrinoviricota,1994,Alsuviricetes,1994,Martellivirales,1994,Virgaviridae,1994,Tobamovirus,1994,Tobacco mosaic virus,1994
NZ_CP009227.1,5423,root,5421,Bacteria,5421,Spirochaetota,5421,Spirochaetia,5421,Spirochaetales,5421,Treponemataceae,5421,Treponema,5420,Treponema sp. OMZ 838,2126
