parent_taxid,level,taxid,name,kraken_classifed_reads,NT_rPM
2890311,1,160674,Raoultella,30429,15803
160674,2,575,Raoultella planticola,21584,11209
160674,2,54291,Raoultella ornithinolytica,1595,828
160674,2,1259973,Raoultella electrica,130,67
160674,1,2627600,unclassified Raoultella,78,40
2627600,2,2993656,Raoultella sp. DY2415,26,13
2627600,2,2259647,Raoultella sp. X13,18,9
2627600,2,2923366,Raoultella sp. HC6,16,8
2627600,2,2799495,Raoultella sp. XY-1,14,7
160674,2,577,Raoultella terrigena,22,11
2890311,1,570,Klebsiella,18807,9767
570,2,1463165,Klebsiella quasipneumoniae,5341,2773
570,2,571,Klebsiella oxytoca,2149,1116
570,2,244366,Klebsiella variicola,1419,736
570,2,573,Klebsiella pneumoniae,1025,532
570,2,548,Klebsiella aerogenes,79,41
570,2,2489010,Klebsiella africana,77,39
570,2,2026240,Klebsiella quasivariicola,62,32
570,2,1134687,Klebsiella michiganensis,50,25
570,2,2153354,Klebsiella huaxiensis,26,13
570,1,2608929,unclassified Klebsiella,21,10
2608929,2,2267618,Klebsiella sp. P1CD1,5,2
2608929,2,2897413,Klebsiella sp. KPN54798,2,1
2608929,2,2488567,Klebsiella sp. FDAARGOS_511,2,1
2608929,2,1905288,Klebsiella sp. LTGPAF-6F,1,0
2608929,2,2015795,Klebsiella sp. LY,1,0
2608929,2,2675710,Klebsiella sp. WP3-W18-ESBL-02,1,0
2608929,2,2873296,Klebsiella sp. CTHL.F3a,1,0
2608929,2,2834819,Klebsiella sp. A52,1,0
570,2,2058152,Klebsiella grimontii,15,7
570,2,2587529,Klebsiella pasteurii,2,1
543,1,544,Citrobacter,23077,11985
544,1,1344959,Citrobacter freundii complex,8262,4291
1344959,2,546,Citrobacter freundii,1578,819
1344959,2,1639133,Citrobacter portucalensis,161,83
1344959,2,57706,Citrobacter braakii,104,54
1344959,2,67827,Citrobacter werkmanii,66,34
1344959,2,133448,Citrobacter youngae,35,18
1344959,1,2816438,unclassified Citrobacter freundii complex,30,15
2816438,2,1686384,Citrobacter sp. BIDMC107,22,11
2816438,2,2066049,Citrobacter freundii complex sp. CFNIH2,4,2
2816438,2,2529121,Citrobacter sp. ABFQG,3,1
2816438,2,2077147,Citrobacter freundii complex sp. CFNIH3,1,0
1344959,2,67826,Citrobacter sedlakii,6,3
544,2,545,Citrobacter koseri,6076,3155
544,1,2644389,unclassified Citrobacter,138,71
2644389,2,2742624,Citrobacter sp. RHB25-C09,26,13
2644389,2,1573676,Citrobacter sp. R56,21,10
2644389,2,1703250,Citrobacter sp. CRE-46,10,5
2644389,2,2566012,Citrobacter sp. CF971,9,4
2644389,2,1702170,Citrobacter sp. FDAARGOS_156,6,3
2644389,2,2742657,Citrobacter sp. RHBSTW-00599,5,2
2644389,2,2861800,Citrobacter sp. Colony475,5,2
2644389,2,2742627,Citrobacter sp. RHB36-C18,5,2
2644389,2,2742655,Citrobacter sp. RHBSTW-00570,3,1
2644389,2,2742675,Citrobacter sp. RHBSTW-00986,3,1
2644389,2,2861801,Citrobacter sp. Colony322,3,1
2644389,2,2742626,Citrobacter sp. RHB35-C21,3,1
2644389,2,2697370,Citrobacter sp. LUTT5,3,1
2644389,2,2742653,Citrobacter sp. RHBSTW-00524,2,1
2644389,2,2742677,Citrobacter sp. RHBSTW-01013,2,1
2644389,2,2683822,Citrobacter sp. 172116965,2,1
2644389,2,2861802,Citrobacter sp. Colony219,2,1
2644389,2,1439319,Citrobacter sp. MGH 55,2,1
2644389,2,184912,Citrobacter sp. TSA-1,1,0
2644389,2,2742625,Citrobacter sp. RHB35-C17,1,0
2644389,2,2742629,Citrobacter sp. RHBSTW-00017,1,0
2644389,2,2742636,Citrobacter sp. RHBSTW-00127,1,0
2644389,2,2781952,Citrobacter sp. BDA59-3,1,0
544,2,2546350,Citrobacter arsenatis,48,24
544,2,2562449,Citrobacter tructae,43,22
544,2,1563222,Citrobacter pasteurii,31,16
544,2,35703,Citrobacter amalonaticus,19,9
544,2,67824,Citrobacter farmeri,19,9
544,2,67825,Citrobacter rodentium,18,9
544,2,1748967,Citrobacter cronae,14,7
543,1,83654,Leclercia,6401,3324
83654,2,83655,Leclercia adecarboxylata,6317,3280
83654,1,2627398,unclassified Leclercia,8,4
2627398,2,1920114,Leclercia sp. LSNIH1,2,1
2627398,2,2282310,Leclercia sp. W6,2,1
2627398,2,2681308,Leclercia sp. 119287,2,1
2627398,2,2681307,Leclercia sp. J807,1,0
2627398,2,2898725,Leclercia sp. G3L,1,0
83654,2,2815358,Leclercia pneumoniae,3,1
543,1,413496,Cronobacter,4661,2420
413496,2,28141,Cronobacter sakazakii,4506,2340
413496,2,1163710,Cronobacter condimenti,4,2
413496,2,535744,Cronobacter universalis,2,1
413496,2,413497,Cronobacter dublinensis,1,0
413496,2,413501,Cronobacter muytjensii,1,0
413496,2,413503,Cronobacter malonaticus,1,0
413496,1,2649764,unclassified Cronobacter,1,0
2649764,2,1906275,Cronobacter sp. JZ38,1,0
543,1,547,Enterobacter,2954,1534
547,1,354276,Enterobacter cloacae complex,1751,909
354276,2,158836,Enterobacter hormaechei,225,116
354276,2,550,Enterobacter cloacae,81,42
354276,2,61645,Enterobacter asburiae,38,19
354276,2,1812935,Enterobacter roggenkampii,36,18
354276,1,2757714,unclassified Enterobacter cloacae complex,24,12
2757714,2,2027919,Enterobacter cloacae complex sp.,10,5
2757714,2,1686399,Enterobacter sp. BIDMC100,7,3
2757714,2,1329841,Enterobacter sp. BIDMC 29,3,1
2757714,2,1329823,Enterobacter sp. MGH 14,1,0
2757714,2,2850494,Enterobacter cloacae complex sp. ECL68,1,0
2757714,2,2850493,Enterobacter cloacae complex sp. ECL112,1,0
354276,2,208224,Enterobacter kobei,13,6
354276,2,69218,Enterobacter cancerogenus,12,6
354276,2,299767,Enterobacter ludwigii,10,5
354276,2,2494701,Enterobacter chengduensis,6,3
354276,2,2497875,Enterobacter chuandaensis,5,2
354276,2,2071710,Enterobacter sichuanensis,1,0
547,1,2608935,unclassified Enterobacter,29,15
2608935,2,1914861,Enterobacter sp. SA187,4,2
2608935,2,2742676,Enterobacter sp. RHBSTW-00994,3,1
2608935,2,2724468,Enterobacter sp. JUb54,2,1
2608935,2,2742639,Enterobacter sp. RHBSTW-00175,2,1
2608935,2,2747372,Enterobacter sp. DSM 30060,2,1
2608935,2,648691,Enterobacter sp. YSU,2,1
2608935,2,2742646,Enterobacter sp. RHBSTW-00422,1,0
2608935,2,2866201,Enterobacter sp. Colony194,1,0
2608935,2,1848517,Enterobacter sp. LU1,1,0
2608935,2,2742673,Enterobacter sp. RHBSTW-00975,1,0
2608935,2,2976431,Enterobacter sp. CP102,1,0
2608935,2,2051905,Enterobacter sp. CRENT-193,1,0
2608935,2,2831891,Enterobacter sp. JBIWA005,1,0
2608935,2,2705458,Enterobacter sp. SES19,1,0
547,2,539813,Enterobacter mori,10,5
547,2,2478464,Enterobacter oligotrophicus,6,3
547,2,881260,Enterobacter bugandensis,4,2
547,2,2494702,Enterobacter huaxiensis,2,1
543,1,561,Escherichia,208,108
561,2,562,Escherichia coli,191,99
561,2,564,Escherichia fergusonii,2,1
561,2,208962,Escherichia albertii,2,1
543,1,590,Salmonella,105,54
590,2,28901,Salmonella enterica,100,51
590,2,54736,Salmonella bongori,1,0
84564,1,203804,Candidatus Blochmannia,19,9
203804,1,711328,unclassified Candidatus Blochmannia,9,4
711328,2,2681986,Blochmannia endosymbiont of Camponotus nipponensis,3,1
711328,2,2681987,Blochmannia endosymbiont of Colobopsis nipponica,3,1
711328,2,1505597,Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus,2,1
711328,2,1505596,Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri,1,0
203804,2,251540,Candidatus Blochmannia vicinus,8,4
203804,2,251538,Candidatus Blochmannia ocreatus,1,0
146507,1,568987,Candidatus Hamiltonella,2,1
568987,2,138072,Candidatus Hamiltonella defensa,2,1
146507,2,1199245,secondary endosymbiont of Ctenarytaina eucalypti,1,0
84563,1,472825,Candidatus Purcelliella,2,1
472825,2,472834,Candidatus Purcelliella pentastirinorum,2,1
84563,1,801,Symbiopectobacterium,1,0
801,2,2871826,Symbiopectobacterium purcellii,1,0
199891,2,1835721,secondary endosymbiont of Trabutina mannipara,1,0
84563,1,1906657,Candidatus Doolittlea,1,0
1906657,2,1778262,Candidatus Doolittlea endobia,1,0
84563,1,1906659,Candidatus Hoaglandella,1,0
1906659,2,1778263,Candidatus Hoaglandella endobia,1,0
543,1,1330547,Kosakonia,26,13
1330547,1,2632876,unclassified Kosakonia,6,3
2632876,2,2725560,Kosakonia sp. SMBL-WEM22,4,2
2632876,2,2492396,Kosakonia sp. CCTCC M2018092,1,0
2632876,2,2980557,Kosakonia sp. ML.JS2a,1,0
1330547,2,283686,Kosakonia radicincitans,4,2
1330547,2,1646340,Kosakonia pseudosacchari,3,1
1330547,2,208223,Kosakonia cowanii,2,1
1330547,2,551989,Kosakonia arachidis,2,1
1330547,2,497725,Kosakonia oryzae,1,0
1330547,2,1005665,Kosakonia oryzendophytica,1,0
1330547,2,1158459,Kosakonia sacchari,1,0
36866,2,2675795,Enterobacteriaceae endosymbiont of Plateumaris pusilla,9,4
36866,2,2675797,Enterobacteriaceae endosymbiont of Plateumaris sericea,4,2
36866,2,2675787,Enterobacteriaceae endosymbiont of Donacia tomentosa,3,1
543,1,620,Shigella,15,7
620,2,623,Shigella flexneri,7,3
620,2,622,Shigella dysenteriae,4,2
620,2,621,Shigella boydii,2,1
620,2,624,Shigella sonnei,1,0
543,1,702,Plesiomonas,10,5
702,2,703,Plesiomonas shigelloides,10,5
543,1,82976,Buttiauxella,8,4
82976,1,2634062,unclassified Buttiauxella,6,3
2634062,2,2986951,Buttiauxella sp. WJP83,5,2
2634062,2,2479367,Buttiauxella sp. 3AFRM03,1,0
543,1,2815296,Jejubacter,8,4
2815296,2,2579935,Jejubacter calystegiae,8,4
543,1,158483,Cedecea,6,3
158483,2,158822,Cedecea neteri,5,2
543,1,1903434,Atlantibacter,6,3
1903434,2,565,Atlantibacter hermannii,6,3
543,1,1330546,Pluralibacter,6,3
1330546,2,61647,Pluralibacter gergoviae,4,2
1330546,2,1334193,[Enterobacter] lignolyticus,2,1
543,1,1330545,Lelliottia,6,3
1330545,2,61646,Lelliottia amnigena,5,2
1330545,1,2642424,unclassified Lelliottia,1,0
543,1,1177214,Candidatus Profftia,5,2
1177214,2,1177216,Candidatus Profftia tarda,3,1
1177214,2,1987921,Candidatus Profftia lariciata,2,1
543,1,579,Kluyvera,3,1
579,2,61648,Kluyvera intermedia,3,1
543,1,2726810,Scandinavium,3,1
2726810,2,1851514,Scandinavium goeteborgense,3,1
543,1,401618,Candidatus Riesia,3,1
401618,2,401619,Candidatus Riesia pediculicola,3,1
543,1,1048757,Candidatus Moranella,2,1
1048757,2,1048758,Candidatus Moranella endobia,2,1
543,1,447792,Phytobacter,2,1
447792,2,395631,Phytobacter diazotrophicus,1,0
447792,2,1972431,Phytobacter ursingii,1,0
543,1,409304,Candidatus Ishikawaella,2,1
409304,2,168169,Candidatus Ishikawaella capsulata,2,1
1903414,1,583,Proteus,12076,6271
583,2,585,Proteus vulgaris,6369,3307
583,2,102862,Proteus penneri,4732,2457
583,2,584,Proteus mirabilis,256,132
583,2,1574161,Proteus terrae,86,44
583,1,257482,unclassified Proteus,32,16
257482,2,2883107,Proteus sp. NMG38-2,19,9
257482,2,1921565,Proteus sp. CD3,8,4
257482,2,2697019,Proteus sp. ZN5,4,2
583,2,183417,Proteus hauseri,11,5
583,2,1987580,Proteus columbae,7,3
1903414,1,586,Providencia,4166,2163
586,2,333965,Providencia vermicola,693,359
586,2,588,Providencia stuartii,355,184
586,1,2633465,unclassified Providencia,296,153
2633465,2,3015951,Providencia sp. 21OH12SH02B-Prov,279,144
2633465,2,2828763,Providencia sp. R33,9,4
2633465,2,2939731,Providencia sp. PROV188,3,1
2633465,2,2791982,Providencia sp. 2.29,1,0
586,2,587,Providencia rettgeri,105,54
586,2,126385,Providencia alcalifaciens,34,17
586,2,516075,Providencia sneebia,15,7
586,2,158850,Providencia rustigianii,13,6
586,2,333962,Providencia heimbachae,11,5
1903414,1,581,Morganella,33,17
581,2,582,Morganella morganii,33,17
1903414,1,626,Xenorhabdus,13,6
626,2,290110,Xenorhabdus budapestensis,4,2
626,2,351671,Xenorhabdus doucetiae,4,2
626,2,40576,Xenorhabdus bovienii,3,1
626,2,628,Xenorhabdus nematophila,1,0
1903414,1,158848,Moellerella,10,5
158848,2,158849,Moellerella wisconsensis,10,5
1903414,1,29487,Photorhabdus,9,4
29487,2,2218628,Photorhabdus laumondii,4,2
29487,2,171438,Photorhabdus akhurstii,2,1
29487,2,291112,Photorhabdus asymbiotica,2,1
29487,2,230089,Photorhabdus thracensis,1,0
1903414,1,637,Arsenophonus,5,2
637,1,2627083,unclassified Arsenophonus,3,1
2627083,2,1231049,Arsenophonus endosymbiont of Aphis craccivora,3,1
637,2,638,Arsenophonus nasoniae,1,0
637,2,634113,Candidatus Arsenophonus lipoptenae,1,0
1903412,1,568,Hafnia,15392,7994
568,2,569,Hafnia alvei,13640,7084
568,1,2621980,unclassified Hafnia,9,4
2621980,2,1848580,Hafnia sp. CBA7124,9,4
568,2,546367,Hafnia paralvei,8,4
1903412,1,635,Edwardsiella,9,4
635,2,636,Edwardsiella tarda,3,1
635,2,67780,Edwardsiella ictaluri,2,1
635,2,93378,Edwardsiella hoshinae,2,1
1903412,1,82982,Obesumbacterium,5,2
82982,2,82983,Obesumbacterium proteus,5,2
1903411,1,613,Serratia,9723,5049
613,2,615,Serratia marcescens,8823,4582
613,1,2647522,unclassified Serratia,30,15
2647522,2,2420306,Serratia sp. FDAARGOS_506,8,4
2647522,2,1327989,Serratia sp. FS14,7,3
2647522,2,2724469,Serratia sp. JUb9,7,3
2647522,2,1758196,Serratia sp. SSNIH1,2,1
2647522,2,2785630,Serratia sp. CMO1,2,1
2647522,2,104623,Serratia sp. ATCC 39006,1,0
2647522,2,2448483,Serratia sp. 3ACOL1,1,0
2647522,2,2482769,Serratia sp. P2ACOL2,1,0
613,2,2741499,Serratia surfactantfaciens,13,6
613,2,82996,Serratia plymuthica,10,5
613,2,614,Serratia liquefaciens,10,5
613,2,42906,Serratia entomophila,8,4
613,2,47917,Serratia fonticola,7,3
613,2,61652,Serratia rubidaea,6,3
613,2,300181,Serratia ureilytica,5,2
613,2,138074,Serratia symbiotica,4,2
613,2,82995,Serratia grimesii,3,1
613,2,618,Serratia odorifera,3,1
613,2,28151,Serratia proteamaculans,2,1
613,2,137545,Serratia quinivorans,1,0
613,2,2597702,Serratia rhizosphaerae,1,0
1903411,1,629,Yersinia,59,30
629,1,1649845,Yersinia pseudotuberculosis complex,13,6
1649845,2,632,Yersinia pestis,7,3
1649845,2,367190,Yersinia similis,4,2
1649845,2,633,Yersinia pseudotuberculosis,2,1
629,2,29483,Yersinia aldovae,9,4
629,2,29486,Yersinia ruckeri,8,4
629,2,630,Yersinia enterocolitica,7,3
629,2,2890317,Yersinia alsatica,6,3
629,2,2339259,Yersinia hibernica,4,2
629,2,29484,Yersinia frederiksenii,2,1
629,2,263819,Yersinia aleksiciae,1,0
629,1,2653513,unclassified Yersinia (in: enterobacteria),1,0
2653513,2,2992843,Yersinia sp. SCPM-O-B-9106 (C-191),1,0
629,2,2607663,Yersinia canariae,1,0
629,2,631,Yersinia intermedia,1,0
1903411,1,34037,Rahnella,9,4
34037,2,34038,Rahnella aquatilis,7,3
34037,2,58169,Rahnella inusitata,1,0
34037,1,2635087,unclassified Rahnella,1,0
2635087,2,1805933,Rahnella sp. ERMR1:05,1,0
1903411,1,1964366,Nissabacter,5,2
1964366,1,2636213,unclassified Nissabacter,5,2
2636213,2,2126321,Nissabacter sp. SGAir0207,5,2
1903411,1,1565532,Rouxiella,4,2
1565532,2,1513468,Rouxiella chamberiensis,2,1
1565532,2,1646377,Rouxiella badensis,2,1
1903411,1,1745211,Chania,4,2
1745211,2,1639108,Chania multitudinisentens,4,2
1903411,1,1927833,Candidatus Fukatsuia,2,1
1927833,2,1878942,Candidatus Fukatsuia symbiotica,2,1
1903411,1,41201,Ewingella,1,0
41201,2,41202,Ewingella americana,1,0
1903411,1,929812,Gibbsiella,1,0
929812,2,929813,Gibbsiella quercinecans,1,0
1903409,1,53335,Pantoea,8857,4600
53335,1,1654067,Pantoea agglomerans group,8663,4499
1654067,2,549,Pantoea agglomerans,8663,4499
53335,2,470934,Pantoea vagans,28,14
53335,2,553,Pantoea ananatis,19,9
53335,2,470933,Pantoea eucalypti,11,5
53335,1,2630326,unclassified Pantoea,8,4
2630326,2,2490851,Pantoea sp. CCBC3-3-1,4,2
2630326,2,592316,Pantoea sp. At-9b,1,0
2630326,2,2052056,Pantoea sp. MSR2,1,0
2630326,2,2575375,Pantoea sp. SO10,1,0
2630326,2,2768165,Pantoea sp. MT58,1,0
53335,2,59814,Pantoea dispersa,7,3
53335,2,470931,Pantoea anthophila,4,2
53335,2,470932,Pantoea deleyi,4,2
53335,2,66269,Pantoea stewartii,2,1
53335,2,55209,Pantoea cypripedii,1,0
53335,2,1235990,Candidatus Pantoea carbekii,1,0
1903409,1,32199,Buchnera,74,38
32199,2,9,Buchnera aphidicola,74,38
1903409,1,551,Erwinia,25,12
551,2,55212,Erwinia rhapontici,6,3
551,1,2622719,unclassified Erwinia,6,3
2622719,2,215689,Erwinia sp. Ejp617,3,1
2622719,2,2681984,Erwinia sp. J780,3,1
551,2,1922217,Candidatus Erwinia haradaeae,4,2
551,2,55211,Erwinia persicina,2,1
551,2,182337,Erwinia billingiae,2,1
551,2,552,Erwinia amylovora,1,0
551,2,65700,Erwinia tracheiphila,1,0
551,2,338565,Erwinia tasmaniensis,1,0
1903409,1,2100764,Mixta,20,10
2100764,2,665914,Mixta gaviniae,16,8
2100764,2,665913,Mixta calida,2,1
2100764,2,1615494,Mixta intestinalis,1,0
1903409,1,82986,Tatumella,4,2
1903410,1,122277,Pectobacterium,26,13
122277,2,29471,Pectobacterium atrosepticum,4,2
122277,2,554,Pectobacterium carotovorum,4,2
122277,2,180957,Pectobacterium brasiliense,4,2
122277,2,1905730,Pectobacterium parmentieri,4,2
122277,2,55208,Pectobacterium wasabiae,2,1
122277,2,2778550,Pectobacterium parvum,2,1
122277,2,2878098,Pectobacterium colocasium,1,0
122277,2,2042057,Pectobacterium polaris,1,0
122277,2,69221,Pectobacterium cacticida,1,0
1903410,1,204037,Dickeya,8,4
204037,2,204038,Dickeya dadantii,1,0
204037,2,204039,Dickeya dianthicola,1,0
204037,2,568768,Dickeya poaceiphila,1,0
204037,1,2622466,unclassified Dickeya,1,0
2622466,2,2037915,Dickeya sp. Secpp 1600,1,0
1903410,1,71655,Brenneria,4,2
71655,2,2722756,Brenneria izadpanahii,1,0
1903410,1,2884243,Musicola,2,1
2884243,2,69223,Musicola paradisiaca,2,1
1903416,1,82980,Leminorella,22,11
82980,2,158841,Leminorella richardii,22,11
2812006,1,84565,Sodalis,6,3
84565,2,1486991,Candidatus Sodalis pierantonius,2,1
84565,2,2697027,Sodalis ligni,1,0
468,1,469,Acinetobacter,59043,30664
469,1,909768,Acinetobacter calcoaceticus/baumannii complex,36015,18704
909768,2,48296,Acinetobacter pittii,17819,9254
909768,2,106654,Acinetobacter nosocomialis,11344,5891
909768,2,470,Acinetobacter baumannii,3500,1817
909768,2,1530123,Acinetobacter seifertii,307,159
909768,2,471,Acinetobacter calcoaceticus,284,147
909768,2,1785128,Acinetobacter lactucae,52,27
469,2,28090,Acinetobacter lwoffii,6272,3257
469,1,196816,unclassified Acinetobacter,556,288
196816,2,2923375,Acinetobacter sp. XS-4,47,24
196816,2,2836181,Acinetobacter sp. BHS4,30,15
196816,2,2913495,Acinetobacter sp. AHP123,26,13
196816,2,2708348,Acinetobacter sp. WY4,26,13
196816,2,1646498,Acinetobacter sp. TTH0-4,24,12
196816,2,2871688,Acinetobacter sp. AS23,23,11
196816,2,2798861,Acinetobacter sp. CS-2,22,11
196816,2,2725684,Acinetobacter sp. NEB149,21,10
196816,2,2563897,Acinetobacter sp. 10FS3-1,20,10
196816,2,2953738,Acinetobacter sp. Z1,18,9
196816,2,2773709,Acinetobacter sp. ASP199,17,8
196816,2,1808001,Acinetobacter sp. LoGeW2-3,16,8
196816,2,1407071,Acinetobacter sp. TGL-Y2,14,7
196816,2,2714110,Acinetobacter sp. Marseille-Q1620,14,7
196816,2,1608473,Acinetobacter sp. NCu2D-2,13,6
196816,2,3020716,Acinetobacter sp. GSS19,11,5
196816,2,2853158,Acinetobacter sp. F9,10,5
196816,2,1879049,Acinetobacter sp. WCHAc010034,9,4
196816,2,2609668,Acinetobacter sp. C16S1,9,4
196816,2,2004647,Acinetobacter sp. WCHAc010052,8,4
196816,2,2943497,Acinetobacter sp. Y-23,8,4
196816,2,2675741,Acinetobacter sp. BEC1-S18-ESBL-01,7,3
196816,2,2950074,Acinetobacter sp. C32I,5,2
196816,2,2908637,Acinetobacter sp. SCLZS86,5,2
196816,2,710648,Acinetobacter sp. Tol 5,5,2
196816,2,2004644,Acinetobacter sp. WCHA45,4,2
196816,2,2743575,Acinetobacter sp. NEB 394,4,2
196816,2,2929514,Acinetobacter sp. YH16056_T,4,2
196816,2,2929509,Acinetobacter sp. NyZ410,4,2
196816,2,3003393,Acinetobacter sp. TR11,4,2
196816,2,2929515,Acinetobacter sp. YH12068_T,3,1
196816,2,2929512,Acinetobacter sp. YH16040_T,3,1
196816,2,2781976,Acinetobacter sp. Ac-14,3,1
196816,2,2004646,Acinetobacter sp. WCHA55,3,1
196816,2,2079596,Acinetobacter sp. SWBY1,3,1
196816,2,1636603,Acinetobacter sp. ACNIH1,2,1
196816,2,2810070,Acinetobacter sp. Colony158,2,1
196816,2,2420300,Acinetobacter sp. FDAARGOS_493,2,1
196816,2,2545797,Acinetobacter sp. FDAARGOS_724,2,1
196816,2,1827285,Acinetobacter sp. MYb10,2,1
196816,2,2925837,Acinetobacter sp. LUNF3,1,0
196816,2,2601122,Acinetobacter sp. YH12138,1,0
196816,2,2420305,Acinetobacter sp. FDAARGOS_560,1,0
196816,2,2905879,Acinetobacter sp. SH20PTE14,1,0
196816,2,3003392,Acinetobacter sp. TR3,1,0
196816,2,2930198,Acinetobacter sp. PK01,1,0
469,2,40214,Acinetobacter johnsonii,74,38
469,2,40215,Acinetobacter junii,68,35
469,2,756892,Acinetobacter indicus,62,32
469,2,2053287,Acinetobacter pseudolwoffii,31,16
469,2,29430,Acinetobacter haemolyticus,30,15
469,2,108981,Acinetobacter schindleri,30,15
469,2,70346,Acinetobacter variabilis,29,15
469,2,40216,Acinetobacter radioresistens,25,12
469,2,1871111,Acinetobacter defluvii,24,12
469,2,1839785,Acinetobacter portensis,24,12
469,2,202954,Acinetobacter tandoii,24,12
469,2,2715164,Acinetobacter shaoyimingii,18,9
469,2,52133,Acinetobacter venetianus,18,9
469,2,108980,Acinetobacter ursingii,17,8
469,2,1879050,Acinetobacter wuhouensis,17,8
469,2,1776742,Acinetobacter vivianii,17,8
469,2,2136182,Acinetobacter cumulans,16,8
469,2,2006115,Acinetobacter piscicola,16,8
469,2,487316,Acinetobacter soli,15,7
469,2,202956,Acinetobacter towneri,14,7
469,2,134534,Acinetobacter gyllenbergii,14,7
469,2,1789224,Acinetobacter larvae,13,6
469,2,1324350,Acinetobacter equi,13,6
469,2,280145,Acinetobacter colistiniresistens,11,5
469,2,2662362,Acinetobacter wanghuae,11,5
469,2,1148157,Acinetobacter oleivorans,10,5
469,2,2715163,Acinetobacter lanii,9,4
469,2,202950,Acinetobacter baylyi,9,4
469,2,106648,Acinetobacter bereziniae,8,4
469,2,70348,Acinetobacter dispersus,7,3
469,2,2004650,Acinetobacter chinensis,3,1
469,2,465797,Acinetobacter septicus,2,1
469,2,202951,Acinetobacter bouvetii,1,0
469,2,106649,Acinetobacter guillouiae,1,0
468,1,475,Moraxella,1121,582
475,2,34062,Moraxella osloensis,1107,574
475,2,2904121,Moraxella nasovis,3,1
475,1,2685852,unclassified Moraxella,2,1
2685852,2,2953752,Moraxella sp. FZFQ2102,1,0
475,2,476,Moraxella bovis,1,0
475,2,478,Moraxella nonliquefaciens,1,0
468,1,497,Psychrobacter,22,11
497,1,196806,unclassified Psychrobacter,11,5
196806,2,1699621,Psychrobacter sp. P11F6,4,2
196806,2,2772254,Psychrobacter sp. 28M-43,2,1
196806,2,1699623,Psychrobacter sp. P11G3,1,0
196806,2,56811,Psychrobacter sp.,1,0
497,2,45610,Psychrobacter urativorans,2,1
497,2,334543,Psychrobacter arcticus,2,1
497,2,256326,Psychrobacter arenosus,1,0
497,2,861445,Psychrobacter sanguinis,1,0
712,1,724,Haemophilus,44999,23370
724,2,735,Haemophilus parahaemolyticus,19435,10093
724,2,729,Haemophilus parainfluenzae,11308,5872
724,2,249188,Haemophilus pittmaniae,5598,2907
724,2,726,Haemophilus haemolyticus,4837,2512
724,2,727,Haemophilus influenzae,3129,1625
724,1,2609962,unclassified Haemophilus,14,7
2609962,2,712310,Haemophilus sp. oral taxon 036,14,7
724,2,730,[Haemophilus] ducreyi,1,0
724,2,197575,Haemophilus aegyptius,1,0
712,1,2094023,Glaesserella,41,21
2094023,2,738,Glaesserella parasuis,41,21
712,1,713,Actinobacillus,35,18
713,2,715,Actinobacillus pleuropneumoniae,13,6
713,2,51161,Actinobacillus delphinicola,10,5
713,2,189834,Actinobacillus porcitonsillarum,4,2
713,2,716,Actinobacillus suis,2,1
713,1,2644856,unclassified Actinobacillus,2,1
2644856,2,2774188,Actinobacillus sp. GY-402,2,1
713,2,718,Actinobacillus equuli,1,0
713,2,720,Actinobacillus lignieresii,1,0
712,1,745,Pasteurella,24,12
745,2,747,Pasteurella multocida,7,3
712,1,416916,Aggregatibacter,20,10
416916,2,732,Aggregatibacter aphrophilus,9,4
416916,2,714,Aggregatibacter actinomycetemcomitans,7,3
416916,1,2639383,unclassified Aggregatibacter,3,1
2639383,2,2820817,Aggregatibacter sp. 2125159857,3,1
712,1,75984,Mannheimia,16,8
75984,2,75985,Mannheimia haemolytica,6,3
75984,2,85402,Mannheimia granulomatis,2,1
75984,2,85404,Mannheimia varigena,2,1
75984,2,2679994,Mannheimia ovis,1,0
75984,2,2770636,Mannheimia bovis,1,0
712,1,476528,Bibersteinia,8,4
476528,2,47735,Bibersteinia trehalosi,8,4
712,1,1960084,Rodentibacter,5,2
1960084,2,1906744,Rodentibacter heylii,3,1
1960084,2,2778911,Rodentibacter haemolyticus,2,1
712,1,214906,Histophilus,4,2
214906,2,731,Histophilus somni,4,2
