read_accession_id,read_accession_total_count,root,kraken_classified_root,superkingdom,kraken_classified_superkingdom,phylum,kraken_classified_phylum,class,kraken_classified_class,order,kraken_classified_order,family,kraken_classified_family,genus,kraken_classified_genus,species,kraken_classified_species
CP097095.1,1572,root,656,Bacteria,641,Actinomycetota,550,Actinomycetes,548,Actinomycetales,287,Actinomycetaceae,287,Actinomyces,187,Actinomyces graevenitzii,0
NZ_LT635457.1,6436,root,6409,Bacteria,6409,Actinomycetota,6409,Actinomycetes,6409,Actinomycetales,6409,Actinomycetaceae,6409,Actinomyces,6409,Actinomyces pacaensis,6409
NZ_CAKAHJ010000001.1,4957,root,4244,Bacteria,4215,Actinomycetota,4124,Actinomycetes,4120,Actinomycetales,3866,Actinomycetaceae,3866,Actinomyces,18,uncultured Actinomyces sp.,0
NZ_CP124548.1,75,root,74,Bacteria,74,Actinomycetota,74,Actinomycetes,74,Actinomycetales,74,Actinomycetaceae,74,Actinomyces,74,Actinomyces israelii,74
NZ_CP012072.1,3280,root,3268,Bacteria,3268,Actinomycetota,3268,Actinomycetes,3268,Actinomycetales,3268,Actinomycetaceae,3268,Schaalia,3268,Schaalia meyeri,3267
NZ_CP033459.1,6778,root,6759,Bacteria,6759,Bacteroidota,6759,Bacteroidia,6757,Bacteroidales,6757,Prevotellaceae,6757,Pseudoprevotella,6754,Pseudoprevotella muciniphila,6754
CAKAFU010000002.1,1558,root,491,Bacteria,457,Bacteroidota,370,Bacteroidia,316,Bacteroidales,314,Prevotellaceae,224,Alloprevotella,0,Alloprevotella tannerae,0
NZ_CP032823.1,10110,root,10073,Bacteria,10073,Campylobacterota,10073,Epsilonproteobacteria,10073,Campylobacterales,10073,Arcobacteraceae,10073,Aliarcobacter,10066,Aliarcobacter cryaerophilus,10050
NZ_CP036550.1,700,root,700,Bacteria,700,Bacteroidota,700,Bacteroidia,697,Bacteroidales,697,Bacteroidaceae,689,Bacteroides,686,Bacteroides fragilis,680
NZ_CP040630.1,5314,root,5296,Bacteria,5296,Bacteroidota,5296,Bacteroidia,5253,Bacteroidales,5253,Bacteroidaceae,4965,Bacteroides,4910,Bacteroides sp. PHL 2737,84
NZ_CP102541.1,3698,root,3686,Bacteria,3686,Actinomycetota,3686,Actinomycetes,3686,Bifidobacteriales,3686,Bifidobacteriaceae,3686,Bifidobacterium,3686,Bifidobacterium longum,3296
NZ_CP049272.1,32,root,32,Bacteria,32,Campylobacterota,32,Epsilonproteobacteria,32,Campylobacterales,32,Campylobacteraceae,32,Campylobacter,32,Campylobacter concisus,32
NZ_CP082871.1,4569,root,4552,Bacteria,4552,Campylobacterota,4551,Epsilonproteobacteria,4551,Campylobacterales,4551,Campylobacteraceae,4551,Campylobacter,4551,Campylobacter hominis,4548
NZ_CP012544.1,7024,root,7003,Bacteria,7003,Campylobacterota,7003,Epsilonproteobacteria,7003,Campylobacterales,7003,Campylobacteraceae,7003,Campylobacter,7003,Campylobacter showae,6987
NZ_CALGPY010000005.1,10532,root,10144,Bacteria,10095,Campylobacterota,10068,Epsilonproteobacteria,10068,Campylobacterales,10068,Campylobacteraceae,10061,Campylobacter,10061,uncultured Campylobacter sp.,0
NZ_CP022386.1,4861,root,4844,Bacteria,4844,Bacteroidota,4844,Flavobacteriia,4844,Flavobacteriales,4844,Flavobacteriaceae,4844,Capnocytophaga,4844,Capnocytophaga gingivalis,4839
NZ_CP022384.1,7659,root,7628,Bacteria,7628,Bacteroidota,7628,Flavobacteriia,7625,Flavobacteriales,7625,Flavobacteriaceae,7623,Capnocytophaga,7623,Capnocytophaga leadbetteri,7463
NZ_CP022379.1,814,root,812,Bacteria,812,Bacteroidota,812,Flavobacteriia,812,Flavobacteriales,812,Flavobacteriaceae,812,Capnocytophaga,812,Capnocytophaga sputigena,812
ACIL03000013.1,4488,root,1498,Bacteria,968,Bacillota,748,Clostridia,535,Eubacteriales,108,Lachnospiraceae,358,Catonella,0,Catonella morbi,0
NC_001464.1,2418,root,2411,Viruses,2411,unclassified Viruses phylum,0,unclassified Viruses class,0,unclassified Viruses order,0,Pospiviroidae,2411,Pospiviroid,2411,Citrus exocortis viroid,2411
NZ_CP073092.1,5541,root,5521,Bacteria,5521,Actinomycetota,5520,Actinomycetes,5520,Mycobacteriales,5493,Corynebacteriaceae,5493,Corynebacterium,5493,Corynebacterium tuberculostearicum,5398
NZ_CP101133.1,2708,root,2697,Bacteria,2697,Actinomycetota,2697,Actinomycetes,2697,Mycobacteriales,2697,Corynebacteriaceae,2697,Corynebacterium,2697,Corynebacterium pseudotuberculosis,2692
NZ_CP100372.1,3602,root,3587,Bacteria,3587,Actinomycetota,3587,Actinomycetes,3587,Mycobacteriales,3587,Corynebacteriaceae,3587,Corynebacterium,3587,Corynebacterium pseudodiphtheriticum,3492
NZ_CP063195.1,4770,root,4762,Bacteria,4762,Actinomycetota,4761,Actinomycetes,4761,Mycobacteriales,4718,Corynebacteriaceae,4718,Corynebacterium,4718,Corynebacterium jeikeium,4568
NZ_CP100361.1,2529,root,2522,Bacteria,2522,Actinomycetota,2516,Actinomycetes,2516,Mycobacteriales,2515,Corynebacteriaceae,2515,Corynebacterium,2515,Corynebacterium propinquum,2494
NZ_CP024931.1,3189,root,3180,Bacteria,3180,Actinomycetota,3169,Actinomycetes,3169,Mycobacteriales,3145,Corynebacteriaceae,3145,Corynebacterium,3145,Corynebacterium striatum,3060
NZ_AP027140.1,8562,root,8524,Bacteria,8524,Actinomycetota,8524,Actinomycetes,8524,Mycobacteriales,8524,Corynebacteriaceae,8524,Corynebacterium,8524,Corynebacterium ulcerans,7219
