accession_id,total_reads,genus,genus_taxid,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_true_positive,species_true_negative,species_false_positive,species_false_negative
CP097095.1,1572,Actinomyces,1654,14302,1126576,40,6834,Actinomyces graevenitzii,55565,0,1146180,0,1572
NZ_LT635457.1,6436,Actinomyces,1654,14302,1126576,40,6834,Actinomyces pacaensis,1852377,6422,1141298,18,14
NZ_CAKAHJ010000001.1,4957,Actinomyces,1654,14302,1126576,40,6834,uncultured Actinomyces sp.,249061,0,1142795,0,4957
NZ_CP124548.1,75,Actinomyces,1654,14302,1126576,40,6834,Actinomyces israelii,1659,75,1147669,8,0
NZ_CP012072.1,3279,Schaalia,2529408,4501,1139429,2173,1649,Schaalia meyeri,52773,3272,1144378,95,7
NZ_CP033459.1,6778,Pseudoprevotella,2884814,6760,1140963,11,18,Pseudoprevotella muciniphila,2133944,6760,1140963,11,18
CAKAFU010000002.1,1558,Alloprevotella,1283313,0,1146194,0,1558,Alloprevotella tannerae,76122,0,1146194,0,1558
NZ_CP032823.1,10101,Aliarcobacter,2321111,9920,1137649,2,181,Aliarcobacter cryaerophilus,28198,9797,1137651,0,304
NZ_CP036550.1,700,Bacteroides,816,5511,1141603,135,503,Bacteroides fragilis,817,663,1146926,126,37
NZ_CP040630.1,5314,Bacteroides,816,5511,1141603,135,503,Bacteroides sp. PHL 2737,2162637,24,1142438,0,5290
NZ_CP102541.1,3697,Bifidobacterium,1678,3696,1144014,41,1,Bifidobacterium longum,216816,2124,1144053,2,1573
NZ_CP049272.1,32,Campylobacter,194,19523,1125585,10,2634,Campylobacter concisus,199,32,1147635,85,0
NZ_CP082871.1,4569,Campylobacter,194,19523,1125585,10,2634,Campylobacter hominis,76517,4385,1143183,0,184
NZ_CP012544.1,7024,Campylobacter,194,19523,1125585,10,2634,Campylobacter showae,204,6962,1140208,520,62
NZ_CALGPY010000005.1,10532,Campylobacter,194,19523,1125585,10,2634,uncultured Campylobacter sp.,218934,0,1137220,0,10532
NZ_CP022386.1,4861,Capnocytophaga,1016,13277,1134440,5,30,Capnocytophaga gingivalis,1017,4794,1142889,2,67
NZ_CP022384.1,7635,Capnocytophaga,1016,13277,1134440,5,30,Capnocytophaga leadbetteri,327575,6926,1140117,0,709
NZ_CP022379.1,811,Capnocytophaga,1016,13277,1134440,5,30,Capnocytophaga sputigena,1019,779,1146933,8,32
ACIL03000013.1,4488,Catonella,43996,0,1143264,0,4488,Catonella morbi,43997,0,1143264,0,4488
NC_001464.1,2418,Pospiviroid,185753,2418,1145334,0,0,Citrus exocortis viroid,12890,2418,1145334,0,0
NZ_CP073092.1,5541,Corynebacterium,1716,30633,1116699,158,262,Corynebacterium tuberculostearicum,38304,5284,1142209,2,257
NZ_CP101133.1,2708,Corynebacterium,1716,30633,1116699,158,262,Corynebacterium pseudotuberculosis,1719,2676,1145034,10,32
NZ_CP100372.1,3601,Corynebacterium,1716,30633,1116699,158,262,Corynebacterium pseudodiphtheriticum,37637,3413,1144148,3,188
NZ_CP063195.1,4770,Corynebacterium,1716,30633,1116699,158,262,Corynebacterium jeikeium,38289,4484,1142980,2,286
NZ_CP100361.1,2529,Corynebacterium,1716,30633,1116699,158,262,Corynebacterium propinquum,43769,2436,1145221,2,93
NZ_CP024931.1,3184,Corynebacterium,1716,30633,1116699,158,262,Corynebacterium striatum,43770,2947,1144567,1,237
NZ_AP027140.1,8562,Corynebacterium,1716,30633,1116699,158,262,Corynebacterium ulcerans,65058,5195,1139189,1,3367
NC_001472.1,23879,Enterovirus,12059,29894,1093990,0,23868,Enterovirus B,138949,5910,1123836,37,17969
MT157224.1,1466,Enterovirus,12059,29894,1093990,0,23868,Human rhinovirus sp.,169066,0,1146286,0,1466
NC_038311.1,9378,Enterovirus,12059,29894,1093990,0,23868,Rhinovirus A,147711,9374,1138316,58,4
NC_009996.1,5858,Enterovirus,12059,29894,1093990,0,23868,Rhinovirus C,463676,5858,1141892,2,0
OQ842458.1,23879,Enterovirus,12059,29894,1093990,0,23868,Enterovirus B,138949,5910,1123836,37,17969
NC_038307.1,23879,Enterovirus,12059,29894,1093990,0,23868,Enterovirus B,138949,5910,1123836,37,17969
OQ842451.1,23879,Enterovirus,12059,29894,1093990,0,23868,Enterovirus B,138949,5910,1123836,37,17969
