parent_taxid,level,taxid,name,kraken_classifed_reads,NT_rPM
2890311,1,160674,Raoultella,15312.0,15312
160674,2,575,Raoultella planticola,10270.0,10270
160674,2,54291,Raoultella ornithinolytica,787.0,787
160674,1,2627600,unclassified Raoultella,9.0,9
2627600,2,2923366,Raoultella sp. HC6,5.0,5
2627600,2,2259647,Raoultella sp. X13,2.0,2
2627600,2,2993656,Raoultella sp. DY2415,2.0,2
160674,2,577,Raoultella terrigena,6.0,6
2890311,1,570,Klebsiella,9452.0,9452
570,2,1463165,Klebsiella quasipneumoniae,1574.0,1574
570,2,571,Klebsiella oxytoca,1014.0,1013
570,2,244366,Klebsiella variicola,370.0,370
570,2,573,Klebsiella pneumoniae,175.0,175
570,2,548,Klebsiella aerogenes,11.0,11
570,2,1134687,Klebsiella michiganensis,10.0,10
570,2,1259973,Klebsiella electrica,8.0,8
570,2,2026240,Klebsiella quasivariicola,8.0,8
570,2,2489010,Klebsiella africana,7.0,7
570,2,2153354,Klebsiella huaxiensis,6.0,6
570,1,2608929,unclassified Klebsiella,6.0,6
2608929,2,2873296,Klebsiella sp. CTHL.F3a,2.0,2
2608929,2,2834819,Klebsiella sp. A52,1.0,1
570,2,2058152,Klebsiella grimontii,1.0,1
543,1,544,Citrobacter,11296.0,11296
544,2,545,Citrobacter koseri,2349.0,2349
544,1,1344959,Citrobacter freundii complex,2305.0,2305
1344959,2,546,Citrobacter freundii,334.0,334
1344959,2,1639133,Citrobacter portucalensis,58.0,58
1344959,2,57706,Citrobacter braakii,27.0,27
1344959,2,133448,Citrobacter youngae,7.0,7
1344959,2,1748967,Citrobacter cronae,5.0,5
1344959,2,67827,Citrobacter werkmanii,3.0,3
1344959,1,2816438,unclassified Citrobacter freundii complex,3.0,3
2816438,2,1686380,Citrobacter sp. MGH105,1.0,1
2816438,2,1686385,Citrobacter sp. BIDMC108,1.0,1
2816438,2,2077149,Citrobacter freundii complex sp. CFNIH9,1.0,1
1344959,2,67828,Citrobacter gillenii,1.0,1
544,1,2644389,unclassified Citrobacter,16.0,16
2644389,2,2742624,Citrobacter sp. RHB25-C09,4.0,4
2644389,2,1573676,Citrobacter sp. R56,2.0,2
2644389,2,2861802,Citrobacter sp. Colony219,1.0,1
2644389,2,1702170,Citrobacter sp. FDAARGOS_156,1.0,1
2644389,2,184912,Citrobacter sp. TSA-1,1.0,1
2644389,2,2742668,Citrobacter sp. RHBSTW-00887,1.0,1
2644389,2,2697370,Citrobacter sp. LUTT5,1.0,1
2644389,2,2742655,Citrobacter sp. RHBSTW-00570,1.0,1
544,2,2562449,Citrobacter tructae,12.0,12
544,2,35703,Citrobacter amalonaticus,7.0,7
544,2,1563222,Citrobacter pasteurii,6.0,6
544,2,2546350,Citrobacter arsenatis,6.0,6
544,2,67825,Citrobacter rodentium,3.0,3
544,2,1914243,Citrobacter europaeus,3.0,3
544,2,2971264,Citrobacter enshiensis,2.0,2
543,1,83654,Leclercia,3288.0,3288
83654,2,83655,Leclercia adecarboxylata,2049.0,2049
83654,1,2627398,unclassified Leclercia,9.0,9
2627398,2,2714951,Leclercia sp. 29361,6.0,6
2627398,2,2681307,Leclercia sp. J807,2.0,2
2627398,2,1920114,Leclercia sp. LSNIH1,1.0,1
83654,2,2815358,Leclercia pneumoniae,2.0,2
543,1,413496,Cronobacter,2377.0,2377
413496,2,28141,Cronobacter sakazakii,2150.0,2150
413496,2,413503,Cronobacter malonaticus,4.0,4
413496,2,1163710,Cronobacter condimenti,1.0,1
543,1,547,Enterobacter,1444.0,1444
547,1,354276,Enterobacter cloacae complex,393.0,393
354276,2,158836,Enterobacter hormaechei,49.0,49
354276,2,550,Enterobacter cloacae,9.0,9
354276,2,61645,Enterobacter asburiae,5.0,5
354276,2,1812935,Enterobacter roggenkampii,4.0,4
354276,1,2757714,unclassified Enterobacter cloacae complex,4.0,4
2757714,2,2027919,Enterobacter cloacae complex sp.,3.0,3
2757714,2,1329841,Enterobacter sp. BIDMC 29,1.0,1
354276,2,299767,Enterobacter ludwigii,3.0,3
354276,2,69218,Enterobacter cancerogenus,2.0,2
354276,2,208224,Enterobacter kobei,2.0,2
354276,2,2497875,Enterobacter chuandaensis,2.0,2
354276,2,2071710,Enterobacter sichuanensis,1.0,1
547,1,2608935,unclassified Enterobacter,9.0,9
2608935,2,2742676,Enterobacter sp. RHBSTW-00994,3.0,3
2608935,2,2976431,Enterobacter sp. CP102,2.0,2
2608935,2,3077940,Enterobacter sp. DTU_2021_1002640_1_SI_PRY_ASU_LCPMC_013,1.0,1
2608935,2,2742639,Enterobacter sp. RHBSTW-00175,1.0,1
2608935,2,2724468,Enterobacter sp. JUb54,1.0,1
2608935,2,2866201,Enterobacter sp. Colony194,1.0,1
547,2,881260,Enterobacter bugandensis,5.0,5
547,2,539813,Enterobacter mori,3.0,3
547,2,885040,Enterobacter soli,1.0,1
547,2,2478464,Enterobacter oligotrophicus,1.0,1
547,2,2497436,Enterobacter quasiroggenkampii,1.0,1
547,2,2996112,Enterobacter pseudoroggenkampii,1.0,1
543,1,561,Escherichia,45.0,45
561,2,562,Escherichia coli,38.0,38
561,2,208962,Escherichia albertii,2.0,2
561,2,1499973,Escherichia marmotae,2.0,2
543,1,590,Salmonella,25.0,25
590,2,28901,Salmonella enterica,20.0,20
590,2,54736,Salmonella bongori,2.0,2
543,1,1330547,Kosakonia,7.0,7
1330547,2,208223,Kosakonia cowanii,3.0,3
1330547,2,283686,Kosakonia radicincitans,1.0,1
1330547,1,2632876,unclassified Kosakonia,1.0,1
2632876,2,3139408,Kosakonia sp. BYX6,1.0,1
36866,2,2675787,Enterobacteriaceae endosymbiont of Donacia tomentosa,3.0,3
36866,2,2675795,Enterobacteriaceae endosymbiont of Plateumaris pusilla,2.0,2
199891,2,1835721,secondary endosymbiont of Trabutina mannipara,2.0,2
146507,2,134287,secondary endosymbiont of Heteropsylla cubana,1.0,1
84563,1,472825,Candidatus Purcelliella,1.0,1
472825,2,472834,Candidatus Purcelliella pentastirinorum,1.0,1
84563,1,1302410,Candidatus Annandia,1.0,1
1302410,2,1302411,Candidatus Annandia adelgestsuga,1.0,1
84563,1,1906659,Candidatus Hoaglandella,1.0,1
1906659,2,1778263,Candidatus Hoaglandella endobia,1.0,1
543,1,620,Shigella,4.0,4
620,2,623,Shigella flexneri,2.0,2
620,2,621,Shigella boydii,1.0,1
543,1,158483,Cedecea,4.0,4
158483,2,158822,Cedecea neteri,3.0,3
158483,1,2649846,unclassified Cedecea,1.0,1
2649846,2,2545798,Cedecea sp. FDAARGOS_727,1.0,1
543,1,1330545,Lelliottia,3.0,3
1330545,2,61646,Lelliottia amnigena,3.0,3
543,1,447792,Phytobacter,2.0,2
543,1,579,Kluyvera,2.0,2
579,2,51288,Kluyvera ascorbata,1.0,1
579,2,61648,Kluyvera intermedia,1.0,1
