read_accession_id,taxid,count
CP097095.1,2603206,17
CP097095.1,2049,163
CP097095.1,72000,9
CP097095.1,196821,7
CP097095.1,2811111,1
CP097095.1,53335,2
CP097095.1,2872652,2
CP097095.1,2034,1
CP097095.1,2684406,13
CP097095.1,1654,797
CP097095.1,1660,725
CP097095.1,111015,76
CP097095.1,2609248,154
CP097095.1,2735133,4
CP097095.1,1760,972
CP097095.1,52774,87
CP097095.1,2895559,8
CP097095.1,545619,4
CP097095.1,68233,5
CP097095.1,1503041,7
CP097095.1,2057798,64
CP097095.1,208602,5
CP097095.1,3059028,405
CP097095.1,2744574,92
CP097095.1,89966,7
CP097095.1,1224,43
CP097095.1,2,347
CP097095.1,2763540,233
CP097095.1,2478464,1
CP097095.1,2709403,55
CP097095.1,1167006,3
CP097095.1,1663,46
CP097095.1,2976000,8
CP097095.1,2079536,74
CP097095.1,1659,58
CP097095.1,31953,2
CP097095.1,218289,3
CP097095.1,35755,5
CP097095.1,292564,7
CP097095.1,1121353,7
CP097095.1,1742992,8
CP097095.1,675090,120
CP097095.1,52771,51
CP097095.1,97478,4
CP097095.1,604330,2
CP097095.1,60698,5
CP097095.1,1353889,4
CP097095.1,1678,27
CP097095.1,589382,5
CP097095.1,2083055,2
CP097095.1,2758572,8
CP097095.1,49283,3
CP097095.1,543,13
CP097095.1,1883,61
CP097095.1,2593676,39
CP097095.1,2722820,135
CP097095.1,225992,3
CP097095.1,871541,21
CP097095.1,1641165,4
CP097095.1,43675,208
CP097095.1,2018025,7
CP097095.1,2716227,12
CP097095.1,1912795,54
CP097095.1,191,1
CP097095.1,1655,88
CP097095.1,235627,18
CP097095.1,2057800,61
CP097095.1,3120520,6
CP097095.1,2496867,8
CP097095.1,1534349,4
CP097095.1,37921,1
CP097095.1,2675219,3
CP097095.1,715472,25
CP097095.1,1852377,92
CP097095.1,712122,64
CP097095.1,3108822,9
CP097095.1,31957,17
CP097095.1,85692,7
CP097095.1,3047030,13
CP097095.1,2282397,3
CP097095.1,2912228,4
CP097095.1,80867,1
CP097095.1,2840457,6
CP097095.1,61646,5
CP097095.1,85015,4
CP097095.1,1716,121
CP097095.1,2529408,49
CP097095.1,2983233,5
CP097095.1,83455,6
CP097095.1,376490,1
CP097095.1,1762,18
CP097095.1,2321394,59
CP097095.1,1661,22
CP097095.1,103621,151
CP097095.1,2906072,3
CP097095.1,2913502,4
CP097095.1,683042,4
CP097095.1,2733571,32
CP097095.1,573729,4
CP097095.1,161899,12
CP097095.1,199136,7
CP097095.1,627624,5
CP097095.1,33007,24
CP097095.1,323620,3
CP097095.1,200940,3
CP097095.1,999183,4
CP097095.1,461393,54
CP097095.1,1050174,10
