parent_taxid,level,taxid,name,kraken_classifed_reads,NT_rPM
31977,1,29465,Veillonella,276783.0,276783
29465,2,39778,Veillonella dispar,196585.0,196585
29465,2,2682456,Veillonella nakazawae,63785.0,63784
29465,2,29466,Veillonella parvula,3398.0,3398
29465,2,39777,Veillonella atypica,2957.0,2957
29465,2,423477,Veillonella rogosae,490.0,490
29465,1,2630086,unclassified Veillonella,430.0,430
2630086,2,2682455,Veillonella sp. S12025-13,430.0,430
29465,2,248315,Veillonella rodentium,119.0,119
1843491,1,970,Selenomonas,50462.0,50462
970,1,2637378,unclassified Selenomonas,50399.0,50399
2637378,2,712538,Selenomonas sp. oral taxon 478,49604.0,49604
2637378,2,713030,Selenomonas sp. oral taxon 136,40.0,40
2637378,2,1884263,Selenomonas sp. oral taxon 920,5.0,5
2637378,2,712528,Selenomonas sp. oral taxon 126,2.0,2
970,2,2754044,Selenomonas timonae,50.0,50
970,2,69823,Selenomonas sputigena,1.0,1
970,2,135079,Selenomonas dianae,1.0,1
1300,1,1301,Streptococcus,115149.0,115149
1301,2,28037,Streptococcus mitis,108497.0,108497
1301,2,1313,Streptococcus pneumoniae,663.0,663
1301,1,2608887,unclassified Streptococcus,343.0,343
2608887,2,2598453,Streptococcus sp. 116-D4,86.0,86
2608887,2,712633,Streptococcus sp. oral taxon 431,53.0,53
2608887,2,2993430,Streptococcus sp. SP4011,30.0,30
2608887,2,2759692,Streptococcus sp. Marseille-Q3533,30.0,30
2608887,2,1902136,Streptococcus sp. NPS 308,19.0,19
2608887,2,2972784,Streptococcus sp. Marseille-Q6470,16.0,16
2608887,2,3077584,Streptococcus sp. DTU_2020_1001019_1_SI_AUS_MUR_006,15.0,15
2608887,2,3020829,Streptococcus sp. HN38,14.0,14
2608887,2,712623,Streptococcus sp. oral taxon 061,11.0,11
2608887,2,3038077,Streptococcus sp. D7B5,8.0,8
2608887,2,3028082,Streptococcus sp. 29896,6.0,6
2608887,2,712624,Streptococcus sp. oral taxon 064,5.0,5
2608887,2,2975349,Streptococcus sp. FSL W8-0197,5.0,5
2608887,2,2576376,Streptococcus sp. 1643,4.0,4
2608887,2,3098075,Streptococcus sp. S1,3.0,3
2608887,2,3077723,Streptococcus sp. DTU_2020_1000888_1_SI_GRL_NUU_041A,3.0,3
2608887,2,3098076,Streptococcus sp. S5,2.0,2
2608887,2,2598457,Streptococcus sp. KS 6,2.0,2
2608887,2,2664091,Streptococcus sp. zg-86,2.0,2
2608887,2,3028084,Streptococcus sp. 29887,2.0,2
2608887,2,3028083,Streptococcus sp. 29892,2.0,2
2608887,2,1759399,Streptococcus sp. A12,2.0,2
2608887,2,1839799,Streptococcus sp. FDAARGOS_192,1.0,1
2608887,2,2420309,Streptococcus sp. FDAARGOS_521,1.0,1
2608887,2,1940319,Streptococcus sp. DAT741,1.0,1
2608887,2,2610896,Streptococcus sp. LPB0220,1.0,1
1301,2,257758,Streptococcus pseudopneumoniae,338.0,338
1301,2,1303,Streptococcus oralis,279.0,279
1301,2,1307,Streptococcus suis,137.0,137
1301,2,113107,Streptococcus australis,113.0,113
1301,2,1335,Streptococcus equinus,110.0,110
1301,2,2819619,Streptococcus toyakuensis,74.0,74
1301,2,2686210,Streptococcus ruminicola,50.0,50
1301,2,1433513,Streptococcus gwangjuense,43.0,43
1301,2,1311,Streptococcus agalactiae,38.0,38
1301,2,1302,Streptococcus gordonii,38.0,38
1301,2,1308,Streptococcus thermophilus,30.0,30
1301,2,1314,Streptococcus pyogenes,27.0,27
1301,2,68892,Streptococcus infantis,25.0,25
1301,1,119603,Streptococcus dysgalactiae group,24.0,24
119603,2,1334,Streptococcus dysgalactiae,14.0,14
119603,2,1336,Streptococcus equi,10.0,10
1301,2,102684,Streptococcus infantarius,23.0,23
1301,2,1343,Streptococcus vestibularis,22.0,22
1301,2,1305,Streptococcus sanguinis,21.0,21
1301,2,1340,Streptococcus porcinus,18.0,18
1301,2,1304,Streptococcus salivarius,16.0,16
1301,1,671232,Streptococcus anginosus group,16.0,16
671232,2,1328,Streptococcus anginosus,7.0,7
671232,2,1338,Streptococcus intermedius,4.0,4
671232,2,76860,Streptococcus constellatus,4.0,4
1301,2,315405,Streptococcus gallolyticus,16.0,16
1301,2,45634,Streptococcus cristatus,15.0,15
1301,2,150055,Streptococcus lutetiensis,10.0,10
1301,2,1501662,Streptococcus parasuis,9.0,9
1301,2,400065,Streptococcus merionis,9.0,9
1301,2,1318,Streptococcus parasanguinis,8.0,8
1301,2,1326,Streptococcus acidominimus,8.0,8
1301,2,1309,Streptococcus mutans,8.0,8
1301,2,2173853,Streptococcus chenjunshii,7.0,7
1301,2,1348,Streptococcus parauberis,7.0,7
1301,2,1888195,Streptococcus himalayensis,6.0,6
1301,2,1345,Streptococcus ferus,6.0,6
1301,2,1346,Streptococcus iniae,6.0,6
1301,2,684066,Streptococcus lactarius,6.0,6
1301,2,1349,Streptococcus uberis,6.0,6
1301,2,1310,Streptococcus sobrinus,5.0,5
1301,2,59310,Streptococcus macedonicus,5.0,5
1301,2,1341,Streptococcus ratti,4.0,4
1301,2,1814128,Streptococcus halotolerans,4.0,4
1301,2,1329,Streptococcus canis,4.0,4
1301,2,361101,Streptococcus pseudoporcinus,4.0,4
1301,2,2382163,Streptococcus koreensis,4.0,4
1301,2,149016,Streptococcus urinalis,4.0,4
1301,2,2781599,Streptococcus oriscaviae,4.0,4
1301,2,1156431,Streptococcus ilei,3.0,3
1301,2,29389,Streptococcus alactolyticus,3.0,3
1301,2,1825069,Streptococcus marmotae,3.0,3
1301,2,2021971,Streptococcus respiraculi,3.0,3
1301,2,1111760,Streptococcus troglodytae,2.0,2
1301,2,82348,Streptococcus pluranimalium,2.0,2
1301,2,1234680,Streptococcus rubneri,1.0,1
1301,2,33040,Streptococcus milleri,1.0,1
1301,2,254785,Streptococcus halichoeri,1.0,1
1301,2,197614,Streptococcus pasteurianus,1.0,1
1301,2,102886,Streptococcus didelphis,1.0,1
1300,1,1357,Lactococcus,4.0,4
1357,2,1358,Lactococcus lactis,2.0,2
81852,1,1350,Enterococcus,133.0,133
1350,2,1352,Enterococcus faecium,47.0,47
1350,2,1351,Enterococcus faecalis,27.0,27
1350,2,44008,Enterococcus cecorum,17.0,17
1350,2,1354,Enterococcus hirae,9.0,9
1350,2,44009,Enterococcus dispar,5.0,5
1350,1,167971,environmental samples,3.0,3
167971,2,167972,uncultured Enterococcus sp.,3.0,3
1350,2,71452,Enterococcus raffinosus,1.0,1
1350,1,2608891,unclassified Enterococcus,1.0,1
2608891,2,1834189,Enterococcus sp. 7F3_DIV0205,1.0,1
81852,1,2737,Vagococcus,2.0,2
2737,2,2738,Vagococcus fluvialis,1.0,1
