read_accession_id,read_accession_total_count,root,kraken_classified_root,superkingdom,kraken_classified_superkingdom,phylum,kraken_classified_phylum,class,kraken_classified_class,order,kraken_classified_order,family,kraken_classified_family,genus,kraken_classified_genus,species,kraken_classified_species
NZ_LT635457.1,57,root,57,Bacteria,57,Actinomycetota,57,Actinomycetes,57,Actinomycetales,57,Actinomycetaceae,57,Actinomyces,57,Actinomyces pacaensis,57
NZ_CP033459.1,5486,root,5486,Bacteria,5486,Bacteroidota,5486,Bacteroidia,5482,Bacteroidales,5482,Prevotellaceae,5482,Pseudoprevotella,5480,Pseudoprevotella muciniphila,5480
CAKAFU010000002.1,171,root,42,Bacteria,41,Bacteroidota,37,Bacteroidia,34,Bacteroidales,34,Prevotellaceae,28,Alloprevotella,0,Alloprevotella tannerae,0
NZ_CP036550.1,8058,root,8058,Bacteria,8058,Bacteroidota,8058,Bacteroidia,8013,Bacteroidales,8013,Bacteroidaceae,7888,Bacteroides,7845,Bacteroides fragilis,7751
NZ_CP102541.1,57,root,57,Bacteria,57,Actinomycetota,57,Actinomycetes,57,Bifidobacteriales,57,Bifidobacteriaceae,57,Bifidobacterium,57,Bifidobacterium longum,38
NZ_CP049272.1,943,root,943,Bacteria,943,Campylobacterota,943,Epsilonproteobacteria,943,Campylobacterales,943,Campylobacteraceae,943,Campylobacter,943,Campylobacter concisus,943
NZ_CP012544.1,71,root,71,Bacteria,71,Campylobacterota,71,Epsilonproteobacteria,71,Campylobacterales,71,Campylobacteraceae,71,Campylobacter,71,Campylobacter showae,71
NZ_CP073092.1,47572,root,47564,Bacteria,47562,Actinomycetota,47555,Actinomycetes,47555,Mycobacteriales,47191,Corynebacteriaceae,47191,Corynebacterium,47191,Corynebacterium tuberculostearicum,46194
NZ_CP028101.1,99487,root,99483,Bacteria,99446,Fusobacteriota,99444,Fusobacteriia,99444,Fusobacteriales,99444,Fusobacteriaceae,99443,Fusobacterium,99443,Fusobacterium nucleatum,88075
NZ_CP024703.1,172,root,172,Bacteria,172,Fusobacteriota,172,Fusobacteriia,172,Fusobacteriales,172,Fusobacteriaceae,172,Fusobacterium,172,Fusobacterium pseudoperiodonticum,167
