accession_id,total_reads,genus,genus_taxid,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_true_positive,species_true_negative,species_false_positive,species_false_negative
CP097095.1,64,Actinomyces,1654,6,999365,2,627,Actinomyces graevenitzii,55565,0,999936,0,64
NZ_CP033459.1,9159,Pseudoprevotella,2884814,9151,990767,74,8,Pseudoprevotella muciniphila,2133944,9151,990767,74,8
CAKAFU010000002.1,34271,Alloprevotella,1283313,0,965729,0,34271,Alloprevotella tannerae,76122,0,965729,0,34271
NZ_CP036550.1,104,Bacteroides,816,103,999479,417,1,Bacteroides fragilis,817,102,999880,16,2
NZ_CP049272.1,47767,Campylobacter,194,48145,951848,4,3,Campylobacter concisus,199,47683,952232,1,84
NZ_CP012544.1,381,Campylobacter,194,48145,951848,4,3,Campylobacter showae,204,379,999619,0,2
NZ_CP022386.1,75,Capnocytophaga,1016,153,999834,13,0,Capnocytophaga gingivalis,1017,75,999922,3,0
NZ_CP022379.1,78,Capnocytophaga,1016,153,999834,13,0,Capnocytophaga sputigena,1019,78,999922,0,0
ACIL03000013.1,51,Catonella,43996,0,999949,0,51,Catonella morbi,43997,0,999949,0,51
NZ_CP028101.1,9945,Fusobacterium,848,14780,985187,4,29,Fusobacterium nucleatum,851,8818,990048,7,1127
NZ_CP024703.1,4341,Fusobacterium,848,14780,985187,4,29,Fusobacterium pseudoperiodonticum,2663009,4231,995636,23,110
NZ_CP083637.1,31124,Gemella,1378,31081,968876,0,43,Gemella haemolysans,1379,31016,968876,0,108
NZ_CP031243.1,32100,Haemophilus,724,514986,483299,8,1707,Haemophilus haemolyticus,726,30975,967891,9,1125
NZ_AP018768.1,2024,Haemophilus,724,514986,483299,8,1707,Haemophilus influenzae,727,1904,997689,287,120
NZ_CP038817.1,416182,Haemophilus,724,514986,483299,8,1707,Haemophilus parahaemolyticus,735,413532,583818,0,2650
NZ_CP035368.2,66387,Haemophilus,724,514986,483299,8,1707,Haemophilus parainfluenzae,729,65752,933569,44,635
MT157224.1,744,Enterovirus,12059,54,999247,0,699,Human rhinovirus sp.,169066,0,999256,0,744
NC_013203.1,73,Lancefieldella,2767353,73,999927,0,0,Lancefieldella parvula,1382,73,999927,0,0
NZ_LR134378.1,34,Lautropia,47670,34,999966,0,0,Lautropia mirabilis,47671,34,999966,0,0
NZ_AP019829.2,69,Leptotrichia,32067,69,999931,0,0,Leptotrichia wadei,157687,68,999931,0,1
NZ_CP101528.1,6700,Micrococcus,1269,6718,993265,0,17,Micrococcus luteus,1270,5272,993300,0,1428
NZ_CP014234.1,56604,Moraxella,475,56376,943388,8,228,Moraxella osloensis,34062,55512,943396,0,1092
NZ_CP053939.1,12935,Neisseria,482,12964,986959,26,51,Neisseria mucosa,488,11314,987065,0,1621
NZ_CP092048.1,30537,Porphyromonas,836,30232,969269,139,360,Porphyromonas gingivalis,837,30232,969380,83,305
NZ_CP073114.1,80,Neisseria,482,12964,986959,26,51,Neisseria subflava,28449,70,999846,74,10
NC_019960.1,55,Prevotella,838,6022,990217,3645,116,Prevotella dentalis,52227,55,999815,130,0
NZ_CP024696.1,410,Prevotella,838,6022,990217,3645,116,Prevotella intermedia,28131,393,998811,779,17
NZ_CP072363.1,5305,Prevotella,838,6022,990217,3645,116,Prevotella jejuni,1177574,5178,994523,172,127
NZ_CP072390.1,259,Prevotella,838,6022,990217,3645,116,Prevotella scopos,589437,255,999706,35,4
NC_009996.1,9,Enterovirus,12059,54,999247,0,699,Rhinovirus C,463676,9,999991,0,0
NZ_CP079201.1,38,Rothia,32207,26685,973302,1,12,Rothia dentocariosa,2047,38,999962,0,0
NZ_CP079822.1,26659,Rothia,32207,26685,973302,1,12,Rothia mucilaginosa,43675,26636,973340,1,23
NZ_CP102197.1,1150,Schaalia,2529408,1149,998466,384,1,Schaalia odontolytica,1660,1147,998634,216,3
NZ_LS483444.1,47,Streptococcus,1301,154971,844699,7,323,Streptococcus australis,113107,41,999902,51,6
NZ_CP012646.1,130570,Streptococcus,1301,154971,844699,7,323,Streptococcus mitis,28037,119663,869411,19,10907
NZ_CP079724.1,8357,Streptococcus,1301,154971,844699,7,323,Streptococcus oralis,1303,7519,991459,184,838
NC_015875.1,4359,Streptococcus,1301,154971,844699,7,323,Streptococcus pseudopneumoniae,257758,3715,995603,38,644
NZ_CP079193.1,11591,Streptococcus,1301,154971,844699,7,323,Streptococcus suis,1307,11033,988397,12,558
NZ_CP009227.1,286,Treponema,157,30000,965336,5,4659,Treponema sp. OMZ 838,1539298,142,999714,0,144
NZ_CAKAHJ010000001.1,569,Actinomyces,1654,6,999365,2,627,uncultured Actinomyces sp.,249061,0,999431,0,569
NZ_CAKOJV010000001.1,523,Fusobacterium,848,14780,985187,4,29,uncultured Fusobacterium sp.,159267,0,999477,0,523
NZ_CANLQP010000001.1,35,Micrococcus,1269,6718,993265,0,17,uncultured Micrococcus sp.,114051,0,999965,0,35
NZ_UQJH01000001.1,55,Porphyromonas,836,30232,969269,139,360,uncultured Porphyromonas sp.,159274,0,999945,0,55
NZ_CAJTJS010000001.1,109,Prevotella,838,6022,990217,3645,116,uncultured Prevotella sp.,159272,0,999891,0,109
NZ_CAMNMG010000001.1,370,Streptococcus,1301,154971,844699,7,323,uncultured Streptococcus sp.,83427,0,999630,0,370
NZ_CALHUL010000006.1,34373,Treponema,157,30000,965336,5,4659,uncultured Treponema sp.,162155,0,965627,0,34373
NZ_CP020566.1,12833,Veillonella,29465,13033,986950,8,9,Veillonella atypica,39777,12766,987164,3,67
NZ_LR134375.1,31,Veillonella,29465,13033,986950,8,9,Veillonella dispar,39778,28,999968,1,3
NZ_AP022321.1,33,Veillonella,29465,13033,986950,8,9,Veillonella nakazawae,2682456,28,999967,0,5
NZ_CP019721.1,145,Veillonella,29465,13033,986950,8,9,Veillonella parvula,29466,145,999849,6,0
