read_accession_id,taxid,count
CP097095.1,2,76
CP097095.1,649831,2
CP097095.1,1894,1
CP097095.1,1760,201
CP097095.1,47865,2
CP097095.1,1496,1
CP097095.1,52774,23
CP097095.1,2961994,3
CP097095.1,2976000,1
CP097095.1,3041175,3
CP097095.1,1670,1
CP097095.1,1121356,1
CP097095.1,2963431,1
CP097095.1,41673,1
CP097095.1,2003551,2
CP097095.1,2763540,45
CP097095.1,2079536,19
CP097095.1,1655,25
CP097095.1,3123041,1
CP097095.1,59505,2
CP097095.1,3059028,71
CP097095.1,2806348,1
CP097095.1,1870995,4
CP097095.1,2744574,15
CP097095.1,410837,3
CP097095.1,1660,123
CP097095.1,103621,33
CP097095.1,1654,164
CP097095.1,2751478,1
CP097095.1,2055947,1
CP097095.1,43770,5
CP097095.1,2722820,31
CP097095.1,52771,17
CP097095.1,630515,3
CP097095.1,2975966,1
CP097095.1,706439,14
CP097095.1,712122,18
CP097095.1,72000,2
CP097095.1,1653174,2
CP097095.1,2737173,4
CP097095.1,2772401,2
CP097095.1,2049,21
CP097095.1,1716,20
CP097095.1,2729175,2
CP097095.1,2057743,14
CP097095.1,172042,1
CP097095.1,35755,5
CP097095.1,131567,21
CP097095.1,358099,2
CP097095.1,1812480,3
CP097095.1,43675,34
CP097095.1,2609248,36
CP097095.1,2593676,12
CP097095.1,38942,1
CP097095.1,1659,10
CP097095.1,2057800,18
CP097095.1,1224,13
CP097095.1,2529408,5
CP097095.1,251747,3
CP097095.1,452863,1
CP097095.1,33007,5
CP097095.1,52773,7
CP097095.1,1229727,1
CP097095.1,2886936,2
CP097095.1,2714933,2
CP097095.1,2903657,2
CP097095.1,28028,1
CP097095.1,871541,8
CP097095.1,592010,2
CP097095.1,2020965,2
CP097095.1,2719119,2
CP097095.1,1437824,2
CP097095.1,675090,21
CP097095.1,44249,1
CP097095.1,2672569,3
CP097095.1,2991545,3
CP097095.1,2903790,1
CP097095.1,1050174,6
CP097095.1,853,6
CP097095.1,458696,2
CP097095.1,2995145,1
CP097095.1,1823759,1
CP097095.1,85006,22
CP097095.1,1850093,2
CP097095.1,1069494,3
CP097095.1,2051,7
CP097095.1,2593973,5
CP097095.1,461393,9
CP097095.1,1286181,2
CP097095.1,178339,12
CP097095.1,2769067,1
CP097095.1,1270,2
CP097095.1,43769,1
CP097095.1,2321394,17
CP097095.1,2840457,2
CP097095.1,2692125,5
CP097095.1,3140789,1
CP097095.1,2857059,2
CP097095.1,699041,4
CP097095.1,2903583,2
CP097095.1,2830983,2
CP097095.1,1667168,3
CP097095.1,83656,2
CP097095.1,2604537,1
CP097095.1,656366,7
CP097095.1,1618207,5
CP097095.1,1851395,16
CP097095.1,1756150,2
CP097095.1,165697,1
CP097095.1,2099694,1
CP097095.1,2719313,1
CP097095.1,2708340,3
CP097095.1,232537,2
CP097095.1,499555,2
CP097095.1,2929802,3
CP097095.1,445930,1
CP097095.1,1268,11
CP097095.1,2984842,1
CP097095.1,651,1
CP097095.1,33010,2
CP097095.1,2859226,3
CP097095.1,1236,5
CP097095.1,340345,1
CP097095.1,2684406,2
CP097095.1,1285583,7
CP097095.1,108486,3
CP097095.1,754397,1
CP097095.1,2062,2
CP097095.1,642,4
CP097095.1,1847,2
CP097095.1,91347,1
CP097095.1,33882,6
CP097095.1,1979527,1
CP097095.1,303,1
CP097095.1,2499145,1
CP097095.1,58340,1
CP097095.1,1839,1
CP097095.1,3036374,1
CP097095.1,235627,7
CP097095.1,28211,3
CP097095.1,2881056,3
CP097095.1,1680,3
CP097095.1,2057246,1
CP097095.1,2498704,1
CP097095.1,1852377,13
CP097095.1,1671680,1
CP097095.1,3880,1
CP097095.1,2758572,2
CP097095.1,3092262,1
CP097095.1,146819,1
CP097095.1,200451,1
CP097095.1,2733571,2
CP097095.1,2775081,1
CP097095.1,201174,3
CP097095.1,1912795,4
CP097095.1,28264,3
CP097095.1,1471400,1
CP097095.1,1806508,1
CP097095.1,2716227,1
CP097095.1,38290,4
CP097095.1,111015,12
CP097095.1,2768834,1
CP097095.1,1696,2
CP097095.1,71999,2
CP097095.1,131110,4
CP097095.1,2987701,1
CP097095.1,2609290,4
CP097095.1,39778,4
CP097095.1,882083,1
CP097095.1,1744,2
CP097095.1,2976003,2
CP097095.1,767452,1
CP097095.1,2781735,1
CP097095.1,2758440,7
CP097095.1,169133,2
CP097095.1,1663,7
CP097095.1,52,1
CP097095.1,1883,9
CP097095.1,540747,1
CP097095.1,1267766,4
CP097095.1,435,1
CP097095.1,44008,2
CP097095.1,665913,1
CP097095.1,2789425,5
CP097095.1,2830997,1
CP097095.1,2080757,2
CP097095.1,2578107,1
CP097095.1,161895,1
CP097095.1,1330547,2
CP097095.1,398694,1
CP097095.1,38304,1
CP097095.1,2811781,3
CP097095.1,2755559,13
CP097095.1,2810563,2
CP097095.1,216816,2
CP097095.1,477697,1
CP097095.1,471827,1
CP097095.1,485917,1
CP097095.1,666,1
CP097095.1,98671,2
CP097095.1,999183,2
CP097095.1,1762,1
CP097095.1,38301,1
CP097095.1,1336740,4
CP097095.1,71254,1
CP097095.1,710685,1
CP097095.1,1749,5
CP097095.1,710705,2
CP097095.1,1416627,2
CP097095.1,2921375,1
CP097095.1,2610895,1
CP097095.1,1661,10
CP097095.1,2917725,3
CP097095.1,2709403,9
CP097095.1,3635,1
CP097095.1,2867410,1
CP097095.1,3120520,3
CP097095.1,286,6
CP097095.1,1656,3
CP097095.1,2654249,1
CP097095.1,553,1
CP097095.1,1743165,1
CP097095.1,2614638,1
CP097095.1,1719132,1
CP097095.1,657308,1
CP097095.1,2282397,1
CP097095.1,1795,1
CP097095.1,1458307,1
CP097095.1,29459,2
CP097095.1,187491,1
CP097095.1,2735133,1
CP097095.1,2560010,9
CP097095.1,2041044,2
CP097095.1,2758442,2
CP097095.1,2905871,1
CP097095.1,416,1
CP097095.1,433,2
CP097095.1,1623,3
CP097095.1,61592,2
CP097095.1,38289,2
CP097095.1,2975987,1
CP097095.1,2017685,2
CP097095.1,43674,2
CP097095.1,544580,16
CP097095.1,1580596,1
CP097095.1,3562,2
CP097095.1,595468,6
CP097095.1,69578,2
CP097095.1,199683,1
CP097095.1,3073268,1
CP097095.1,2897773,2
CP097095.1,1333528,1
CP097095.1,67263,1
CP097095.1,208602,1
CP097095.1,662755,1
CP097095.1,42234,1
CP097095.1,221352,1
CP097095.1,1462606,1
CP097095.1,335929,1
CP097095.1,3022127,3
CP097095.1,2879618,1
CP097095.1,1118963,3
CP097095.1,2675216,2
CP097095.1,1742989,3
CP097095.1,1792,2
CP097095.1,2991729,2
CP097095.1,2995141,2
CP097095.1,31954,1
CP097095.1,31957,5
CP097095.1,3025190,1
CP097095.1,2057798,17
CP097095.1,2801844,2
CP097095.1,1742993,1
CP097095.1,2961619,1
CP097095.1,2047,4
CP097095.1,1802,1
CP097095.1,3115209,1
CP097095.1,85025,2
CP097095.1,2566013,2
CP097095.1,3817,3
CP097095.1,165695,2
CP097095.1,1851544,2
CP097095.1,2567881,1
CP097095.1,670516,1
CP097095.1,1684,3
CP097095.1,1239,2
CP097095.1,53457,2
CP097095.1,2903594,1
CP097095.1,1771309,1
CP097095.1,2697565,1
CP097095.1,71275,1
CP097095.1,2878388,3
CP097095.1,1906,1
CP097095.1,2596912,1
CP097095.1,1121364,2
CP097095.1,2079791,3
CP097095.1,2714353,2
CP097095.1,1494608,1
CP097095.1,2583822,1
CP097095.1,2935861,1
CP097095.1,1385,2
CP097095.1,1522056,1
CP097095.1,4236,1
CP097095.1,2909672,1
CP097095.1,191,1
CP097095.1,2654193,1
CP097095.1,2899123,1
CP097095.1,577492,1
CP097095.1,53431,1
CP097095.1,319501,1
CP097095.1,1453760,1
CP097095.1,95486,1
CP097095.1,3136634,1
CP097095.1,2898431,1
CP097095.1,4565,2
CP097095.1,2382165,1
CP097095.1,1634516,1
CP097095.1,3018929,1
CP097095.1,1286180,2
CP097095.1,2983229,1
CP097095.1,1871025,1
CP097095.1,162426,1
CP097095.1,1872427,2
CP097095.1,1835,1
CP097095.1,2081702,3
CP097095.1,85692,3
CP097095.1,3028314,1
CP097095.1,112509,2
CP097095.1,1750,2
CP097095.1,162156,1
CP097095.1,196821,3
CP097095.1,312285,1
CP097095.1,1630135,3
CP097095.1,2975740,1
CP097095.1,2059884,2
CP097095.1,1678,2
CP097095.1,2623841,2
CP097095.1,2074,1
CP097095.1,512298,1
CP097095.1,29465,2
CP097095.1,1160973,2
CP097095.1,2895818,2
CP097095.1,583,1
CP097095.1,2508880,5
CP097095.1,3138237,1
CP097095.1,3016342,1
CP097095.1,2721246,1
CP097095.1,2703794,3
CP097095.1,1771,1
CP097095.1,4556,1
CP097095.1,2794089,4
CP097095.1,2722751,1
CP097095.1,2584940,1
CP097095.1,43668,2
CP097095.1,2816859,1
CP097095.1,2983235,1
CP097095.1,49283,2
CP097095.1,36805,1
CP097095.1,147368,1
CP097095.1,75385,2
CP097095.1,2099695,1
CP097095.1,2017484,1
CP097095.1,1105204,1
CP097095.1,2049881,2
CP097095.1,2509459,1
CP097095.1,2602015,1
CP097095.1,85336,1
CP097095.1,3143537,1
CP097095.1,2596911,3
CP097095.1,65058,1
CP097095.1,2866588,1
CP097095.1,683042,1
CP097095.1,1118379,2
CP097095.1,904291,2
CP097095.1,1848900,1
CP097095.1,2961925,1
CP097095.1,43768,1
CP097095.1,2304606,1
CP097095.1,396015,1
CP097095.1,36739,1
CP097095.1,1852390,3
CP097095.1,185978,1
CP097095.1,445576,1
CP097095.1,2013,2
CP097095.1,680646,3
CP097095.1,1200352,2
CP097095.1,2846775,1
CP097095.1,2749991,1
CP097095.1,74426,1
CP097095.1,1890,2
CP097095.1,54571,2
CP097095.1,1783272,5
CP097095.1,60698,1
CP097095.1,190146,2
CP097095.1,2923272,2
CP097095.1,169480,2
CP097095.1,1049583,3
CP097095.1,2069367,1
CP097095.1,39691,1
CP097095.1,119981,1
CP097095.1,1496080,1
CP097095.1,2508722,3
CP097095.1,161899,1
CP097095.1,515415,1
CP097095.1,4538,1
CP097095.1,199136,1
CP097095.1,604330,2
CP097095.1,1891279,2
CP097095.1,2714935,2
CP097095.1,1704044,2
CP097095.1,469,1
CP097095.1,2603206,1
CP097095.1,1003195,1
CP097095.1,2053,3
CP097095.1,37927,1
CP097095.1,2560053,1
CP097095.1,2169658,2
CP097095.1,58024,1
CP097095.1,76021,1
CP097095.1,1068978,1
CP097095.1,1931241,1
CP097095.1,13502,1
CP097095.1,1747,1
CP097095.1,216572,1
CP097095.1,2983220,1
CP097095.1,82380,2
CP097095.1,1742992,1
CP097095.1,712116,5
CP097095.1,168172,1
CP097095.1,1134435,1
CP097095.1,1633,2
CP097095.1,53408,2
CP097095.1,2903670,1
CP097095.1,1788,1
CP097095.1,419476,1
CP097095.1,43771,1
CP097095.1,256821,1
CP097095.1,29695,1
CP097095.1,1173101,1
CP097095.1,2268449,1
CP097095.1,1401995,1
CP097095.1,28173,1
CP097095.1,4520,2
CP097095.1,2964609,2
CP097095.1,85023,2
CP097095.1,2709394,1
CP097095.1,1463165,1
CP097095.1,2065379,1
CP097095.1,1072463,1
CP097095.1,2684405,1
CP097095.1,1136497,1
CP097095.1,2054,2
CP097095.1,154116,2
CP097095.1,2575374,1
CP097095.1,2171623,1
CP097095.1,2079234,1
CP097095.1,391774,1
CP097095.1,113562,1
CP097095.1,72763,4
CP097095.1,2116510,3
CP097095.1,1913979,3
CP097095.1,41202,1
CP097095.1,28216,2
CP097095.1,2506452,1
CP097095.1,2886046,2
CP097095.1,3142261,3
CP097095.1,2742134,1
CP097095.1,2054919,1
CP097095.1,2830992,1
CP097095.1,2789424,1
CP097095.1,84112,1
CP097095.1,66892,1
CP097095.1,3133966,1
CP097095.1,1470200,1
CP097095.1,2976241,1
CP097095.1,1236179,2
CP097095.1,85007,2
CP097095.1,44010,2
CP097095.1,1960083,3
CP097095.1,3047030,2
CP097095.1,1652495,1
CP097095.1,1652028,1
CP097095.1,2654190,1
CP097095.1,41275,1
CP097095.1,68212,1
CP097095.1,2018025,3
CP097095.1,2211210,1
CP097095.1,3075199,2
CP097095.1,1003110,1
CP097095.1,37928,1
CP097095.1,1288636,2
CP097095.1,2992244,1
CP097095.1,1076,1
CP097095.1,80865,1
CP097095.1,63,1
CP097095.1,208199,1
CP097095.1,60890,1
CP097095.1,710421,1
CP097095.1,2993898,1
CP097095.1,156978,3
CP097095.1,1357,1
CP097095.1,22,1
CP097095.1,411903,1
CP097095.1,407164,1
CP097095.1,2815358,1
CP097095.1,182163,1
CP097095.1,28263,1
CP097095.1,3705,1
CP097095.1,204038,1
CP097095.1,544,2
CP097095.1,72917,1
CP097095.1,471853,1
CP097095.1,311180,1
CP097095.1,33154,1
CP097095.1,1246301,1
CP097095.1,39695,1
CP097095.1,2879617,1
CP097095.1,31989,2
CP097095.1,2976002,1
CP097095.1,1912216,1
CP097095.1,2895559,1
CP097095.1,624315,2
CP097095.1,1582356,1
CP097095.1,1863,1
CP097095.1,1470176,1
CP097095.1,409290,2
CP097095.1,2763257,1
CP097095.1,477641,1
CP097095.1,55968,1
CP097095.1,1729695,1
CP097095.1,179408,1
CP097095.1,38284,1
CP097095.1,66228,2
CP097095.1,526225,1
CP097095.1,2968084,1
CP097095.1,13687,1
CP097095.1,46127,1
CP097095.1,2604421,1
CP097095.1,2973976,1
CP097095.1,3109565,1
CP097095.1,81479,1
CP097095.1,322509,1
CP097095.1,2175641,1
CP097095.1,627624,2
CP097095.1,2731220,1
CP097095.1,2760705,1
CP097095.1,1285901,1
CP097095.1,1827,1
CP097095.1,57493,1
CP097095.1,3036302,1
CP097095.1,2739061,1
CP097095.1,574650,1
CP097095.1,1658665,1
CP097095.1,2496837,1
CP097095.1,2996261,1
CP097095.1,374,1
CP097095.1,455344,1
CP097095.1,715472,2
CP097095.1,32207,1
CP097095.1,157920,1
CP097095.1,1411117,1
CP097095.1,2292766,1
CP097095.1,3081199,1
CP097095.1,1961713,1
