parent_taxid,level,taxid,name,kraken_classifed_reads,NT_rPM
1300,1,1301,Streptococcus,119794.0,119794
1301,2,1307,Streptococcus suis,27825.0,27825
1301,2,113107,Streptococcus australis,14425.0,14425
1301,2,28037,Streptococcus mitis,13392.0,13392
1301,2,1303,Streptococcus oralis,11824.0,11824
1301,2,1313,Streptococcus pneumoniae,11602.0,11602
1301,2,1335,Streptococcus equinus,3465.0,3465
1301,2,257758,Streptococcus pseudopneumoniae,2614.0,2614
1301,1,671232,Streptococcus anginosus group,2536.0,2536
671232,2,76860,Streptococcus constellatus,1870.0,1870
671232,2,1338,Streptococcus intermedius,195.0,195
671232,2,1328,Streptococcus anginosus,54.0,54
1301,2,2686210,Streptococcus ruminicola,1664.0,1664
1301,1,119603,Streptococcus dysgalactiae group,1183.0,1183
119603,2,1334,Streptococcus dysgalactiae,1020.0,1020
119603,2,1336,Streptococcus equi,160.0,160
1301,2,102684,Streptococcus infantarius,960.0,960
1301,2,315405,Streptococcus gallolyticus,620.0,620
1301,2,150055,Streptococcus lutetiensis,388.0,388
1301,1,2608887,unclassified Streptococcus,331.0,331
2608887,2,2598453,Streptococcus sp. 116-D4,37.0,37
2608887,2,1759399,Streptococcus sp. A12,35.0,35
2608887,2,3077584,Streptococcus sp. DTU_2020_1001019_1_SI_AUS_MUR_006,25.0,25
2608887,2,3038077,Streptococcus sp. D7B5,18.0,18
2608887,2,1902136,Streptococcus sp. NPS 308,18.0,18
2608887,2,712633,Streptococcus sp. oral taxon 431,17.0,17
2608887,2,712623,Streptococcus sp. oral taxon 061,15.0,15
2608887,2,2993430,Streptococcus sp. SP4011,15.0,15
2608887,2,2759692,Streptococcus sp. Marseille-Q3533,13.0,13
2608887,2,2576376,Streptococcus sp. 1643,12.0,12
2608887,2,3098075,Streptococcus sp. S1,11.0,11
2608887,2,3028082,Streptococcus sp. 29896,10.0,10
2608887,2,2975349,Streptococcus sp. FSL W8-0197,10.0,10
2608887,2,3028083,Streptococcus sp. 29892,7.0,7
2608887,2,2598457,Streptococcus sp. KS 6,7.0,7
2608887,2,3020829,Streptococcus sp. HN38,7.0,7
2608887,2,2972784,Streptococcus sp. Marseille-Q6470,6.0,6
2608887,2,3098076,Streptococcus sp. S5,5.0,5
2608887,2,712624,Streptococcus sp. oral taxon 064,5.0,5
2608887,2,2763068,Streptococcus sp. NSJ-72,5.0,5
2608887,2,2664091,Streptococcus sp. zg-86,5.0,5
2608887,2,2610896,Streptococcus sp. LPB0220,5.0,5
2608887,2,2975324,Streptococcus sp. FSL R7-0248,4.0,4
2608887,2,3028084,Streptococcus sp. 29887,4.0,4
2608887,2,1839799,Streptococcus sp. FDAARGOS_192,3.0,3
2608887,2,3077723,Streptococcus sp. DTU_2020_1000888_1_SI_GRL_NUU_041A,2.0,2
1301,2,1304,Streptococcus salivarius,328.0,328
1301,2,29389,Streptococcus alactolyticus,156.0,156
1301,2,59310,Streptococcus macedonicus,146.0,146
1301,2,197614,Streptococcus pasteurianus,72.0,72
1301,2,1314,Streptococcus pyogenes,69.0,69
1301,2,1308,Streptococcus thermophilus,56.0,56
1301,2,1302,Streptococcus gordonii,54.0,54
1301,2,1305,Streptococcus sanguinis,41.0,41
1301,2,1501662,Streptococcus parasuis,37.0,37
1301,2,82348,Streptococcus pluranimalium,34.0,34
1301,2,1349,Streptococcus uberis,33.0,33
1301,2,2819619,Streptococcus toyakuensis,32.0,32
1301,2,45634,Streptococcus cristatus,32.0,32
1301,2,1309,Streptococcus mutans,30.0,30
1301,2,1156431,Streptococcus ilei,30.0,30
1301,2,1318,Streptococcus parasanguinis,28.0,28
1301,2,1341,Streptococcus ratti,27.0,27
1301,2,1329,Streptococcus canis,26.0,26
1301,2,1348,Streptococcus parauberis,25.0,25
1301,2,400065,Streptococcus merionis,25.0,25
1301,2,1340,Streptococcus porcinus,24.0,24
1301,2,68892,Streptococcus infantis,22.0,22
1301,2,149016,Streptococcus urinalis,21.0,21
1301,2,1346,Streptococcus iniae,19.0,19
1301,2,1326,Streptococcus acidominimus,19.0,19
1301,2,1433513,Streptococcus gwangjuense,19.0,19
1301,2,361101,Streptococcus pseudoporcinus,18.0,18
1301,2,1345,Streptococcus ferus,17.0,17
1301,2,102886,Streptococcus didelphis,16.0,16
1301,2,1234680,Streptococcus rubneri,16.0,16
1301,2,2382163,Streptococcus koreensis,15.0,15
1301,2,254785,Streptococcus halichoeri,14.0,14
1301,2,1310,Streptococcus sobrinus,14.0,14
1301,2,1311,Streptococcus agalactiae,14.0,14
1301,2,1811193,Streptococcus pantholopis,14.0,14
1301,2,2173853,Streptococcus chenjunshii,12.0,12
1301,2,1343,Streptococcus vestibularis,11.0,11
1301,2,2781599,Streptococcus oriscaviae,11.0,11
1301,2,1825069,Streptococcus marmotae,9.0,9
1301,2,2021971,Streptococcus respiraculi,9.0,9
1301,2,1814128,Streptococcus halotolerans,8.0,8
1301,2,1888195,Streptococcus himalayensis,8.0,8
1301,2,684066,Streptococcus lactarius,8.0,8
1301,2,33040,Streptococcus milleri,7.0,7
1301,2,1111760,Streptococcus troglodytae,6.0,6
