accession_id,total_reads,genus,genus_taxid,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_true_positive,species_true_negative,species_false_positive,species_false_negative
CP097095.1,2975,Actinomyces,1654,8294,977440,73,14193,Actinomyces graevenitzii,55565,0,997025,0,2975
NZ_LT635457.1,1753,Actinomyces,1654,8294,977440,73,14193,Actinomyces pacaensis,1852377,1751,998203,44,2
NZ_CAKAHJ010000001.1,11511,Actinomyces,1654,8294,977440,73,14193,uncultured Actinomyces sp.,249061,0,988489,0,11511
NZ_CP124548.1,5948,Actinomyces,1654,8294,977440,73,14193,Actinomyces israelii,1659,5943,994044,8,5
NZ_CP012072.1,7994,Schaalia,2529408,13594,977548,7759,1099,Schaalia meyeri,52773,7984,991754,252,10
NZ_CP033459.1,12980,Pseudoprevotella,2884814,12973,987005,15,7,Pseudoprevotella muciniphila,2133944,12973,987005,15,7
CAKAFU010000002.1,1711,Alloprevotella,1283313,0,998289,0,1711,Alloprevotella tannerae,76122,0,998289,0,1711
NZ_CP032823.1,3108,Aliarcobacter,2321111,3097,996886,6,11,Aliarcobacter cryaerophilus,28198,3087,996888,4,21
NZ_CP036550.1,427,Bacteroides,816,5075,994247,277,401,Bacteroides fragilis,817,412,999371,202,15
NZ_CP040630.1,5049,Bacteroides,816,5075,994247,277,401,Bacteroides sp. PHL 2737,2162637,49,994951,0,5000
NZ_CP049272.1,6775,Campylobacter,194,13700,986213,28,59,Campylobacter concisus,199,6756,993214,11,19
NZ_CP102541.1,166,Bifidobacterium,1678,166,999788,46,0,Bifidobacterium longum,216816,136,999831,3,30
NZ_CP082871.1,3439,Campylobacter,194,13700,986213,28,59,Campylobacter hominis,76517,3422,996561,0,17
NZ_CP012544.1,2785,Campylobacter,194,13700,986213,28,59,Campylobacter showae,204,2773,997171,44,12
NZ_CALGPY010000005.1,760,Campylobacter,194,13700,986213,28,59,uncultured Campylobacter sp.,218934,0,999240,0,760
NZ_CP022386.1,3395,Capnocytophaga,1016,10419,989558,10,13,Capnocytophaga gingivalis,1017,3384,996605,0,11
NZ_CP022384.1,3373,Capnocytophaga,1016,10419,989558,10,13,Capnocytophaga leadbetteri,327575,3285,996626,1,88
NZ_CP022379.1,3664,Capnocytophaga,1016,10419,989558,10,13,Capnocytophaga sputigena,1019,3623,996336,0,41
ACIL03000013.1,4970,Catonella,43996,0,995030,0,4970,Catonella morbi,43997,0,995030,0,4970
NC_001464.1,5534,Pospiviroid,185753,5282,994466,0,252,Citrus exocortis viroid,12890,5251,994466,0,283
NZ_CP073092.1,7710,Corynebacterium,1716,32867,966722,190,221,Corynebacterium tuberculostearicum,38304,7494,992290,0,216
NZ_CP101133.1,9289,Corynebacterium,1716,32867,966722,190,221,Corynebacterium pseudotuberculosis,1719,9254,990709,2,35
NZ_CP100372.1,2118,Corynebacterium,1716,32867,966722,190,221,Corynebacterium pseudodiphtheriticum,37637,2065,997881,1,53
NZ_CP063195.1,9327,Corynebacterium,1716,32867,966722,190,221,Corynebacterium jeikeium,38289,8900,990668,5,427
NZ_CP100361.1,1884,Corynebacterium,1716,32867,966722,190,221,Corynebacterium propinquum,43769,1848,998113,3,36
NZ_CP024931.1,1849,Corynebacterium,1716,32867,966722,190,221,Corynebacterium striatum,43770,1778,998148,3,71
NZ_AP027140.1,911,Corynebacterium,1716,32867,966722,190,221,Corynebacterium ulcerans,65058,690,999088,1,221
NC_001472.1,7620,Enterovirus,12059,35282,946283,0,18435,Enterovirus B,138949,11695,973980,34,14291
MT157224.1,886,Enterovirus,12059,35282,946283,0,18435,Human rhinovirus sp.,169066,0,999114,0,886
NC_038311.1,8154,Enterovirus,12059,35282,946283,0,18435,Rhinovirus A,147711,8154,991795,51,0
NC_009996.1,6375,Enterovirus,12059,35282,946283,0,18435,Rhinovirus C,463676,6375,993625,0,0
OQ842458.1,3709,Enterovirus,12059,35282,946283,0,18435,Enterovirus B,138949,11695,973980,34,14291
NC_038307.1,2960,Enterovirus,12059,35282,946283,0,18435,Enterovirus B,138949,11695,973980,34,14291
OQ842451.1,6962,Enterovirus,12059,35282,946283,0,18435,Enterovirus B,138949,11695,973980,34,14291
OQ919261.1,1359,Enterovirus,12059,35282,946283,0,18435,Enterovirus B,138949,11695,973980,34,14291
OQ842410.1,5442,Enterovirus,12059,35282,946283,0,18435,Enterovirus A,138948,614,993713,845,4828
NC_038308.1,5791,Enterovirus,12059,35282,946283,0,18435,Enterovirus D,138951,5791,994197,12,0
JQ041368.1,713,Enterovirus,12059,35282,946283,0,18435,Enterovirus B,138949,11695,973980,34,14291
EF174468.1,2663,Enterovirus,12059,35282,946283,0,18435,Enterovirus B,138949,11695,973980,34,14291
NC_038312.1,1083,Enterovirus,12059,35282,946283,0,18435,Rhinovirus B,147712,1083,998917,0,0
MN164484.2,1803,Guelphvirus,2732062,1759,998197,0,44,Escherichia virus ECH1,2593465,0,998197,0,1803
NZ_CP018196.1,12043,Fusobacterium,848,15167,984645,167,21,Fusobacterium necrophorum,859,12032,987935,22,11
NZ_CP028101.1,2508,Fusobacterium,848,15167,984645,167,21,Fusobacterium nucleatum,851,2223,997480,12,285
NZ_CP024703.1,149,Fusobacterium,848,15167,984645,167,21,Fusobacterium pseudoperiodonticum,2663009,141,999845,6,8
NZ_CAKOJV010000001.1,488,Fusobacterium,848,15167,984645,167,21,uncultured Fusobacterium sp.,159267,0,999512,0,488
NZ_CP083637.1,218,Gemella,1378,2498,997335,39,128,Gemella haemolysans,1379,218,999781,1,0
NZ_CP046314.1,2408,Gemella,1378,2498,997335,39,128,Gemella morbillorum,29391,2262,997583,9,146
NZ_CP040915.1,4278,Georgenia,154116,4275,995707,15,3,Georgenia yuyongxinii,2589797,4275,995716,6,3
NZ_CP031243.1,3880,Haemophilus,724,39353,960523,8,116,Haemophilus haemolyticus,726,3758,996100,20,122
NZ_AP018768.1,9581,Haemophilus,724,39353,960523,8,116,Haemophilus influenzae,727,8965,990397,22,616
NZ_CP038817.1,8629,Haemophilus,724,39353,960523,8,116,Haemophilus parahaemolyticus,735,8586,991371,0,43
NZ_CP035368.2,10598,Haemophilus,724,39353,960523,8,116,Haemophilus parainfluenzae,729,10484,989392,10,114
NZ_LT906463.1,6781,Haemophilus,724,39353,960523,8,116,Haemophilus pittmaniae,249188,6734,993213,6,47
NC_039199.1,6737,Metapneumovirus,162387,6737,993263,0,0,Metapneumovirus hominis,3048148,6737,993263,0,0
NC_001781.1,9595,Orthopneumovirus,1868215,12696,987297,0,7,Orthopneumovirus hominis,3049954,10051,987297,0,2652
MG027862.1,3108,Orthopneumovirus,1868215,12696,987297,0,7,Orthopneumovirus hominis,3049954,10051,987297,0,2652
NZ_CP036164.1,4493,Janibacter,53457,4488,995496,11,5,Janibacter limosus,53458,4468,995506,1,25
NZ_CP065999.1,1866,Kingella,32257,17577,982377,7,39,Kingella denitrificans,502,1855,998132,2,11
NZ_CP123447.1,6557,Kingella,32257,17577,982377,7,39,Kingella negevensis,1522312,6370,993437,6,187
NZ_CP050136.1,9193,Kingella,32257,17577,982377,7,39,Kingella kingae,504,8973,990804,3,220
NC_013203.1,7886,Lancefieldella,2767353,7885,992113,1,1,Lancefieldella parvula,1382,7885,992114,0,1
NZ_LR134378.1,490,Lautropia,47670,490,999509,1,0,Lautropia mirabilis,47671,490,999509,1,0
NZ_AP019831.1,4296,Leptotrichia,32067,11616,988201,156,27,Leptotrichia trevisanii,109328,4199,995654,50,97
NZ_AP019829.2,1059,Leptotrichia,32067,11616,988201,156,27,Leptotrichia wadei,157687,1021,998903,38,38
NC_013192.1,6288,Leptotrichia,32067,11616,988201,156,27,Leptotrichia buccalis,40542,6029,993703,9,259
NZ_CP101528.1,4445,Micrococcus,1269,5554,994386,6,54,Micrococcus luteus,1270,3458,995547,8,987
NZ_CP126965.1,456,Micrococcus,1269,5554,994386,6,54,Micrococcus lylae,1273,454,999537,7,2
NZ_CANLQP010000001.1,707,Micrococcus,1269,5554,994386,6,54,uncultured Micrococcus sp.,114051,0,999293,0,707
NZ_CP014234.1,6424,Moraxella,475,6397,993571,5,27,Moraxella osloensis,34062,6299,993573,3,125
NZ_CP039886.1,9486,Neisseria,482,38220,961603,33,144,Neisseria flavescens,484,8908,990507,7,578
NZ_CP078113.1,2225,Neisseria,482,38220,961603,33,144,Neisseria gonorrhoeae,485,2103,997743,32,122
NZ_CP030820.1,4382,Neisseria,482,38220,961603,33,144,Neisseria meningitidis,487,4113,995557,61,269
NZ_CP053939.1,11234,Neisseria,482,38220,961603,33,144,Neisseria mucosa,488,9802,988754,12,1432
