read_accession_id,taxid,count
CP097095.1,1654,29
CP097095.1,1660,32
CP097095.1,2853258,1
CP097095.1,1526412,1
CP097095.1,1268,10
CP097095.1,111015,1
CP097095.1,2763540,4
CP097095.1,2049,10
CP097095.1,2,10
CP097095.1,1704044,1
CP097095.1,2603206,1
CP097095.1,410837,1
CP097095.1,201174,2
CP097095.1,544580,1
CP097095.1,3114300,1
CP097095.1,52773,4
CP097095.1,1655,3
CP097095.1,1760,42
CP097095.1,43675,18
CP097095.1,573370,1
CP097095.1,2802641,1
CP097095.1,2758573,1
CP097095.1,2585135,1
CP097095.1,2282397,1
CP097095.1,3059028,19
CP097095.1,587753,1
CP097095.1,2529408,5
CP097095.1,299152,1
CP097095.1,2722820,7
CP097095.1,2697563,1
CP097095.1,1006579,1
CP097095.1,77635,5
CP097095.1,1678,1
CP097095.1,401472,1
CP097095.1,1842535,1
CP097095.1,2744574,2
CP097095.1,1630135,1
CP097095.1,28263,1
CP097095.1,112874,1
CP097095.1,85007,6
CP097095.1,1716,3
CP097095.1,2495645,4
CP097095.1,3080537,1
CP097095.1,2021,1
CP097095.1,33010,2
CP097095.1,1912795,2
CP097095.1,296587,1
CP097095.1,1851395,1
CP097095.1,2609248,5
CP097095.1,675090,6
CP097095.1,286,2
CP097095.1,57043,1
CP097095.1,1897061,1
CP097095.1,2749991,1
CP097095.1,2737173,1
CP097095.1,169765,1
CP097095.1,2506452,1
CP097095.1,131567,2
CP097095.1,2487892,1
CP097095.1,2600159,1
CP097095.1,235627,2
CP097095.1,712116,1
CP097095.1,59561,3
CP097095.1,199136,2
CP097095.1,2758440,3
CP097095.1,1282737,1
CP097095.1,2811781,1
CP097095.1,3095341,1
CP097095.1,1852377,3
CP097095.1,1783272,4
CP097095.1,2590776,1
CP097095.1,674079,1
CP097095.1,1234143,1
CP097095.1,2692125,1
CP097095.1,1661,2
CP097095.1,85025,2
CP097095.1,374,1
CP097095.1,1236,2
CP097095.1,1121356,1
CP097095.1,2593973,1
CP097095.1,292564,1
CP097095.1,52771,2
CP097095.1,2735528,1
CP097095.1,2987701,1
CP097095.1,2894187,1
CP097095.1,33007,1
CP097095.1,38727,1
CP097095.1,699041,1
CP097095.1,712122,1
CP097095.1,2968831,1
CP097095.1,1224,1
CP097095.1,1768,1
CP097095.1,206351,1
CP097095.1,2003551,1
CP097095.1,1503041,1
CP097095.1,2053,1
CP097095.1,85006,4
CP097095.1,1866885,1
CP097095.1,84112,1
CP097095.1,1883,6
CP097095.1,270,1
CP097095.1,2081702,1
CP097095.1,1603886,1
CP097095.1,2079536,3
CP097095.1,2057798,1
CP097095.1,187491,1
CP097095.1,1179673,1
CP097095.1,52774,2
CP097095.1,9606,1
CP097095.1,1803177,1
CP097095.1,1659,2
CP097095.1,2498135,1
CP097095.1,39778,1
CP097095.1,52,1
CP097095.1,2719119,1
CP097095.1,85023,1
CP097095.1,2908651,2
CP097095.1,2755559,3
CP097095.1,28047,1
CP097095.1,2578107,1
CP097095.1,1121355,1
CP097095.1,37923,1
CP097095.1,103621,2
CP097095.1,2986919,1
CP097095.1,3369,1
CP097095.1,2175641,1
CP097095.1,3036302,1
CP097095.1,1835,1
CP097095.1,629680,1
CP097095.1,2684406,1
CP097095.1,2846775,1
CP097095.1,163604,1
CP097095.1,1663,1
CP097095.1,43771,1
CP097095.1,72763,1
CP097095.1,706439,2
CP097095.1,87541,1
CP097095.1,2733571,1
CP097095.1,2038343,1
CP097095.1,1431246,1
CP097095.1,85016,1
CP097095.1,2763257,1
CP097095.1,2972479,1
CP097095.1,43770,1
CP097095.1,2777556,1
CP097095.1,2029117,1
CP097095.1,3036127,1
CP097095.1,322104,1
CP097095.1,38302,1
CP097095.1,3039159,1
CP097095.1,2057246,1
CP097095.1,871541,1
CP097095.1,131110,1
CP097095.1,1863,1
CP097095.1,2583822,1
CP097095.1,2996261,1
CP097095.1,2047,1
CP097095.1,1160973,1
CP097095.1,959,1
CP097095.1,2079791,1
