read_accession_id,read_accession_total_count,root,kraken_classified_root,superkingdom,kraken_classified_superkingdom,phylum,kraken_classified_phylum,class,kraken_classified_class,order,kraken_classified_order,family,kraken_classified_family,genus,kraken_classified_genus,species,kraken_classified_species
CP097095.1,1572,root,509,Bacteria,501,Actinomycetota,423,Actinomycetes,421,Actinomycetales,221,Actinomycetaceae,221,Actinomyces,130,Actinomyces graevenitzii,0
NZ_LT635457.1,6436,root,6433,Bacteria,6433,Actinomycetota,6433,Actinomycetes,6433,Actinomycetales,6433,Actinomycetaceae,6433,Actinomyces,6432,Actinomyces pacaensis,6432
NZ_CAKAHJ010000001.1,4957,root,3732,Bacteria,3707,Actinomycetota,3633,Actinomycetes,3633,Actinomycetales,3350,Actinomycetaceae,3350,Actinomyces,39,uncultured Actinomyces sp.,0
NZ_CP124548.1,75,root,75,Bacteria,75,Actinomycetota,75,Actinomycetes,75,Actinomycetales,75,Actinomycetaceae,75,Actinomyces,75,Actinomyces israelii,75
NZ_CP012072.1,3280,root,3280,Bacteria,3280,Actinomycetota,3280,Actinomycetes,3280,Actinomycetales,3280,Actinomycetaceae,3280,Schaalia,3280,Schaalia meyeri,3276
NZ_CP033459.1,6778,root,6778,Bacteria,6778,Bacteroidota,6778,Bacteroidia,6775,Bacteroidales,6775,Prevotellaceae,6774,Pseudoprevotella,6773,Pseudoprevotella muciniphila,6773
CAKAFU010000002.1,1558,root,332,Bacteria,320,Bacteroidota,266,Bacteroidia,248,Bacteroidales,247,Prevotellaceae,195,Alloprevotella,0,Alloprevotella tannerae,0
NZ_CP032823.1,10110,root,10108,Bacteria,10104,Campylobacterota,10104,Epsilonproteobacteria,10104,Campylobacterales,10104,Arcobacteraceae,10104,Aliarcobacter,10089,Aliarcobacter cryaerophilus,10059
NZ_CP036550.1,700,root,700,Bacteria,700,Bacteroidota,700,Bacteroidia,692,Bacteroidales,692,Bacteroidaceae,675,Bacteroides,673,Bacteroides fragilis,664
NZ_CP040630.1,5314,root,5314,Bacteria,5314,Bacteroidota,5314,Bacteroidia,5252,Bacteroidales,5252,Bacteroidaceae,4936,Bacteroides,4906,Bacteroides sp. PHL 2737,56
NZ_CP102541.1,3698,root,3698,Bacteria,3698,Actinomycetota,3698,Actinomycetes,3698,Bifidobacteriales,3698,Bifidobacteriaceae,3698,Bifidobacterium,3698,Bifidobacterium longum,2878
NZ_CP049272.1,32,root,32,Bacteria,32,Campylobacterota,32,Epsilonproteobacteria,32,Campylobacterales,32,Campylobacteraceae,32,Campylobacter,32,Campylobacter concisus,32
NZ_CP082871.1,4569,root,4568,Bacteria,4562,Campylobacterota,4559,Epsilonproteobacteria,4559,Campylobacterales,4559,Campylobacteraceae,4559,Campylobacter,4559,Campylobacter hominis,4548
NZ_CP012544.1,7024,root,7024,Bacteria,7024,Campylobacterota,7024,Epsilonproteobacteria,7024,Campylobacterales,7024,Campylobacteraceae,7024,Campylobacter,7024,Campylobacter showae,7002
NZ_CALGPY010000005.1,10532,root,9885,Bacteria,9852,Campylobacterota,9820,Epsilonproteobacteria,9820,Campylobacterales,9820,Campylobacteraceae,9810,Campylobacter,9810,uncultured Campylobacter sp.,0
