parent_taxid,level,taxid,name,kraken_classifed_reads,NT_rPM
2890311,1,160674,Raoultella,15977.0,15977
160674,2,575,Raoultella planticola,11610.0,11610
160674,2,54291,Raoultella ornithinolytica,2141.0,2141
160674,1,2627600,unclassified Raoultella,7.0,7
2627600,2,2993656,Raoultella sp. DY2415,4.0,4
2627600,2,2923366,Raoultella sp. HC6,3.0,3
160674,2,577,Raoultella terrigena,6.0,6
2890311,1,570,Klebsiella,9697.0,9697
570,2,1463165,Klebsiella quasipneumoniae,4049.0,4048
570,2,571,Klebsiella oxytoca,1142.0,1142
570,2,244366,Klebsiella variicola,1056.0,1056
570,2,573,Klebsiella pneumoniae,548.0,548
570,2,548,Klebsiella aerogenes,42.0,42
570,2,2026240,Klebsiella quasivariicola,36.0,36
570,2,2489010,Klebsiella africana,29.0,29
570,2,1134687,Klebsiella michiganensis,21.0,21
570,1,2608929,unclassified Klebsiella,15.0,15
2608929,2,2851540,Klebsiella sp. PL-2018,2.0,2
2608929,2,2787706,Klebsiella sp. BDA134-6,1.0,1
2608929,2,2267618,Klebsiella sp. P1CD1,1.0,1
2608929,2,2897413,Klebsiella sp. KPN54798,1.0,1
2608929,2,2834819,Klebsiella sp. A52,1.0,1
570,2,2153354,Klebsiella huaxiensis,8.0,8
570,2,1259973,Klebsiella electrica,4.0,4
570,2,2058152,Klebsiella grimontii,4.0,4
570,2,2587529,Klebsiella pasteurii,2.0,2
543,1,544,Citrobacter,11924.0,11924
544,1,1344959,Citrobacter freundii complex,5791.0,5791
1344959,2,546,Citrobacter freundii,1258.0,1258
1344959,2,1639133,Citrobacter portucalensis,296.0,296
1344959,2,57706,Citrobacter braakii,183.0,183
1344959,2,67827,Citrobacter werkmanii,58.0,58
1344959,2,133448,Citrobacter youngae,24.0,24
1344959,2,1748967,Citrobacter cronae,20.0,20
1344959,1,2816438,unclassified Citrobacter freundii complex,16.0,16
2816438,2,2077149,Citrobacter freundii complex sp. CFNIH9,4.0,4
2816438,2,1686378,Citrobacter sp. MGH103,3.0,3
2816438,2,1686380,Citrobacter sp. MGH105,2.0,2
2816438,2,1686385,Citrobacter sp. BIDMC108,2.0,2
2816438,2,2529121,Citrobacter sp. ABFQG,2.0,2
2816438,2,2066049,Citrobacter freundii complex sp. CFNIH2,1.0,1
2816438,2,2077147,Citrobacter freundii complex sp. CFNIH3,1.0,1
2816438,2,2077148,Citrobacter freundii complex sp. CFNIH4,1.0,1
1344959,2,67826,Citrobacter sedlakii,3.0,3
1344959,2,67828,Citrobacter gillenii,1.0,1
544,2,545,Citrobacter koseri,3698.0,3698
544,1,2644389,unclassified Citrobacter,62.0,62
2644389,2,2742624,Citrobacter sp. RHB25-C09,12.0,12
2644389,2,1573676,Citrobacter sp. R56,9.0,9
2644389,2,2861801,Citrobacter sp. Colony322,4.0,4
2644389,2,2742653,Citrobacter sp. RHBSTW-00524,4.0,4
2644389,2,2742627,Citrobacter sp. RHB36-C18,2.0,2
2644389,2,2861802,Citrobacter sp. Colony219,2.0,2
2644389,2,1702170,Citrobacter sp. FDAARGOS_156,2.0,2
2644389,2,1703250,Citrobacter sp. CRE-46,2.0,2
2644389,2,2861800,Citrobacter sp. Colony475,2.0,2
2644389,2,2697370,Citrobacter sp. LUTT5,2.0,2
2644389,2,2742668,Citrobacter sp. RHBSTW-00887,1.0,1
2644389,2,2742632,Citrobacter sp. RHBSTW-00053,1.0,1
2644389,2,2742657,Citrobacter sp. RHBSTW-00599,1.0,1
2644389,2,2742675,Citrobacter sp. RHBSTW-00986,1.0,1
2644389,2,2807631,Citrobacter sp. B72,1.0,1
2644389,2,1920110,Citrobacter sp. CFNIH10,1.0,1
