read_accession_id,read_accession_total_count,root,kraken_classified_root,superkingdom,kraken_classified_superkingdom,phylum,kraken_classified_phylum,class,kraken_classified_class,order,kraken_classified_order,family,kraken_classified_family,genus,kraken_classified_genus,species,kraken_classified_species
NZ_LT635457.1,704,root,704,Bacteria,704,Actinomycetota,704,Actinomycetes,704,Actinomycetales,704,Actinomycetaceae,704,Actinomyces,700,Actinomyces pacaensis,699
NZ_CP033459.1,54,root,54,Bacteria,54,Bacteroidota,54,Bacteroidia,54,Bacteroidales,54,Prevotellaceae,54,Pseudoprevotella,54,Pseudoprevotella muciniphila,54
CAKAFU010000002.1,84,root,21,Bacteria,21,Bacteroidota,17,Bacteroidia,16,Bacteroidales,16,Prevotellaceae,16,Alloprevotella,0,Alloprevotella tannerae,0
NZ_CP102541.1,2330,root,2330,Bacteria,2330,Actinomycetota,2330,Actinomycetes,2330,Bifidobacteriales,2330,Bifidobacteriaceae,2330,Bifidobacterium,2330,Bifidobacterium longum,1750
NZ_CP049272.1,30102,root,30098,Bacteria,30097,Campylobacterota,30097,Epsilonproteobacteria,0,Campylobacterales,30097,Campylobacteraceae,30097,Campylobacter,30097,Campylobacter concisus,30034
MN164484.2,6,root,6,Viruses,6,Uroviricota,6,Caudoviricetes,6,unclassified Caudoviricetes order,0,Drexlerviridae,6,Guelphvirus,6,Escherichia virus ECH1,0
NZ_CP028101.1,80,root,80,Bacteria,80,Fusobacteriota,80,Fusobacteriia,80,Fusobacteriales,80,Fusobacteriaceae,80,Fusobacterium,80,Fusobacterium nucleatum,76
NZ_CP024703.1,76,root,76,Bacteria,76,Fusobacteriota,76,Fusobacteriia,76,Fusobacteriales,76,Fusobacteriaceae,76,Fusobacterium,76,Fusobacterium pseudoperiodonticum,74
NZ_CP083637.1,10854,root,10836,Bacteria,10835,Bacillota,10833,Bacilli,10829,Bacillales,10824,unclassified Bacillales family,0,Gemella,10824,Gemella haemolysans,10807
NZ_AP018768.1,71,root,71,Bacteria,71,Pseudomonadota,71,Gammaproteobacteria,70,Pasteurellales,70,Pasteurellaceae,70,Haemophilus,70,Haemophilus influenzae,60
NZ_CP035368.2,10031,root,10031,Bacteria,10031,Pseudomonadota,10028,Gammaproteobacteria,10026,Pasteurellales,10015,Pasteurellaceae,10015,Haemophilus,9955,Haemophilus parainfluenzae,9899
NZ_CP038817.1,64,root,64,Bacteria,64,Pseudomonadota,64,Gammaproteobacteria,64,Pasteurellales,64,Pasteurellaceae,64,Haemophilus,64,Haemophilus parahaemolyticus,63
NC_013203.1,26981,root,26981,Bacteria,26981,Actinomycetota,26968,Coriobacteriia,26968,Coriobacteriales,26968,Atopobiaceae,26968,Lancefieldella,26967,Lancefieldella parvula,26967
NZ_LR134378.1,20228,root,20228,Bacteria,20228,Pseudomonadota,20227,Betaproteobacteria,20224,Burkholderiales,20224,Burkholderiaceae,20217,Lautropia,20210,Lautropia mirabilis,20210
NZ_AP019831.1,40,root,40,Bacteria,40,Fusobacteriota,40,Fusobacteriia,40,Fusobacteriales,40,Leptotrichiaceae,40,Leptotrichia,40,Leptotrichia trevisanii,40
