accession_id,total_reads,genus,genus_taxid,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_true_positive,species_true_negative,species_false_positive,species_false_negative
NZ_LT635457.1,52,Actinomyces,1654,79,1929631,11,2613,Actinomyces pacaensis,1852377,52,1932274,8,0
NZ_CP033459.1,5813,Pseudoprevotella,2884814,5804,1926491,30,9,Pseudoprevotella muciniphila,2133944,5804,1926491,30,9
CAKAFU010000002.1,9016,Alloprevotella,1283313,0,1923318,0,9016,Alloprevotella tannerae,76122,0,1923318,0,9016
NZ_CP036550.1,5837,Bacteroides,816,5653,1926389,108,184,Bacteroides fragilis,817,5558,1926487,10,279
NZ_CP049272.1,1526,Campylobacter,194,142034,1789941,1,358,Campylobacter concisus,199,1521,1930770,38,5
NZ_CP012544.1,137716,Campylobacter,194,142034,1789941,1,358,Campylobacter showae,204,137064,1794448,170,652
NZ_CP022386.1,3867,Capnocytophaga,1016,74546,1857682,2,104,Capnocytophaga gingivalis,1017,3839,1928461,6,28
NZ_CP022384.1,70544,Capnocytophaga,1016,74546,1857682,2,104,Capnocytophaga leadbetteri,327575,67314,1861790,0,3230
NZ_CP022379.1,239,Capnocytophaga,1016,74546,1857682,2,104,Capnocytophaga sputigena,1019,238,1932052,43,1
NZ_CP073092.1,4816,Corynebacterium,1716,4636,1927511,7,180,Corynebacterium tuberculostearicum,38304,4285,1927518,0,531
NZ_CP018196.1,148,Fusobacterium,848,178464,1753494,4,372,Fusobacterium necrophorum,859,148,1932159,27,0
NZ_CP028101.1,474,Fusobacterium,848,178464,1753494,4,372,Fusobacterium nucleatum,851,455,1930329,1531,19
NZ_CP024703.1,177910,Fusobacterium,848,178464,1753494,4,372,Fusobacterium pseudoperiodonticum,2663009,171108,1754424,0,6802
NZ_CP083637.1,1531,Gemella,1378,1528,1930802,1,3,Gemella haemolysans,1379,1527,1930802,1,4
NZ_CP031243.1,1836,Haemophilus,724,524312,1404051,1470,2501,Haemophilus haemolyticus,726,1731,1929629,869,105
NZ_AP018768.1,1309,Haemophilus,724,524312,1404051,1470,2501,Haemophilus influenzae,727,1177,1930600,425,132
NZ_CP038817.1,176096,Haemophilus,724,524312,1404051,1470,2501,Haemophilus parahaemolyticus,735,174550,1756184,54,1546
NZ_CP035368.2,347572,Haemophilus,724,524312,1404051,1470,2501,Haemophilus parainfluenzae,729,343192,1584137,625,4380
NC_013203.1,76,Lancefieldella,2767353,76,1932258,0,0,Lancefieldella parvula,1382,76,1932258,0,0
NZ_LR134378.1,124,Lautropia,47670,124,1932209,1,0,Lautropia mirabilis,47671,124,1932209,1,0
NC_001781.1,6,Orthopneumovirus,1868215,6,1932328,0,0,Orthopneumovirus hominis,3049954,0,1932328,0,6
NZ_CP101528.1,72,Micrococcus,1269,72,1932260,2,0,Micrococcus luteus,1270,61,1932261,1,11
NZ_CP078113.1,1402,Neisseria,482,386455,1525579,26,20274,Neisseria gonorrhoeae,485,1305,1928323,2609,97
NZ_CP030820.1,4215,Neisseria,482,386455,1525579,26,20274,Neisseria meningitidis,487,3926,1916551,11568,289
NZ_CP053939.1,24272,Neisseria,482,386455,1525579,26,20274,Neisseria mucosa,488,23596,1699267,208795,676
NZ_CP073114.1,376840,Neisseria,482,386455,1525579,26,20274,Neisseria subflava,28449,29836,1555475,19,347004
NZ_CP092048.1,875,Porphyromonas,836,865,1931308,31,130,Porphyromonas gingivalis,837,863,1931445,14,12
NC_019960.1,114,Prevotella,838,31045,1899257,935,1097,Prevotella dentalis,52227,112,1932200,20,2
NZ_CP024696.1,494,Prevotella,838,31045,1899257,935,1097,Prevotella intermedia,28131,464,1931635,205,30
NZ_CP072363.1,2044,Prevotella,838,31045,1899257,935,1097,Prevotella jejuni,1177574,1998,1930228,62,46
AP018050.1,29000,Prevotella,838,31045,1899257,935,1097,Prevotella melaninogenica,28132,28220,1903238,96,780
NZ_CP079201.1,84,Rothia,32207,214245,1717880,117,92,Rothia dentocariosa,2047,83,1932240,10,1
