parent_taxid,level,taxid,name,kraken_classifed_reads,NT_rPM
712,1,724,Haemophilus,526899,263974
724,2,729,Haemophilus parainfluenzae,330921,165790
724,2,735,Haemophilus parahaemolyticus,172130,86236
724,2,726,Haemophilus haemolyticus,2302,1153
724,2,727,Haemophilus influenzae,1194,598
724,2,249188,Haemophilus pittmaniae,47,23
724,1,2609962,unclassified Haemophilus,39,19
2609962,2,712310,Haemophilus sp. oral taxon 036,39,19
724,2,730,[Haemophilus] ducreyi,10,5
724,2,197575,Haemophilus aegyptius,2,1
712,1,416916,Aggregatibacter,267,133
416916,2,732,Aggregatibacter aphrophilus,72,36
416916,1,2639383,unclassified Aggregatibacter,58,29
2639383,2,2866570,Aggregatibacter sp. Marseille-P9115,26,13
2639383,2,2820817,Aggregatibacter sp. 2125159857,22,11
2639383,2,712150,Aggregatibacter sp. oral taxon 513,2,1
416916,2,714,Aggregatibacter actinomycetemcomitans,40,20
416916,2,739,Aggregatibacter segnis,6,3
712,1,713,Actinobacillus,115,57
713,2,716,Actinobacillus suis,30,15
713,2,189834,Actinobacillus porcitonsillarum,18,9
713,2,715,Actinobacillus pleuropneumoniae,13,6
713,2,51161,Actinobacillus delphinicola,11,5
713,1,2644856,unclassified Actinobacillus,10,5
2644856,2,2774188,Actinobacillus sp. GY-402,10,5
713,2,718,Actinobacillus equuli,3,1
713,2,51049,Actinobacillus indolicus,3,1
713,2,720,Actinobacillus lignieresii,2,1
712,1,75984,Mannheimia,91,45
75984,2,85402,Mannheimia granulomatis,18,9
75984,2,75985,Mannheimia haemolytica,17,8
75984,2,85404,Mannheimia varigena,6,3
75984,1,2645054,unclassified Mannheimia,6,3
2645054,2,1432056,Mannheimia sp. USDA-ARS-USMARC-1261,6,3
75984,2,2770636,Mannheimia bovis,3,1
75984,2,2679994,Mannheimia ovis,2,1
712,1,745,Pasteurella,78,39
745,2,747,Pasteurella multocida,30,15
745,2,754,Pasteurella dagmatis,20,10
745,2,97481,Pasteurella skyensis,7,3
745,2,753,Pasteurella canis,6,3
745,2,2827233,Pasteurella atlantica,6,3
712,1,2094023,Glaesserella,48,24
2094023,2,738,Glaesserella parasuis,41,20
2094023,1,2629322,unclassified Glaesserella,6,3
2629322,2,2030797,Glaesserella sp. 15-184,6,3
712,1,292486,Avibacterium,38,19
292486,2,728,Avibacterium paragallinarum,15,7
292486,1,2685287,unclassified Avibacterium,14,7
2685287,2,2911527,Avibacterium sp. 21-595,5,2
292486,2,762,Avibacterium volantium,5,2
712,1,1960084,Rodentibacter,29,14
1960084,2,2778911,Rodentibacter haemolyticus,16,8
1960084,2,1906744,Rodentibacter heylii,13,6
712,1,109471,Bisgaardia,23,11
109471,2,109472,Bisgaardia hudsonensis,23,11
712,1,155493,Gallibacterium,15,7
155493,2,750,Gallibacterium anatis,15,7
712,1,214906,Histophilus,15,7
214906,2,731,Histophilus somni,15,7
712,1,2899790,Mergibacter,11,5
2899790,2,221402,Mergibacter septicus,11,5
712,1,697331,Basfia,9,4
697331,2,157673,[Mannheimia] succiniciproducens,1,0
712,1,1649317,Frederiksenia,7,3
1649317,2,123824,Frederiksenia canicola,7,3
712,1,476528,Bibersteinia,5,2
476528,2,47735,Bibersteinia trehalosi,5,2
712,1,1249016,Otariodibacter,4,2
1249016,2,1032623,Otariodibacter oris,4,2
712,1,1520333,Vespertiliibacter,2,1
1520333,2,1443036,Vespertiliibacter pulmonis,2,1
2890311,1,570,Klebsiella,38,19
570,2,573,Klebsiella pneumoniae,20,10
570,2,548,Klebsiella aerogenes,6,3
570,2,244366,Klebsiella variicola,3,1
570,2,1463165,Klebsiella quasipneumoniae,2,1
2890311,1,160674,Raoultella,1,0
160674,1,2627600,unclassified Raoultella,1,0
2627600,2,2799495,Raoultella sp. XY-1,1,0
543,1,590,Salmonella,37,18
590,2,28901,Salmonella enterica,37,18
543,1,561,Escherichia,31,15
561,2,562,Escherichia coli,30,15
561,2,208962,Escherichia albertii,1,0
543,1,547,Enterobacter,17,8
547,1,354276,Enterobacter cloacae complex,11,5
354276,2,550,Enterobacter cloacae,2,1
354276,2,158836,Enterobacter hormaechei,2,1
547,1,2608935,unclassified Enterobacter,2,1
2608935,2,2976431,Enterobacter sp. CP102,1,0
2608935,2,2500132,Enterobacter sp. N18-03635,1,0
543,1,544,Citrobacter,14,7
544,1,1344959,Citrobacter freundii complex,9,4
1344959,2,57706,Citrobacter braakii,4,2
1344959,2,1639133,Citrobacter portucalensis,3,1
1344959,2,546,Citrobacter freundii,2,1
544,2,67825,Citrobacter rodentium,1,0
544,2,2546350,Citrobacter arsenatis,1,0
544,1,2644389,unclassified Citrobacter,1,0
2644389,2,2697370,Citrobacter sp. LUTT5,1,0
84564,1,203804,Candidatus Blochmannia,4,2
203804,2,251535,Candidatus Blochmannia vafer,1,0
203804,1,711328,unclassified Candidatus Blochmannia,1,0
711328,2,2681987,Blochmannia endosymbiont of Colobopsis nipponica,1,0
146507,1,568987,Candidatus Hamiltonella,3,1
568987,2,138072,Candidatus Hamiltonella defensa,3,1
146507,2,1199245,secondary endosymbiont of Ctenarytaina eucalypti,1,0
199891,2,1835721,secondary endosymbiont of Trabutina mannipara,2,1
84563,1,1906660,Candidatus Mikella,1,0
1906660,2,1778264,Candidatus Mikella endobia,1,0
543,1,82976,Buttiauxella,5,2
82976,2,82977,Buttiauxella agrestis,5,2
36866,2,2675793,Enterobacteriaceae endosymbiont of Plateumaris braccata,1,0
36866,2,2675792,Enterobacteriaceae endosymbiont of Neohaemonia nigricornis,1,0
36866,2,2675790,Enterobacteriaceae endosymbiont of Macroplea appendiculata,1,0
543,1,620,Shigella,3,1
620,2,622,Shigella dysenteriae,2,1
620,2,623,Shigella flexneri,1,0
543,1,1903434,Atlantibacter,3,1
1903434,2,565,Atlantibacter hermannii,3,1
543,1,1504576,Pseudocitrobacter,3,1
1504576,2,2891570,Pseudocitrobacter corydidari,3,1
543,1,83654,Leclercia,3,1
83654,1,2627398,unclassified Leclercia,2,1
2627398,2,1920114,Leclercia sp. LSNIH1,1,0
2627398,2,2681308,Leclercia sp. 119287,1,0
83654,2,83655,Leclercia adecarboxylata,1,0
543,1,158483,Cedecea,2,1
158483,1,2649846,unclassified Cedecea,2,1
2649846,2,2545798,Cedecea sp. FDAARGOS_727,2,1
543,1,702,Plesiomonas,2,1
702,2,703,Plesiomonas shigelloides,2,1
543,1,1330547,Kosakonia,2,1
1330547,2,497725,Kosakonia oryzae,2,1
543,1,1177214,Candidatus Profftia,2,1
1177214,1,2735709,unclassified Candidatus Profftia,2,1
2735709,2,2864218,Candidatus Profftia sp. (ex Adelges kitamiensis),2,1
543,1,579,Kluyvera,1,0
579,2,61648,Kluyvera intermedia,1,0
543,1,158876,Yokenella,1,0
158876,2,158877,Yokenella regensburgei,1,0
543,1,1649298,Siccibacter,1,0
1649298,2,1505757,Siccibacter colletis,1,0
543,1,1048757,Candidatus Moranella,1,0
1048757,2,1048758,Candidatus Moranella endobia,1,0
1903411,1,613,Serratia,77,38
613,2,615,Serratia marcescens,48,24
613,2,618,Serratia odorifera,3,1
613,2,82996,Serratia plymuthica,1,0
613,2,2338073,Serratia inhibens,1,0
613,2,28151,Serratia proteamaculans,1,0
1903411,1,629,Yersinia,9,4
629,2,263819,Yersinia aleksiciae,3,1
629,2,630,Yersinia enterocolitica,1,0
629,2,29483,Yersinia aldovae,1,0
629,1,1649845,Yersinia pseudotuberculosis complex,1,0
1649845,2,632,Yersinia pestis,1,0
1903411,1,34037,Rahnella,6,3
34037,2,1510570,Rahnella victoriana,1,0
1903411,1,1565532,Rouxiella,5,2
1565532,2,1513468,Rouxiella chamberiensis,4,2
1565532,2,1646377,Rouxiella badensis,1,0
1903411,1,41201,Ewingella,2,1
41201,2,41202,Ewingella americana,2,1
1903411,1,1927833,Candidatus Fukatsuia,1,0
1927833,2,1878942,Candidatus Fukatsuia symbiotica,1,0
1903414,1,586,Providencia,42,21
586,2,126385,Providencia alcalifaciens,7,3
586,2,587,Providencia rettgeri,4,2
586,2,516075,Providencia sneebia,3,1
586,2,588,Providencia stuartii,1,0
586,2,158850,Providencia rustigianii,1,0
586,1,2633465,unclassified Providencia,1,0
2633465,2,2828763,Providencia sp. R33,1,0
1903414,1,583,Proteus,10,5
583,2,584,Proteus mirabilis,5,2
583,2,102862,Proteus penneri,1,0
583,1,257482,unclassified Proteus,1,0
257482,2,2697019,Proteus sp. ZN5,1,0
1903414,1,626,Xenorhabdus,10,5
626,2,290110,Xenorhabdus budapestensis,6,3
626,2,40577,Xenorhabdus poinarii,3,1
626,2,351679,Xenorhabdus hominickii,1,0
1903414,1,581,Morganella,9,4
581,2,582,Morganella morganii,9,4
1903414,1,29487,Photorhabdus,5,2
29487,2,171438,Photorhabdus akhurstii,3,1
29487,2,291112,Photorhabdus asymbiotica,2,1
1903414,1,637,Arsenophonus,1,0
637,2,634113,Candidatus Arsenophonus lipoptenae,1,0
1903414,1,158848,Moellerella,1,0
158848,2,158849,Moellerella wisconsensis,1,0
1903409,1,53335,Pantoea,25,12
53335,2,553,Pantoea ananatis,5,2
53335,2,470932,Pantoea deleyi,3,1
53335,2,55209,Pantoea cypripedii,1,0
53335,2,66269,Pantoea stewartii,1,0
53335,2,472693,Pantoea eucrina,1,0
53335,2,1235990,Candidatus Pantoea carbekii,1,0
1903409,1,551,Erwinia,9,4
551,2,1922217,Candidatus Erwinia haradaeae,8,4
551,2,55212,Erwinia rhapontici,1,0
1903409,1,32199,Buchnera,8,4
32199,2,9,Buchnera aphidicola,8,4
1903409,1,2100764,Mixta,1,0
2100764,2,665914,Mixta gaviniae,1,0
1903410,1,122277,Pectobacterium,4,2
122277,2,69221,Pectobacterium cacticida,2,1
122277,2,78398,Pectobacterium odoriferum,1,0
122277,2,2485124,Pectobacterium polonicum,1,0
1903410,1,71655,Brenneria,3,1
71655,2,55213,Brenneria rubrifaciens,1,0
71655,2,1109412,Brenneria goodwinii,1,0
71655,2,2722756,Brenneria izadpanahii,1,0
1903410,1,204037,Dickeya,2,1
204037,2,204042,Dickeya zeae,1,0
