parent_taxid,level,taxid,name,kraken_classifed_reads,NT_rPM
1268,1,32207,Rothia,1607173,814274
32207,2,43675,Rothia mucilaginosa,1601837,811570
32207,2,2047,Rothia dentocariosa,266,134
32207,2,172042,Rothia aeria,33,16
32207,2,85336,Rothia nasimurium,27,13
32207,1,2689056,unclassified Rothia (in: high G+C Gram-positive bacteria),16,8
2689056,2,2810516,Rothia sp. ZJ932,16,8
32207,2,396015,Rothia terrae,12,6
32207,2,169480,Rothia amarae,7,3
32207,2,37923,Rothia kristinae,6,3
1268,1,1269,Micrococcus,249,126
1269,2,1270,Micrococcus luteus,123,62
1269,1,2620948,unclassified Micrococcus,2,1
2620948,2,2856555,Micrococcus sp. KD337-16,2,1
1268,1,1663,Arthrobacter,61,30
1663,1,235627,unclassified Arthrobacter,39,19
235627,2,1477518,Arthrobacter sp. D5-1,4,2
235627,2,2886940,Arthrobacter sp. zg-Y809,3,1
235627,2,2996261,Arthrobacter sp. MMS18-M83,2,1
235627,2,2651199,Arthrobacter sp. CDRTa11,2,1
235627,2,2964610,Arthrobacter sp. zg-Y1171,2,1
235627,2,2886936,Arthrobacter sp. zg-Y462,2,1
235627,2,2886932,Arthrobacter sp. zg-Y1110,2,1
235627,2,2830992,Arthrobacter sp. StoSoilB5,2,1
235627,2,2575374,Arthrobacter sp. 24S4-2,1,0
235627,2,2997335,Arthrobacter sp. FX8,1,0
235627,2,2828862,Arthrobacter sp. Helios,1,0
235627,2,2830993,Arthrobacter sp. StoSoilB13,1,0
235627,2,2830997,Arthrobacter sp. NicSoilB4,1,0
235627,2,2831000,Arthrobacter sp. NicSoilC5,1,0
235627,2,2861279,Arthrobacter sp. PAMC25284,1,0
235627,2,2879618,Arthrobacter sp. FW306-2-2C-D06B,1,0
235627,2,2886935,Arthrobacter sp. zg-Y453,1,0
235627,2,2964616,Arthrobacter sp. zg-Y815,1,0
235627,2,2972479,Arthrobacter sp. CJ23,1,0
235627,2,1357915,Arthrobacter sp. QXT-31,1,0
235627,2,2020486,Arthrobacter sp. YN,1,0
235627,2,1849032,Arthrobacter sp. U41,1,0
1663,2,37928,Arthrobacter crystallopoietes,5,2
1663,2,156980,Arthrobacter woluwensis,3,1
1663,2,2813727,Arthrobacter polaris,3,1
1663,2,37921,Arthrobacter agilis,2,1
1663,2,199136,Arthrobacter koreensis,2,1
1663,2,2895818,Arthrobacter antioxidans,2,1
1663,2,656366,Arthrobacter alpinus,1,0
1663,2,2486855,Arthrobacter sulfonylureivorans,1,0
1663,2,2816859,Arthrobacter sunyaminii,1,0
1663,2,2817475,Arthrobacter jiangjiafuii,1,0
1268,1,57493,Kocuria,59,29
57493,1,2649579,unclassified Kocuria,43,21
2649579,2,2711328,Kocuria sp. TGY1127_2,42,21
2649579,2,1702043,Kocuria sp. BT304,1,0
57493,2,72000,Kocuria rhizophila,3,1
57493,2,1272,Kocuria varians,2,1
57493,2,1275,Kocuria rosea,1,0
57493,2,71999,Kocuria palustris,1,0
57493,2,446860,Kocuria flava,1,0
1268,1,1742989,Glutamicibacter,17,8
1742989,1,2627139,unclassified Glutamicibacter,4,2
2627139,2,3023076,Glutamicibacter sp. M10,2,1
2627139,2,1155384,Glutamicibacter sp. ZJUTW,1,0
2627139,2,2984842,Glutamicibacter sp. JL.03c,1,0
1742989,2,1933880,Glutamicibacter halophytocola,3,1
1742989,2,256701,Glutamicibacter arilaitensis,2,1
1742989,2,37930,Glutamicibacter protophormiae,1,0
1742989,2,162496,Glutamicibacter creatinolyticus,1,0
1742989,2,257984,Glutamicibacter mysorens,1,0
1742989,2,1775880,Glutamicibacter mishrai,1,0
1268,1,1742993,Pseudarthrobacter,12,6
1742993,1,2647000,unclassified Pseudarthrobacter,8,4
2647000,2,2851598,Pseudarthrobacter sp. L1SW,3,1
