read_accession_id,read_accession_total_count,root,kraken_classified_root,superkingdom,kraken_classified_superkingdom,phylum,kraken_classified_phylum,class,kraken_classified_class,order,kraken_classified_order,family,kraken_classified_family,genus,kraken_classified_genus,species,kraken_classified_species
NZ_LT635457.1,3504,root,3503,Bacteria,3503,Actinomycetota,3503,Actinomycetes,3503,Actinomycetales,3503,Actinomycetaceae,3503,Actinomyces,3496,Actinomyces pacaensis,3495
NZ_CAKAHJ010000001.1,22995,root,10518,Bacteria,10500,Actinomycetota,10125,Actinomycetes,10102,Actinomycetales,8706,Actinomycetaceae,8706,Actinomyces,248,uncultured Actinomyces sp.,0
NZ_CP124548.1,11884,root,5467,Bacteria,5431,Actinomycetota,4986,Actinomycetes,4955,Actinomycetales,3690,Actinomycetaceae,3690,Actinomyces,3640,Actinomyces israelii,0
NZ_CP012072.1,15976,root,15961,Bacteria,15961,Actinomycetota,15961,Actinomycetes,15961,Actinomycetales,15960,Actinomycetaceae,15960,Schaalia,15953,Schaalia meyeri,15928
NZ_CP033459.1,25943,root,25921,Bacteria,25918,Bacteroidota,25914,Bacteroidia,25904,Bacteroidales,25904,Prevotellaceae,25902,Pseudoprevotella,25886,Pseudoprevotella muciniphila,25886
CAKAFU010000002.1,3417,root,485,Bacteria,484,Bacteroidota,427,Bacteroidia,396,Bacteroidales,396,Prevotellaceae,322,Alloprevotella,0,Alloprevotella tannerae,0
NZ_CP032823.1,6211,root,6136,Bacteria,6133,Campylobacterota,6127,Epsilonproteobacteria,0,Campylobacterales,6127,Arcobacteraceae,6127,Aliarcobacter,6112,Aliarcobacter cryaerophilus,6036
NZ_CP036550.1,853,root,853,Bacteria,853,Bacteroidota,853,Bacteroidia,851,Bacteroidales,851,Bacteroidaceae,832,Bacteroides,817,Bacteroides fragilis,782
NZ_CP040630.1,10078,root,10077,Bacteria,10077,Bacteroidota,10073,Bacteroidia,9958,Bacteroidales,9958,Bacteroidaceae,9331,Bacteroides,9287,Bacteroides sp. PHL 2737,53
NZ_CP102541.1,332,root,332,Bacteria,332,Actinomycetota,332,Actinomycetes,332,Bifidobacteriales,332,Bifidobacteriaceae,332,Bifidobacterium,332,Bifidobacterium longum,200
NZ_CP049272.1,13547,root,13514,Bacteria,13511,Campylobacterota,13509,Epsilonproteobacteria,0,Campylobacterales,13509,Campylobacteraceae,13508,Campylobacter,13508,Campylobacter concisus,13461
NZ_CP082871.1,6872,root,6601,Bacteria,6592,Campylobacterota,6573,Epsilonproteobacteria,0,Campylobacterales,6573,Campylobacteraceae,6573,Campylobacter,6573,Campylobacter hominis,6535
NZ_CP012544.1,5570,root,5561,Bacteria,5559,Campylobacterota,5558,Epsilonproteobacteria,0,Campylobacterales,5558,Campylobacteraceae,5558,Campylobacter,5558,Campylobacter showae,5500
NZ_CALGPY010000005.1,1520,root,1212,Bacteria,1212,Campylobacterota,1205,Epsilonproteobacteria,0,Campylobacterales,1205,Campylobacteraceae,1203,Campylobacter,1203,uncultured Campylobacter sp.,0
NZ_CP022386.1,6780,root,6764,Bacteria,6763,Bacteroidota,6759,Flavobacteriia,6758,Flavobacteriales,6758,Flavobacteriaceae,6756,Capnocytophaga,6754,Capnocytophaga gingivalis,6664
NZ_CP022384.1,6733,root,6725,Bacteria,6725,Bacteroidota,6723,Flavobacteriia,6720,Flavobacteriales,6720,Flavobacteriaceae,6718,Capnocytophaga,6717,Capnocytophaga leadbetteri,6126
NZ_CP022379.1,7318,root,7309,Bacteria,7307,Bacteroidota,7307,Flavobacteriia,7306,Flavobacteriales,7306,Flavobacteriaceae,7295,Capnocytophaga,7292,Capnocytophaga sputigena,7018
ACIL03000013.1,9917,root,613,Bacteria,595,Bacillota,455,Clostridia,351,Eubacteriales,337,Lachnospiraceae,207,Catonella,0,Catonella morbi,0
NC_001464.1,10604,root,10533,Viruses,10533,unclassified Viruses phylum,0,unclassified Viruses class,0,unclassified Viruses order,0,Pospiviroidae,10533,Pospiviroid,10533,Citrus exocortis viroid,10465
NZ_CP073092.1,15404,root,14664,Bacteria,14661,Actinomycetota,14642,Actinomycetes,14642,Mycobacteriales,14427,Corynebacteriaceae,14425,Corynebacterium,14425,Corynebacterium tuberculostearicum,13091
NZ_CP101133.1,18559,root,18548,Bacteria,18548,Actinomycetota,18541,Actinomycetes,18541,Mycobacteriales,18535,Corynebacteriaceae,18532,Corynebacterium,18532,Corynebacterium pseudotuberculosis,18376
NZ_CP100372.1,4235,root,4064,Bacteria,4063,Actinomycetota,4060,Actinomycetes,4060,Mycobacteriales,4044,Corynebacteriaceae,4044,Corynebacterium,4044,Corynebacterium pseudodiphtheriticum,3497
NZ_CP063195.1,18648,root,18645,Bacteria,18645,Actinomycetota,18576,Actinomycetes,18576,Mycobacteriales,18246,Corynebacteriaceae,18244,Corynebacterium,18244,Corynebacterium jeikeium,17469
NZ_CP100361.1,3768,root,3663,Bacteria,3663,Actinomycetota,3660,Actinomycetes,3660,Mycobacteriales,3650,Corynebacteriaceae,3650,Corynebacterium,3650,Corynebacterium propinquum,3440
NZ_CP024931.1,3686,root,3686,Bacteria,3684,Actinomycetota,3674,Actinomycetes,3674,Mycobacteriales,3640,Corynebacteriaceae,3640,Corynebacterium,3640,Corynebacterium striatum,3464
NZ_AP027140.1,1817,root,1803,Bacteria,1803,Actinomycetota,1803,Actinomycetes,1803,Mycobacteriales,1803,Corynebacteriaceae,1803,Corynebacterium,1803,Corynebacterium ulcerans,1726
NC_001472.1,15236,root,15236,Viruses,15236,Pisuviricota,15236,Pisoniviricetes,15236,Picornavirales,15236,Picornaviridae,15236,Enterovirus,15236,Enterovirus B,15236
MT157224.1,1772,root,70,Viruses,65,Pisuviricota,65,Pisoniviricetes,65,Picornavirales,65,Picornaviridae,65,Enterovirus,65,Human rhinovirus sp.,0
NC_038311.1,16308,root,16306,Viruses,16306,Pisuviricota,16306,Pisoniviricetes,16306,Picornavirales,16306,Picornaviridae,16306,Enterovirus,16306,Rhinovirus A,16306
NC_009996.1,12750,root,12750,Viruses,12750,Pisuviricota,12750,Pisoniviricetes,12750,Picornavirales,12750,Picornaviridae,12750,Enterovirus,12750,Rhinovirus C,12750
OQ842458.1,7418,root,432,Viruses,432,Pisuviricota,432,Pisoniviricetes,432,Picornavirales,432,Picornaviridae,432,Enterovirus,432,Enterovirus B,102
NC_038307.1,5920,root,5920,Viruses,5920,Pisuviricota,5920,Pisoniviricetes,5920,Picornavirales,5920,Picornaviridae,5920,Enterovirus,5920,Enterovirus B,5920
OQ842451.1,13922,root,1198,Viruses,1198,Pisuviricota,1198,Pisoniviricetes,1198,Picornavirales,1198,Picornaviridae,1198,Enterovirus,1198,Enterovirus B,489
OQ919261.1,2718,root,223,Viruses,223,Pisuviricota,223,Pisoniviricetes,223,Picornavirales,223,Picornaviridae,223,Enterovirus,223,Enterovirus B,155
OQ842410.1,10882,root,826,Viruses,821,Pisuviricota,821,Pisoniviricetes,821,Picornavirales,821,Picornaviridae,821,Enterovirus,821,Enterovirus A,680
