accession_id,total_reads,genus,genus_taxid,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_true_positive,species_true_negative,species_false_positive,species_false_negative
NZ_LT635457.1,12476,Actinomyces,1654,28230,1887192,308,9695,Actinomyces pacaensis,1852377,12464,1912889,60,12
NZ_CAKAHJ010000001.1,9630,Actinomyces,1654,28230,1887192,308,9695,uncultured Actinomyces sp.,249061,0,1915795,0,9630
NZ_CP124548.1,142,Actinomyces,1654,28230,1887192,308,9695,Actinomyces israelii,1659,0,1925283,0,142
NZ_CP012072.1,6365,Schaalia,2529408,8877,1908821,4666,3061,Schaalia meyeri,52773,6359,1918747,313,6
NZ_CP033459.1,13082,Pseudoprevotella,2884814,13067,1912301,42,15,Pseudoprevotella muciniphila,2133944,13067,1912301,42,15
CAKAFU010000002.1,3050,Alloprevotella,1283313,0,1922375,0,3050,Alloprevotella tannerae,76122,0,1922375,0,3050
NZ_CP032823.1,19566,Aliarcobacter,2321111,19525,1905844,15,41,Aliarcobacter cryaerophilus,28198,19399,1905858,1,167
NZ_CP036550.1,1356,Bacteroides,816,10863,1913309,477,776,Bacteroides fragilis,817,1306,1923439,630,50
NZ_CP040630.1,10283,Bacteroides,816,10863,1913309,477,776,Bacteroides sp. PHL 2737,2162637,109,1915142,0,10174
NZ_CP102541.1,7178,Bifidobacterium,1678,7178,1918133,114,0,Bifidobacterium longum,216816,5375,1918241,6,1803
NZ_CP049272.1,62,Campylobacter,194,40696,1882473,44,2212,Campylobacter concisus,199,62,1925177,186,0
NZ_CP082871.1,8832,Campylobacter,194,40696,1882473,44,2212,Campylobacter hominis,76517,8707,1916592,1,125
NZ_CP012544.1,13604,Campylobacter,194,40696,1882473,44,2212,Campylobacter showae,204,13544,1910695,1126,60
NZ_CALGPY010000005.1,20410,Campylobacter,194,40696,1882473,44,2212,uncultured Campylobacter sp.,218934,0,1905015,0,20410
NZ_CP022386.1,9426,Capnocytophaga,1016,25743,1899648,10,24,Capnocytophaga gingivalis,1017,9371,1915998,1,55
NZ_CP022384.1,14773,Capnocytophaga,1016,25743,1899648,10,24,Capnocytophaga leadbetteri,327575,14114,1910651,1,659
NZ_CP022379.1,1568,Capnocytophaga,1016,25743,1899648,10,24,Capnocytophaga sputigena,1019,1535,1923847,10,33
ACIL03000013.1,8614,Catonella,43996,0,1916811,0,8614,Catonella morbi,43997,0,1916811,0,8614
NC_001464.1,4686,Pospiviroid,185753,4686,1920739,0,0,Citrus exocortis viroid,12890,4686,1920739,0,0
NZ_CP073092.1,10697,Corynebacterium,1716,58840,1864999,599,987,Corynebacterium tuberculostearicum,38304,9417,1914719,9,1280
NZ_CP101133.1,5261,Corynebacterium,1716,58840,1864999,599,987,Corynebacterium pseudotuberculosis,1719,5246,1920142,22,15
