parent_taxid,level,taxid,name,kraken_classifed_reads,NT_rPM
2890311,1,160674,Raoultella,29303,14728
160674,2,575,Raoultella planticola,16759,8423
160674,2,54291,Raoultella ornithinolytica,518,260
160674,2,1259973,Raoultella electrica,52,26
160674,1,2627600,unclassified Raoultella,35,17
2627600,2,2923366,Raoultella sp. HC6,13,6
2627600,2,2259647,Raoultella sp. X13,7,3
2627600,2,2799495,Raoultella sp. XY-1,7,3
2627600,2,2993656,Raoultella sp. DY2415,4,2
160674,2,577,Raoultella terrigena,16,8
2890311,1,570,Klebsiella,18215,9155
570,2,1463165,Klebsiella quasipneumoniae,1791,900
570,2,571,Klebsiella oxytoca,1765,887
570,2,244366,Klebsiella variicola,531,266
570,2,573,Klebsiella pneumoniae,249,125
570,2,548,Klebsiella aerogenes,27,13
570,2,1134687,Klebsiella michiganensis,22,11
570,2,2026240,Klebsiella quasivariicola,16,8
570,2,2489010,Klebsiella africana,14,7
570,2,2058152,Klebsiella grimontii,9,4
570,1,2608929,unclassified Klebsiella,9,4
2608929,2,2267618,Klebsiella sp. P1CD1,4,2
2608929,2,2897413,Klebsiella sp. KPN54798,1,0
2608929,2,2834819,Klebsiella sp. A52,1,0
570,2,2153354,Klebsiella huaxiensis,4,2
570,2,2587529,Klebsiella pasteurii,2,1
543,1,544,Citrobacter,22222,11169
544,1,1344959,Citrobacter freundii complex,3260,1638
1344959,2,546,Citrobacter freundii,484,243
1344959,2,1639133,Citrobacter portucalensis,29,14
1344959,2,57706,Citrobacter braakii,16,8
1344959,2,133448,Citrobacter youngae,7,3
1344959,2,67827,Citrobacter werkmanii,5,2
1344959,2,67826,Citrobacter sedlakii,2,1
1344959,1,2816438,unclassified Citrobacter freundii complex,1,0
2816438,2,2529121,Citrobacter sp. ABFQG,1,0
544,2,545,Citrobacter koseri,3098,1557
544,1,2644389,unclassified Citrobacter,32,16
2644389,2,1573676,Citrobacter sp. R56,5,2
2644389,2,2742624,Citrobacter sp. RHB25-C09,4,2
2644389,2,2697370,Citrobacter sp. LUTT5,4,2
2644389,2,2742675,Citrobacter sp. RHBSTW-00986,2,1
2644389,2,2742655,Citrobacter sp. RHBSTW-00570,2,1
2644389,2,184912,Citrobacter sp. TSA-1,2,1
2644389,2,2566012,Citrobacter sp. CF971,2,1
2644389,2,2742627,Citrobacter sp. RHB36-C18,1,0
2644389,2,3015952,Citrobacter sp. 21OH12SH02A-Citro,1,0
2644389,2,2861802,Citrobacter sp. Colony219,1,0
2644389,2,2742657,Citrobacter sp. RHBSTW-00599,1,0
2644389,2,2742653,Citrobacter sp. RHBSTW-00524,1,0
2644389,2,2683822,Citrobacter sp. 172116965,1,0
2644389,2,1702170,Citrobacter sp. FDAARGOS_156,1,0
