accession_id,total_reads,genus,genus_taxid,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_true_positive,species_true_negative,species_false_positive,species_false_negative
NZ_LT635457.1,5754,Actinomyces,1654,37848,1880528,207,297,Actinomyces pacaensis,1852377,5745,1913089,37,9
NZ_CP033459.1,244,Pseudoprevotella,2884814,244,1918636,0,0,Pseudoprevotella muciniphila,2133944,244,1918636,0,0
NZ_CP036550.1,280,Bacteroides,816,269,1918457,143,11,Bacteroides fragilis,817,265,1918593,7,15
NZ_CP049272.1,26626,Campylobacter,194,93356,1823397,36,2091,Campylobacter concisus,199,26553,1892095,159,73
NZ_CP012544.1,30502,Campylobacter,194,93356,1823397,36,2091,Campylobacter showae,204,30363,1887466,912,139
MN164484.2,30562,Guelphvirus,2732062,29192,1888318,0,1370,Escherichia virus ECH1,2593465,0,1888318,0,30562
NZ_CP022384.1,10,Capnocytophaga,1016,10,1918867,3,0,Capnocytophaga leadbetteri,327575,10,1918870,0,0
NZ_CP028101.1,23753,Fusobacterium,848,113822,1802796,154,2108,Fusobacterium nucleatum,851,22708,1894857,270,1045
NZ_CP024703.1,24667,Fusobacterium,848,113822,1802796,154,2108,Fusobacterium pseudoperiodonticum,2663009,23749,1894162,51,918
NZ_CP083637.1,23426,Gemella,1378,43985,1873673,75,1147,Gemella haemolysans,1379,23335,1895436,18,91
NZ_CP031243.1,29961,Haemophilus,724,147275,1770917,63,625,Haemophilus haemolyticus,726,28523,1888754,165,1438
NZ_AP018768.1,27910,Haemophilus,724,147275,1770917,63,625,Haemophilus influenzae,727,25445,1890674,296,2465
NZ_CP038817.1,20526,Haemophilus,724,147275,1770917,63,625,Haemophilus parahaemolyticus,735,20344,1898349,5,182
NZ_CP035368.2,22604,Haemophilus,724,147275,1770917,63,625,Haemophilus parainfluenzae,729,22336,1896092,184,268
NC_013203.1,440,Lancefieldella,2767353,440,1918440,0,0,Lancefieldella parvula,1382,440,1918440,0,0
NZ_CP126965.1,5998,Micrococcus,1269,1576,1912853,5,4446,Micrococcus lylae,1273,0,1912882,0,5998
NZ_CP101528.1,24,Micrococcus,1269,1576,1912853,5,4446,Micrococcus luteus,1270,21,1918327,529,3
NZ_CP073114.1,6761,Neisseria,482,6339,1911268,851,422,Neisseria subflava,28449,530,1912107,12,6231
NZ_CP024696.1,72,Prevotella,838,1062,1917198,264,356,Prevotella intermedia,28131,67,1918786,22,5
NZ_CP072363.1,36,Prevotella,838,1062,1917198,264,356,Prevotella jejuni,1177574,35,1918839,5,1
AP018050.1,922,Prevotella,838,1062,1917198,264,356,Prevotella melaninogenica,28132,899,1917946,12,23
NZ_CP072390.1,40,Prevotella,838,1062,1917198,264,356,Prevotella scopos,589437,38,1918839,1,2
NZ_CP079201.1,17733,Rothia,32207,66802,1851881,67,130,Rothia dentocariosa,2047,17625,1901141,6,108
NZ_CP079822.1,45043,Rothia,32207,66802,1851881,67,130,Rothia mucilaginosa,43675,45000,1869770,4067,43
NZ_CP102197.1,10666,Schaalia,2529408,10843,1904822,100,3115,Schaalia odontolytica,1660,10636,1908090,124,30
NZ_CP060204.1,16198,Selenomonas,970,24404,1894446,29,1,Selenomonas timonae,2754044,16063,1902677,5,135
NZ_CAKAHJ010000001.1,140,Actinomyces,1654,37848,1880528,207,297,uncultured Actinomyces sp.,249061,0,1918740,0,140
NZ_CAKOJV010000001.1,41336,Fusobacterium,848,113822,1802796,154,2108,uncultured Fusobacterium sp.,159267,0,1877544,0,41336
NZ_CAJTJS010000001.1,348,Prevotella,838,1062,1917198,264,356,uncultured Prevotella sp.,159272,0,1918532,0,348
NZ_CAKAIK010000001.1,4156,Rothia,32207,66802,1851881,67,130,uncultured Rothia sp.,316088,0,1914724,0,4156
NZ_CAMNMG010000001.1,44450,Streptococcus,1301,262569,1648083,587,7641,uncultured Streptococcus sp.,83427,0,1874430,0,44450
NZ_CALHUL010000006.1,60,Treponema,157,56,1918455,365,4,uncultured Treponema sp.,162155,0,1918820,0,60
NZ_CP020566.1,34,Veillonella,29465,5361,1913349,23,147,Veillonella atypica,39777,33,1918837,9,1
NZ_LR134375.1,2209,Veillonella,29465,5361,1913349,23,147,Veillonella dispar,39778,2042,1916655,16,167
NZ_AP022321.1,819,Veillonella,29465,5361,1913349,23,147,Veillonella nakazawae,2682456,722,1918049,12,97
NZ_CP019721.1,186,Veillonella,29465,5361,1913349,23,147,Veillonella parvula,29466,183,1916621,2073,3
NZ_JAGZUH010000001.1,2260,Veillonella,29465,5361,1913349,23,147,Veillonella sp.,1926307,0,1916620,0,2260
NZ_CP082871.1,21171,Campylobacter,194,93356,1823397,36,2091,Campylobacter hominis,76517,20943,1897707,2,228
NZ_CALGPY010000005.1,17148,Campylobacter,194,93356,1823397,36,2091,uncultured Campylobacter sp.,218934,0,1901732,0,17148
NZ_CP073092.1,19217,Corynebacterium,1716,148063,1768297,398,2122,Corynebacterium tuberculostearicum,38304,16974,1899644,19,2243
NZ_CP101133.1,37544,Corynebacterium,1716,148063,1768297,398,2122,Corynebacterium pseudotuberculosis,1719,37331,1881316,20,213
NZ_CP100372.1,3962,Corynebacterium,1716,148063,1768297,398,2122,Corynebacterium pseudodiphtheriticum,37637,3341,1914048,870,621
NZ_CP063195.1,31525,Corynebacterium,1716,148063,1768297,398,2122,Corynebacterium jeikeium,38289,29957,1887331,24,1568
NZ_CP100361.1,17565,Corynebacterium,1716,148063,1768297,398,2122,Corynebacterium propinquum,43769,16046,1900897,418,1519
NZ_CP024931.1,26140,Corynebacterium,1716,148063,1768297,398,2122,Corynebacterium striatum,43770,24937,1892672,68,1203
NZ_AP027140.1,14232,Corynebacterium,1716,148063,1768297,398,2122,Corynebacterium ulcerans,65058,13853,1904625,23,379
NZ_CP018196.1,26174,Fusobacterium,848,113822,1802796,154,2108,Fusobacterium necrophorum,859,26107,1892631,75,67
NZ_CP046314.1,21706,Gemella,1378,43985,1873673,75,1147,Gemella morbillorum,29391,20485,1897129,45,1221
NZ_CP040915.1,43759,Georgenia,154116,43721,1875086,35,38,Georgenia yuyongxinii,2589797,43716,1875118,3,43
NZ_LT906463.1,46899,Haemophilus,724,147275,1770917,63,625,Haemophilus pittmaniae,249188,46408,1871970,11,491
NC_039199.1,41424,Metapneumovirus,162387,41424,1877456,0,0,Metapneumovirus hominis,3048148,0,1877456,0,41424
NZ_CP065999.1,19756,Kingella,32257,47519,1862457,8,8896,Kingella denitrificans,502,19446,1899061,63,310
NZ_CP123447.1,11563,Kingella,32257,47519,1862457,8,8896,Kingella negevensis,1522312,0,1907317,0,11563
NZ_CP050136.1,25096,Kingella,32257,47519,1862457,8,8896,Kingella kingae,504,24998,1891050,2734,98
NZ_LR134378.1,1734,Lautropia,47670,1729,1917142,4,5,Lautropia mirabilis,47671,1729,1917142,4,5
AFIH01000001.1,14772,Oribacterium,265975,0,1904108,0,14772,Oribacterium sp. oral taxon 108,712414,0,1904108,0,14772
OP288969.1,34418,Betacoronavirus,694002,54934,1852182,0,11764,Pangolin coronavirus,2708335,0,1884462,0,34418
NC_045512.2,18886,Betacoronavirus,694002,54934,1852182,0,11764,Severe acute respiratory syndrome-related coronavirus,694009,32280,1886600,0,0
NC_004718.3,13394,Betacoronavirus,694002,54934,1852182,0,11764,Severe acute respiratory syndrome-related coronavirus,694009,32280,1886600,0,0
NZ_CP092048.1,28158,Porphyromonas,836,28095,1864939,1,25845,Porphyromonas gingivalis,837,27786,1890711,11,372
NZ_UQJH01000001.1,25782,Porphyromonas,836,28095,1864939,1,25845,uncultured Porphyromonas sp.,159274,0,1893098,0,25782
CAHJXR010000003.1,3292,Schaalia,2529408,10843,1904822,100,3115,Schaalia sp. Marseille-Q2122,2736604,0,1915588,0,3292
NZ_AP025697.1,32251,Actinomyces,1654,37848,1880528,207,297,Actinomyces naeslundii,1655,31888,1886620,9,363
NZ_CP012071.1,8207,Selenomonas,970,24404,1894446,29,1,Selenomonas sp. oral taxon 478,712538,7610,1910671,2,597
NZ_LS483444.1,13503,Streptococcus,1301,262569,1648083,587,7641,Streptococcus australis,113107,11966,1905291,86,1537
NZ_CP127842.1,19072,Streptococcus,1301,262569,1648083,587,7641,Streptococcus dysgalactiae,1334,9162,1899548,260,9910
NZ_CP012646.1,26639,Streptococcus,1301,262569,1648083,587,7641,Streptococcus mitis,28037,23762,1891790,451,2877
NZ_CP079724.1,33218,Streptococcus,1301,262569,1648083,587,7641,Streptococcus oralis,1303,30608,1885143,519,2610
NZ_CP102583.1,44352,Streptococcus,1301,262569,1648083,587,7641,Streptococcus pneumoniae,1313,41491,1873557,971,2861
NC_015875.1,35605,Streptococcus,1301,262569,1648083,587,7641,Streptococcus pseudopneumoniae,257758,29979,1883207,68,5626
NZ_CP009913.1,26112,Streptococcus,1301,262569,1648083,587,7641,Streptococcus salivarius,1304,22354,1892578,190,3758
NZ_CP079193.1,9376,Streptococcus,1301,262569,1648083,587,7641,Streptococcus suis,1307,8934,1909274,230,442
NZ_CP029207.1,17883,Streptococcus,1301,262569,1648083,587,7641,Streptococcus constellatus,76860,9680,1900926,71,8203
NC_001367.1,5638,Tobamovirus,12234,5638,1913242,0,0,Tobacco mosaic virus,12242,5638,1913242,0,0
NZ_UGSA01000001.1,3938,Brucella,234,3931,1914935,7,7,Brucella anthropi,529,2652,1914938,4,1286
NZ_CP050992.1,13983,Chromobacterium,535,13953,1904884,13,30,Chromobacterium violaceum,536,13833,1904895,2,150
NZ_CP099728.1,33225,Pantoea,53335,32799,1885630,25,426,Pantoea agglomerans,549,32278,1885652,3,947
NZ_CP129616.1,23188,Klebsiella,570,52953,1863559,1241,1127,Klebsiella oxytoca,571,21076,1895570,122,2112
NZ_CP129982.1,29210,Klebsiella,570,52953,1863559,1241,1127,Klebsiella variicola,244366,10355,1889592,78,18855
NZ_CP031257.1,1682,Klebsiella,570,52953,1863559,1241,1127,Klebsiella quasipneumoniae,1463165,674,1916114,1084,1008
NZ_CP074182.1,7920,Raoultella,160674,39011,1876940,27,2902,Raoultella planticola,575,7289,1910171,789,631
NZ_CP132041.1,33993,Raoultella,160674,39011,1876940,27,2902,Raoultella ornithinolytica,54291,6065,1884860,27,27928
NZ_CP119546.1,17316,Providencia,586,16740,1901550,14,576,Providencia stuartii,588,1437,1901560,4,15879
NZ_CP063229.1,25766,Serratia,613,25580,1892949,165,186,Serratia marcescens,615,23195,1893107,7,2571
NZ_JAGDEP010000001.1,38408,Aeromonas,642,37282,1880432,40,1126,Aeromonas sobria,646,0,1880472,0,38408
NZ_CP066015.1,16537,Kytococcus,57499,16466,1902337,6,71,Kytococcus sedentarius,1276,16466,1902337,6,71
NZ_CP019962.1,8420,Eubacterium,1730,8420,1910424,36,0,Eubacterium limosum,1736,7953,1910459,1,467
CAKAGO010000001.1,29402,unclassified Eubacteriales Family XIII. Incertae Sedis genus,,0,1888230,0,30650,[Eubacterium] brachy,35517,0,1889478,0,29402
AZKM01000008.1,1248,unclassified Eubacteriales Family XIII. Incertae Sedis genus,,0,1888230,0,30650,[Eubacterium] nodatum,35518,0,1917632,0,1248
NZ_CP089216.1,9664,Mycobacterium,1763,73199,1834878,2179,8624,Mycobacterium kansasii,1768,9631,1909091,125,33
NZ_CP070973.1,15441,Mycobacterium,1763,73199,1834878,2179,8624,Mycobacterium gordonae,1778,15164,1903213,226,277
NZ_MVIJ01000001.1,10552,Mycobacterium,1763,73199,1834878,2179,8624,Mycobacterium scrofulaceum,1783,0,1908328,0,10552
NZ_LQPW01000031.1,3346,Mycobacterium,1763,73199,1834878,2179,8624,Mycobacterium szulgai,1787,0,1915534,0,3346
ADNV01000327.1,42820,Mycobacterium,1763,73199,1834878,2179,8624,Mycobacterium parascrofulaceum,240125,0,1876060,0,42820
NZ_CP041695.1,302,Nocardia,1817,109414,1771606,508,37352,Nocardia otitidiscaviarum,1823,302,1917922,656,0
NZ_CP031418.1,3379,Nocardia,1817,109414,1771606,508,37352,Nocardia farcinica,37329,3368,1914546,955,11
