read_accession_id,read_accession_total_count,root,kraken_classified_root,superkingdom,kraken_classified_superkingdom,phylum,kraken_classified_phylum,class,kraken_classified_class,order,kraken_classified_order,family,kraken_classified_family,genus,kraken_classified_genus,species,kraken_classified_species
NZ_LT635457.1,5900,root,5873,Bacteria,5873,Actinomycetota,5871,Actinomycetes,5871,Actinomycetales,5865,Actinomycetaceae,5865,Actinomyces,5841,Actinomyces pacaensis,5840
NZ_CP033459.1,258,root,253,Bacteria,253,Bacteroidota,253,Bacteroidia,253,Bacteroidales,253,Prevotellaceae,253,Pseudoprevotella,250,Pseudoprevotella muciniphila,250
NZ_CP036550.1,280,root,279,Bacteria,279,Bacteroidota,279,Bacteroidia,279,Bacteroidales,279,Bacteroidaceae,275,Bacteroides,271,Bacteroides fragilis,247
NZ_CP049272.1,27522,root,26684,Bacteria,26673,Campylobacterota,26651,Epsilonproteobacteria,0,Campylobacterales,26650,Campylobacteraceae,26640,Campylobacter,26640,Campylobacter concisus,26357
NZ_CP012544.1,31567,root,30780,Bacteria,30778,Campylobacterota,30754,Epsilonproteobacteria,0,Campylobacterales,30752,Campylobacteraceae,30743,Campylobacter,30743,Campylobacter showae,29760
NZ_CP022384.1,10,root,10,Bacteria,10,Bacteroidota,10,Flavobacteriia,10,Flavobacteriales,10,Flavobacteriaceae,10,Capnocytophaga,10,Capnocytophaga leadbetteri,8
MN164484.2,31562,root,29197,Viruses,29186,Uroviricota,29186,Caudoviricetes,29186,unclassified Caudoviricetes order,0,Drexlerviridae,29168,Guelphvirus,26589,Escherichia virus ECH1,0
NZ_CP028101.1,24523,root,22685,Bacteria,22662,Fusobacteriota,22614,Fusobacteriia,22614,Fusobacteriales,22614,Fusobacteriaceae,22599,Fusobacterium,22586,Fusobacterium nucleatum,16962
NZ_CP024703.1,25551,root,23737,Bacteria,23693,Fusobacteriota,23630,Fusobacteriia,23630,Fusobacteriales,23630,Fusobacteriaceae,23513,Fusobacterium,23499,Fusobacterium pseudoperiodonticum,18400
NZ_CP083637.1,24320,root,23007,Bacteria,22996,Bacillota,22942,Bacilli,22921,Bacillales,22847,unclassified Bacillales family,0,Gemella,22813,Gemella haemolysans,22504
NZ_CP031243.1,30903,root,30542,Bacteria,30531,Pseudomonadota,30468,Gammaproteobacteria,30395,Pasteurellales,30294,Pasteurellaceae,30294,Haemophilus,29843,Haemophilus haemolyticus,21573
NZ_AP018768.1,28861,root,28591,Bacteria,28559,Pseudomonadota,28525,Gammaproteobacteria,28481,Pasteurellales,28376,Pasteurellaceae,28376,Haemophilus,28034,Haemophilus influenzae,16476
NZ_CP038817.1,21188,root,20876,Bacteria,20873,Pseudomonadota,20851,Gammaproteobacteria,20808,Pasteurellales,20738,Pasteurellaceae,20738,Haemophilus,20491,Haemophilus parahaemolyticus,20042
NZ_CP035368.2,23290,root,23054,Bacteria,23050,Pseudomonadota,23020,Gammaproteobacteria,22994,Pasteurellales,22939,Pasteurellaceae,22939,Haemophilus,22503,Haemophilus parainfluenzae,21501
NC_013203.1,456,root,453,Bacteria,453,Actinomycetota,453,Coriobacteriia,453,Coriobacteriales,453,Atopobiaceae,453,Lancefieldella,453,Lancefieldella parvula,453
NZ_CP101528.1,26,root,26,Bacteria,26,Actinomycetota,26,Actinomycetes,26,Micrococcales,26,Micrococcaceae,26,Micrococcus,24,Micrococcus luteus,12
NZ_CP126965.1,6216,root,1835,Bacteria,1830,Actinomycetota,1723,Actinomycetes,1715,Micrococcales,1251,Micrococcaceae,931,Micrococcus,581,Micrococcus lylae,0
NZ_CP073114.1,7010,root,6142,Bacteria,6141,Pseudomonadota,6118,Betaproteobacteria,6066,Neisseriales,6053,Neisseriaceae,6048,Neisseria,5857,Neisseria subflava,441
NZ_CP024696.1,76,root,76,Bacteria,76,Bacteroidota,76,Bacteroidia,76,Bacteroidales,76,Prevotellaceae,71,Prevotella,71,Prevotella intermedia,63
AP018050.1,959,root,953,Bacteria,953,Bacteroidota,953,Bacteroidia,949,Bacteroidales,949,Prevotellaceae,929,Prevotella,929,Prevotella melaninogenica,900
NZ_CP072363.1,36,root,34,Bacteria,34,Bacteroidota,34,Bacteroidia,34,Bacteroidales,34,Prevotellaceae,34,Prevotella,34,Prevotella jejuni,31
