accession_id,total_reads,genus,genus_taxid,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_true_positive,species_true_negative,species_false_positive,species_false_negative
NZ_CP013195.1,20873,Hoylesella,2974257,20022,979104,23,851,Hoylesella enoeca,76123,20018,979119,8,855
NZ_CP048246.1,10981,Neisseria,482,221918,777164,4,914,Neisseria gonorrhoeae,485,10429,988797,222,552
NZ_CP020566.1,1283,Veillonella,29465,11296,988699,0,5,Veillonella atypica,39777,1273,998717,0,10
NZ_CP053939.1,7833,Neisseria,482,221918,777164,4,914,Neisseria mucosa,488,6867,991939,228,966
NZ_CP107038.1,5295,Streptococcus,1301,200937,798147,38,878,Streptococcus pneumoniae,1313,4882,994622,83,413
NZ_CP066065.1,4069,Schaalia,2529408,16794,983186,6,14,Schaalia meyeri,52773,4067,995931,0,2
NZ_CP126341.1,63394,Enterobacter,547,62588,936590,16,806,Enterobacter cloacae,550,60793,936604,2,2601
NZ_CP097843.1,1923,Streptococcus,1301,200937,798147,38,878,Streptococcus oralis,1303,1857,997779,298,66
NC_002628.3,7184,Methanothermobacter,145260,246,992816,0,6938,Methanothermobacter wolfeii,145261,130,992816,0,7054
NZ_CP027235.1,7854,Haemophilus,724,47607,952191,64,138,Haemophilus sp. oral taxon 036,712310,7473,992099,47,381
NZ_CP046313.1,4344,Gemella,1378,16259,983667,2,72,Gemella sanguinis,84135,4299,995656,0,45
NZ_CP038817.1,2263,Haemophilus,724,47607,952191,64,138,Haemophilus parahaemolyticus,735,2253,997736,1,10
NZ_CP070914.1,3569,Escherichia,561,848,996381,50,2721,Escherichia coli,562,775,996394,37,2794
NZ_CP101412.1,17352,Parvimonas,543311,16855,982648,0,497,Parvimonas micra,33033,16855,982648,0,497
NZ_CP034670.1,4512,Eikenella,538,4495,995481,7,17,Eikenella corrodens,539,4492,995483,5,20
NZ_CP083637.1,11380,Gemella,1378,16259,983667,2,72,Gemella haemolysans,1379,11334,988618,2,46
NZ_CP031255.1,94088,Neisseria,482,221918,777164,4,914,Neisseria elongata,495,92860,905826,86,1228
NZ_CP075172.1,7696,Streptococcus,1301,200937,798147,38,878,Streptococcus equinus,1335,7408,992302,2,288
NZ_CP032621.1,4141,Streptococcus,1301,200937,798147,38,878,Streptococcus gwangjuense,1433513,3750,995854,5,391
NZ_CP009227.1,4792,Treponema,157,10029,989968,1,2,Treponema sp. OMZ 838,1539298,2512,995203,5,2280
NZ_AP018768.1,11688,Haemophilus,724,47607,952191,64,138,Haemophilus influenzae,727,10903,987240,1072,785
NZ_CP007573.1,1548,Streptococcus,1301,200937,798147,38,878,Streptococcus anginosus,1328,1143,998429,23,405
NZ_CP008849.1,5063,Alteromonas,226,5059,994937,0,4,Alteromonas australica,589873,4141,994937,0,922
NZ_CP124804.1,1881,Klebsiella,570,17192,982125,32,651,Klebsiella variicola,244366,638,998075,44,1243
NZ_CP073118.1,7807,Neisseria,482,221918,777164,4,914,Neisseria subflava,28449,5048,992095,98,2759
NZ_CP031243.1,11627,Haemophilus,724,47607,952191,64,138,Haemophilus haemolyticus,726,11187,988190,183,440
NZ_CP032620.1,4225,Streptococcus,1301,200937,798147,38,878,Streptococcus koreensis,2382163,2817,995773,2,1408
NZ_CP064367.1,74958,Neisseria,482,221918,777164,4,914,Neisseria meningitidis,487,70713,924847,195,4245
NZ_CP027228.1,3252,Mogibacterium,86331,3237,996747,1,15,Mogibacterium diversum,114527,3222,996747,1,30
NZ_CP126983.1,7236,Porphyromonas,836,7154,992759,5,82,Porphyromonas gingivalis,837,7141,992759,5,95
NZ_AP021887.1,6593,Streptococcus,1301,200937,798147,38,878,Streptococcus sp. 116-D4,2598453,6360,993385,22,233
NC_000866.4,1260,Tequatrovirus,10663,1252,998740,0,8,Tequatrovirus T4,10665,799,998740,0,461
NZ_AP019829.2,10473,Leptotrichia,32067,16023,983944,3,30,Leptotrichia wadei,157687,10153,989524,3,320
NZ_CP049272.1,2741,Campylobacter,194,20195,979802,3,0,Campylobacter concisus,199,2735,997258,1,6
NZ_CP024700.1,40589,Fusobacterium,848,64363,935561,1,75,Fusobacterium pseudoperiodonticum,2663009,36431,959277,134,4158
NZ_CP012067.1,6909,Aggregatibacter,416916,6870,993086,5,39,Aggregatibacter aphrophilus,732,6837,993087,4,72
NZ_CP024696.1,12549,Prevotella,838,125086,872948,60,1906,Prevotella intermedia,28131,12019,987404,47,530
NZ_CP014264.1,8938,Streptococcus,1301,200937,798147,38,878,Streptococcus sp. oral taxon 431,712633,8546,991048,14,392
NZ_CP040798.1,8830,Streptococcus,1301,200937,798147,38,878,Streptococcus sanguinis,1305,8718,990217,953,112
NZ_CP072373.1,114443,Prevotella,838,125086,872948,60,1906,Prevotella denticola,28129,109682,885549,8,4761
NZ_CP028101.1,7582,Fusobacterium,848,64363,935561,1,75,Fusobacterium nucleatum,851,6701,992128,290,881
NZ_CP050870.1,16440,Streptococcus,1301,200937,798147,38,878,Streptococcus thermophilus,1308,16053,983201,359,387
NZ_CP090007.1,48073,Streptococcus,1301,200937,798147,38,878,Streptococcus salivarius,1304,39992,951368,559,8081
NZ_CP019721.1,10018,Veillonella,29465,11296,988699,0,5,Veillonella parvula,29466,9945,989982,0,73
NZ_CP012410.1,5580,Leptotrichia,32067,16023,983944,3,30,Leptotrichia sp. oral taxon 212,712357,5551,994416,4,29
NZ_AP014880.1,5037,Streptococcus,1301,200937,798147,38,878,Streptococcus intermedius,1338,4774,994899,64,263
NZ_CP050133.1,12307,Streptococcus,1301,200937,798147,38,878,Streptococcus cristatus,45634,9695,987673,20,2612
NC_001422.1,2088,Sinsheimervirus,1910954,0,997912,0,2088,Sinsheimervirus phiX174,10847,0,997912,0,2088
NZ_CP044230.1,30986,Streptococcus,1301,200937,798147,38,878,Streptococcus sp. LPB0220,2610896,26598,969012,2,4388
NZ_CP039462.1,938,Streptococcus,1301,200937,798147,38,878,Streptococcus suis,1307,900,999040,22,38
NZ_CP028415.1,9549,Streptococcus,1301,200937,798147,38,878,Streptococcus mitis,28037,9153,990352,99,396
NZ_CP089305.1,3952,Limosilactobacillus,2742598,3883,996048,0,69,Limosilactobacillus fermentum,1613,3871,996048,0,81
NZ_CP046314.1,607,Gemella,1378,16259,983667,2,72,Gemella morbillorum,29391,583,999391,2,24
NZ_CP054018.1,14006,Rothia,32207,16488,983458,1,53,Rothia dentocariosa,2047,13893,985993,1,113
NZ_CP046315.1,12739,Schaalia,2529408,16794,983186,6,14,Schaalia odontolytica,1660,12716,987255,6,23
NZ_AP014938.1,2535,Rothia,32207,16488,983458,1,53,Rothia mucilaginosa,43675,2534,997465,0,1
NZ_CP020431.2,22749,Streptococcus,1301,200937,798147,38,878,Streptococcus sp. FDAARGOS_192,1839799,11894,977218,33,10855
NZ_CP126745.1,7181,Cutibacterium,1912216,7173,992819,0,8,Cutibacterium acnes,1747,7118,992819,0,63
NZ_CP012589.1,7303,Capnocytophaga,1016,11319,988680,0,1,Capnocytophaga sp. oral taxon 323,1705617,5632,992685,12,1671
NZ_CP083898.1,16813,Zymomonas,541,16805,983187,0,8,Zymomonas mobilis,542,16805,983187,0,8
NZ_CP125087.1,3388,Haemophilus,724,47607,952191,64,138,Haemophilus parainfluenzae,729,3359,996538,74,29
