accession_id,total_reads,genus,genus_taxid,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_true_positive,species_true_negative,species_false_positive,species_false_negative
NZ_CP039712.1,48601,Vagococcus,2737,48522,951391,8,79,Vagococcus zengguangii,2571750,48362,951399,0,239
NZ_CP033459.1,113519,Pseudoprevotella,2884814,113436,886481,0,83,Pseudoprevotella muciniphila,2133944,113436,886481,0,83
NZ_AP019735.1,3725,Alistipes,239759,3644,996274,1,81,Alistipes communis,2585118,3639,996275,0,86
NZ_CP050497.1,21036,Treponema,157,21036,978964,0,0,Treponema vincentii,69710,15093,978964,0,5943
NZ_CP027228.1,54433,Mogibacterium,86331,54286,945567,0,147,Mogibacterium diversum,114527,54144,945567,0,289
NC_001422.1,21633,Sinsheimervirus,1910954,0,978367,0,21633,Sinsheimervirus phiX174,10847,0,978367,0,21633
NZ_CP036259.1,105882,Sporomusa,2375,105867,894117,1,15,Sporomusa termitida,2377,105861,894118,0,21
NZ_CP085178.1,20205,Pediococcus,1253,20157,979795,0,48,Pediococcus pentosaceus,1255,20125,979795,0,80
NZ_CP019668.1,34951,Burkholderia,32008,34904,965049,0,47,Burkholderia cenocepacia,95486,22060,965049,0,12891
NZ_CP017038.2,24354,Tannerella,195950,24348,975646,0,6,Tannerella serpentiformis,712710,24347,975646,0,7
NC_012756.1,101624,unclassified Caudoviricetes genus,,0,898376,0,101624,Streptococcus phage PH10,644007,101414,898376,0,210
NZ_CP027286.1,10398,Clostridium,1485,10395,989602,0,3,Clostridium chauvoei,46867,10325,989602,0,73
NZ_CP066560.1,8729,Histophilus,214906,8401,991271,0,328,Histophilus somni,731,8401,991271,0,328
NZ_CP072246.1,6717,Phocaeicola,909656,5971,993283,0,746,Phocaeicola dorei,357276,5570,993283,0,1147
NZ_CP047311.1,59721,Pseudomonas,286,59619,940274,5,102,Pseudomonas putida,303,15468,940279,0,44253
NZ_CP012672.1,9491,Sorangium,39643,9477,990509,0,14,Sorangium cellulosum,56,1489,990509,0,8002
NZ_CP117966.1,28235,Roseburia,841,27000,971765,0,1235,Roseburia hominis,301301,26947,971765,0,1288
NZ_CP068103.1,7827,Peptoniphilus,162289,7354,992172,1,473,Peptoniphilus harei,54005,7341,992173,0,486
NZ_CP046313.1,71312,Gemella,1378,71059,928688,0,253,Gemella sanguinis,84135,70698,928688,0,614
NC_000866.4,3297,Tequatrovirus,10663,3260,996703,0,37,Tequatrovirus T4,10665,1992,996703,0,1305
NZ_CP017042.1,39691,Selenomonas,970,39690,960309,0,1,Selenomonas sp. oral taxon 920,1884263,39531,960309,0,160
NZ_CP017761.1,165959,Marinilactibacillus,191769,163869,834041,0,2090,Marinilactibacillus sp. 15R,1911586,163869,834041,0,2090
NZ_CP008852.1,10082,Pelosinus,365348,10079,989918,0,3,Pelosinus sp. UFO1,484770,10073,989918,0,9
NZ_CP098491.1,4912,Bacillus,1386,4882,995084,4,30,Bacillus subtilis,1423,349,995087,1,4563
NZ_CP118095.1,23666,Aerococcus,1375,23318,976323,11,348,Aerococcus christensenii,87541,23311,976334,0,355
