accession_id,total_reads,genus,genus_taxid,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_true_positive,species_true_negative,species_false_positive,species_false_negative
NZ_CP058277.1,4240,Mycobacterium,1763,4225,995756,4,15,Mycobacterium marinum,1781,3030,995760,0,1210
NC_002628.3,3689,Methanothermobacter,145260,245,996311,0,3444,Methanothermobacter wolfeii,145261,114,996311,0,3575
NC_000866.4,55801,Tequatrovirus,10663,55535,944199,0,266,Tequatrovirus T4,10665,43599,944199,0,12202
NZ_CP032621.1,33798,Streptococcus,1301,33398,966193,9,400,Streptococcus gwangjuense,1433513,31993,966202,0,1805
NZ_CP027228.1,4617,Mogibacterium,86331,4599,995383,0,18,Mogibacterium diversum,114527,4598,995383,0,19
NZ_CP126745.1,25830,Cutibacterium,1912216,25737,974170,0,93,Cutibacterium acnes,1747,25654,974170,0,176
NZ_CP027232.1,12466,Capnocytophaga,1016,12419,987534,0,47,Capnocytophaga sp. oral taxon 864,1316593,11317,987534,0,1149
NZ_CP054018.1,30246,Rothia,32207,30018,969749,5,228,Rothia dentocariosa,2047,29933,969752,2,313
NC_001422.1,15647,Sinsheimervirus,1910954,0,984353,0,15647,Sinsheimervirus phiX174,10847,0,984353,0,15647
NZ_CP027235.1,21340,Haemophilus,724,21228,978658,2,112,Haemophilus sp. oral taxon 036,712310,20826,978660,0,514
NZ_AP026979.1,83384,Nocardia,1817,82692,916615,1,692,Nocardia cyriacigeorgica,135487,82399,916616,0,985
NZ_CP050497.1,21805,Treponema,157,21729,978195,0,76,Treponema vincentii,69710,18090,978195,0,3715
NC_038308.1,52817,Enterovirus,12059,52647,947183,0,170,Enterovirus D,138951,52647,947183,0,170
NZ_CP072373.1,26620,Prevotella,838,26242,973379,1,378,Prevotella denticola,28129,25725,973380,0,895
NZ_CP008849.1,19566,Alteromonas,226,19488,980434,0,78,Alteromonas australica,589873,18080,980434,0,1486
NZ_AP025697.1,39147,Actinomyces,1654,38005,960852,1,1142,Actinomyces naeslundii,1655,36173,960853,0,2974
NZ_AP019829.2,23455,Leptotrichia,32067,23362,976545,0,93,Leptotrichia wadei,157687,23122,976545,0,333
NC_005082.1,155268,Mammarenavirus,1653394,154684,844732,0,584,Guanarito mammarenavirus,45219,0,844732,0,155268
NZ_CP046313.1,1200,Gemella,1378,1196,998800,0,4,Gemella sanguinis,84135,1194,998800,0,6
NZ_CP014239.1,25124,Selenomonas,970,25044,974876,0,80,Selenomonas sp. oral taxon 136,713030,24685,974876,0,439
NZ_CP089305.1,15543,Limosilactobacillus,2742598,15396,984456,1,147,Limosilactobacillus fermentum,1613,15382,984457,0,161
NZ_CP031255.1,13589,Neisseria,482,13530,986411,0,59,Neisseria elongata,495,13464,986411,0,125
NZ_CP032364.1,21571,Lachnoanaerobaculum,1164882,21490,978429,0,81,Lachnoanaerobaculum umeaense,617123,21487,978429,0,84
NZ_CP020566.1,8503,Veillonella,29465,8471,991497,0,32,Veillonella atypica,39777,8459,991497,0,44
NZ_CP019668.1,96476,Burkholderia,32008,96134,903522,2,342,Burkholderia cenocepacia,95486,71910,903524,0,24566
NC_003461.1,754,Respirovirus,186938,752,999246,0,2,Respirovirus laryngotracheitidis,3049952,752,999246,0,2
NZ_CP024700.1,14836,Fusobacterium,848,14782,985164,0,54,Fusobacterium pseudoperiodonticum,2663009,14093,985164,0,743
NZ_CP012544.1,96540,Campylobacter,194,96236,903459,1,304,Campylobacter showae,204,96032,903460,0,508
NZ_CP083898.1,8082,Zymomonas,541,8052,991918,0,30,Zymomonas mobilis,542,8052,991918,0,30
NZ_CP121767.1,68046,Rickettsia,780,67781,931954,0,265,Rickettsia rickettsii,783,47727,931954,0,20319
