accession_id,total_reads,genus,genus_taxid,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_true_positive,species_true_negative,species_false_positive,species_false_negative
NZ_CP015905.2,4238,Lactococcus,1357,4185,995761,1,53,Lactococcus lactis,1358,4078,995762,0,160
NZ_CP012069.2,69401,Olsenella,133925,69194,930599,0,207,Olsenella sp. oral taxon 807,712411,69194,930599,0,207
NZ_CP032364.1,5784,Lachnoanaerobaculum,1164882,5762,994216,0,22,Lachnoanaerobaculum umeaense,617123,5762,994216,0,22
NZ_CP031057.1,7156,Acidipropionibacterium,1912215,7098,992843,1,58,Acidipropionibacterium acidipropionici,1748,7059,992844,0,97
NZ_CP008849.1,2013,Alteromonas,226,2004,997987,0,9,Alteromonas australica,589873,1840,997987,0,173
NZ_CP014150.1,10433,Paeniclostridium,1849828,0,989567,0,10433,Paeniclostridium sordellii,1505,10373,999940,-10373,60
NZ_CP019668.1,14780,Burkholderia,32008,14724,985220,0,56,Burkholderia cenocepacia,95486,11004,985220,0,3776
NZ_CP029462.1,16708,Megasphaera,906,21473,978366,2,159,Megasphaera stantonii,2144175,16556,983290,2,152
NZ_CP034157.1,7818,Cloacibacterium,501783,7771,992182,0,47,Cloacibacterium normanense,237258,7640,992182,0,178
NZ_CP125315.1,9647,Lacticaseibacillus,2759736,9589,990350,3,58,Lacticaseibacillus rhamnosus,47715,9529,990352,1,118
NZ_CP026548.1,622,Faecalibacterium,216851,616,999365,13,6,Faecalibacterium prausnitzii,853,605,999374,4,17
NZ_CP017038.2,2946,Tannerella,195950,2931,997054,0,15,Tannerella serpentiformis,712710,2931,997054,0,15
NZ_CP017042.1,9485,Selenomonas,970,13294,986668,0,38,Selenomonas sp. oral taxon 920,1884263,9448,990515,0,37
NZ_AP019822.1,13370,Pseudoleptotrichia,2755140,13317,986630,0,53,Pseudoleptotrichia goodfellowii,157692,13317,986630,0,53
NZ_CP123971.1,13260,Ligilactobacillus,2767887,13122,986736,4,138,Ligilactobacillus salivarius,1624,13103,986736,4,157
NZ_CP013195.1,8876,Hoylesella,2974257,8583,991118,6,293,Hoylesella enoeca,76123,8583,991119,5,293
NZ_CP066811.1,975,Peptacetobacter,2743582,970,999024,1,5,Peptacetobacter hiranonis,89152,970,999024,1,5
NZ_CP027234.1,1775,Bacteroides,816,1735,998010,215,40,Bacteroides heparinolyticus,28113,1703,998225,0,72
NZ_CP028105.1,1028,Fusobacterium,848,1022,998971,1,6,Fusobacterium ulcerans,861,1010,998971,1,18
NZ_AP025575.1,7638,Eggerthella,84111,7611,992362,0,27,Eggerthella lenta,84112,7594,992362,0,44
NZ_CP065983.1,11559,Aggregatibacter,416916,11484,988441,0,75,Aggregatibacter segnis,739,11030,988441,0,529
NZ_CP116810.1,2892,Rhodopseudomonas,1073,2887,997108,0,5,Rhodopseudomonas palustris,1076,2886,997108,0,6
NZ_CP033459.1,2941,Pseudoprevotella,2884814,2927,997059,0,14,Pseudoprevotella muciniphila,2133944,2927,997059,0,14
NZ_CP014162.1,4903,Aerococcus,1375,4887,995094,3,16,Aerococcus urinaeequi,51665,4856,995095,2,47
NZ_CP124126.1,11122,Capnocytophaga,1016,11088,988878,0,34,Capnocytophaga canimorsus,28188,11079,988878,0,43
NZ_CP049226.1,453,Lactobacillus,1578,444,999536,11,9,Lactobacillus iners,147802,444,999547,0,9
NZ_CP072042.1,72377,Akkermansia,239934,72081,927623,0,296,Akkermansia muciniphila,239935,70723,927623,0,1654
NZ_CP016844.1,22703,Carnobacterium,2747,22549,977296,1,154,Carnobacterium maltaromaticum,2751,22545,977297,0,158
NZ_CP096671.1,3539,Mediterraneibacter,2316020,3423,996461,0,116,[Ruminococcus] gnavus,33038,3423,999884,-3423,116
NZ_CP117966.1,11773,Roseburia,841,11304,988224,3,469,Roseburia hominis,301301,11282,988225,2,491
NZ_CP047311.1,1544,Pseudomonas,286,1537,998456,0,7,Pseudomonas putida,303,612,998456,0,932
NZ_CP012117.1,9561,Dermabacter,36739,9435,990439,0,126,Dermabacter vaginalis,1630135,9310,990439,0,251
NZ_CP040121.1,1684,Duncaniella,2518495,1652,998315,1,32,Duncaniella sp. B8,2576606,56,998316,0,1628
NZ_CP121210.1,6173,Riemerella,34084,6138,993827,0,35,Riemerella anatipestifer,34085,6138,993827,0,35
NZ_CP123403.1,581,Trueperella,1069494,580,999419,0,1,Trueperella pyogenes,1661,580,999419,0,1
NZ_CP035997.1,14782,Bacillus,1386,14711,985211,7,71,Bacillus mycoides,1405,12435,985218,0,2347
NZ_CP012672.1,5585,Sorangium,39643,5562,994415,0,23,Sorangium cellulosum,56,1586,994415,0,3999
NZ_CP068112.1,1980,Mobiluncus,2050,1960,998020,0,20,Mobiluncus curtisii,2051,1960,998020,0,20
NZ_AP019697.1,1472,Dialister,39948,1469,998528,0,3,Dialister hominis,2582419,976,998528,0,496
NZ_CP121769.1,527,Glaesserella,2094023,509,999471,2,18,Glaesserella parasuis,738,509,999471,2,18
NZ_CP126745.1,29682,Cutibacterium,1912216,29550,970318,0,132,Cutibacterium acnes,1747,29440,970318,0,242
NZ_CP027569.1,4924,Megasphaera,906,21473,978366,2,159,Megasphaera elsdenii,907,4900,995076,0,24
NZ_AP019735.1,2804,Alistipes,239759,2730,997180,16,74,Alistipes communis,2585118,2726,997195,1,78
NZ_CP068102.1,3090,Rothia,32207,3086,996910,0,4,Rothia aeria,172042,3086,996910,0,4
NZ_CP017812.1,3860,Boudabousia,2767318,3846,996140,0,14,Boudabousia tangfeifanii,1912795,3846,996140,0,14
NZ_CP126077.1,1193,Virgibacillus,84406,1187,998807,0,6,Virgibacillus halodenitrificans,1482,1178,998807,0,15
NZ_CP016839.1,2796,Brochothrix,2755,2786,997204,0,10,Brochothrix thermosphacta,2756,2786,997204,0,10
NZ_CP050134.2,4432,Corynebacterium,1716,4415,995557,11,17,Corynebacterium matruchotii,43768,4415,995568,0,17
