accession_id,total_reads,genus,genus_taxid,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_true_positive,species_true_negative,species_false_positive,species_false_negative
NZ_CP020468.1,3231,Actinomyces,1654,3225,996764,5,6,Actinomyces gaoshouyii,1960083,3152,996769,0,79
NZ_CP069240.1,3858,Cutibacterium,1912216,3847,996142,0,11,Cutibacterium avidum,33010,3809,996142,0,49
NZ_CP017761.1,8240,Marinilactibacillus,191769,8068,991760,0,172,Marinilactibacillus sp. 15R,1911586,8068,991760,0,172
NZ_CP098447.1,12137,Proteus,583,11304,987860,3,833,Proteus mirabilis,584,11085,987861,2,1052
NZ_CP048000.1,5593,Anaerocolumna,1843210,5586,994407,0,7,Anaerocolumna sedimenticola,2696063,5559,994407,0,34
NZ_CP066560.1,3050,Histophilus,214906,2932,996949,1,118,Histophilus somni,731,2932,996949,1,118
NZ_CP096671.1,4133,Mediterraneibacter,2316020,3911,995865,2,222,[Ruminococcus] gnavus,33038,3903,999770,-3903,230
NZ_CP120618.1,1838,Priestia,2800373,1822,998160,2,16,Priestia megaterium,1404,481,998161,1,1357
NC_074775.1,2323,Kobuvirus,194960,2323,997677,0,0,Aichivirus A,72149,2323,997677,0,0
NZ_CP012196.1,4403,Campylobacter,194,4399,995597,0,4,Campylobacter gracilis,824,4388,995597,0,15
NZ_CP012069.2,508,Olsenella,133925,507,999492,0,1,Olsenella sp. oral taxon 807,712411,507,999492,0,1
NZ_CP126312.1,5081,Latilactobacillus,2767885,4924,994919,0,157,Latilactobacillus curvatus,28038,4789,994919,0,292
NZ_CP077403.1,1390,Jonesia,43673,1382,998610,0,8,Jonesia denitrificans,43674,1382,998610,0,8
NZ_CP029197.1,5645,Streptomyces,1883,5592,994335,20,53,Streptomyces venezuelae,54571,5084,994355,0,561
NC_000883.2,452,Erythroparvovirus,40121,452,999548,0,0,Primate erythroparvovirus 1,1511900,0,999548,0,452
NZ_CP006683.1,14920,Melissococcus,33969,14800,985080,0,120,Melissococcus plutonius,33970,14800,985080,0,120
NZ_CP015402.2,6613,Muribaculum,1918540,6487,993387,0,126,Muribaculum intestinale,1796646,6432,993387,0,181
NZ_CP101412.1,1404,Parvimonas,543311,1329,998595,1,75,Parvimonas micra,33033,1329,998595,1,75
NZ_CP046313.1,3399,Gemella,1378,3353,996601,0,46,Gemella sanguinis,84135,3311,996601,0,88
NZ_CP040121.1,19837,Duncaniella,2518495,19230,980163,0,607,Duncaniella sp. B8,2576606,192,980163,0,19645
NZ_CP072042.1,4132,Akkermansia,239934,4130,995868,0,2,Akkermansia muciniphila,239935,4002,995868,0,130
NZ_CP127188.1,6499,Listeria,1637,6445,993498,3,54,Listeria monocytogenes,1639,5938,993498,3,561
NZ_CP032819.1,8943,Butyricimonas,574697,7836,991057,0,1107,Butyricimonas faecalis,2093856,7806,991057,0,1137
NZ_CP073804.1,7625,Macrococcus,69965,8,992375,0,7617,Macrococcus canis,1855823,7279,999654,-7279,346
NZ_CP027235.1,4417,Haemophilus,724,4370,995573,10,47,Haemophilus sp. oral taxon 036,712310,3631,995583,0,786
NC_076103.1,3753,Deltavirus,39759,3753,996247,0,0,Hepatitis delta virus,12475,3753,996247,0,0
NZ_AP019829.2,10445,Leptotrichia,32067,10205,989551,4,240,Leptotrichia wadei,157687,9182,989555,0,1263
NZ_CP083175.1,1585,Gardnerella,2701,1567,998415,0,18,Gardnerella vaginalis,2702,1536,998415,0,49
NZ_CP035298.1,3791,Micrococcus,1269,3755,996206,3,36,Micrococcus luteus,1270,2549,996207,2,1242
NZ_CP027286.1,2992,Clostridium,1485,2966,996983,25,26,Clostridium chauvoei,46867,2922,997007,1,70
NZ_CP120398.1,2108,Salmonella,590,2006,997838,54,102,Salmonella enterica,28901,869,997857,35,1239
NZ_CP025330.1,4579,Brevibacterium,1696,4434,995418,3,145,Brevibacterium aurantiacum,273384,2676,995421,0,1903
NZ_CP027228.1,2544,Mogibacterium,86331,2531,997456,0,13,Mogibacterium diversum,114527,2509,997456,0,35
NZ_CP014150.1,33878,Paeniclostridium,1849828,0,966122,0,33878,Paeniclostridium sordellii,1505,33009,999131,-33009,869
NZ_CP072236.1,1679,Bacteroides,816,1529,998299,22,150,Bacteroides uniformis,820,1059,998319,2,620
NZ_CP065983.1,9059,Aggregatibacter,416916,8926,990941,0,133,Aggregatibacter segnis,739,7526,990941,0,1533
NZ_CP012672.1,1393,Sorangium,39643,1378,998607,0,15,Sorangium cellulosum,56,120,998607,0,1273
NZ_CP123971.1,2997,Ligilactobacillus,2767887,2958,996999,4,39,Ligilactobacillus salivarius,1624,2952,997001,2,45
NC_001612.1,12080,Enterovirus,12059,12080,987920,0,0,Enterovirus A,138948,12080,987920,0,0
