accession,tax_id,superkingdom,phylum,class,order,family,genus,species,superkingdom_taxid,phylum_taxid,class_taxid,order_taxid,family_taxid,genus_taxid,species_taxid
NZ_CP020468.1,1960083,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces gaoshouyii,2,201174,1760,2037,2049,1654,1960083
NZ_CP069240.1,33010,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium avidum,2,201174,1760,85009,31957,1912216,33010
NZ_CP017761.1,1911586,Bacteria,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Marinilactibacillus,Marinilactibacillus sp. 15R,2,1239,91061,186826,186828,191769,1911586
NZ_CP098447.1,584,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,Proteus mirabilis,2,1224,1236,91347,1903414,583,584
NZ_CP048000.1,2696063,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerocolumna,Anaerocolumna sedimenticola,2,1239,186801,3085636,186803,1843210,2696063
NZ_CP066560.1,731,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Histophilus,Histophilus somni,2,1224,1236,135625,712,214906,731
NZ_CP096671.1,33038,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Mediterraneibacter,Mediterraneibacter gnavus,2,1239,186801,3085636,186803,2316020,33038
NZ_CP120618.1,1404,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Priestia,Priestia megaterium,2,1239,91061,1385,186817,2800373,1404
NC_074775.1,1313215,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Kobuvirus,Kobuvirus aichi,10239,2732408,2732506,464095,12058,194960,72149
NZ_CP012196.1,824,Bacteria,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter gracilis,2,29547,3031852,213849,72294,194,824
NZ_CP012069.2,712411,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Olsenella,Olsenella sp. oral taxon 807,2,201174,84998,84999,1643824,133925,712411
NZ_CP126312.1,28038,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Latilactobacillus,Latilactobacillus curvatus,2,1239,91061,186826,33958,2767885,28038
NZ_CP077403.1,43674,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Jonesiaceae,Jonesia,Jonesia denitrificans,2,201174,1760,85006,85022,43673,43674
NZ_CP029197.1,953739,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces venezuelae,2,201174,1760,85011,2062,1883,54571
NC_000883.2,10798,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Erythroparvovirus,Erythroparvovirus primate1,10239,2732415,2732422,2732534,10780,40121,3052189
NZ_CP006683.1,1385937,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Melissococcus,Melissococcus plutonius,2,1239,91061,186826,81852,33969,33970
NZ_CP015402.2,1796646,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum,Muribaculum intestinale,2,976,200643,171549,2005473,1918540,1796646
NZ_CP101412.1,33033,Bacteria,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Parvimonas,Parvimonas micra,2,1239,1737404,1737405,1570339,543311,33033
NZ_CP046313.1,84135,Bacteria,Bacillota,Bacilli,Bacillales,Gemellaceae,Gemella,Gemella sanguinis,2,1239,91061,1385,539738,1378,84135
NZ_CP040121.1,2576606,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Duncaniella,Duncaniella sp. B8,2,976,200643,171549,2005473,2518495,2576606
NZ_CP072042.1,239935,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia muciniphila,2,74201,203494,48461,1647988,239934,239935
