accession,tax_id
NZ_CP032364.1,617123
NZ_CP046313.1,84135
NZ_CP026548.1,853
NZ_CP040004.1,2572088
NZ_CP050134.2,43768
NZ_CP097843.1,1303
NZ_CP072373.1,28129
NZ_CP127164.1,492670
NZ_CP008849.1,589873
NZ_CP046027.1,2666100
NZ_CP017042.1,1884263
NC_001422.1,2886930
NZ_CP027228.1,114527
NZ_CP041379.1,329854
NZ_CP068102.1,172042
NZ_CP073277.1,1492
NZ_CP017038.2,712710
NZ_AP019831.1,109328
NC_000866.4,2681598
NZ_CP020566.1,39777
NZ_CP121210.1,34085
NZ_CP015402.2,1796646
NZ_CP024700.1,2663009
NZ_CP012196.1,824
NZ_AP019735.1,2585118
NZ_AP019822.1,157692
NZ_CP019668.1,95486
NZ_CP022022.1,2708117
NZ_CP050497.1,69710
