accession,tax_id
NZ_CP019962.1,1736
NC_001722.1,11709
NZ_CP019668.1,95486
NZ_CP120398.1,90370
NZ_CP050497.1,69710
NZ_CP008852.1,484770
NZ_CP027286.1,46867
NC_076948.1,11041
NZ_CP036259.1,2377
NZ_AP019735.1,2585118
NZ_CP039712.1,2571750
NZ_CP012672.1,56
NZ_CP098483.1,40324
NZ_CP017761.1,1911586
NC_012756.1,644007
NZ_CP116810.1,258594
NZ_CP027228.1,114527
NZ_CP033459.1,2133944
NZ_CP066811.1,89152
NZ_CP098491.1,1423
NZ_CP017038.2,712710
NZ_CP068103.1,54005
NZ_CP117966.1,301301
NC_076103.1,12475
NZ_CP029033.1,2495645
NZ_CP072246.1,357276
NZ_CP046313.1,84135
NZ_CP118095.1,87541
NZ_CP085178.1,1255
NZ_CP066560.1,731
