accession,tax_id
NZ_CP015905.2,1360
NZ_CP012069.2,712411
NZ_CP032364.1,617123
NZ_CP031057.1,1748
NZ_CP008849.1,589873
NZ_CP014150.1,1505
NZ_CP019668.1,95486
NZ_CP029462.1,2144175
NZ_CP034157.1,237258
NZ_CP125315.1,47715
NZ_CP026548.1,853
NZ_CP017038.2,712710
NZ_CP017042.1,1884263
NZ_AP019822.1,157692
NZ_CP123971.1,1624
NZ_CP013195.1,76123
NZ_CP066811.1,89152
NZ_CP027234.1,28113
NZ_CP028105.1,861
NZ_AP025575.1,84112
NZ_CP065983.1,739
NZ_CP116810.1,258594
NZ_CP033459.1,2133944
NZ_CP014162.1,51665
NZ_CP124126.1,28188
NZ_CP049226.1,147802
NZ_CP072042.1,239935
NZ_CP016844.1,2751
NZ_CP096671.1,33038
NZ_CP117966.1,301301
NZ_CP047311.1,303
NZ_CP012117.1,1630135
NZ_CP040121.1,2576606
NZ_CP121210.1,34085
NZ_CP123403.1,1661
NZ_CP035997.1,1405
NZ_CP012672.1,56
NZ_CP068112.1,2051
NZ_AP019697.1,2582419
NZ_CP121769.1,738
NZ_CP126745.1,1747
NZ_CP027569.1,907
NZ_AP019735.1,2585118
NZ_CP068102.1,172042
NZ_CP017812.1,1912795
NZ_CP126077.1,1482
NZ_CP016839.1,2756
NZ_CP050134.2,43768
NZ_CP040235.1,216816
NZ_CP029066.1,53346
NZ_CP126312.1,28038
NZ_CP039381.1,2564099
NZ_CP039712.1,2571750
NZ_CP014239.1,713030
NZ_CP013745.1,656366
NZ_CP053315.1,1397
NZ_CP054494.1,996
NZ_CP008852.1,484770
NZ_CP027235.1,712310
NZ_CP068103.1,54005
NZ_CP045696.1,2606626
NZ_CP072373.1,28129
NZ_AP019846.1,554406
NZ_CP089305.1,1613
NZ_CP016953.1,1888195
NZ_CP017761.1,1911586
NZ_CP020566.1,39777
NC_012753.1,646413
NZ_CP047591.1,2697030
NZ_CP034465.1,2496265
NZ_CP027228.1,114527
NZ_CP085178.1,1255
NZ_CP014228.1,111015
NZ_CP120618.1,1404
NZ_CP033719.1,556499
NZ_CP072246.1,357276
NZ_CP015348.1,1571
NZ_CP046313.1,84135
NZ_CP050497.1,69710
NZ_CP069520.1,208479
NZ_CP015402.2,1796646
NZ_CP077403.1,43674
NZ_CP084018.1,437897
NZ_CP012196.1,824
NZ_AP025240.1,821
NZ_CP013476.1,1712675
NZ_CP017428.1,1286
NZ_CP124202.1,1421
NC_012756.1,644007
NZ_CP035298.1,1270
NZ_CP048000.1,2696063
NZ_CP040058.1,1229621
NZ_CP040915.1,2589797
NZ_CP029197.1,953739
NZ_CP066560.1,731
NZ_CP046246.1,51669
NZ_CP036259.1,2377
NZ_CP073277.1,1492
NZ_CP032819.1,2093856
NZ_CP040004.1,2572088
NZ_CP072385.1,1750
NZ_CP040348.1,74426
NZ_CP065995.1,1245
NZ_CP006683.1,1385937
NZ_AP025569.1,29347
NZ_CP120209.1,253
NZ_CP097775.1,1406
NZ_CP053228.1,1796616
NZ_CP034438.1,1282737
NZ_CP071986.1,210
NZ_CP073804.1,1855823
NZ_CP029033.1,2495645
NZ_CP026734.1,1703
