accession,tax_id
NZ_CP020468.1,1960083
NZ_CP069240.1,33010
NZ_CP017761.1,1911586
NZ_CP098447.1,584
NZ_CP048000.1,2696063
NZ_CP066560.1,731
NZ_CP096671.1,33038
NZ_CP120618.1,1404
NC_074775.1,1313215
NZ_CP012196.1,824
NZ_CP012069.2,712411
NZ_CP126312.1,28038
NZ_CP077403.1,43674
NZ_CP029197.1,953739
NC_000883.2,10798
NZ_CP006683.1,1385937
NZ_CP015402.2,1796646
NZ_CP101412.1,33033
NZ_CP046313.1,84135
NZ_CP040121.1,2576606
NZ_CP072042.1,239935
NZ_CP127188.1,1639
NZ_CP032819.1,2093856
NZ_CP073804.1,1855823
NZ_CP027235.1,712310
NC_076103.1,12475
NZ_AP019829.2,157687
NZ_CP083175.1,2702
NZ_CP035298.1,1270
NZ_CP027286.1,46867
NZ_CP120398.1,90370
NZ_CP025330.1,273384
NZ_CP027228.1,114527
NZ_CP014150.1,1505
NZ_CP072236.1,820
NZ_CP065983.1,739
NZ_CP012672.1,56
NZ_CP123971.1,1624
NC_001612.1,138948
NZ_CP033459.1,2133944
NZ_CP013476.1,1712675
NC_001348.1,10335
NZ_CP124126.1,28188
NZ_CP072385.1,1750
NZ_CP019668.1,95486
NZ_AP019697.1,2582419
NZ_CP034593.1,2496867
NZ_CP023474.1,1200792
NZ_CP054018.1,2047
NZ_CP121210.1,34085
NZ_CP026548.1,853
NZ_CP029462.1,2144175
NZ_CP089305.1,1613
NZ_CP008852.1,484770
NZ_AP019822.1,157692
NZ_CP034465.1,2496265
NZ_CP019962.1,1736
NZ_CP039712.1,2571750
NZ_CP011861.1,1648
NZ_CP123403.1,1661
NZ_CP084018.1,437897
NZ_CP125806.1,747
NZ_CP070914.1,562
NC_076948.1,11041
NZ_CP025420.1,1348
NZ_CP125315.1,47715
NZ_CP066811.1,89152
NZ_AP025575.1,84112
NZ_CP084221.1,33959
NZ_CP126077.1,1482
NZ_CP050134.2,43768
NZ_CP017812.1,1912795
NZ_CP104580.1,316
NZ_CP033719.1,556499
NZ_CP118095.1,87541
NZ_CP040348.1,74426
NC_044045.1,1529918
NZ_CP116810.1,258594
NZ_CP126983.1,837
NZ_CP045696.1,2606626
NC_004718.3,227984
NZ_CP017038.2,712710
NC_003976.2,172314
NZ_CP034169.1,33945
NZ_CP012098.1,649756
NZ_CP068103.1,54005
NZ_CP040915.1,2589797
NZ_CP069520.1,208479
NZ_CP013745.1,656366
NZ_CP020566.1,39777
NZ_CP098491.1,1423
NZ_CP115634.1,1117645
NZ_CP085178.1,1255
NC_001526.4,333760
NZ_CP023482.1,1667168
NZ_CP031057.1,1748
NC_001489.1,12092
NZ_CP040235.1,216816
NC_076165.1,10325
NC_012756.1,644007
NZ_CP097775.1,1406
NZ_CP036259.1,2377
NC_001538.1,1891762
NZ_CP032364.1,617123
NZ_CP046246.1,51669
NZ_CP047630.1,1366
NZ_AP025569.1,29347
NZ_CP016839.1,2756
NZ_CP054494.1,996
NC_000940.1,2849715
NZ_CP065995.1,1245
NZ_CP029033.1,2495645
NZ_CP027400.1,34105
NC_001722.1,11709
NZ_AP019735.1,2585118
NZ_CP015348.1,1571
NZ_CP017428.1,1286
NZ_CP034157.1,237258
NZ_CP039381.1,2564099
NZ_CP071986.1,210
NZ_CP121769.1,738
NZ_CP013195.1,76123
NZ_CP068112.1,2051
NZ_CP016843.1,2748
NZ_CP054000.1,1260
NZ_CP072246.1,357276
NC_011202.1,108098
NZ_CP040004.1,2572088
NZ_CP017042.1,1884263
NZ_CP124202.1,1421
NZ_CP047311.1,303
NZ_CP120209.1,253
NZ_CP008849.1,589873
NZ_CP046315.1,1660
NZ_CP072373.1,28129
NZ_CP098483.1,40324
NZ_CP009709.1,1121088
NZ_CP053315.1,1397
NZ_CP013334.1,1307444
NZ_CP050497.1,69710
NZ_CP030280.1,1912897
NZ_CP047591.1,2697030
NZ_CP126076.1,1496
NZ_CP117966.1,301301
