read_accession_id,read_accession_total_count,root,kraken_classified_root,superkingdom,kraken_classified_superkingdom,phylum,kraken_classified_phylum,class,kraken_classified_class,order,kraken_classified_order,family,kraken_classified_family,genus,kraken_classified_genus,species,kraken_classified_species
NZ_CP071986.1,4461,root,4460,Bacteria,4459,Campylobacterota,4459,Epsilonproteobacteria,4459,Campylobacterales,4459,Helicobacteraceae,4459,Helicobacter,4459,Helicobacter pylori,4454
NZ_CP068103.1,3808,root,3808,Bacteria,3807,Bacillota,3787,Tissierellia,3712,Tissierellales,3675,Peptoniphilaceae,3675,Peptoniphilus,3590,Peptoniphilus harei,3577
NZ_CP054018.1,148072,root,148069,Bacteria,148069,Actinomycetota,147925,Actinomycetes,147925,Micrococcales,147562,Micrococcaceae,147549,Rothia,147540,Rothia dentocariosa,146877
NZ_CP040348.1,56150,root,56148,Bacteria,56148,Actinomycetota,55855,Coriobacteriia,55852,Coriobacteriales,55719,Coriobacteriaceae,55621,Collinsella,55621,Collinsella aerofaciens,55615
NZ_CP066811.1,5535,root,5534,Bacteria,5531,Bacillota,5531,Clostridia,5527,Eubacteriales,2,Peptostreptococcaceae,5520,Peptacetobacter,5512,Peptacetobacter hiranonis,5512
NZ_CP033459.1,13813,root,13811,Bacteria,13811,Bacteroidota,13810,Bacteroidia,13804,Bacteroidales,13804,Prevotellaceae,13803,Pseudoprevotella,13801,Pseudoprevotella muciniphila,13801
NZ_CP027228.1,4981,root,4981,Bacteria,4981,Bacillota,4980,Clostridia,4968,Eubacteriales,0,Eubacteriales Family XIII. Incertae Sedis,0,Mogibacterium,4967,Mogibacterium diversum,4954
NZ_AP025575.1,8613,root,8613,Bacteria,8613,Actinomycetota,8605,Coriobacteriia,8605,Eggerthellales,8605,Eggerthellaceae,8605,Eggerthella,8597,Eggerthella lenta,8545
NZ_CP073804.1,5827,root,5824,Bacteria,5824,Bacillota,5824,Bacilli,5823,Bacillales,5821,Staphylococcaceae,5820,Macrococcus,1,Macrococcus canis,5696
NZ_CP050134.2,43580,root,43575,Bacteria,43575,Actinomycetota,43575,Actinomycetes,43575,Mycobacteriales,43575,Corynebacteriaceae,43575,Corynebacterium,43575,Corynebacterium matruchotii,43572
NZ_CP017428.1,5944,root,5944,Bacteria,5944,Bacillota,5942,Bacilli,5942,Bacillales,5941,Staphylococcaceae,5940,Staphylococcus,5936,Staphylococcus simulans,5906
NZ_CP077403.1,20971,root,20971,Bacteria,20971,Actinomycetota,20971,Actinomycetes,20971,Micrococcales,20967,Jonesiaceae,20964,Jonesia,20964,Jonesia denitrificans,20964
NZ_CP117966.1,6404,root,6404,Bacteria,6404,Bacillota,6403,Clostridia,6390,Eubacteriales,7,Lachnospiraceae,6305,Roseburia,6129,Roseburia hominis,6108
NZ_CP040915.1,3724,root,3724,Bacteria,3724,Actinomycetota,3724,Actinomycetes,3724,Micrococcales,3723,Bogoriellaceae,3721,Georgenia,3721,Georgenia yuyongxinii,3720
NZ_CP023482.1,24234,root,24233,Bacteria,24233,Actinomycetota,24193,Actinomycetes,24193,Micrococcales,23589,Dermabacteraceae,23496,Dermabacter,23483,Dermabacter jinjuensis,20711
NZ_CP017038.2,9386,root,9385,Bacteria,9385,Bacteroidota,9385,Bacteroidia,9384,Bacteroidales,9384,Tannerellaceae,9384,Tannerella,9384,Tannerella serpentiformis,9384
