parent_taxid,level,taxid,name,kraken_classifed_reads,NT_rPM
81852,1,1350,Enterococcus,115240,115240
1350,2,53346,Enterococcus mundtii,112701,112701
1350,2,1352,Enterococcus faecium,109,109
1350,1,2608891,unclassified Enterococcus,64,64
2608891,2,2230878,Enterococcus sp. DIV1094,62,62
2608891,2,3050383,Enterococcus sp. FZMF,1,1
2608891,2,1834189,Enterococcus sp. 7F3_DIV0205,1,1
1350,2,1354,Enterococcus hirae,16,16
1350,2,37734,Enterococcus casseliflavus,15,15
1350,2,53345,Enterococcus durans,9,9
1350,2,417368,Enterococcus thailandicus,8,8
1350,2,1351,Enterococcus faecalis,7,7
1350,2,357441,Enterococcus lactis,3,3
1350,2,44008,Enterococcus cecorum,3,3
1350,2,41997,Enterococcus saccharolyticus,3,3
1350,2,44009,Enterococcus dispar,2,2
1350,2,2005703,Enterococcus wangshanyuanii,1,1
1350,2,33945,Enterococcus avium,1,1
81852,1,51668,Tetragenococcus,28073,28073
51668,2,51669,Tetragenococcus halophilus,27619,27619
51668,2,290335,Tetragenococcus koreensis,6,6
51668,2,526944,Tetragenococcus osmophilus,3,3
81852,1,2737,Vagococcus,1,1
33958,1,1243,Leuconostoc,9595,9595
1243,2,1245,Leuconostoc mesenteroides,9197,9197
1243,2,33964,Leuconostoc citreum,4,4
1243,2,1252,Leuconostoc carnosum,3,3
1243,2,136609,Leuconostoc kimchii,3,3
1243,2,1511761,Leuconostoc suionicum,3,3
1243,2,33968,Leuconostoc pseudomesenteroides,1,1
1243,2,2766470,Leuconostoc falkenbergense,1,1
1243,1,3016637,Leuconostoc gelidum group,1,1
33958,1,1578,Lactobacillus,6,6
1578,2,147802,Lactobacillus iners,5,5
1578,2,1596,Lactobacillus gasseri,1,1
33958,1,2767887,Ligilactobacillus,3,3
2767887,2,1624,Ligilactobacillus salivarius,3,3
33958,1,46255,Weissella,3,3
46255,2,1249,Weissella paramesenteroides,1,1
46255,2,137591,Weissella cibaria,1,1
33958,1,1253,Pediococcus,2,2
1253,2,1255,Pediococcus pentosaceus,1,1
1253,2,51663,Pediococcus damnosus,1,1
33958,1,2767874,Acetilactobacillus,2,2
2767874,2,1720083,Acetilactobacillus jinshanensis,2,2
33958,1,2767842,Lactiplantibacillus,2,2
2767842,2,1590,Lactiplantibacillus plantarum,2,2
33958,1,2767893,Lentilactobacillus,2,2
2767893,2,2883998,Lentilactobacillus laojiaonis,2,2
33958,1,2767879,Companilactobacillus,1,1
33958,1,2767885,Latilactobacillus,1,1
2767885,2,1599,Latilactobacillus sakei,1,1
186828,1,1470540,Jeotgalibaca,9467,9467
1470540,2,2496265,Jeotgalibaca ciconiae,9364,9364
1470540,1,2621505,unclassified Jeotgalibaca,3,3
2621505,2,1903686,Jeotgalibaca sp. PTS2502,3,3
186828,1,29393,Dolosigranulum,3,3
29393,2,29394,Dolosigranulum pigrum,3,3
186828,1,82800,Desemzia,2,2
82800,2,82801,Desemzia incerta,2,2
186828,1,117563,Granulicatella,1,1
117563,2,46124,Granulicatella adiacens,1,1
1300,1,1301,Streptococcus,62,62
1301,1,2608887,unclassified Streptococcus,14,14
2608887,2,2759692,Streptococcus sp. Marseille-Q3533,11,11
2608887,2,3077584,Streptococcus sp. DTU_2020_1001019_1_SI_AUS_MUR_006,1,1
2608887,2,2583584,Streptococcus sp. NCTC 11567,1,1
1301,2,1313,Streptococcus pneumoniae,11,11
1301,1,671232,Streptococcus anginosus group,8,8
671232,2,1328,Streptococcus anginosus,6,6
671232,2,76860,Streptococcus constellatus,2,2
1301,2,1314,Streptococcus pyogenes,6,6
1301,2,1311,Streptococcus agalactiae,4,4
1301,2,28037,Streptococcus mitis,3,3
1301,2,82348,Streptococcus pluranimalium,2,2
1301,2,1308,Streptococcus thermophilus,2,2
1301,1,119603,Streptococcus dysgalactiae group,2,2
119603,2,1334,Streptococcus dysgalactiae,2,2
1301,2,1433513,Streptococcus gwangjuense,1,1
1301,2,68892,Streptococcus infantis,1,1
1301,2,1318,Streptococcus parasanguinis,1,1
1301,2,1307,Streptococcus suis,1,1
1301,2,1305,Streptococcus sanguinis,1,1
1301,2,1304,Streptococcus salivarius,1,1
1300,1,1357,Lactococcus,2,2
1357,2,1363,Lactococcus garvieae,1,1
1357,2,1281486,Lactococcus formosensis,1,1
186827,1,1375,Aerococcus,3,3
1375,2,2976809,Aerococcus loyolae,2,2
1375,2,128944,Aerococcus urinaehominis,1,1
186827,1,66831,Facklamia,2,2
66831,2,178214,Facklamia hominis,2,2
186827,1,2862144,Ruoffia,2,2
2862144,2,87458,Ruoffia tabacinasalis,2,2
186817,1,84406,Virgibacillus,25930,25930
84406,2,1482,Virgibacillus halodenitrificans,25159,25159
84406,1,2620237,unclassified Virgibacillus,5,5
2620237,2,403957,Virgibacillus sp. SK37,5,5
84406,2,163877,Virgibacillus necropolis,1,1
84406,2,1216297,Virgibacillus natechei,1,1
186817,1,1386,Bacillus,30,30
1386,1,653685,Bacillus subtilis group,12,12
653685,1,1938374,Bacillus amyloliquefaciens group,7,7
1938374,2,1390,Bacillus amyloliquefaciens,3,3
1938374,2,492670,Bacillus velezensis,3,3
653685,2,1423,Bacillus subtilis,4,4
653685,2,1452,Bacillus atrophaeus,1,1
1386,1,86661,Bacillus cereus group,11,11
86661,2,1428,Bacillus thuringiensis,5,5
86661,2,1392,Bacillus anthracis,4,4
86661,2,1396,Bacillus cereus,1,1
86661,1,2750818,unclassified Bacillus cereus group,1,1
2750818,2,2053832,Bacillus sp. HBCD-sjtu,1,1
1386,2,561879,Bacillus safensis,3,3
1386,1,185979,unclassified Bacillus (in: firmicutes),1,1
185979,2,2093834,Bacillus sp. ZY-1-1,1,1
1386,2,1925021,Bacillus haynesii,1,1
186817,1,1906945,Parageobacillus,1,1
1906945,2,1295642,Parageobacillus genomosp. 1,1,1
186817,1,2893058,Pseudalkalibacillus,1,1
2893058,2,208199,Pseudalkalibacillus hwajinpoensis,1,1
186817,1,2837511,Sutcliffiella,1,1
2837511,2,33932,Sutcliffiella cohnii,1,1
186817,1,2837508,Rossellomorea,1,1
2837508,2,189381,Rossellomorea marisflavi,1,1
186817,1,2800373,Priestia,1,1
2800373,2,86664,Priestia flexa,1,1
186817,1,2675233,Metabacillus,1,1
2675233,2,2567941,Metabacillus sediminilitoris,1,1
186817,1,2675231,Mesobacillus,1,1
2675231,2,285983,Mesobacillus subterraneus,1,1
186817,1,182709,Oceanobacillus,1,1
182709,2,746691,Oceanobacillus kimchii,1,1
186817,1,129337,Geobacillus,1,1
129337,2,129338,Geobacillus subterraneus,1,1
539738,1,1378,Gemella,10757,10757
1378,2,84135,Gemella sanguinis,10612,10612
1378,2,1379,Gemella haemolysans,7,7
1378,2,29391,Gemella morbillorum,6,6
1378,1,2624949,unclassified Gemella,3,3
2624949,2,2840371,Gemella sp. zg-570,2,2
186822,1,44249,Paenibacillus,9840,9840
44249,2,1406,Paenibacillus polymyxa,8911,8911
44249,1,185978,unclassified Paenibacillus,22,22
185978,2,867076,Paenibacillus sp. IHB B 3084,3,3
185978,2,2954661,Paenibacillus sp. FSL R10-2782,2,2
185978,2,1532905,Paenibacillus sp. CAA11,2,2
185978,2,2921604,Paenibacillus sp. FSL L8-0638,2,2
185978,2,2954752,Paenibacillus sp. FSL L8-0158,1,1
185978,2,2069255,Paenibacillus sp. lzh-N1,1,1
185978,2,2926710,Paenibacillus sp. CC-CFT742,1,1
185978,2,2921435,Paenibacillus sp. FSL H7-0442,1,1
185978,2,2487928,Paenibacillus sp. M-152,1,1
185978,2,1740264,Paenibacillus sp. LX16,1,1
185978,2,1536774,Paenibacillus sp. FSL H7-0357,1,1
185978,2,3045840,Paenibacillus sp. RC334,1,1
185978,2,2823904,Paenibacillus sp. S02,1,1
185978,2,2823905,Paenibacillus sp. S25,1,1
44249,2,128574,Paenibacillus brasilensis,4,4
44249,2,172713,Paenibacillus kribbensis,3,3
