read_accession_id,read_accession_total_count,root,kraken_classified_root,superkingdom,kraken_classified_superkingdom,phylum,kraken_classified_phylum,class,kraken_classified_class,order,kraken_classified_order,family,kraken_classified_family,genus,kraken_classified_genus,species,kraken_classified_species
NZ_CP013195.1,20873,root,20873,Bacteria,20873,Bacteroidota,20873,Bacteroidia,20873,Bacteroidales,20873,Prevotellaceae,20681,Hoylesella,19645,Hoylesella enoeca,19639
NZ_CP048246.1,10981,root,10980,Bacteria,10980,Pseudomonadota,10979,Betaproteobacteria,10962,Neisseriales,10960,Neisseriaceae,10959,Neisseria,10937,Neisseria gonorrhoeae,8977
NZ_CP020566.1,1283,root,1283,Bacteria,1283,Bacillota,1282,Negativicutes,1282,Veillonellales,1282,Veillonellaceae,1282,Veillonella,1281,Veillonella atypica,1257
NZ_CP053939.1,7833,root,7831,Bacteria,7831,Pseudomonadota,7830,Betaproteobacteria,7824,Neisseriales,7822,Neisseriaceae,7819,Neisseria,7769,Neisseria mucosa,5105
NZ_CP107038.1,5295,root,5295,Bacteria,5098,Bacillota,5061,Bacilli,5052,Lactobacillales,5050,Streptococcaceae,5038,Streptococcus,5038,Streptococcus pneumoniae,4276
NZ_CP066065.1,4069,root,4064,Bacteria,4064,Actinomycetota,4064,Actinomycetes,4064,Actinomycetales,4064,Actinomycetaceae,4064,Schaalia,4057,Schaalia meyeri,4049
NZ_CP126341.1,63394,root,63392,Bacteria,63391,Pseudomonadota,63206,Gammaproteobacteria,63189,Enterobacterales,63078,Enterobacteriaceae,62833,Enterobacter,61490,Enterobacter cloacae,55071
NZ_CP097843.1,1923,root,1923,Bacteria,1923,Bacillota,1906,Bacilli,1906,Lactobacillales,1906,Streptococcaceae,1902,Streptococcus,1902,Streptococcus oralis,1708
NC_002628.3,7184,root,7182,Archaea,94,Euryarchaeota,94,Methanobacteria,94,Methanobacteriales,94,Methanobacteriaceae,94,Methanothermobacter,94,Methanothermobacter wolfeii,48
NZ_CP027235.1,7854,root,7852,Bacteria,7852,Pseudomonadota,7851,Gammaproteobacteria,7845,Pasteurellales,7831,Pasteurellaceae,7831,Haemophilus,7765,Haemophilus sp. oral taxon 036,6449
NZ_CP046313.1,4344,root,4323,Bacteria,4321,Bacillota,4307,Bacilli,4303,Bacillales,4299,unclassified Bacillales family,0,Gemella,4299,Gemella sanguinis,4238
NZ_CP038817.1,2263,root,2261,Bacteria,2261,Pseudomonadota,2261,Gammaproteobacteria,2260,Pasteurellales,2258,Pasteurellaceae,2258,Haemophilus,2245,Haemophilus parahaemolyticus,2224
NZ_CP070914.1,3569,root,3569,Bacteria,3529,Pseudomonadota,3522,Gammaproteobacteria,3510,Enterobacterales,3494,Enterobacteriaceae,3463,Escherichia,602,Escherichia coli,510
NZ_CP101412.1,17352,root,17252,Bacteria,17193,Bacillota,16964,Tissierellia,16411,Tissierellales,16411,Peptoniphilaceae,16410,Parvimonas,16403,Parvimonas micra,16403
NZ_CP034670.1,4512,root,4510,Bacteria,4509,Pseudomonadota,4509,Betaproteobacteria,4501,Neisseriales,4500,Neisseriaceae,4500,Eikenella,4430,Eikenella corrodens,4408
NZ_CP083637.1,11380,root,11326,Bacteria,11309,Bacillota,11294,Bacilli,11286,Bacillales,11274,unclassified Bacillales family,0,Gemella,11262,Gemella haemolysans,11182
NZ_CP031255.1,94088,root,94076,Bacteria,94070,Pseudomonadota,94042,Betaproteobacteria,93992,Neisseriales,93955,Neisseriaceae,93927,Neisseria,92763,Neisseria elongata,89383
NZ_CP075172.1,7696,root,7695,Bacteria,7695,Bacillota,7690,Bacilli,7687,Lactobacillales,7683,Streptococcaceae,7676,Streptococcus,7675,Streptococcus equinus,6899
NZ_CP032621.1,4141,root,4139,Bacteria,4139,Bacillota,4105,Bacilli,4105,Lactobacillales,4098,Streptococcaceae,4072,Streptococcus,4072,Streptococcus gwangjuense,3149
NZ_CP009227.1,4792,root,4792,Bacteria,4791,Spirochaetota,4790,Spirochaetia,4790,Spirochaetales,4790,Treponemataceae,4790,Treponema,4790,Treponema sp. OMZ 838,1896
NZ_AP018768.1,11688,root,11688,Bacteria,11684,Pseudomonadota,11682,Gammaproteobacteria,11678,Pasteurellales,11660,Pasteurellaceae,11660,Haemophilus,11544,Haemophilus influenzae,9064
NZ_CP007573.1,1548,root,1548,Bacteria,1547,Bacillota,1543,Bacilli,1525,Lactobacillales,1524,Streptococcaceae,1523,Streptococcus,1523,Streptococcus anginosus,797
NZ_CP008849.1,5063,root,5063,Bacteria,5063,Pseudomonadota,5059,Gammaproteobacteria,5059,Alteromonadales,5053,Alteromonadaceae,5051,Alteromonas,5048,Alteromonas australica,2926
NZ_CP124804.1,1881,root,1881,Bacteria,1881,Pseudomonadota,1879,Gammaproteobacteria,1877,Enterobacterales,1865,Enterobacteriaceae,1853,Klebsiella,1805,Klebsiella variicola,396
NZ_CP073118.1,7807,root,7619,Bacteria,7605,Pseudomonadota,7580,Betaproteobacteria,7506,Neisseriales,7505,Neisseriaceae,7502,Neisseria,7416,Neisseria subflava,3488
NZ_CP031243.1,11627,root,11625,Bacteria,11623,Pseudomonadota,11614,Gammaproteobacteria,11598,Pasteurellales,11574,Pasteurellaceae,11574,Haemophilus,11498,Haemophilus haemolyticus,10032
NZ_CP032620.1,4225,root,4223,Bacteria,4223,Bacillota,4211,Bacilli,4209,Lactobacillales,4207,Streptococcaceae,4201,Streptococcus,4200,Streptococcus koreensis,2170
NZ_CP064367.1,74958,root,74883,Bacteria,74880,Pseudomonadota,74872,Betaproteobacteria,74530,Neisseriales,74516,Neisseriaceae,74491,Neisseria,74097,Neisseria meningitidis,58779
NZ_CP027228.1,3252,root,3251,Bacteria,3251,Bacillota,3249,Clostridia,3229,Eubacteriales,0,Eubacteriales Family XIII. Incertae Sedis,0,Mogibacterium,3226,Mogibacterium diversum,3203
NZ_CP126983.1,7236,root,7233,Bacteria,7233,Bacteroidota,7233,Bacteroidia,7229,Bacteroidales,7229,Porphyromonadaceae,7093,Porphyromonas,7093,Porphyromonas gingivalis,7075
NZ_AP021887.1,6593,root,6584,Bacteria,6582,Bacillota,6572,Bacilli,6572,Lactobacillales,6567,Streptococcaceae,6553,Streptococcus,6552,Streptococcus sp. 116-D4,5818
NC_000866.4,1260,root,1260,Viruses,1260,Uroviricota,1260,Caudoviricetes,1260,unclassified Caudoviricetes order,0,Straboviridae,1201,Tequatrovirus,1188,Tequatrovirus T4,504
NZ_AP019829.2,10473,root,10350,Bacteria,10282,Fusobacteriota,10273,Fusobacteriia,10273,Fusobacteriales,10273,Leptotrichiaceae,10251,Leptotrichia,10248,Leptotrichia wadei,9150
NZ_CP049272.1,2741,root,2738,Bacteria,2737,Campylobacterota,2737,Epsilonproteobacteria,2737,Campylobacterales,2737,Campylobacteraceae,2737,Campylobacter,2737,Campylobacter concisus,2729
