parent_taxid,level,taxid,name,kraken_classifed_reads,NT_rPM
2005473,1,1918540,Muribaculum,266070,266070
1918540,2,1796646,Muribaculum intestinale,264251,264251
2005473,1,2518495,Duncaniella,17,17
2518495,1,2649562,unclassified Duncaniella,12,12
2649562,2,2530392,Duncaniella sp. C9,1,1
2649562,2,2576606,Duncaniella sp. B8,1,1
2518495,2,2518971,Duncaniella dubosii,5,5
2005473,1,2518497,Paramuribaculum,6,6
2518497,2,2094151,Paramuribaculum intestinale,6,6
171552,1,838,Prevotella,16617,16617
838,2,28129,Prevotella denticola,16163,16163
838,2,28131,Prevotella intermedia,7,7
838,2,28132,Prevotella melaninogenica,7,7
838,2,1177574,Prevotella jejuni,3,3
838,2,589436,Prevotella fusca,2,2
838,2,28133,Prevotella nigrescens,1,1
838,1,2638335,unclassified Prevotella,1,1
2638335,2,652716,Prevotella sp. oral taxon 299,1,1
171552,1,2974257,Hoylesella,5,5
2974257,2,28127,Hoylesella buccalis,3,3
2974257,2,76123,Hoylesella enoeca,2,2
2005525,1,195950,Tannerella,15780,15780
195950,2,712710,Tannerella serpentiformis,15780,15780
2005525,1,375288,Parabacteroides,10,10
375288,2,46503,Parabacteroides merdae,7,7
375288,2,823,Parabacteroides distasonis,1,1
375288,2,387661,Parabacteroides johnsonii,1,1
815,1,816,Bacteroides,4683,4683
816,2,329854,Bacteroides intestinalis,4573,4573
816,2,1796613,Bacteroides caecimuris,4,4
816,2,246787,Bacteroides cellulosilyticus,4,4
816,2,818,Bacteroides thetaiotaomicron,2,2
816,2,291645,Bacteroides nordii,2,2
816,2,291644,Bacteroides salyersiae,2,2
816,2,2650157,Bacteroides zhangwenhongii,1,1
816,2,28113,Bacteroides heparinolyticus,1,1
816,1,2646097,unclassified Bacteroides,1,1
2646097,2,2972761,Bacteroides sp. BFG-257,1,1
816,2,338188,Bacteroides finegoldii,1,1
815,1,909656,Phocaeicola,37,37
909656,2,821,Phocaeicola vulgatus,29,29
909656,2,376805,Phocaeicola salanitronis,8,8
171550,1,239759,Alistipes,3549,3549
239759,2,2585118,Alistipes communis,3531,3531
239759,2,328814,Alistipes shahii,1,1
2760872,1,2760873,Tenuifilum,2,2
2760873,2,2590900,Tenuifilum thalassicum,2,2
2005519,1,1348911,Coprobacter,1,1
1348911,2,1501392,Coprobacter secundus,1,1
2762318,1,34084,Riemerella,75629,75629
34084,2,34085,Riemerella anatipestifer,75616,75616
2762318,1,59734,Empedobacter,13,13
59734,2,343874,Empedobacter falsenii,13,13
2782232,1,59732,Chryseobacterium,6,6
59732,1,2593645,unclassified Chryseobacterium,6,6
2782232,1,2782231,Kaistella,3,3
2782231,2,2820270,Candidatus Kaistella beijingensis,3,3
49546,1,1016,Capnocytophaga,5989,5989
