parent_taxid,level,taxid,name,kraken_classifed_reads,NT_rPM
186827,1,1375,Aerococcus,91161,91161
1375,2,87541,Aerococcus christensenii,91072,91072
1375,2,1377,Aerococcus viridans,6,6
1375,2,51665,Aerococcus urinaeequi,1,1
1375,2,2976809,Aerococcus loyolae,1,1
1375,2,2976810,Aerococcus mictus,1,1
1375,1,3078850,Aerococcus incertae sedis,1,1
3078850,2,2976812,Aerococcus sp. Group 1,1,1
186827,1,66831,Facklamia,2,2
66831,2,178214,Facklamia hominis,2,2
186828,1,191769,Marinilactibacillus,42246,42246
191769,1,2632303,unclassified Marinilactibacillus,42246,42246
2632303,2,1911586,Marinilactibacillus sp. 15R,42246,42246
186828,1,29393,Dolosigranulum,9,9
29393,2,29394,Dolosigranulum pigrum,9,9
186828,1,2747,Carnobacterium,5,5
2747,2,2751,Carnobacterium maltaromaticum,3,3
2747,2,147709,Carnobacterium inhibens,2,2
186828,1,1470540,Jeotgalibaca,2,2
1470540,2,1868793,Jeotgalibaca porci,1,1
1470540,2,2496265,Jeotgalibaca ciconiae,1,1
186828,1,82800,Desemzia,1,1
82800,2,82801,Desemzia incerta,1,1
81852,1,2737,Vagococcus,18546,18546
2737,2,2571750,Vagococcus zengguangii,18419,18419
2737,2,2991418,Vagococcus intermedius,2,2
2737,2,2738,Vagococcus fluvialis,1,1
2737,2,81947,Vagococcus lutrae,1,1
2737,2,633807,Vagococcus penaei,1,1
81852,1,1350,Enterococcus,76,76
1350,2,1352,Enterococcus faecium,23,23
1350,2,1351,Enterococcus faecalis,22,22
1350,2,1354,Enterococcus hirae,8,8
1350,2,37734,Enterococcus casseliflavus,3,3
1350,1,2608891,unclassified Enterococcus,2,2
2608891,2,2060307,Enterococcus sp. FDAARGOS_375,2,2
1350,2,44008,Enterococcus cecorum,2,2
1350,2,44009,Enterococcus dispar,1,1
1350,2,160453,Enterococcus gilvus,1,1
81852,1,51668,Tetragenococcus,1,1
51668,2,51669,Tetragenococcus halophilus,1,1
1300,1,1357,Lactococcus,6087,6087
1357,2,1366,Lactococcus raffinolactis,5919,5919
1357,2,1358,Lactococcus lactis,3,3
1357,2,1364,Lactococcus piscium,2,2
1357,2,2749962,Lactococcus paracarnosus,2,2
1357,2,1359,Lactococcus cremoris,1,1
1357,2,2592653,Lactococcus protaetiae,1,1
1357,1,2643510,unclassified Lactococcus,1,1
2643510,2,3037457,Lactococcus sp. bn62,1,1
1300,1,1301,Streptococcus,39,39
1301,2,1314,Streptococcus pyogenes,5,5
1301,2,1313,Streptococcus pneumoniae,4,4
1301,2,1311,Streptococcus agalactiae,3,3
1301,1,119603,Streptococcus dysgalactiae group,3,3
119603,2,1336,Streptococcus equi,3,3
1301,2,33040,Streptococcus milleri,2,2
1301,2,45634,Streptococcus cristatus,2,2
1301,2,361101,Streptococcus pseudoporcinus,2,2
1301,1,2608887,unclassified Streptococcus,2,2
2608887,2,2583584,Streptococcus sp. NCTC 11567,1,1
2608887,2,2576376,Streptococcus sp. 1643,1,1
1301,1,671232,Streptococcus anginosus group,2,2
671232,2,1328,Streptococcus anginosus,1,1
671232,2,76860,Streptococcus constellatus,1,1
1301,2,1433513,Streptococcus gwangjuense,1,1
1301,2,1348,Streptococcus parauberis,1,1
1301,2,68892,Streptococcus infantis,1,1
1301,2,82348,Streptococcus pluranimalium,1,1
1301,2,1308,Streptococcus thermophilus,1,1
1301,2,1307,Streptococcus suis,1,1
1301,2,1304,Streptococcus salivarius,1,1
33958,1,1253,Pediococcus,4694,4694
1253,2,1255,Pediococcus pentosaceus,4674,4674
1253,1,1670797,Pediococcus acidilactici group,3,3
1670797,2,1254,Pediococcus acidilactici,3,3
1253,2,51663,Pediococcus damnosus,1,1
33958,1,1578,Lactobacillus,7,7
1578,2,147802,Lactobacillus iners,5,5
1578,2,1587,Lactobacillus helveticus,1,1
1578,2,47770,Lactobacillus crispatus,1,1
33958,1,2767893,Lentilactobacillus,3,3
2767893,2,1581,Lentilactobacillus buchneri,2,2
2767893,2,1138822,Lentilactobacillus curieae,1,1
33958,1,2767887,Ligilactobacillus,2,2
2767887,2,1624,Ligilactobacillus salivarius,1,1
2767887,2,89059,Ligilactobacillus acidipiscis,1,1
33958,1,2767886,Levilactobacillus,2,2
2767886,2,1580,Levilactobacillus brevis,1,1
2767886,2,380393,Levilactobacillus namurensis,1,1
33958,1,2759736,Lacticaseibacillus,2,2
2759736,2,171523,Lacticaseibacillus pantheris,1,1
33958,1,2767881,Fructilactobacillus,1,1
2767881,2,53444,Fructilactobacillus lindneri,1,1
33958,1,2767889,Loigolactobacillus,1,1
2767889,2,1610,Loigolactobacillus coryniformis,1,1
33958,1,2767885,Latilactobacillus,1,1
2767885,2,28038,Latilactobacillus curvatus,1,1
33958,1,1243,Leuconostoc,1,1
33958,1,2767842,Lactiplantibacillus,1,1
2767842,2,2993456,Lactiplantibacillus carotarum,1,1
33958,1,2742598,Limosilactobacillus,1,1
2742598,2,1613,Limosilactobacillus fermentum,1,1
33958,1,46255,Weissella,1,1
46255,2,1249,Weissella paramesenteroides,1,1
90964,1,3076173,Macrococcoides,36297,36297
3076173,2,1855823,Macrococcoides canis,36095,36095
3076173,2,69966,Macrococcoides caseolyticum,18,18
3076173,2,1903056,Macrococcoides bohemicum,1,1
90964,1,1279,Staphylococcus,15473,15473
1279,2,1286,Staphylococcus simulans,15293,15293
1279,2,1280,Staphylococcus aureus,23,23
1279,1,2815305,Staphylococcus intermedius group,5,5
2815305,2,283734,Staphylococcus pseudintermedius,4,4
1279,1,91994,unclassified Staphylococcus,4,4
91994,2,2929481,Staphylococcus sp. IVB6181,2,2
91994,2,3020908,Staphylococcus sp. NRL 22/194,1,1
91994,2,2836366,Staphylococcus sp. MZ8,1,1
1279,2,1290,Staphylococcus hominis,4,4
1279,2,1282,Staphylococcus epidermidis,3,3
1279,2,1283,Staphylococcus haemolyticus,2,2
1279,2,308354,Staphylococcus simiae,2,2
1279,2,2282419,Staphylococcus pseudoxylosus,1,1
1279,2,586733,Staphylococcus devriesei,1,1
1279,2,29385,Staphylococcus saprophyticus,1,1
1279,2,70255,Staphylococcus condimenti,1,1
1279,2,1295,Staphylococcus schleiferi,1,1
1279,2,214473,Staphylococcus nepalensis,1,1
90964,1,69965,Macrococcus,46,46
69965,2,2875764,Macrococcus armenti,35,35
69965,2,1902580,Macrococcus epidermidis,3,3
69965,2,69967,Macrococcus equipercicus,2,2
69965,2,198483,Macrococcus brunensis,2,2
69965,2,69968,Macrococcus bovicus,1,1
90964,1,2803850,Mammaliicoccus,6,6
2803850,2,1296,Mammaliicoccus sciuri,6,6
90964,1,227979,Jeotgalicoccus,4,4
227979,1,2630462,unclassified Jeotgalicoccus,4,4
2630462,2,2708346,Jeotgalicoccus sp. WY2,1,1
90964,1,489909,Nosocomiicoccus,2,2
489909,2,489910,Nosocomiicoccus ampullae,2,2
186822,1,44249,Paenibacillus,30990,30990
44249,2,1406,Paenibacillus polymyxa,28078,28078
44249,1,185978,unclassified Paenibacillus,66,66
185978,2,2954661,Paenibacillus sp. FSL R10-2782,11,11
185978,2,2954752,Paenibacillus sp. FSL L8-0158,7,7
185978,2,2069255,Paenibacillus sp. lzh-N1,6,6
185978,2,867076,Paenibacillus sp. IHB B 3084,3,3
185978,2,2921714,Paenibacillus sp. FSL W8-0426,3,3
185978,2,3045840,Paenibacillus sp. RC334,3,3
185978,2,2921604,Paenibacillus sp. FSL L8-0638,3,3
