read_accession_id,read_accession_total_count,root,kraken_classified_root,superkingdom,kraken_classified_superkingdom,phylum,kraken_classified_phylum,class,kraken_classified_class,order,kraken_classified_order,family,kraken_classified_family,genus,kraken_classified_genus,species,kraken_classified_species
NZ_CP019962.1,11046,root,11007,Bacteria,11007,Bacillota,11007,Clostridia,11007,Eubacteriales,11007,Eubacteriaceae,11007,Eubacterium,11007,Eubacterium limosum,10315
NC_001722.1,47780,root,47617,Viruses,47617,Artverviricota,47617,Revtraviricetes,47617,Ortervirales,47617,Retroviridae,47617,Lentivirus,47617,Human immunodeficiency virus 2,47617
NZ_CP019668.1,51786,root,51609,Bacteria,51609,Pseudomonadota,51609,Betaproteobacteria,51609,Burkholderiales,51609,Burkholderiaceae,51609,Burkholderia,51577,Burkholderia cenocepacia,38645
NZ_CP120398.1,62684,root,62484,Bacteria,62483,Pseudomonadota,62483,Gammaproteobacteria,62483,Enterobacterales,62482,Enterobacteriaceae,62449,Salmonella,61445,Salmonella enterica,53615
NZ_CP050497.1,48315,root,48148,Bacteria,48148,Spirochaetota,48148,Spirochaetia,48148,Spirochaetales,48148,Treponemataceae,48148,Treponema,48148,Treponema vincentii,40075
NZ_CP008852.1,18342,root,18276,Bacteria,18276,Bacillota,18276,Negativicutes,18276,Selenomonadales,18276,Sporomusaceae,18276,Pelosinus,18276,Pelosinus sp. UFO1,18274
NZ_CP027286.1,44204,root,44069,Bacteria,44069,Bacillota,44069,Clostridia,44069,Eubacteriales,44069,Clostridiaceae,44069,Clostridium,44069,Clostridium chauvoei,43858
NC_076948.1,14718,root,14671,Viruses,14671,Kitrinoviricota,14671,Alsuviricetes,14671,Hepelivirales,14671,Matonaviridae,14671,Rubivirus,14671,Rubivirus rubellae,14671
NZ_CP036259.1,10788,root,10747,Bacteria,10747,Bacillota,10747,Negativicutes,10747,Selenomonadales,10747,Sporomusaceae,10747,Sporomusa,10747,Sporomusa termitida,10747
NZ_AP019735.1,6183,root,6152,Bacteria,6152,Bacteroidota,6152,Bacteroidia,6130,Bacteroidales,6130,Rikenellaceae,6019,Alistipes,6019,Alistipes communis,6012
